Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2019, тыс. рублей;Июль, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 829 391 091,00;28 633 197 341,00;196 193 750,00;0,69
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 362 664 764,00;14 163 053 164,00;199 611 600,00;1,41
3;0;Газпромбанк;354;Москва и обл.;6 280 851 891,00;6 013 729 156,00;267 122 735,00;4,44
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 477 018 146,00;3 655 518 609,00;-178 500 463,00;-4,88
5;1;Россельхозбанк;3349;Москва и обл.;3 409 211 256,00;3 353 601 753,00;55 609 503,00;1,66
6;-1;Альфа-Банк;1326;Москва и обл.;3 352 124 069,00;3 396 770 926,00;-44 646 857,00;-1,31
7;1;Банк Открытие;2209;Москва и обл.;2 251 015 939,00;2 175 879 577,00;75 136 362,00;3,45
8;-1;Московский Кредитный Банк;1978;Москва и обл.;2 167 278 996,00;2 222 484 730,00;-55 205 734,00;-2,48
9;0;Промсвязьбанк;3251;Москва и обл.;1 899 884 848,00;1 796 335 050,00;103 549 798,00;5,76
10;0;ЮниКредит Банк;1;Москва и обл.;1 405 750 371,00;1 353 517 481,00;52 232 890,00;3,86
11;0;Траст;3279;Москва и обл.;1 323 123 516,00;1 314 822 854,00;8 300 662,00;0,63
12;1;Райффайзенбанк;3292;Москва и обл.;1 316 106 603,00;1 198 366 884,00;117 739 719,00;9,83
13;-1;Росбанк;2272;Москва и обл.;1 217 502 469,00;1 234 782 942,00;-17 280 473,00;-1,40
14;0;Совкомбанк;963;Костромская обл.;1 055 460 722,00;1 056 750 931,00;-1 290 209,00;-0,12
15;0;Россия;328;Санкт-Петербург и обл.;1 004 630 172,00;1 022 948 479,00;-18 318 307,00;-1,79
16;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;708 574 036,00;679 474 541,00;29 099 495,00;4,28
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;675 834 037,00;688 976 616,00;-13 142 579,00;-1,91
18;0;Ситибанк;2557;Москва и обл.;576 509 094,00;577 733 330,00;-1 224 236,00;-0,21
19;1;Ак Барс;2590;Татарстан;554 424 069,00;530 864 290,00;23 559 779,00;4,44
20;-1;Московский Областной Банк;1751;Москва и обл.;538 323 342,00;541 838 550,00;-3 515 208,00;-0,65
21;0;Банк Уралсиб;30;Москва и обл.;517 721 384,00;527 325 807,00;-9 604 423,00;-1,82
