Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2012, тыс. рублей;Май, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;12 019 625 947,00;11 794 216 241,00;225 409 706,00;1,91
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 953 330 036,00;3 921 603 075,00;31 726 961,00;0,81
3;0;Газпромбанк;354;Москва и обл.;2 511 938 314,00;2 399 923 431,00;112 014 883,00;4,67
4;0;Россельхозбанк;3349;Москва и обл.;1 486 352 723,00;1 441 871 580,00;44 481 143,00;3,08
5;0;ВТБ 24;1623;Москва и обл.;1 284 138 088,00;1 245 392 348,00;38 745 740,00;3,11
6;0;БМ-Банк;2748;Москва и обл.;1 227 738 298,00;1 202 955 196,00;24 783 102,00;2,06
7;0;Альфа-Банк;1326;Москва и обл.;1 057 249 625,00;1 004 224 001,00;53 025 624,00;5,28
8;0;ЮниКредит Банк;1;Москва и обл.;872 368 646,00;848 557 786,00;23 810 860,00;2,81
9;0;Росбанк;2272;Москва и обл.;673 833 620,00;639 146 115,00;34 687 505,00;5,43
10;0;Райффайзенбанк;3292;Москва и обл.;668 628 026,00;608 639 442,00;59 988 584,00;9,86
11;0;Промсвязьбанк;3251;Москва и обл.;602 730 572,00;587 772 063,00;14 958 509,00;2,54
12;0;Банк Открытие;2209;Москва и обл.;491 955 576,00;515 055 059,00;-23 099 483,00;-4,48
13;0;Транскредитбанк;2142;Москва и обл.;488 845 467,00;502 120 147,00;-13 274 680,00;-2,64
14;0;Банк Уралсиб;30;Москва и обл.;431 869 842,00;435 218 555,00;-3 348 713,00;-0,77
15;0;МДМ Банк;2562;Новосибирская обл.;367 839 701,00;360 905 979,00;6 933 722,00;1,92
16;1;Ситибанк;2557;Москва и обл.;341 539 294,00;326 149 571,00;15 389 723,00;4,72
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;340 025 680,00;352 696 595,00;-12 670 915,00;-3,59
18;1;Ак Барс;2590;Татарстан;316 517 745,00;304 476 016,00;12 041 729,00;3,95
19;-1;Россия;328;Санкт-Петербург и обл.;307 357 017,00;318 838 370,00;-11 481 353,00;-3,60
20;0;Нордеа Банк;3016;Москва и обл.;281 790 690,00;262 063 003,00;19 727 687,00;7,53
21;4;ИНГ Банк;2495;Москва и обл.;262 761 825,00;220 267 574,00;42 494 251,00;19,29
22;-1;Московский Кредитный Банк;1978;Москва и обл.;254 011 761,00;254 168 944,00;-157 183,00;-0,06
23;0;Связь-Банк;1470;Москва и обл.;252 262 884,00;241 742 014,00;10 520 870,00;4,35
24;-2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;246 448 406,00;243 255 609,00;3 192 797,00;1,31
25;-1;Петрокоммерц;1776;Москва и обл.;243 495 862,00;228 028 370,00;15 467 492,00;6,78
26;1;Русский Стандарт;2289;Москва и обл.;223 612 271,00;215 164 568,00;8 447 703,00;3,93
27;-1;Банк Зенит;3255;Москва и обл.;216 878 779,00;219 421 404,00;-2 542 625,00;-1,16
28;0;Глобэкс;1942;Москва и обл.;204 151 219,00;210 105 115,00;-5 953 896,00;-2,83
29;1;Хоум Кредит Банк;316;Москва и обл.;202 970 756,00;193 340 505,00;9 630 251,00;4,98
30;-1;Возрождение;1439;Москва и обл.;200 854 552,00;195 340 810,00;5 513 742,00;2,82
31;0;Траст;3279;Москва и обл.;195 939 808,00;181 410 781,00;14 529 027,00;8,01
32;1;Восточный Банк;1460;Амурская обл.;167 915 704,00;157 140 473,00;10 775 231,00;6,86
33;-1;Банк «Открытие»;2179;Москва и обл.;164 009 051,00;158 263 676,00;5 745 375,00;3,63
34;0;Московский Индустриальный Банк;912;Москва и обл.;151 638 012,00;153 312 119,00;-1 674 107,00;-1,09
35;0;МТС Банк;2268;Москва и обл.;147 007 033,00;139 528 024,00;7 479 009,00;5,36
36;1;Бинбанк;323;Москва и обл.;144 930 722,00;135 615 449,00;9 315 273,00;6,87
37;-1;ОТП Банк;2766;Москва и обл.;139 632 043,00;136 263 538,00;3 368 505,00;2,47
38;4;Дойче Банк;3328;Москва и обл.;132 324 152,00;110 144 954,00;22 179 198,00;20,14
39;1;СМП Банк;3368;Москва и обл.;120 687 003,00;114 777 110,00;5 909 893,00;5,15
40;3;Национальный Клиринговый Центр;3466;Москва и обл.;119 744 853,00;109 612 898,00;10 131 955,00;9,24
41;-3;СКБ-Банк;705;Свердловская обл.;119 268 820,00;116 015 530,00;3 253 290,00;2,80
42;2;Абсолют Банк;2306;Москва и обл.;116 086 472,00;106 698 373,00;9 388 099,00;8,80
43;-2;Транскапиталбанк;2210;Москва и обл.;114 676 489,00;111 457 069,00;3 219 420,00;2,89
44;-5;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;113 073 131,00;115 426 069,00;-2 352 938,00;-2,04
45;0;Русфинанс Банк;1792;Самарская обл.;106 131 235,00;105 144 477,00;986 758,00;0,94
46;0;Кредит Европа Банк;3311;Москва и обл.;105 958 850,00;103 575 495,00;2 383 355,00;2,30
47;0;БНП Париба Банк;3407;Москва и обл.;104 470 002,00;100 975 619,00;3 494 383,00;3,46
48;1;Новикомбанк;2546;Москва и обл.;101 736 995,00;96 954 926,00;4 782 069,00;4,93
49;1;РГС Банк;3073;Москва и обл.;99 939 005,00;94 360 109,00;5 578 896,00;5,91
50;2;Пробизнесбанк;2412;Москва и обл.;99 328 745,00;92 410 358,00;6 918 387,00;7,49
51;-3;Инвестторгбанк;2763;Москва и обл.;97 713 198,00;99 009 164,00;-1 295 966,00;-1,31
52;-1;РосЕвроБанк;3137;Москва и обл.;97 174 377,00;93 007 236,00;4 167 141,00;4,48
53;0;МСП Банк;3340;Москва и обл.;94 431 783,00;92 279 671,00;2 152 112,00;2,33
54;0;Внешпромбанк;3261;Москва и обл.;94 376 477,00;87 754 886,00;6 621 591,00;7,55
55;2;Авангард;2879;Москва и обл.;88 289 979,00;84 565 372,00;3 724 607,00;4,40
56;-1;Татфондбанк;3058;Татарстан;88 085 849,00;87 007 412,00;1 078 437,00;1,24
57;2;Национальный Расчетный Депозитарий;3294;Москва и обл.;86 062 320,00;82 537 098,00;3 525 222,00;4,27
58;0;Банк Интеза;2216;Москва и обл.;85 431 897,00;84 341 243,00;1 090 654,00;1,29
59;-3;Юниаструм Банк;2771;Москва и обл.;84 039 430,00;85 858 034,00;-1 818 604,00;-2,12
60;1;Союз;2307;Москва и обл.;82 028 522,00;80 331 028,00;1 697 494,00;2,11
61;-1;Балтийский Банк;128;Москва и обл.;81 989 350,00;80 367 706,00;1 621 644,00;2,02
62;2;Банк ДОМ.РФ;2312;Москва и обл.;80 057 595,00;76 619 365,00;3 438 230,00;4,49
63;0;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;78 610 032,00;78 437 913,00;172 119,00;0,22
64;2;ЦентроКредит;121;Москва и обл.;77 318 050,00;74 428 579,00;2 889 471,00;3,88
65;2;Ренессанс Кредит;3354;Москва и обл.;75 367 094,00;73 455 780,00;1 911 314,00;2,60
66;3;Мастер-Банк;2176;Москва и обл.;73 629 388,00;71 623 560,00;2 005 828,00;2,80
67;-2;Запсибкомбанк;918;Тюменская обл.;73 591 805,00;74 625 901,00;-1 034 096,00;-1,39
