Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2011, тыс. рублей;Апрель, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
76;-3;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;51 877 041,00;52 872 793,00;-995 752,00;-1,88
77;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;51 169 958,00;51 187 043,00;-17 085,00;-0,03
78;-2;Пересвет;2110;Москва и обл.;50 347 521,00;51 163 808,00;-816 287,00;-1,60
79;3;Совкомбанк;963;Костромская обл.;49 847 315,00;47 990 269,00;1 857 046,00;3,87
80;-1;Ренессанс Кредит;3354;Москва и обл.;48 066 606,00;49 152 301,00;-1 085 695,00;-2,21
81;-1;Центр-инвест;2225;Ростовская обл.;47 918 444,00;48 779 702,00;-861 258,00;-1,77
82;-5;Роскосмосбанк;2989;Москва и обл.;47 178 958,00;50 982 173,00;-3 803 215,00;-7,46
83;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;46 706 068,00;47 087 430,00;-381 362,00;-0,81
84;1;Инвестбанк;107;Калининградская обл.;46 348 711,00;44 534 371,00;1 814 340,00;4,07
85;-1;АМТ Банк;2820;Москва и обл.;45 893 060,00;46 285 648,00;-392 588,00;-0,85
86;0;Металлинвестбанк;2440;Москва и обл.;45 485 727,00;43 730 603,00;1 755 124,00;4,01
87;3;Расчетная Палата РТС;3335;Москва и обл.;41 579 623,00;38 764 228,00;2 815 395,00;7,26
88;0;Банк ДОМ.РФ;2312;Москва и обл.;40 724 467,00;41 242 747,00;-518 280,00;-1,26
89;-2;СБ Банк (Судостроительный банк);2999;Москва и обл.;40 508 158,00;42 529 382,00;-2 021 224,00;-4,75
90;1;Национальный Стандарт;3421;Москва и обл.;39 294 691,00;37 162 473,00;2 132 218,00;5,74
91;6;Международный Финансовый Клуб;2618;Москва и обл.;38 421 063,00;33 645 672,00;4 775 391,00;14,19
92;0;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;36 587 550,00;37 090 623,00;-503 073,00;-1,36
93;-4;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;36 222 496,00;39 760 478,00;-3 537 982,00;-8,90
94;29;Банк Кредит Свисс;2494;Москва и обл.;35 903 576,00;22 432 896,00;13 470 680,00;60,05
95;-2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;35 020 875,00;35 883 753,00;-862 878,00;-2,40
96;-2;Первобанк;3461;Самарская обл.;34 470 863,00;34 697 653,00;-226 790,00;-0,65
97;-2;Коммерцбанк (Евразия);3333;Москва и обл.;33 313 265,00;34 654 756,00;-1 341 491,00;-3,87
98;0;Таврический Банк;2304;Санкт-Петербург и обл.;33 311 851,00;33 464 449,00;-152 598,00;-0,46
99;0;Бинбанк Диджитал;2827;Москва и обл.;32 649 916,00;32 761 061,00;-111 145,00;-0,34
100;0;Национальный Торговый Банк;3087;Самарская обл.;32 415 789,00;32 038 357,00;377 432,00;1,18
101;-5;Нота-Банк;2913;Москва и обл.;31 442 014,00;34 063 579,00;-2 621 565,00;-7,70
102;-1;Сведбанк;3064;Москва и обл.;30 775 541,00;30 240 509,00;535 032,00;1,77
103;-1;Челиндбанк;485;Челябинская обл.;29 163 125,00;29 470 248,00;-307 123,00;-1,04
104;1;Экспобанк;2998;Москва и обл.;28 322 254,00;27 805 347,00;516 907,00;1,86
105;1;Челябинвестбанк;493;Челябинская обл.;28 024 025,00;27 783 003,00;241 022,00;0,87
106;-3;Дальневосточный Банк;843;Приморский край;27 722 778,00;28 086 993,00;-364 215,00;-1,30
107;2;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;27 458 277,00;26 841 131,00;617 146,00;2,30
108;-1;Кубань Кредит;2518;Краснодарский край;27 322 469,00;27 169 646,00;152 823,00;0,56
109;-5;Межтопэнергобанк;2956;Москва и обл.;27 304 340,00;27 930 564,00;-626 224,00;-2,24
110;-2;Первый Республиканский Банк;1730;Москва и обл.;26 143 216,00;27 035 283,00;-892 067,00;-3,30
111;6;НС Банк;3124;Москва и обл.;25 598 374,00;24 286 169,00;1 312 205,00;5,40
112;-1;Кедр;1574;Москва и обл.;25 447 385,00;25 282 784,00;164 601,00;0,65
113;0;Севергазбанк;2816;Вологодская обл.;25 273 199,00;24 756 247,00;516 952,00;2,09
114;2;СДМ-Банк;1637;Москва и обл.;24 699 559,00;24 377 762,00;321 797,00;1,32
115;-1;Экспресс-Волга;3085;Саратовская обл.;24 476 595,00;24 525 907,00;-49 312,00;-0,20
116;-6;Москоммерцбанк;3365;Москва и обл.;24 383 693,00;25 389 790,00;-1 006 097,00;-3,96
117;-5;Газбанк;2316;Самарская обл.;24 195 163,00;25 161 044,00;-965 881,00;-3,84
118;2;Приморье;3001;Приморский край;24 185 834,00;23 744 265,00;441 569,00;1,86
119;-1;Крайинвестбанк;3360;Краснодарский край;24 164 641,00;23 751 771,00;412 870,00;1,74
120;2;Интеркоммерц Банк;1657;Москва и обл.;23 855 088,00;22 452 675,00;1 402 413,00;6,25
121;-6;Далькомбанк;84;Хабаровский край;23 829 670,00;24 441 800,00;-612 130,00;-2,50
122;10;АМБ Банк;3036;Москва и обл.;23 558 635,00;20 851 891,00;2 706 744,00;12,98
123;1;Интерпромбанк;3266;Москва и обл.;23 207 244,00;22 379 779,00;827 465,00;3,70
124;2;Банк АВБ;23;Самарская обл.;22 905 997,00;22 063 059,00;842 938,00;3,82
125;0;БФГ-Кредит;3068;Москва и обл.;22 717 921,00;22 199 162,00;518 759,00;2,34
126;-7;Акибанк;2587;Татарстан;22 653 865,00;23 744 660,00;-1 090 795,00;-4,59
127;3;Кредит Урал Банк;2584;Челябинская обл.;22 432 080,00;20 982 535,00;1 449 545,00;6,91
128;-7;Русский Международный Банк;3123;Москва и обл.;21 948 039,00;22 645 507,00;-697 468,00;-3,08
129;-1;Липецккомбанк;1242;Липецкая обл.;21 436 753,00;21 115 544,00;321 209,00;1,52
130;-3;М2М Прайвет Банк;1414;Москва и обл.;21 417 765,00;21 676 447,00;-258 682,00;-1,19
131;0;Стройкредит;18;Москва и обл.;21 210 819,00;20 967 640,00;243 179,00;1,16
132;9;Меткомбанк (Череповец);901;Вологодская обл.;21 102 150,00;19 403 738,00;1 698 412,00;8,75
133;28;Тинькофф Банк;2673;Москва и обл.;20 980 421,00;15 806 498,00;5 173 923,00;32,73
134;3;Московский Областной Банк;1751;Москва и обл.;20 963 293,00;20 033 597,00;929 696,00;4,64
135;-1;Фора-Банк;1885;Москва и обл.;20 566 098,00;20 367 063,00;199 035,00;0,98
136;3;Саровбизнесбанк;2048;Нижегородская обл.;20 153 550,00;19 509 144,00;644 406,00;3,30
137;-4;Девон-Кредит;1972;Татарстан;19 692 457,00;20 405 531,00;-713 074,00;-3,49
138;2;Примсоцбанк;2733;Приморский край;19 639 182,00;19 484 574,00;154 608,00;0,79
139;-3;Мой Банк;2939;Москва и обл.;19 600 248,00;20 146 380,00;-546 132,00;-2,71
140;-5;Агропромкредит;2880;Москва и обл.;19 551 867,00;20 345 497,00;-793 630,00;-3,90
141;2;Росэнергобанк;2211;Москва и обл.;19 259 914,00;18 343 942,00;915 972,00;4,99
142;3;Народный Кредит;2401;Москва и обл.;19 006 659,00;18 286 136,00;720 523,00;3,94
143;1;Кольцо Урала;65;Свердловская обл.;18 582 666,00;18 313 114,00;269 552,00;1,47
144;-2;Альта-Банк;2269;Москва и обл.;18 547 925,00;19 040 021,00;-492 096,00;-2,58
145;2;МБА-Москва;3395;Москва и обл.;18 450 897,00;18 194 319,00;256 578,00;1,41
146;2;Урал ФД;249;Пермская обл.;18 305 511,00;17 836 174,00;469 337,00;2,63
147;-1;Уралтрансбанк;812;Свердловская обл.;18 116 687,00;18 207 549,00;-90 862,00;-0,50
148;2;Тойота Банк;3470;Москва и обл.;18 091 570,00;16 987 772,00;1 103 798,00;6,50
149;11;Сетелем Банк;2168;Москва и обл.;17 591 910,00;15 896 423,00;1 695 487,00;10,67
150;-1;ФИА-Банк;2542;Самарская обл.;17 584 718,00;17 744 776,00;-160 058,00;-0,90
151;7;Связной Банк;1961;Москва и обл.;17 401 084,00;15 994 669,00;1 406 415,00;8,79
152;-1;Банк Проектного Финансирования;1677;Москва и обл.;17 234 800,00;16 944 542,00;290 258,00;1,71
153;-1;Смоленский Банк;2029;Смоленская обл.;17 142 753,00;16 919 719,00;223 034,00;1,32
154;-25;Солидарность;554;Самарская обл.;16 155 016,00;20 990 614,00;-4 835 598,00;-23,04
155;-1;Модульбанк;1927;Костромская обл.;16 097 415,00;16 638 430,00;-541 015,00;-3,25
156;0;Морской Банк;77;Москва и обл.;16 087 097,00;16 084 672,00;2 425,00;0,02
157;0;Спурт Банк;2207;Татарстан;15 933 854,00;16 030 763,00;-96 909,00;-0,60
158;1;Тимер Банк;1581;Татарстан;15 785 619,00;15 974 769,00;-189 150,00;-1,18
159;12;Банк БФА;3038;Санкт-Петербург и обл.;15 696 787,00;13 923 829,00;1 772 958,00;12,73
160;2;ПЧРБ Банк;3291;Москва и обл.;15 678 627,00;15 598 325,00;80 302,00;0,51
161;2;Столичный Торговый Банк;2797;Москва и обл.;15 557 559,00;15 527 654,00;29 905,00;0,19
162;2;НОМОС-Региобанк;539;Хабаровский край;15 280 891,00;15 054 501,00;226 390,00;1,50
163;2;Энергобанк;67;Татарстан;15 188 901,00;14 879 237,00;309 664,00;2,08
164;14;Рост Банк;2888;Татарстан;15 131 967,00;13 055 600,00;2 076 367,00;15,90
165;-10;Натиксис Банк;3390;Москва и обл.;15 036 025,00;16 488 889,00;-1 452 864,00;-8,81
166;0;Левобережный;1343;Новосибирская обл.;14 956 385,00;14 596 342,00;360 043,00;2,47
167;0;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;14 604 953,00;14 457 181,00;147 772,00;1,02
168;-15;Тройка-Д Банк;3431;Москва и обл.;14 604 671,00;16 843 660,00;-2 238 989,00;-13,29
169;-1;Интерпрогрессбанк;600;Москва и обл.;14 392 426,00;14 143 330,00;249 096,00;1,76
170;-32;ГПБ-Ипотека;2403;Москва и обл.;14 307 333,00;19 686 432,00;-5 379 099,00;-27,32
171;1;Инвесткапиталбанк;2377;Башкортостан;13 913 413,00;13 780 039,00;133 374,00;0,97
172;1;Мосстройэкономбанк (М Банк);948;Москва и обл.;13 839 022,00;13 759 618,00;79 404,00;0,58
173;3;Курскпромбанк;735;Курская обл.;13 503 622,00;13 309 814,00;193 808,00;1,46
174;1;НБД-Банк;1966;Нижегородская обл.;13 395 775,00;13 622 334,00;-226 559,00;-1,66
175;-1;Российский Кредит;324;Москва и обл.;13 176 164,00;13 717 477,00;-541 313,00;-3,95
176;7;Центркомбанк;2983;Москва и обл.;13 084 658,00;12 847 753,00;236 905,00;1,84
177;0;Норвик Банк;902;Кировская обл.;13 054 330,00;13 088 466,00;-34 136,00;-0,26
178;-9;Ланта-Банк;1920;Москва и обл.;13 052 350,00;14 038 798,00;-986 448,00;-7,03
179;0;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;12 999 614,00;12 993 423,00;6 191,00;0,05
180;10;БМВ Банк;3482;Москва и обл.;12 904 087,00;11 725 607,00;1 178 480,00;10,05
181;-1;Алмазэргиэнбанк;2602;Саха (Якутия);12 891 510,00;12 967 763,00;-76 253,00;-0,59
182;-1;Русстройбанк;3205;Москва и обл.;12 570 213,00;12 889 931,00;-319 718,00;-2,48
183;4;Интехбанк;2705;Татарстан;12 145 971,00;11 928 299,00;217 672,00;1,82
184;1;Эллипс Банк;1950;Нижегородская обл.;12 145 552,00;12 004 840,00;140 712,00;1,17
185;-15;Развитие-Столица;3013;Москва и обл.;12 119 098,00;13 995 717,00;-1 876 619,00;-13,41
186;-2;Европейский Трастовый Банк;2968;Москва и обл.;12 085 852,00;12 218 741,00;-132 889,00;-1,09
187;-1;Гаранти Банк — Москва;3275;Москва и обл.;11 981 008,00;11 982 290,00;-1 282,00;-0,01
188;-6;Углеметбанк;2997;Челябинская обл.;11 922 246,00;12 861 571,00;-939 325,00;-7,30
189;2;Западный;2598;Москва и обл.;11 875 971,00;11 718 909,00;157 062,00;1,34
190;6;Гута-Банк;256;Москва и обл.;11 859 171,00;10 875 316,00;983 855,00;9,05
191;1;Мир Бизнес Банк;3396;Москва и обл.;11 373 738,00;11 435 388,00;-61 650,00;-0,54
192;-3;Александровский;53;Санкт-Петербург и обл.;11 359 549,00;11 735 533,00;-375 984,00;-3,20
193;0;Фининвест;671;Москва и обл.;11 317 739,00;11 257 405,00;60 334,00;0,54
194;1;БыстроБанк;1745;Удмуртия;11 206 680,00;11 184 422,00;22 258,00;0,20
195;-1;Московское Ипотечное Агентство;3344;Москва и обл.;11 197 530,00;11 204 860,00;-7 330,00;-0,07
196;9;Эс-Би-Ай Банк;3185;Москва и обл.;11 189 568,00;10 292 984,00;896 584,00;8,71
197;15;БКС Банк;101;Новосибирская обл.;11 135 667,00;9 945 135,00;1 190 532,00;11,97
198;-10;Образование;1521;Москва и обл.;11 084 211,00;11 792 208,00;-707 997,00;-6,00
199;18;Легион;3117;Москва и обл.;10 823 209,00;9 612 654,00;1 210 555,00;12,59
200;0;Алеф-Банк;2119;Москва и обл.;10 798 867,00;10 432 635,00;366 232,00;3,51
201;15;Тольяттихимбанк;2507;Самарская обл.;10 720 546,00;9 749 872,00;970 674,00;9,96
202;21;Современный Коммерческий Инновационный Банк;3329;Калужская обл.;10 637 005,00;9 264 281,00;1 372 724,00;14,82
203;-2;РосДорБанк;1573;Москва и обл.;10 568 629,00;10 428 330,00;140 299,00;1,35
204;-2;Держава;2738;Москва и обл.;10 543 098,00;10 418 992,00;124 106,00;1,19
205;5;Энерготрансбанк;1307;Калининградская обл.;10 517 131,00;9 988 904,00;528 227,00;5,29
206;1;АйМаниБанк;1975;Республика Алтай;10 507 955,00;10 139 908,00;368 047,00;3,63
207;-8;Солидарность (Москва);1555;Москва и обл.;10 486 381,00;10 529 206,00;-42 825,00;-0,41
208;-2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;10 455 401,00;10 173 706,00;281 695,00;2,77
209;0;Первомайский;518;Краснодарский край;10 435 888,00;10 041 731,00;394 157,00;3,93
210;3;Банк «Советский»;558;Санкт-Петербург и обл.;10 324 287,00;9 922 468,00;401 819,00;4,05
211;-13;Форштадт;2208;Оренбургская обл.;10 290 109,00;10 652 415,00;-362 306,00;-3,40
212;25;Свенска Хандельсбанкен;3455;Москва и обл.;10 186 320,00;8 551 341,00;1 634 979,00;19,12
213;-2;Нижегородпромстройбанк;1851;Нижегородская обл.;9 972 880,00;9 981 467,00;-8 587,00;-0,09
214;7;Экопромбанк;2011;Пермская обл.;9 900 406,00;9 389 961,00;510 445,00;5,44
215;0;Интрастбанк;3144;Москва и обл.;9 870 601,00;9 758 223,00;112 378,00;1,15
216;-12;НК Банк;2755;Москва и обл.;9 793 693,00;10 310 716,00;-517 023,00;-5,01
217;-9;Роспромбанк;3204;Москва и обл.;9 740 773,00;10 073 217,00;-332 444,00;-3,30
218;12;Гранд Инвест Банк;3053;Москва и обл.;9 639 519,00;8 865 615,00;773 904,00;8,73
219;-1;ТЭМБР-Банк;2764;Москва и обл.;9 636 746,00;9 556 321,00;80 425,00;0,84
220;-1;Хлынов;254;Кировская обл.;9 530 202,00;9 507 784,00;22 418,00;0,24
221;-1;АБ Финанс;514;Москва и обл.;9 512 790,00;9 409 272,00;103 518,00;1,10
222;3;ВУЗ-Банк;1557;Свердловская обл.;9 414 364,00;9 246 590,00;167 774,00;1,81
223;8;Энергомашбанк;52;Санкт-Петербург и обл.;9 298 638,00;8 803 905,00;494 733,00;5,62
224;-2;Росэксимбанк;2790;Москва и обл.;9 109 664,00;9 267 899,00;-158 235,00;-1,71
225;16;Национальная Факторинговая Компания;3437;Москва и обл.;9 108 185,00;8 206 472,00;901 713,00;10,99
226;21;Социнвестбанк;1132;Башкортостан;9 076 212,00;7 873 196,00;1 203 016,00;15,28
227;33;Аресбанк;2914;Москва и обл.;9 023 293,00;7 158 883,00;1 864 410,00;26,04
228;-31;Банк Финсервис;3388;Москва и обл.;8 930 052,00;10 676 115,00;-1 746 063,00;-16,35
229;5;Газэнергобанк;3252;Калужская обл.;8 901 112,00;8 647 561,00;253 551,00;2,93
230;-6;ББР Банк;2929;Москва и обл.;8 748 463,00;9 263 419,00;-514 956,00;-5,56
231;5;Мерседес-Бенц Банк Рус;3473;Москва и обл.;8 706 851,00;8 626 446,00;80 405,00;0,93
232;-4;Прио-Внешторгбанк;212;Рязанская обл.;8 683 024,00;8 912 329,00;-229 305,00;-2,57
233;-6;Нацинвестпромбанк;3077;Москва и обл.;8 678 907,00;8 965 978,00;-287 071,00;-3,20
234;10;МАК-Банк;1088;Москва и обл.;8 663 336,00;8 020 402,00;642 934,00;8,02
235;21;Ю Би Эс Банк;3463;Москва и обл.;8 584 801,00;7 254 019,00;1 330 782,00;18,35
236;-3;Банк Жилищного Финансирования;3138;Москва и обл.;8 564 114,00;8 682 158,00;-118 044,00;-1,36
237;5;Промсбербанк;1043;Москва и обл.;8 497 087,00;8 087 041,00;410 046,00;5,07
238;1;Банк Оренбург;3269;Оренбургская обл.;8 455 460,00;8 385 118,00;70 342,00;0,84
239;-7;Денизбанк Москва;3330;Москва и обл.;8 440 577,00;8 693 316,00;-252 739,00;-2,91
240;0;Тарханы;459;Пензенская обл.;8 386 999,00;8 371 991,00;15 008,00;0,18
241;-15;Северо-Восточный Альянс;2768;Москва и обл.;8 367 303,00;9 246 493,00;-879 190,00;-9,51
242;-4;Экономбанк;1319;Саратовская обл.;8 353 269,00;8 508 274,00;-155 005,00;-1,82
243;0;МАСТ-Банк;3267;Москва и обл.;8 202 363,00;8 052 856,00;149 507,00;1,86
244;-30;Финпромбанк (ФПБ Банк);2157;Москва и обл.;8 046 464,00;9 878 804,00;-1 832 340,00;-18,55
245;6;Банк ПСА Финанс Рус;3481;Москва и обл.;8 003 492,00;7 544 117,00;459 375,00;6,09
246;-17;Банк24.ру;2227;Свердловская обл.;7 987 637,00;8 886 893,00;-899 256,00;-10,12
247;-1;Гарант-Инвест;2576;Москва и обл.;7 880 451,00;7 881 903,00;-1 452,00;-0,02
248;15;АктивКапитал Банк;3006;Самарская обл.;7 856 942,00;7 063 395,00;793 547,00;11,23
249;5;Квантмобайл Банк;1189;Омская обл.;7 832 222,00;7 476 189,00;356 033,00;4,76
250;-5;Бэнк оф Чайна;2309;Москва и обл.;7 831 462,00;7 938 939,00;-107 477,00;-1,35
251;19;Пушкино;391;Москва и обл.;7 642 324,00;6 856 032,00;786 292,00;11,47
252;7;СтарБанк;548;Тюменская обл.;7 585 596,00;7 177 431,00;408 165,00;5,69
253;15;Нефтяной Альянс;2859;Москва и обл.;7 584 049,00;6 936 968,00;647 081,00;9,33
254;17;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;7 555 188,00;6 851 395,00;703 793,00;10,27
255;2;Европейский;1616;Калининградская обл.;7 487 292,00;7 222 923,00;264 369,00;3,66
256;53;Альба Альянс;2593;Москва и обл.;7 462 743,00;5 554 655,00;1 908 088,00;34,35
257;-5;Снежинский;1376;Челябинская обл.;7 449 550,00;7 517 783,00;-68 233,00;-0,91
258;-10;Расчетно-Кредитный Банк;103;Москва и обл.;7 409 237,00;7 831 067,00;-421 830,00;-5,39
