Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2011, тыс. рублей;Апрель, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 198 427 025,00;9 154 810 157,00;43 616 868,00;0,48
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 151 326 132,00;3 105 980 513,00;45 345 619,00;1,46
3;0;Газпромбанк;354;Москва и обл.;1 852 611 021,00;1 933 706 171,00;-81 095 150,00;-4,19
4;0;Россельхозбанк;3349;Москва и обл.;1 192 335 325,00;1 157 462 115,00;34 873 210,00;3,01
5;0;ВТБ 24;1623;Москва и обл.;998 478 799,00;971 387 230,00;27 091 569,00;2,79
6;0;БМ-Банк;2748;Москва и обл.;898 857 231,00;942 244 259,00;-43 387 028,00;-4,60
7;0;Альфа-Банк;1326;Москва и обл.;889 519 341,00;871 349 138,00;18 170 203,00;2,09
8;0;ЮниКредит Банк;1;Москва и обл.;639 540 303,00;637 312 475,00;2 227 828,00;0,35
9;0;Райффайзенбанк;3292;Москва и обл.;531 046 242,00;525 292 785,00;5 753 457,00;1,10
10;0;Промсвязьбанк;3251;Москва и обл.;516 049 471,00;500 865 840,00;15 183 631,00;3,03
11;0;Росбанк;2272;Москва и обл.;433 575 982,00;443 389 108,00;-9 813 126,00;-2,21
12;1;Банк Уралсиб;30;Москва и обл.;410 137 693,00;405 000 406,00;5 137 287,00;1,27
13;-1;Транскредитбанк;2142;Москва и обл.;391 683 229,00;411 240 572,00;-19 557 343,00;-4,76
14;0;Банк Открытие;2209;Москва и обл.;382 590 886,00;394 708 538,00;-12 117 652,00;-3,07
15;0;МДМ Банк;2562;Новосибирская обл.;380 826 192,00;389 357 357,00;-8 531 165,00;-2,19
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;295 996 422,00;294 522 002,00;1 474 420,00;0,50
17;0;Ак Барс;2590;Татарстан;265 214 634,00;265 398 529,00;-183 895,00;-0,07
18;0;Россия;328;Санкт-Петербург и обл.;264 823 723,00;263 076 609,00;1 747 114,00;0,66
19;0;Ситибанк;2557;Москва и обл.;242 133 367,00;240 270 367,00;1 863 000,00;0,78
20;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;191 006 078,00;197 624 744,00;-6 618 666,00;-3,35
21;2;Банк Зенит;3255;Москва и обл.;187 132 857,00;182 448 410,00;4 684 447,00;2,57
22;0;Возрождение;1439;Москва и обл.;185 278 851,00;184 460 176,00;818 675,00;0,44
23;1;Петрокоммерц;1776;Москва и обл.;184 905 818,00;180 621 648,00;4 284 170,00;2,37
24;2;Московский Кредитный Банк;1978;Москва и обл.;182 108 185,00;173 049 248,00;9 058 937,00;5,23
25;-4;Нордеа Банк;3016;Москва и обл.;177 402 351,00;184 654 962,00;-7 252 611,00;-3,93
26;-1;Траст;3279;Москва и обл.;169 989 537,00;178 743 454,00;-8 753 917,00;-4,90
27;0;Связь-Банк;1470;Москва и обл.;165 770 864,00;172 939 282,00;-7 168 418,00;-4,15
28;0;Русский Стандарт;2289;Москва и обл.;158 828 542,00;157 836 319,00;992 223,00;0,63
29;1;ИНГ Банк;2495;Москва и обл.;149 641 064,00;143 291 744,00;6 349 320,00;4,43
30;4;Национальный Расчетный Депозитарий;3294;Москва и обл.;143 027 695,00;122 842 823,00;20 184 872,00;16,43
31;0;Банк «Открытие»;2179;Москва и обл.;138 091 440,00;136 178 169,00;1 913 271,00;1,40
32;1;Глобэкс;1942;Москва и обл.;136 209 439,00;126 156 611,00;10 052 828,00;7,97
33;-4;Банк Сосьете Женераль Восток;2295;Москва и обл.;134 570 633,00;154 497 616,00;-19 926 983,00;-12,90
34;-2;МТС Банк;2268;Москва и обл.;129 708 944,00;131 780 805,00;-2 071 861,00;-1,57
35;0;Хоум Кредит Банк;316;Москва и обл.;122 906 342,00;120 674 970,00;2 231 372,00;1,85
36;0;Московский Индустриальный Банк;912;Москва и обл.;122 289 549,00;118 526 356,00;3 763 193,00;3,17
37;2;Национальный Клиринговый Центр;3466;Москва и обл.;113 072 692,00;109 729 554,00;3 343 138,00;3,05
38;-1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;109 980 496,00;115 741 717,00;-5 761 221,00;-4,98
39;1;Восточный Банк;1460;Амурская обл.;109 788 774,00;106 934 600,00;2 854 174,00;2,67
40;-2;Абсолют Банк;2306;Москва и обл.;105 822 104,00;112 453 565,00;-6 631 461,00;-5,90
41;0;ОТП Банк;2766;Москва и обл.;105 816 246,00;106 451 488,00;-635 242,00;-0,60
42;0;Бинбанк;323;Москва и обл.;100 955 724,00;102 345 705,00;-1 389 981,00;-1,36
43;0;РГС Банк;3073;Москва и обл.;98 461 885,00;95 453 755,00;3 008 130,00;3,15
44;16;Дойче Банк;3328;Москва и обл.;96 933 507,00;69 215 916,00;27 717 591,00;40,05
45;-1;Русфинанс Банк;1792;Самарская обл.;91 219 246,00;93 199 100,00;-1 979 854,00;-2,12
46;-1;МСП Банк;3340;Москва и обл.;90 621 310,00;86 991 693,00;3 629 617,00;4,17
47;2;Кредит Европа Банк;3311;Москва и обл.;89 618 580,00;82 798 093,00;6 820 487,00;8,24
48;-1;Банк Интеза;2216;Москва и обл.;88 442 686,00;83 750 970,00;4 691 716,00;5,60
49;-1;Транскапиталбанк;2210;Москва и обл.;88 221 403,00;83 645 001,00;4 576 402,00;5,47
50;-4;Юниаструм Банк;2771;Москва и обл.;85 248 078,00;86 012 162,00;-764 084,00;-0,89
51;-1;СКБ-Банк;705;Свердловская обл.;83 699 910,00;81 727 070,00;1 972 840,00;2,41
52;2;БНП Париба Банк;3407;Москва и обл.;81 276 251,00;72 600 939,00;8 675 312,00;11,95
53;-2;Пробизнесбанк;2412;Москва и обл.;79 973 393,00;80 325 508,00;-352 115,00;-0,44
54;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;77 842 950,00;74 389 462,00;3 453 488,00;4,64
55;2;Инвестторгбанк;2763;Москва и обл.;76 395 939,00;71 545 446,00;4 850 493,00;6,78
56;-4;Союз;2307;Москва и обл.;75 240 688,00;75 754 483,00;-513 795,00;-0,68
57;-2;Балтийский Банк;128;Москва и обл.;73 549 728,00;72 549 445,00;1 000 283,00;1,38
58;-2;РосЕвроБанк;3137;Москва и обл.;72 894 695,00;72 260 337,00;634 358,00;0,88
59;0;Внешпромбанк;3261;Москва и обл.;70 718 533,00;69 338 303,00;1 380 230,00;1,99
60;-2;Мастер-Банк;2176;Москва и обл.;69 502 108,00;69 521 961,00;-19 853,00;-0,03
61;0;Новикомбанк;2546;Москва и обл.;67 538 107,00;68 267 987,00;-729 880,00;-1,07
62;0;Собинбанк;1317;Москва и обл.;67 115 941,00;67 612 092,00;-496 151,00;-0,73
63;1;Татфондбанк;3058;Татарстан;66 839 460,00;64 655 343,00;2 184 117,00;3,38
64;1;Еврофинанс Моснарбанк;2402;Москва и обл.;64 220 605,00;63 172 914,00;1 047 691,00;1,66
65;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;62 947 290,00;62 434 302,00;512 988,00;0,82
66;-3;ЦентроКредит;121;Москва и обл.;62 645 223,00;67 280 558,00;-4 635 335,00;-6,89
67;0;СМП Банк;3368;Москва и обл.;62 387 567,00;61 746 248,00;641 319,00;1,04
68;1;Запсибкомбанк;918;Тюменская обл.;61 461 157,00;60 360 395,00;1 100 762,00;1,82
69;1;Авангард;2879;Москва и обл.;59 225 359,00;58 648 775,00;576 584,00;0,98
70;-2;Национальный Резервный Банк;2170;Москва и обл.;58 684 336,00;61 495 224,00;-2 810 888,00;-4,57
71;10;Сургутнефтегазбанк;588;Тюменская обл.;54 521 989,00;48 130 138,00;6 391 851,00;13,28
72;0;Локо-Банк;2707;Москва и обл.;54 150 595,00;52 943 186,00;1 207 409,00;2,28
73;-2;ДельтаКредит;3338;Москва и обл.;52 812 493,00;53 343 126,00;-530 633,00;-0,99
74;4;Экспо Финанс;2594;Москва и обл.;52 794 047,00;50 498 405,00;2 295 642,00;4,55
75;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;51 911 823,00;51 266 801,00;645 022,00;1,26
