Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2013, тыс. рублей;Март, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
24;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;276 760 494,00;279 758 750,00;-2 998 256,00;-1,07
25;2;Восточный Банк;1460;Амурская обл.;241 123 179,00;236 947 945,00;4 175 234,00;1,76
26;5;Национальный Клиринговый Центр;3466;Москва и обл.;236 628 386,00;204 291 171,00;32 337 215,00;15,83
27;3;Глобэкс;1942;Москва и обл.;235 776 390,00;222 651 972,00;13 124 418,00;5,89
28;-3;Петрокоммерц;1776;Москва и обл.;235 748 672,00;240 913 567,00;-5 164 895,00;-2,14
29;-1;Банк Зенит;3255;Москва и обл.;231 225 167,00;228 815 927,00;2 409 240,00;1,05
30;-1;Возрождение;1439;Москва и обл.;223 149 051,00;222 716 550,00;432 501,00;0,19
31;-5;Нордеа Банк;3016;Москва и обл.;222 955 801,00;237 059 307,00;-14 103 506,00;-5,95
32;1;ИНГ Банк;2495;Москва и обл.;204 353 639,00;189 737 838,00;14 615 801,00;7,70
33;-1;Банк «Открытие»;2179;Москва и обл.;192 209 175,00;194 509 102,00;-2 299 927,00;-1,18
34;0;Траст;3279;Москва и обл.;189 991 200,00;181 365 735,00;8 625 465,00;4,76
35;0;Московский Индустриальный Банк;912;Москва и обл.;174 558 952,00;172 651 394,00;1 907 558,00;1,10
36;2;Бинбанк;323;Москва и обл.;168 407 640,00;161 440 759,00;6 966 881,00;4,32
37;-1;ОТП Банк;2766;Москва и обл.;166 321 206,00;166 179 262,00;141 944,00;0,09
38;-1;МТС Банк;2268;Москва и обл.;162 145 539,00;163 299 073,00;-1 153 534,00;-0,71
39;0;Дойче Банк;3328;Москва и обл.;159 715 975,00;156 023 468,00;3 692 507,00;2,37
40;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;155 052 256,00;145 577 730,00;9 474 526,00;6,51
41;0;СМП Банк;3368;Москва и обл.;138 748 140,00;138 747 199,00;941,00;0,00
42;0;СКБ-Банк;705;Свердловская обл.;130 814 443,00;132 089 050,00;-1 274 607,00;-0,96
43;2;Транскапиталбанк;2210;Москва и обл.;129 079 534,00;123 086 264,00;5 993 270,00;4,87
44;-1;Новикомбанк;2546;Москва и обл.;128 596 444,00;127 022 808,00;1 573 636,00;1,24
45;1;Кредит Европа Банк;3311;Москва и обл.;127 074 469,00;122 460 548,00;4 613 921,00;3,77
46;1;Внешпромбанк;3261;Москва и обл.;126 649 957,00;120 637 697,00;6 012 260,00;4,98
47;-3;Национальный Расчетный Депозитарий;3294;Москва и обл.;120 852 559,00;123 421 357,00;-2 568 798,00;-2,08
48;8;РГС Банк;3073;Москва и обл.;118 335 831,00;102 726 103,00;15 609 728,00;15,20
49;1;Инвестторгбанк;2763;Москва и обл.;117 077 020,00;111 037 702,00;6 039 318,00;5,44
50;4;Абсолют Банк;2306;Москва и обл.;116 773 803,00;105 423 556,00;11 350 247,00;10,77
51;-2;МСП Банк;3340;Москва и обл.;116 023 620,00;114 711 627,00;1 311 993,00;1,14
52;-4;РосЕвроБанк;3137;Москва и обл.;115 905 771,00;115 366 928,00;538 843,00;0,47
53;0;Татфондбанк;3058;Татарстан;110 977 179,00;107 209 299,00;3 767 880,00;3,51
54;-2;Авангард;2879;Москва и обл.;109 784 398,00;107 461 765,00;2 322 633,00;2,16
55;8;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;108 318 292,00;86 907 149,00;21 411 143,00;24,64
56;-5;Пробизнесбанк;2412;Москва и обл.;108 193 991,00;109 892 581,00;-1 698 590,00;-1,55
57;-2;Русфинанс Банк;1792;Самарская обл.;105 458 401,00;103 382 411,00;2 075 990,00;2,01
58;-1;Совкомбанк;963;Костромская обл.;105 219 648,00;101 851 639,00;3 368 009,00;3,31
59;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;98 299 039,00;98 023 042,00;275 997,00;0,28
60;-1;Банк ДОМ.РФ;2312;Москва и обл.;91 246 145,00;97 073 106,00;-5 826 961,00;-6,00
61;-1;Ренессанс Кредит;3354;Москва и обл.;89 155 574,00;94 165 620,00;-5 010 046,00;-5,32
62;5;Тинькофф Банк;2673;Москва и обл.;87 922 763,00;84 479 601,00;3 443 162,00;4,08
63;17;Всероссийский Банк Развития Регионов;3287;Москва и обл.;86 757 728,00;71 324 189,00;15 433 539,00;21,64
64;-2;БНП Париба Банк;3407;Москва и обл.;85 783 929,00;88 782 739,00;-2 998 810,00;-3,38
65;5;Пересвет;2110;Москва и обл.;85 783 305,00;83 326 121,00;2 457 184,00;2,95
66;-2;Запсибкомбанк;918;Тюменская обл.;85 154 073,00;85 681 683,00;-527 610,00;-0,62
67;6;Союз;2307;Москва и обл.;85 041 583,00;80 469 928,00;4 571 655,00;5,68
68;-3;ЦентроКредит;121;Москва и обл.;84 032 505,00;85 004 675,00;-972 170,00;-1,14
69;-1;Балтийский Банк;128;Москва и обл.;83 559 231,00;83 869 549,00;-310 318,00;-0,37
70;2;ДельтаКредит;3338;Москва и обл.;82 113 032,00;81 761 446,00;351 586,00;0,43
71;-2;Банк Интеза;2216;Москва и обл.;79 721 728,00;83 627 463,00;-3 905 735,00;-4,67
72;7;Банк Кредит Свисс;2494;Москва и обл.;79 641 498,00;71 638 862,00;8 002 636,00;11,17
73;-7;Юниаструм Банк;2771;Москва и обл.;79 001 381,00;84 531 194,00;-5 529 813,00;-6,54
74;1;Мастер-Банк;2176;Москва и обл.;78 577 852,00;78 665 334,00;-87 482,00;-0,11
75;-1;Связной Банк;1961;Москва и обл.;77 724 003,00;79 662 320,00;-1 938 317,00;-2,43
76;-5;Нота-Банк;2913;Москва и обл.;77 345 964,00;82 509 605,00;-5 163 641,00;-6,26
77;0;Локо-Банк;2707;Москва и обл.;73 353 128,00;73 619 033,00;-265 905,00;-0,36
78;4;Центр-инвест;2225;Ростовская обл.;69 236 800,00;65 209 549,00;4 027 251,00;6,18
79;4;Банк БФА;3038;Санкт-Петербург и обл.;68 355 758,00;65 082 831,00;3 272 927,00;5,03
80;-2;Собинбанк;1317;Москва и обл.;67 469 714,00;72 563 006,00;-5 093 292,00;-7,02
81;-20;Еврофинанс Моснарбанк;2402;Москва и обл.;67 400 879,00;90 907 587,00;-23 506 708,00;-25,86
82;-1;Роскосмосбанк;2989;Москва и обл.;66 014 046,00;66 854 998,00;-840 952,00;-1,26
83;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;63 128 082,00;63 819 982,00;-691 900,00;-1,08
84;-8;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;60 879 250,00;74 207 763,00;-13 328 513,00;-17,96
85;4;Инвестбанк;107;Москва и обл.;60 029 658,00;57 867 645,00;2 162 013,00;3,74
86;-1;Металлинвестбанк;2440;Москва и обл.;59 515 916,00;59 962 619,00;-446 703,00;-0,74
87;1;Первобанк;3461;Самарская обл.;58 846 080,00;58 477 125,00;368 955,00;0,63
88;2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;55 802 563,00;55 675 853,00;126 710,00;0,23
89;3;СБ Банк (Судостроительный банк);2999;Москва и обл.;54 686 330,00;53 746 320,00;940 010,00;1,75
90;-3;Сургутнефтегазбанк;588;Тюменская обл.;54 433 963,00;59 511 976,00;-5 078 013,00;-8,53
91;2;Бинбанк Диджитал;2827;Москва и обл.;52 773 005,00;51 330 938,00;1 442 067,00;2,81
92;2;Международный Финансовый Клуб;2618;Москва и обл.;52 463 513,00;49 938 427,00;2 525 086,00;5,06
93;-2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;49 521 604,00;55 362 221,00;-5 840 617,00;-10,55
94;8;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;48 020 575,00;42 135 594,00;5 884 981,00;13,97
95;-9;Экспо Финанс;2594;Москва и обл.;47 479 893,00;59 641 936,00;-12 162 043,00;-20,39
96;1;Московский Областной Банк;1751;Москва и обл.;46 344 107,00;45 756 767,00;587 340,00;1,28
97;-1;Интеркоммерц Банк;1657;Москва и обл.;46 063 051,00;47 581 182,00;-1 518 131,00;-3,19
98;-3;Национальный Стандарт;3421;Москва и обл.;44 864 243,00;49 003 635,00;-4 139 392,00;-8,45
99;4;Тойота Банк;3470;Москва и обл.;44 612 855,00;41 384 264,00;3 228 591,00;7,80
100;-1;Экспресс-Волга;3085;Саратовская обл.;44 176 147,00;44 053 681,00;122 466,00;0,28
101;-1;Кубань Кредит;2518;Краснодарский край;43 845 513,00;43 116 869,00;728 644,00;1,69
102;-4;Таврический Банк;2304;Санкт-Петербург и обл.;43 416 765,00;45 146 201,00;-1 729 436,00;-3,83
103;14;Российский Кредит;324;Москва и обл.;40 402 973,00;32 492 453,00;7 910 520,00;24,35
104;0;НС Банк;3124;Москва и обл.;40 342 680,00;39 921 096,00;421 584,00;1,06
105;0;Межтопэнергобанк;2956;Москва и обл.;40 160 752,00;39 445 981,00;714 771,00;1,81
106;0;Народный Кредит;2401;Москва и обл.;40 151 912,00;39 343 425,00;808 487,00;2,05
107;1;Примсоцбанк;2733;Приморский край;37 403 417,00;36 300 172,00;1 103 245,00;3,04
108;7;Фора-Банк;1885;Москва и обл.;36 174 124,00;32 714 525,00;3 459 599,00;10,58
109;-2;Кольцо Урала;65;Свердловская обл.;35 907 343,00;36 309 525,00;-402 182,00;-1,11
110;0;Челябинвестбанк;493;Челябинская обл.;34 526 172,00;34 164 671,00;361 501,00;1,06
111;5;Меткомбанк (Череповец);901;Вологодская обл.;34 516 387,00;32 690 680,00;1 825 707,00;5,58
112;-3;Челиндбанк;485;Челябинская обл.;34 468 392,00;34 458 545,00;9 847,00;0,03
113;-1;СДМ-Банк;1637;Москва и обл.;34 354 912,00;33 750 546,00;604 366,00;1,79
114;20;Экспобанк;2998;Москва и обл.;34 121 098,00;28 498 923,00;5 622 175,00;19,73
115;-2;Смоленский Банк;2029;Смоленская обл.;34 053 191,00;33 385 392,00;667 799,00;2,00
116;-5;Саровбизнесбанк;2048;Нижегородская обл.;33 923 829,00;34 023 693,00;-99 864,00;-0,29
117;-3;Левобережный;1343;Новосибирская обл.;33 419 287,00;32 750 857,00;668 430,00;2,04
118;1;Первый Республиканский Банк;1730;Москва и обл.;32 965 189,00;31 951 192,00;1 013 997,00;3,17
119;1;Крайинвестбанк;3360;Краснодарский край;32 465 541,00;31 732 123,00;733 418,00;2,31
120;-2;Русский Международный Банк;3123;Москва и обл.;32 384 841,00;32 472 137,00;-87 296,00;-0,27
121;0;Кедр;1574;Москва и обл.;31 484 134,00;31 139 750,00;344 384,00;1,11
122;-21;Коммерцбанк (Евразия);3333;Москва и обл.;31 288 062,00;42 549 921,00;-11 261 859,00;-26,47
123;4;Сетелем Банк;2168;Москва и обл.;30 767 341,00;30 334 662,00;432 679,00;1,43
124;5;Росэнергобанк;2211;Москва и обл.;30 647 636,00;29 602 799,00;1 044 837,00;3,53
125;1;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;30 187 658,00;30 389 357,00;-201 699,00;-0,66
126;-3;Дальневосточный Банк;843;Приморский край;30 120 477,00;30 844 813,00;-724 336,00;-2,35
127;-2;Интерпромбанк;3266;Москва и обл.;29 370 159,00;30 515 929,00;-1 145 770,00;-3,75
128;2;Газбанк;2316;Самарская обл.;29 314 445,00;29 510 941,00;-196 496,00;-0,67
129;-7;Национальный Резервный Банк;2170;Москва и обл.;29 281 699,00;30 902 008,00;-1 620 309,00;-5,24
130;6;Рост;2589;Москва и обл.;29 276 492,00;27 949 394,00;1 327 098,00;4,75
131;-7;Мой Банк;2939;Москва и обл.;29 223 359,00;30 574 055,00;-1 350 696,00;-4,42
132;-4;БФГ-Кредит;3068;Москва и обл.;29 213 374,00;30 007 668,00;-794 294,00;-2,65
133;0;АМБ Банк;3036;Москва и обл.;28 920 755,00;28 515 276,00;405 479,00;1,42
134;-3;Пушкино;391;Москва и обл.;28 839 698,00;28 725 977,00;113 721,00;0,40
135;2;Агропромкредит;2880;Москва и обл.;28 707 254,00;27 020 707,00;1 686 547,00;6,24
136;-4;Банк АВБ;23;Самарская обл.;28 459 996,00;28 569 254,00;-109 258,00;-0,38
137;-2;Севергазбанк;2816;Вологодская обл.;28 259 187,00;28 321 869,00;-62 682,00;-0,22
138;1;Липецккомбанк;1242;Липецкая обл.;28 176 481,00;26 850 856,00;1 325 625,00;4,94
139;4;Банк «Советский»;558;Санкт-Петербург и обл.;27 258 918,00;25 843 402,00;1 415 516,00;5,48
140;-2;МБА-Москва;3395;Москва и обл.;27 007 525,00;26 965 770,00;41 755,00;0,15
141;0;РосинтерБанк;226;Москва и обл.;26 600 930,00;26 377 065,00;223 865,00;0,85
142;-2;М2М Прайвет Банк;1414;Москва и обл.;26 290 902,00;26 511 802,00;-220 900,00;-0,83
143;1;Интерпрогрессбанк;600;Москва и обл.;26 155 738,00;25 775 204,00;380 534,00;1,48
144;1;Банк Проектного Финансирования;1677;Москва и обл.;25 571 689,00;25 654 507,00;-82 818,00;-0,32
145;3;Акибанк;2587;Татарстан;25 558 661,00;25 138 484,00;420 177,00;1,67
146;-4;Кредит Урал Банк;2584;Челябинская обл.;25 289 419,00;26 312 848,00;-1 023 429,00;-3,89
147;14;Мосстройэкономбанк (М Банк);948;Москва и обл.;24 641 799,00;22 344 174,00;2 297 625,00;10,28
148;1;Образование;1521;Москва и обл.;24 470 966,00;24 757 810,00;-286 844,00;-1,16
149;2;Девон-Кредит;1972;Татарстан;24 328 176,00;24 034 557,00;293 619,00;1,22
150;-4;БыстроБанк;1745;Удмуртия;24 246 841,00;25 396 701,00;-1 149 860,00;-4,53
151;-1;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;23 800 758,00;24 495 354,00;-694 596,00;-2,84
152;2;Русстройбанк;3205;Москва и обл.;23 788 129,00;23 155 556,00;632 573,00;2,73
153;0;Стройкредит;18;Москва и обл.;23 497 322,00;23 199 838,00;297 484,00;1,28
154;2;БМВ Банк;3482;Москва и обл.;23 355 793,00;22 971 027,00;384 766,00;1,68
155;2;Солидарность;554;Самарская обл.;23 218 021,00;22 459 898,00;758 123,00;3,38
156;-4;ГПБ-Ипотека;2403;Москва и обл.;23 124 803,00;23 275 286,00;-150 483,00;-0,65
157;-10;Приморье;3001;Приморский край;22 625 838,00;25 204 421,00;-2 578 583,00;-10,23
158;-3;Европейский Трастовый Банк;2968;Москва и обл.;22 577 359,00;23 007 332,00;-429 973,00;-1,87
159;0;Модульбанк;1927;Костромская обл.;22 369 406,00;22 384 522,00;-15 116,00;-0,07
160;-2;ПЧРБ Банк;3291;Москва и обл.;22 229 495,00;22 449 318,00;-219 823,00;-0,98
161;1;Москоммерцбанк;3365;Москва и обл.;22 220 549,00;22 082 669,00;137 880,00;0,62
162;4;Урал ФД;249;Пермская обл.;21 391 833,00;21 111 202,00;280 631,00;1,33
163;0;Альта-Банк;2269;Москва и обл.;21 325 083,00;22 049 184,00;-724 101,00;-3,28
164;4;Натиксис Банк;3390;Москва и обл.;21 275 525,00;20 868 169,00;407 356,00;1,95
165;-5;Аверс;415;Татарстан;21 192 848,00;22 355 314,00;-1 162 466,00;-5,20
166;-1;ФИА-Банк;2542;Самарская обл.;21 043 568,00;21 347 022,00;-303 454,00;-1,42
167;7;Фольксваген Банк Рус;3500;Москва и обл.;20 792 062,00;19 668 186,00;1 123 876,00;5,71
168;2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;20 317 666,00;20 229 655,00;88 011,00;0,44
169;0;С банк;2581;Москва и обл.;20 305 957,00;20 788 554,00;-482 597,00;-2,32
170;-6;ББР Банк;2929;Москва и обл.;20 225 401,00;21 875 352,00;-1 649 951,00;-7,54
171;-4;Тимер Банк;1581;Татарстан;20 167 832,00;20 871 719,00;-703 887,00;-3,37
172;-1;Финпромбанк (ФПБ Банк);2157;Москва и обл.;20 041 731,00;19 938 108,00;103 623,00;0,52
173;2;Огни Москвы;2328;Москва и обл.;19 929 707,00;19 448 292,00;481 415,00;2,48
174;2;Пойдем!;2534;Москва и обл.;19 465 810,00;19 186 927,00;278 883,00;1,45
175;-3;НОМОС-Региобанк;539;Хабаровский край;19 237 469,00;19 805 384,00;-567 915,00;-2,87
176;-3;Спурт Банк;2207;Татарстан;19 140 634,00;19 694 730,00;-554 096,00;-2,81
177;0;Рост Банк;2888;Татарстан;18 971 547,00;18 844 525,00;127 022,00;0,67
178;10;Интехбанк;2705;Татарстан;18 962 182,00;17 282 648,00;1 679 534,00;9,72
179;2;Легион;3117;Москва и обл.;18 772 677,00;17 517 401,00;1 255 276,00;7,17
180;5;Военно-Промышленный Банк;3065;Москва и обл.;18 617 325,00;17 337 165,00;1 280 160,00;7,38
181;-3;Сведбанк;3064;Москва и обл.;18 605 838,00;18 208 938,00;396 900,00;2,18
182;2;БКС Банк;101;Новосибирская обл.;18 559 362,00;17 358 166,00;1 201 196,00;6,92
183;-3;Уралтрансбанк;812;Свердловская обл.;17 947 644,00;18 017 579,00;-69 935,00;-0,39
184;-2;МАСТ-Банк;3267;Москва и обл.;17 924 887,00;17 498 584,00;426 303,00;2,44
185;-6;Инвесткапиталбанк;2377;Башкортостан;17 576 923,00;18 083 970,00;-507 047,00;-2,80
186;-3;Фининвест;671;Санкт-Петербург и обл.;17 470 948,00;17 468 978,00;1 970,00;0,01
187;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;17 286 029,00;17 308 406,00;-22 377,00;-0,13
188;7;Балтика;967;Санкт-Петербург и обл.;17 067 617,00;16 287 744,00;779 873,00;4,79
189;3;Энергобанк;67;Татарстан;17 014 497,00;16 856 528,00;157 969,00;0,94
190;1;Первомайский;518;Краснодарский край;17 000 342,00;16 882 765,00;117 577,00;0,70
191;2;Норвик Банк;902;Кировская обл.;16 998 016,00;16 636 618,00;361 398,00;2,17
192;-3;Алмазэргиэнбанк;2602;Саха (Якутия);16 981 906,00;17 269 663,00;-287 757,00;-1,67
193;-3;Форштадт;2208;Оренбургская обл.;16 980 070,00;16 954 262,00;25 808,00;0,15
194;2;Западный;2598;Москва и обл.;16 891 616,00;16 192 948,00;698 668,00;4,31
195;11;Тольяттихимбанк;2507;Самарская обл.;16 867 331,00;15 467 056,00;1 400 275,00;9,05
196;29;Югра;880;Тюменская обл.;16 642 223,00;12 992 744,00;3 649 479,00;28,09
197;6;АктивКапитал Банк;3006;Самарская обл.;16 596 521,00;15 649 146,00;947 375,00;6,05
198;-12;Развитие-Столица;3013;Москва и обл.;16 468 967,00;17 312 675,00;-843 708,00;-4,87
199;-5;Газэнергобанк;3252;Калужская обл.;16 409 198,00;16 465 947,00;-56 749,00;-0,34
200;-3;Эллипс Банк;1950;Нижегородская обл.;16 332 705,00;16 131 487,00;201 218,00;1,25
201;4;Александровский;53;Санкт-Петербург и обл.;16 197 605,00;15 485 865,00;711 740,00;4,60
202;-4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;16 096 755,00;16 119 069,00;-22 314,00;-0,14
203;-4;Морской Банк;77;Москва и обл.;15 989 441,00;16 032 566,00;-43 125,00;-0,27
204;-4;НБД-Банк;1966;Нижегородская обл.;15 768 120,00;15 725 548,00;42 572,00;0,27
205;2;Аресбанк;2914;Москва и обл.;15 688 150,00;15 292 818,00;395 332,00;2,59
206;-4;Курскпромбанк;735;Курская обл.;15 684 381,00;15 657 033,00;27 348,00;0,17
207;-3;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;15 609 637,00;15 634 100,00;-24 463,00;-0,16
208;9;Энергомашбанк;52;Санкт-Петербург и обл.;15 347 897,00;14 485 024,00;862 873,00;5,96
209;5;Держава;2738;Москва и обл.;15 211 532,00;14 646 671,00;564 861,00;3,86
210;-2;Ланта-Банк;1920;Москва и обл.;15 140 070,00;15 157 878,00;-17 808,00;-0,12
211;-10;Энерготрансбанк;1307;Калининградская обл.;15 132 951,00;15 680 338,00;-547 387,00;-3,49
212;-3;Алеф-Банк;2119;Москва и обл.;15 127 843,00;14 968 459,00;159 384,00;1,06
213;-2;ВУЗ-Банк;1557;Свердловская обл.;15 126 722,00;14 790 215,00;336 507,00;2,28
214;7;Расчетно-Кредитный Банк;103;Москва и обл.;14 895 003,00;13 302 798,00;1 592 205,00;11,97
215;-3;Гута-Банк;256;Москва и обл.;14 850 031,00;14 688 934,00;161 097,00;1,10
216;-1;СтарБанк;548;Москва и обл.;14 649 524,00;14 646 643,00;2 881,00;0,02
217;-4;АйМаниБанк;1975;Москва и обл.;14 636 461,00;14 679 003,00;-42 542,00;-0,29
218;6;Нацинвестпромбанк;3077;Москва и обл.;14 627 640,00;13 093 746,00;1 533 894,00;11,71
219;-3;Банк ПСА Финанс Рус;3481;Москва и обл.;14 502 128,00;14 495 180,00;6 948,00;0,05
220;-10;Квантмобайл Банк;1189;Омская обл.;14 192 915,00;14 895 092,00;-702 177,00;-4,71
221;1;Хлынов;254;Кировская обл.;13 616 823,00;13 281 225,00;335 598,00;2,53
222;14;Национальная Факторинговая Компания;3437;Москва и обл.;13 556 479,00;11 714 489,00;1 841 990,00;15,72
223;-3;ТЭМБР-Банк;2764;Москва и обл.;13 555 186,00;13 312 068,00;243 118,00;1,83
224;9;СИАБ;3245;Санкт-Петербург и обл.;13 438 605,00;12 336 752,00;1 101 853,00;8,93
225;192;Ю Би Эс Банк;3463;Москва и обл.;13 272 903,00;4 384 196,00;8 888 707,00;202,74
226;5;РосДорБанк;1573;Москва и обл.;13 263 180,00;12 561 701,00;701 479,00;5,58
227;40;Экопромбанк;2011;Пермская обл.;13 077 247,00;9 911 660,00;3 165 587,00;31,94
228;-5;Интрастбанк;3144;Москва и обл.;13 060 922,00;13 247 237,00;-186 315,00;-1,41
229;-1;Миллениум Банк;3423;Москва и обл.;13 017 922,00;12 728 029,00;289 893,00;2,28
230;-11;Центркомбанк;2983;Москва и обл.;12 961 915,00;13 364 312,00;-402 397,00;-3,01
231;-13;Национальный Банк Развития Бизнеса;2795;Москва и обл.;12 949 031,00;13 371 947,00;-422 916,00;-3,16
232;-5;Московское Ипотечное Агентство;3344;Москва и обл.;12 921 250,00;12 818 136,00;103 114,00;0,80
233;4;Платежный Центр;3166;Новосибирская обл.;12 885 863,00;11 696 916,00;1 188 947,00;10,16
234;-5;Гаранти Банк — Москва;3275;Москва и обл.;12 737 092,00;12 696 530,00;40 562,00;0,32
235;-5;АйСиБиСи Банк;3475;Москва и обл.;12 638 030,00;12 651 442,00;-13 412,00;-0,11
236;-10;Гранд Инвест Банк;3053;Москва и обл.;12 629 827,00;12 880 723,00;-250 896,00;-1,95
237;-3;Рублев;3098;Москва и обл.;12 341 064,00;12 204 128,00;136 936,00;1,12
238;0;Транснациональный Банк;2108;Москва и обл.;12 290 937,00;11 599 469,00;691 468,00;5,96
239;7;МАК-Банк;1088;Москва и обл.;12 200 632,00;11 031 313,00;1 169 319,00;10,60
240;-5;Банк Расчетов и Сбережений;2617;Москва и обл.;12 049 340,00;11 778 175,00;271 165,00;2,30
241;-1;Солидарность (Москва);1555;Москва и обл.;11 834 911,00;11 367 838,00;467 073,00;4,11
242;1;Банк24.ру;2227;Свердловская обл.;11 689 255,00;11 141 844,00;547 411,00;4,91
243;2;Банк Город;2644;Москва и обл.;11 595 766,00;11 041 899,00;553 867,00;5,02
244;-5;Русский Ипотечный Банк;1968;Москва и обл.;11 328 918,00;11 384 210,00;-55 292,00;-0,49
245;2;Денизбанк Москва;3330;Москва и обл.;11 280 606,00;10 855 298,00;425 308,00;3,92
246;17;Адмиралтейский;3054;Москва и обл.;11 201 202,00;10 033 006,00;1 168 196,00;11,64
247;-3;Экономбанк;1319;Саратовская обл.;11 155 625,00;11 097 515,00;58 110,00;0,52
248;5;НК Банк;2755;Москва и обл.;11 037 794,00;10 511 014,00;526 780,00;5,01
249;11;Метробанк;2548;Москва и обл.;11 034 323,00;10 058 474,00;975 849,00;9,70
250;16;Транспортный;3174;Москва и обл.;10 952 017,00;9 919 047,00;1 032 970,00;10,41
251;-10;Руснарбанк;3403;Москва и обл.;10 908 514,00;11 312 354,00;-403 840,00;-3,57
252;-4;Банк Акцепт;567;Новосибирская обл.;10 727 201,00;10 853 045,00;-125 844,00;-1,16
253;-2;Прио-Внешторгбанк;212;Рязанская обл.;10 667 900,00;10 646 529,00;21 371,00;0,20
254;-22;Мир Бизнес Банк;3396;Москва и обл.;10 577 680,00;12 544 230,00;-1 966 550,00;-15,68
255;-6;РусЮгбанк;2093;Волгоградская обл.;10 567 544,00;10 829 425,00;-261 881,00;-2,42
256;-2;ОФК Банк;2270;Москва и обл.;10 554 703,00;10 498 297,00;56 406,00;0,54
257;-7;Европейский;1616;Калининградская обл.;10 464 491,00;10 817 753,00;-353 262,00;-3,27
258;10;Международный Акционерный Банк;1987;Москва и обл.;10 373 793,00;9 863 868,00;509 925,00;5,17
259;-7;Росавтобанк;2767;Москва и обл.;10 359 988,00;10 590 493,00;-230 505,00;-2,18
