Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2013, тыс. рублей;Март, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;13 951 006 123,00;13 987 430 215,00;-36 424 092,00;-0,26
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 441 728 272,00;4 463 599 728,00;-21 871 456,00;-0,49
3;0;Газпромбанк;354;Москва и обл.;3 229 411 196,00;2 844 414 931,00;384 996 265,00;13,54
4;0;Россельхозбанк;3349;Москва и обл.;1 676 448 898,00;1 685 785 217,00;-9 336 319,00;-0,55
5;0;ВТБ 24;1623;Москва и обл.;1 605 561 991,00;1 543 242 683,00;62 319 308,00;4,04
6;0;БМ-Банк;2748;Москва и обл.;1 527 365 808,00;1 468 055 325,00;59 310 483,00;4,04
7;0;Альфа-Банк;1326;Москва и обл.;1 341 169 396,00;1 315 389 329,00;25 780 067,00;1,96
8;0;ЮниКредит Банк;1;Москва и обл.;777 744 489,00;800 735 164,00;-22 990 675,00;-2,87
9;0;Росбанк;2272;Москва и обл.;731 323 973,00;733 592 438,00;-2 268 465,00;-0,31
10;1;Банк Открытие;2209;Москва и обл.;697 020 928,00;640 508 041,00;56 512 887,00;8,82
11;-1;Промсвязьбанк;3251;Москва и обл.;693 222 030,00;668 779 158,00;24 442 872,00;3,65
12;0;Райффайзенбанк;3292;Москва и обл.;647 758 659,00;619 979 213,00;27 779 446,00;4,48
13;1;Банк Уралсиб;30;Москва и обл.;434 681 883,00;427 971 491,00;6 710 392,00;1,57
14;-1;Транскредитбанк;2142;Москва и обл.;424 268 961,00;490 934 042,00;-66 665 081,00;-13,58
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;371 586 471,00;370 799 845,00;786 626,00;0,21
16;2;Ак Барс;2590;Татарстан;357 148 800,00;341 082 956,00;16 065 844,00;4,71
17;-1;МДМ Банк;2562;Новосибирская обл.;353 922 366,00;349 793 731,00;4 128 635,00;1,18
18;1;Русский Стандарт;2289;Москва и обл.;349 401 959,00;334 230 850,00;15 171 109,00;4,54
19;-2;Хоум Кредит Банк;316;Москва и обл.;346 372 473,00;347 707 883,00;-1 335 410,00;-0,38
20;0;Московский Кредитный Банк;1978;Москва и обл.;334 553 290,00;322 421 570,00;12 131 720,00;3,76
21;1;Ситибанк;2557;Москва и обл.;325 981 085,00;300 823 439,00;25 157 646,00;8,36
22;-1;Россия;328;Санкт-Петербург и обл.;311 860 880,00;311 052 263,00;808 617,00;0,26
23;1;Связь-Банк;1470;Москва и обл.;281 189 732,00;267 940 979,00;13 248 753,00;4,94
