Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2016, тыс. рублей;Сентябрь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 769 723 919,00;22 706 333 744,00;63 390 175,00;0,28
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 426 904 850,00;9 709 652 302,00;-282 747 452,00;-2,91
3;0;Газпромбанк;354;Москва и обл.;5 200 032 570,00;5 098 628 320,00;101 404 250,00;1,99
4;1;ВТБ 24;1623;Москва и обл.;3 214 800 742,00;3 135 856 632,00;78 944 110,00;2,52
5;-1;Банк Открытие;2209;Москва и обл.;3 159 180 195,00;3 139 555 863,00;19 624 332,00;0,63
6;0;Россельхозбанк;3349;Москва и обл.;2 778 068 101,00;2 715 947 473,00;62 120 628,00;2,29
7;0;Альфа-Банк;1326;Москва и обл.;2 305 151 731,00;2 259 355 199,00;45 796 532,00;2,03
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 952 485 449,00;1 954 430 292,00;-1 944 843,00;-0,10
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 346 169 630,00;1 287 333 439,00;58 836 191,00;4,57
10;0;Промсвязьбанк;3251;Москва и обл.;1 304 225 270,00;1 273 328 527,00;30 896 743,00;2,43
11;0;ЮниКредит Банк;1;Москва и обл.;1 276 756 418,00;1 258 177 872,00;18 578 546,00;1,48
12;0;Бинбанк;323;Москва и обл.;838 484 701,00;832 369 768,00;6 114 933,00;0,73
13;1;Росбанк;2272;Москва и обл.;826 766 602,00;824 725 495,00;2 041 107,00;0,25
14;-1;Райффайзенбанк;3292;Москва и обл.;826 761 792,00;831 986 302,00;-5 224 510,00;-0,63
15;1;Россия;328;Санкт-Петербург и обл.;716 945 803,00;663 136 384,00;53 809 419,00;8,11
16;-1;БМ-Банк;2748;Москва и обл.;686 676 414,00;689 239 853,00;-2 563 439,00;-0,37
17;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;578 327 533,00;573 794 806,00;4 532 727,00;0,79
18;-1;Рост Банк;2888;Москва и обл.;568 408 472,00;590 933 643,00;-22 525 171,00;-3,81
19;0;Совкомбанк;963;Костромская обл.;495 106 387,00;506 923 367,00;-11 816 980,00;-2,33
20;0;Русский Стандарт;2289;Москва и обл.;466 519 874,00;476 035 081,00;-9 515 207,00;-2,00
21;0;Ак Барс;2590;Татарстан;448 809 906,00;447 782 706,00;1 027 200,00;0,23
22;0;Московский Областной Банк;1751;Москва и обл.;443 004 722,00;443 823 482,00;-818 760,00;-0,18
23;0;Банк Уралсиб;30;Москва и обл.;438 817 096,00;437 073 314,00;1 743 782,00;0,40
24;0;Ситибанк;2557;Москва и обл.;438 301 360,00;428 110 377,00;10 190 983,00;2,38
25;0;Траст;3279;Москва и обл.;398 641 818,00;402 066 770,00;-3 424 952,00;-0,85
26;2;Связь-Банк;1470;Москва и обл.;345 565 164,00;338 717 377,00;6 847 787,00;2,02
27;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;342 237 922,00;341 276 671,00;961 251,00;0,28
28;1;МДМ Банк;2562;Москва и обл.;332 351 201,00;324 680 776,00;7 670 425,00;2,36
29;-2;СМП Банк;3368;Москва и обл.;332 164 443,00;341 147 529,00;-8 983 086,00;-2,63
30;0;Югра;880;Москва и обл.;316 667 196,00;315 743 336,00;923 860,00;0,29
31;0;Банк ДОМ.РФ;2312;Москва и обл.;307 599 798,00;297 753 144,00;9 846 654,00;3,31
32;2;Банк Зенит;3255;Москва и обл.;273 635 407,00;268 746 397,00;4 889 010,00;1,82
33;0;Абсолют Банк;2306;Москва и обл.;263 167 129,00;270 314 044,00;-7 146 915,00;-2,64
34;-2;Нордеа Банк;3016;Москва и обл.;259 037 070,00;283 210 201,00;-24 173 131,00;-8,54
35;0;ИНГ Банк;2495;Москва и обл.;258 560 461,00;260 126 743,00;-1 566 282,00;-0,60
36;1;Московский Индустриальный Банк;912;Москва и обл.;257 733 038,00;256 522 742,00;1 210 296,00;0,47
37;-1;Новикомбанк;2546;Москва и обл.;248 326 356,00;260 001 621,00;-11 675 265,00;-4,49
38;0;Возрождение;1439;Москва и обл.;244 563 792,00;235 445 240,00;9 118 552,00;3,87
39;0;Глобэкс;1942;Москва и обл.;232 622 408,00;224 137 850,00;8 484 558,00;3,79
40;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;231 427 382,00;217 761 839,00;13 665 543,00;6,28
41;-1;Транскапиталбанк;2210;Москва и обл.;223 090 694,00;223 206 232,00;-115 538,00;-0,05
42;-1;Хоум Кредит Банк;316;Москва и обл.;220 250 582,00;222 501 727,00;-2 251 145,00;-1,01
43;1;Татфондбанк;3058;Татарстан;218 108 358,00;214 149 556,00;3 958 802,00;1,85
44;-1;Восточный Банк;1460;Амурская обл.;207 669 783,00;214 384 015,00;-6 714 232,00;-3,13
