Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2018, тыс. рублей;Октябрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;26 895 476 961,00;26 414 629 482,00;480 847 479,00;1,82
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 693 064 420,00;13 268 297 295,00;424 767 125,00;3,20
3;0;Газпромбанк;354;Москва и обл.;6 258 997 541,00;6 091 052 001,00;167 945 540,00;2,76
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 502 174 690,00;3 348 373 131,00;153 801 559,00;4,59
5;0;Россельхозбанк;3349;Москва и обл.;3 231 289 297,00;3 184 970 680,00;46 318 617,00;1,45
6;0;Альфа-Банк;1326;Москва и обл.;3 184 931 241,00;3 158 258 596,00;26 672 645,00;0,84
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 056 598 272,00;2 037 624 558,00;18 973 714,00;0,93
8;0;Банк Открытие;2209;Москва и обл.;1 943 217 458,00;1 812 322 918,00;130 894 540,00;7,22
9;0;Промсвязьбанк;3251;Москва и обл.;1 635 152 751,00;1 521 069 032,00;114 083 719,00;7,50
10;0;Траст;3279;Москва и обл.;1 383 301 933,00;1 391 581 035,00;-8 279 102,00;-0,59
11;0;ЮниКредит Банк;1;Москва и обл.;1 291 991 536,00;1 266 703 719,00;25 287 817,00;2,00
12;0;Райффайзенбанк;3292;Москва и обл.;1 039 150 470,00;1 038 270 146,00;880 324,00;0,08
13;0;Росбанк;2272;Москва и обл.;1 013 030 253,00;996 825 990,00;16 204 263,00;1,63
14;0;Россия;328;Санкт-Петербург и обл.;887 132 488,00;888 580 413,00;-1 447 925,00;-0,16
15;0;Совкомбанк;963;Костромская обл.;787 309 592,00;769 682 162,00;17 627 430,00;2,29
16;0;Бинбанк;323;Москва и обл.;688 738 957,00;723 916 249,00;-35 177 292,00;-4,86
17;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;686 444 085,00;647 459 543,00;38 984 542,00;6,02
18;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;648 877 386,00;654 605 399,00;-5 728 013,00;-0,88
19;0;БМ-Банк;2748;Москва и обл.;631 232 249,00;632 856 410,00;-1 624 161,00;-0,26
20;0;Московский Областной Банк;1751;Москва и обл.;590 391 299,00;596 527 446,00;-6 136 147,00;-1,03
21;2;Ак Барс;2590;Татарстан;535 842 365,00;521 945 401,00;13 896 964,00;2,66
