Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2012, тыс. рублей;Февраль, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;11 275 964 869,00;11 075 914 298,00;200 050 571,00;1,81
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 869 102 788,00;4 155 105 245,00;-286 002 457,00;-6,88
3;0;Газпромбанк;354;Москва и обл.;2 397 893 076,00;2 425 908 854,00;-28 015 778,00;-1,15
4;0;Россельхозбанк;3349;Москва и обл.;1 419 037 703,00;1 439 506 752,00;-20 469 049,00;-1,42
5;0;БМ-Банк;2748;Москва и обл.;1 237 048 581,00;1 318 651 663,00;-81 603 082,00;-6,19
6;0;ВТБ 24;1623;Москва и обл.;1 171 647 355,00;1 190 668 892,00;-19 021 537,00;-1,60
7;0;Альфа-Банк;1326;Москва и обл.;948 464 882,00;966 899 116,00;-18 434 234,00;-1,91
8;0;ЮниКредит Банк;1;Москва и обл.;856 073 720,00;889 824 400,00;-33 750 680,00;-3,79
9;0;Росбанк;2272;Москва и обл.;637 175 750,00;634 707 263,00;2 468 487,00;0,39
10;0;Райффайзенбанк;3292;Москва и обл.;564 625 706,00;610 683 609,00;-46 057 903,00;-7,54
11;0;Промсвязьбанк;3251;Москва и обл.;558 313 565,00;567 356 100,00;-9 042 535,00;-1,59
12;0;Транскредитбанк;2142;Москва и обл.;495 329 110,00;481 890 351,00;13 438 759,00;2,79
13;0;Банк Открытие;2209;Москва и обл.;476 324 292,00;469 710 299,00;6 613 993,00;1,41
14;0;Банк Уралсиб;30;Москва и обл.;437 236 864,00;434 987 999,00;2 248 865,00;0,52
15;0;МДМ Банк;2562;Новосибирская обл.;354 626 360,00;355 403 153,00;-776 793,00;-0,22
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;334 193 418,00;330 892 944,00;3 300 474,00;1,00
17;2;Ситибанк;2557;Москва и обл.;304 873 725,00;296 984 842,00;7 888 883,00;2,66
18;0;Ак Барс;2590;Татарстан;300 761 206,00;297 379 507,00;3 381 699,00;1,14
19;-2;Россия;328;Санкт-Петербург и обл.;297 889 738,00;299 932 805,00;-2 043 067,00;-0,68
20;0;Нордеа Банк;3016;Москва и обл.;262 363 042,00;257 421 788,00;4 941 254,00;1,92
21;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;240 704 415,00;223 235 844,00;17 468 571,00;7,83
22;0;Московский Кредитный Банк;1978;Москва и обл.;230 384 827,00;225 352 793,00;5 032 034,00;2,23
23;1;Связь-Банк;1470;Москва и обл.;226 210 001,00;222 018 728,00;4 191 273,00;1,89
24;-3;Петрокоммерц;1776;Москва и обл.;224 988 984,00;225 411 090,00;-422 106,00;-0,19
25;0;Банк Зенит;3255;Москва и обл.;214 460 910,00;214 285 959,00;174 951,00;0,08
26;1;Русский Стандарт;2289;Москва и обл.;202 158 677,00;198 191 788,00;3 966 889,00;2,00
27;1;Глобэкс;1942;Москва и обл.;192 460 510,00;193 178 215,00;-717 705,00;-0,37
28;1;Возрождение;1439;Москва и обл.;189 795 019,00;189 329 460,00;465 559,00;0,25
29;-3;ИНГ Банк;2495;Москва и обл.;189 122 898,00;198 214 074,00;-9 091 176,00;-4,59
30;1;Хоум Кредит Банк;316;Москва и обл.;174 530 478,00;170 015 771,00;4 514 707,00;2,66
31;-1;Траст;3279;Москва и обл.;174 207 315,00;173 544 386,00;662 929,00;0,38
32;0;Банк «Открытие»;2179;Москва и обл.;163 416 718,00;159 816 100,00;3 600 618,00;2,25
33;0;Восточный Банк;1460;Амурская обл.;146 458 793,00;142 755 515,00;3 703 278,00;2,59
34;1;Московский Индустриальный Банк;912;Москва и обл.;141 755 538,00;135 966 403,00;5 789 135,00;4,26
35;-1;МТС Банк;2268;Москва и обл.;137 340 216,00;137 206 233,00;133 983,00;0,10
36;0;Бинбанк;323;Москва и обл.;128 294 346,00;126 093 776,00;2 200 570,00;1,75
37;0;ОТП Банк;2766;Москва и обл.;122 516 976,00;123 280 546,00;-763 570,00;-0,62
