Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2017, тыс. рублей;Апрель, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 317 151 661,00;22 131 462 127,00;185 689 534,00;0,84
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 393 512 797,00;9 354 825 908,00;38 686 889,00;0,41
3;0;Газпромбанк;354;Москва и обл.;5 416 844 455,00;5 504 454 162,00;-87 609 707,00;-1,59
4;0;ВТБ 24;1623;Москва и обл.;3 198 838 700,00;3 202 417 637,00;-3 578 937,00;-0,11
5;0;Россельхозбанк;3349;Москва и обл.;2 755 031 289,00;2 771 622 992,00;-16 591 703,00;-0,60
6;0;Банк Открытие;2209;Москва и обл.;2 722 761 074,00;2 744 626 085,00;-21 865 011,00;-0,80
7;1;Альфа-Банк;1326;Москва и обл.;2 472 744 597,00;2 376 707 015,00;96 037 582,00;4,04
8;-1;Национальный Клиринговый Центр;3466;Москва и обл.;2 464 362 281,00;2 677 945 551,00;-213 583 270,00;-7,98
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 330 018 139,00;1 336 606 866,00;-6 588 727,00;-0,49
10;0;Промсвязьбанк;3251;Москва и обл.;1 283 197 247,00;1 308 222 354,00;-25 025 107,00;-1,91
11;0;ЮниКредит Банк;1;Москва и обл.;1 183 841 970,00;1 217 439 339,00;-33 597 369,00;-2,76
12;0;Бинбанк;323;Москва и обл.;1 178 974 006,00;1 174 279 987,00;4 694 019,00;0,40
13;0;Райффайзенбанк;3292;Москва и обл.;805 851 182,00;809 435 992,00;-3 584 810,00;-0,44
14;1;Росбанк;2272;Москва и обл.;786 235 336,00;770 013 563,00;16 221 773,00;2,11
15;-1;Россия;328;Санкт-Петербург и обл.;780 231 463,00;771 495 451,00;8 736 012,00;1,13
16;0;Рост Банк;2888;Москва и обл.;636 980 612,00;631 930 358,00;5 050 254,00;0,80
17;0;БМ-Банк;2748;Москва и обл.;619 807 540,00;621 381 313,00;-1 573 773,00;-0,25
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;591 397 431,00;588 366 447,00;3 030 984,00;0,52
19;0;Совкомбанк;963;Костромская обл.;581 771 116,00;580 773 351,00;997 765,00;0,17
20;0;Московский Областной Банк;1751;Москва и обл.;509 698 621,00;509 073 268,00;625 353,00;0,12
21;2;Ак Барс;2590;Татарстан;464 206 520,00;456 490 580,00;7 715 940,00;1,69
22;-1;Ситибанк;2557;Москва и обл.;459 839 026,00;462 260 594,00;-2 421 568,00;-0,52
23;-1;Банк Уралсиб;30;Москва и обл.;457 018 803,00;461 434 263,00;-4 415 460,00;-0,96
24;0;Русский Стандарт;2289;Москва и обл.;397 123 696,00;399 684 321,00;-2 560 625,00;-0,64
25;0;Траст;3279;Москва и обл.;393 653 854,00;391 262 262,00;2 391 592,00;0,61
26;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;381 881 348,00;376 605 749,00;5 275 599,00;1,40
27;0;Банк ДОМ.РФ;2312;Москва и обл.;357 748 152,00;341 616 473,00;16 131 679,00;4,72
28;2;Югра;880;Москва и обл.;323 362 609,00;319 781 403,00;3 581 206,00;1,12
29;0;СМП Банк;3368;Москва и обл.;313 713 115,00;336 617 593,00;-22 904 478,00;-6,80
30;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;308 401 770,00;339 685 156,00;-31 283 386,00;-9,21
31;2;Восточный Банк;1460;Амурская обл.;276 959 290,00;269 996 728,00;6 962 562,00;2,58
32;-1;Связь-Банк;1470;Москва и обл.;275 039 403,00;279 789 312,00;-4 749 909,00;-1,70
