Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2019, тыс. рублей;Январь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;27 948 167 428,00;28 133 766 472,00;-185 599 044,00;-0,66
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 747 721 706,00;13 949 419 060,00;-201 697 354,00;-1,45
3;0;Газпромбанк;354;Москва и обл.;6 476 874 005,00;6 347 699 200,00;129 174 805,00;2,03
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 323 785 886,00;3 998 602 238,00;325 183 648,00;8,13
5;0;Россельхозбанк;3349;Москва и обл.;3 333 005 756,00;3 467 376 171,00;-134 370 415,00;-3,88
6;0;Альфа-Банк;1326;Москва и обл.;3 294 398 583,00;3 400 207 141,00;-105 808 558,00;-3,11
7;2;Банк Открытие;2209;Москва и обл.;2 163 002 502,00;1 664 824 056,00;498 178 446,00;29,92
8;-1;Московский Кредитный Банк;1978;Москва и обл.;2 145 744 916,00;2 239 299 432,00;-93 554 516,00;-4,18
9;1;Промсвязьбанк;3251;Москва и обл.;1 523 790 403,00;1 533 393 807,00;-9 603 404,00;-0,63
10;1;ЮниКредит Банк;1;Москва и обл.;1 336 921 478,00;1 410 393 753,00;-73 472 275,00;-5,21
11;1;Райффайзенбанк;3292;Москва и обл.;1 156 548 281,00;1 149 274 211,00;7 274 070,00;0,63
12;2;Росбанк;2272;Москва и обл.;1 086 951 496,00;1 099 816 864,00;-12 865 368,00;-1,17
13;-5;Траст;3279;Москва и обл.;1 054 521 066,00;1 688 889 835,00;-634 368 769,00;-37,56
14;-1;Россия;328;Санкт-Петербург и обл.;1 003 120 119,00;1 107 670 265,00;-104 550 146,00;-9,44
15;0;Совкомбанк;963;Костромская обл.;995 757 234,00;1 012 430 576,00;-16 673 342,00;-1,65
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;700 933 740,00;699 450 938,00;1 482 802,00;0,21
17;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;693 251 935,00;673 779 854,00;19 472 081,00;2,89
18;4;Ак Барс;2590;Татарстан;561 974 558,00;541 591 332,00;20 383 226,00;3,76
19;1;Банк Уралсиб;30;Москва и обл.;560 030 903,00;561 265 491,00;-1 234 588,00;-0,22
20;3;БМ-Банк;2748;Москва и обл.;546 522 255,00;532 628 343,00;13 893 912,00;2,61
21;-2;Московский Областной Банк;1751;Москва и обл.;542 167 970,00;573 779 526,00;-31 611 556,00;-5,51
22;-1;Ситибанк;2557;Москва и обл.;527 751 529,00;552 614 486,00;-24 862 957,00;-4,50
23;1;СМП Банк;3368;Москва и обл.;475 041 516,00;490 351 734,00;-15 310 218,00;-3,12
24;1;Новикомбанк;2546;Москва и обл.;432 634 056,00;435 028 159,00;-2 394 103,00;-0,55
25;1;Тинькофф Банк;2673;Москва и обл.;407 111 567,00;410 824 039,00;-3 712 472,00;-0,90
26;1;Почта Банк;650;Москва и обл.;406 875 241,00;391 286 116,00;15 589 125,00;3,98
27;1;Связь-Банк;1470;Москва и обл.;379 432 788,00;367 875 837,00;11 556 951,00;3,14
