Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2017, тыс. рублей;Декабрь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 683 024 956,00;22 606 604 681,00;76 420 275,00;0,34
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 462 035 421,00;9 959 296 564,00;-497 261 143,00;-4,99
3;0;Газпромбанк;354;Москва и обл.;5 154 059 526,00;5 267 761 099,00;-113 701 573,00;-2,16
4;0;ВТБ 24;1623;Москва и обл.;3 148 754 529,00;3 207 540 431,00;-58 785 902,00;-1,83
5;0;Банк Открытие;2209;Москва и обл.;2 817 870 773,00;2 951 554 494,00;-133 683 721,00;-4,53
6;0;Россельхозбанк;3349;Москва и обл.;2 802 482 746,00;2 760 244 338,00;42 238 408,00;1,53
7;0;Альфа-Банк;1326;Москва и обл.;2 458 447 294,00;2 341 836 861,00;116 610 433,00;4,98
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 310 056 873,00;2 039 319 172,00;270 737 701,00;13,28
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 454 783 713,00;1 363 786 529,00;90 997 184,00;6,67
10;0;Промсвязьбанк;3251;Москва и обл.;1 327 405 045,00;1 311 290 450,00;16 114 595,00;1,23
11;0;ЮниКредит Банк;1;Москва и обл.;1 213 680 015,00;1 283 127 686,00;-69 447 671,00;-5,41
12;0;Бинбанк;323;Москва и обл.;1 165 424 642,00;1 182 581 108,00;-17 156 466,00;-1,45
13;1;Росбанк;2272;Москва и обл.;793 006 467,00;783 690 300,00;9 316 167,00;1,19
14;-1;Райффайзенбанк;3292;Москва и обл.;778 648 690,00;833 285 400,00;-54 636 710,00;-6,56
15;0;Россия;328;Санкт-Петербург и обл.;753 410 260,00;736 708 248,00;16 702 012,00;2,27
16;0;БМ-Банк;2748;Москва и обл.;668 337 277,00;680 300 659,00;-11 963 382,00;-1,76
17;0;Рост Банк;2888;Москва и обл.;616 462 140,00;611 694 091,00;4 768 049,00;0,78
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;608 391 942,00;580 771 247,00;27 620 695,00;4,76
19;0;Совкомбанк;963;Костромская обл.;554 476 258,00;501 337 175,00;53 139 083,00;10,60
20;1;Ак Барс;2590;Татарстан;465 699 733,00;468 132 840,00;-2 433 107,00;-0,52
21;1;Банк Уралсиб;30;Москва и обл.;457 565 222,00;436 072 633,00;21 492 589,00;4,93
22;-2;Московский Областной Банк;1751;Москва и обл.;456 623 501,00;477 001 913,00;-20 378 412,00;-4,27
23;1;Ситибанк;2557;Москва и обл.;445 176 146,00;425 469 053,00;19 707 093,00;4,63
24;-1;Русский Стандарт;2289;Москва и обл.;425 819 027,00;433 714 418,00;-7 895 391,00;-1,82
25;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;419 525 395,00;401 873 113,00;17 652 282,00;4,39
26;0;Траст;3279;Москва и обл.;372 498 680,00;396 047 719,00;-23 549 039,00;-5,95
27;0;СМП Банк;3368;Москва и обл.;359 561 868,00;354 376 916,00;5 184 952,00;1,46
28;1;Югра;880;Москва и обл.;324 839 491,00;323 280 466,00;1 559 025,00;0,48
29;1;Банк ДОМ.РФ;2312;Москва и обл.;320 157 599,00;301 193 045,00;18 964 554,00;6,30
30;4;Всероссийский Банк Развития Регионов;3287;Москва и обл.;301 398 810,00;256 229 769,00;45 169 041,00;17,63
31;-3;Связь-Банк;1470;Москва и обл.;301 046 915,00;326 650 168,00;-25 603 253,00;-7,84
32;1;Банк Зенит;3255;Москва и обл.;270 129 983,00;262 531 783,00;7 598 200,00;2,89
33;-2;Абсолют Банк;2306;Москва и обл.;267 841 655,00;266 840 813,00;1 000 842,00;0,38
34;-2;Московский Индустриальный Банк;912;Москва и обл.;258 289 271,00;263 882 268,00;-5 592 997,00;-2,12
35;2;Возрождение;1439;Москва и обл.;254 315 386,00;242 812 689,00;11 502 697,00;4,74
36;-1;Нордеа Банк;3016;Москва и обл.;241 668 210,00;250 462 394,00;-8 794 184,00;-3,51
37;-1;Новикомбанк;2546;Москва и обл.;239 894 860,00;246 730 367,00;-6 835 507,00;-2,77
38;9;Экспресс-Волга;3085;Костромская обл.;235 757 495,00;182 376 076,00;53 381 419,00;29,27
39;1;Хоум Кредит Банк;316;Москва и обл.;220 988 410,00;220 635 904,00;352 506,00;0,16
40;1;Транскапиталбанк;2210;Москва и обл.;212 140 738,00;218 703 512,00;-6 562 774,00;-3,00
41;-2;Глобэкс;1942;Москва и обл.;206 822 444,00;226 340 287,00;-19 517 843,00;-8,62
42;-4;ИНГ Банк;2495;Москва и обл.;202 871 192,00;231 070 454,00;-28 199 262,00;-12,20
43;0;Восточный Банк;1460;Амурская обл.;198 450 353,00;190 015 493,00;8 434 860,00;4,44
44;1;Тинькофф Банк;2673;Москва и обл.;188 167 310,00;183 978 857,00;4 188 453,00;2,28
45;-1;РосЕвроБанк;3137;Москва и обл.;180 930 400,00;188 850 522,00;-7 920 122,00;-4,19
46;2;ДельтаКредит;3338;Москва и обл.;163 411 085,00;161 050 099,00;2 360 986,00;1,47
47;-1;МТС Банк;2268;Москва и обл.;160 438 153,00;182 471 468,00;-22 033 315,00;-12,07
48;6;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;155 136 343,00;131 245 016,00;23 891 327,00;18,20
49;0;РГС Банк;3073;Москва и обл.;150 077 490,00;155 932 180,00;-5 854 690,00;-3,75
50;1;Авангард;2879;Москва и обл.;149 202 588,00;143 069 749,00;6 132 839,00;4,29
51;1;ОТП Банк;2766;Москва и обл.;144 556 740,00;138 639 200,00;5 917 540,00;4,27
52;7;МСП Банк;3340;Москва и обл.;141 645 902,00;120 112 261,00;21 533 641,00;17,93
53;-3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;136 346 501,00;145 645 217,00;-9 298 716,00;-6,38
54;1;СКБ-Банк;705;Свердловская обл.;134 867 029,00;127 891 283,00;6 975 746,00;5,45
55;6;Почта Банк;650;Москва и обл.;131 590 327,00;118 796 367,00;12 793 960,00;10,77
56;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;131 198 027,00;127 826 511,00;3 371 516,00;2,64
57;0;Инвестторгбанк;2763;Москва и обл.;123 220 338,00;126 793 407,00;-3 573 069,00;-2,82
58;0;Кредит Европа Банк;3311;Москва и обл.;121 202 754,00;120 496 613,00;706 141,00;0,59
59;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;118 609 748,00;119 413 192,00;-803 444,00;-0,67
60;2;Запсибкомбанк;918;Тюменская обл.;118 497 163,00;110 490 901,00;8 006 262,00;7,25
61;3;Сетелем Банк;2168;Москва и обл.;111 074 147,00;107 278 053,00;3 796 094,00;3,54
62;1;Юниаструм Банк;2771;Москва и обл.;109 135 448,00;108 819 048,00;316 400,00;0,29
63;4;Русфинанс Банк;1792;Самарская обл.;106 096 003,00;102 773 151,00;3 322 852,00;3,23
64;1;Ренессанс Кредит;3354;Москва и обл.;105 434 725,00;104 185 922,00;1 248 803,00;1,20
65;-12;Аверс;415;Татарстан;102 633 399,00;131 277 071,00;-28 643 672,00;-21,82
66;0;Роскосмосбанк;2989;Москва и обл.;101 573 470,00;102 868 477,00;-1 295 007,00;-1,26
67;1;Центр-инвест;2225;Ростовская обл.;99 775 285,00;99 129 634,00;645 651,00;0,65
68;1;Таврический Банк;2304;Санкт-Петербург и обл.;91 544 133,00;91 530 963,00;13 170,00;0,01
69;6;РНКБ;1354;Симферополь;91 324 917,00;80 714 143,00;10 610 774,00;13,15
70;0;Локо-Банк;2707;Москва и обл.;87 656 968,00;89 690 174,00;-2 033 206,00;-2,27
