Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2019, тыс. рублей;Ноябрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 973 297 245,00;29 148 887 965,00;-175 590 720,00;-0,60
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 483 875 051,00;14 547 709 036,00;-63 833 985,00;-0,44
3;0;Газпромбанк;354;Москва и обл.;6 614 267 527,00;6 385 232 472,00;229 035 055,00;3,59
4;1;Альфа-Банк;1326;Москва и обл.;3 687 383 320,00;3 566 836 402,00;120 546 918,00;3,38
5;-1;Национальный Клиринговый Центр;3466;Москва и обл.;3 669 008 617,00;3 624 819 693,00;44 188 924,00;1,22
6;0;Россельхозбанк;3349;Москва и обл.;3 297 821 385,00;3 352 194 124,00;-54 372 739,00;-1,62
7;0;Банк Открытие;2209;Москва и обл.;2 486 671 061,00;2 488 164 320,00;-1 493 259,00;-0,06
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 336 368 302,00;2 283 893 000,00;52 475 302,00;2,30
9;0;Траст;3279;Москва и обл.;1 422 586 170,00;1 452 618 868,00;-30 032 698,00;-2,07
10;0;ЮниКредит Банк;1;Москва и обл.;1 417 952 803,00;1 386 736 686,00;31 216 117,00;2,25
11;0;Райффайзенбанк;3292;Москва и обл.;1 222 474 196,00;1 226 000 596,00;-3 526 400,00;-0,29
12;0;Росбанк;2272;Москва и обл.;1 211 831 538,00;1 216 797 367,00;-4 965 829,00;-0,41
13;0;Совкомбанк;963;Костромская обл.;1 189 403 020,00;1 146 815 471,00;42 587 549,00;3,71
14;0;Россия;328;Санкт-Петербург и обл.;1 026 998 192,00;987 285 036,00;39 713 156,00;4,02
15;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;721 126 793,00;695 403 953,00;25 722 840,00;3,70
16;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;660 723 139,00;758 738 623,00;-98 015 484,00;-12,92
17;0;Ак Барс;2590;Татарстан;612 287 305,00;611 033 205,00;1 254 100,00;0,21
18;1;Ситибанк;2557;Москва и обл.;579 239 280,00;559 441 884,00;19 797 396,00;3,54
19;-1;Тинькофф Банк;2673;Москва и обл.;562 700 458,00;561 824 730,00;875 728,00;0,16
20;0;Банк Уралсиб;30;Москва и обл.;531 386 135,00;555 658 908,00;-24 272 773,00;-4,37
21;2;Почта Банк;650;Москва и обл.;514 203 228,00;498 643 320,00;15 559 908,00;3,12
22;0;БМ-Банк;2748;Москва и обл.;507 431 766,00;508 946 452,00;-1 514 686,00;-0,30
