Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2010, тыс. рублей;Ноябрь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 817 865 665,00;8 569 604 428,00;248 261 237,00;2,90
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 781 919 369,00;2 763 948 749,00;17 970 620,00;0,65
3;0;Газпромбанк;354;Москва и обл.;1 850 670 517,00;1 656 681 460,00;193 989 057,00;11,71
4;0;Россельхозбанк;3349;Москва и обл.;1 041 259 773,00;1 028 519 561,00;12 740 212,00;1,24
5;0;БМ-Банк;2748;Москва и обл.;954 226 404,00;964 727 498,00;-10 501 094,00;-1,09
6;0;ВТБ 24;1623;Москва и обл.;882 471 244,00;858 393 464,00;24 077 780,00;2,80
7;0;Альфа-Банк;1326;Москва и обл.;822 352 453,00;798 870 227,00;23 482 226,00;2,94
8;0;ЮниКредит Банк;1;Москва и обл.;617 424 887,00;605 682 865,00;11 742 022,00;1,94
9;1;Промсвязьбанк;3251;Москва и обл.;503 535 115,00;504 159 182,00;-624 067,00;-0,12
10;-1;Райффайзенбанк;3292;Москва и обл.;498 305 356,00;541 762 751,00;-43 457 395,00;-8,02
11;2;Росбанк;2272;Москва и обл.;428 421 424,00;390 301 984,00;38 119 440,00;9,77
12;0;МДМ Банк;2562;Новосибирская обл.;419 472 103,00;411 816 207,00;7 655 896,00;1,86
13;-2;Банк Уралсиб;30;Москва и обл.;412 322 199,00;423 301 598,00;-10 979 399,00;-2,59
14;0;Транскредитбанк;2142;Москва и обл.;360 766 875,00;347 001 191,00;13 765 684,00;3,97
15;0;Банк Открытие;2209;Москва и обл.;336 755 592,00;325 793 058,00;10 962 534,00;3,36
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;283 464 978,00;264 690 965,00;18 774 013,00;7,09
17;-1;Россия;328;Санкт-Петербург и обл.;270 921 747,00;267 041 352,00;3 880 395,00;1,45
18;1;Ситибанк;2557;Москва и обл.;247 853 904,00;241 510 024,00;6 343 880,00;2,63
19;1;Ак Барс;2590;Татарстан;246 046 485,00;241 461 560,00;4 584 925,00;1,90
20;-2;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;235 233 881,00;244 306 652,00;-9 072 771,00;-3,71
21;0;Связь-Банк;1470;Москва и обл.;219 685 786,00;204 590 142,00;15 095 644,00;7,38
22;0;Нордеа Банк;3016;Москва и обл.;195 178 217,00;190 135 910,00;5 042 307,00;2,65
23;0;Петрокоммерц;1776;Москва и обл.;188 425 307,00;179 033 148,00;9 392 159,00;5,25
24;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;176 690 544,00;173 813 255,00;2 877 289,00;1,66
25;0;Банк Зенит;3255;Москва и обл.;171 580 208,00;169 532 291,00;2 047 917,00;1,21
26;0;Возрождение;1439;Москва и обл.;163 604 256,00;162 895 879,00;708 377,00;0,43
27;0;Траст;3279;Москва и обл.;155 563 944,00;157 801 181,00;-2 237 237,00;-1,42
28;0;Московский Кредитный Банк;1978;Москва и обл.;145 056 586,00;139 327 503,00;5 729 083,00;4,11
29;0;Русский Стандарт;2289;Москва и обл.;142 958 598,00;138 284 671,00;4 673 927,00;3,38
30;0;МТС Банк;2268;Москва и обл.;142 912 693,00;134 170 287,00;8 742 406,00;6,52
31;2;ИНГ Банк;2495;Москва и обл.;130 377 884,00;130 532 506,00;-154 622,00;-0,12
32;0;Банк Сосьете Женераль Восток;2295;Москва и обл.;129 418 714,00;132 162 770,00;-2 744 056,00;-2,08
33;1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;125 520 828,00;126 467 570,00;-946 742,00;-0,75
34;3;Банк «Открытие»;2179;Москва и обл.;123 214 487,00;117 632 971,00;5 581 516,00;4,74
35;3;Национальный Клиринговый Центр;3466;Москва и обл.;119 033 894,00;113 159 594,00;5 874 300,00;5,19
36;0;Абсолют Банк;2306;Москва и обл.;117 707 335,00;119 277 242,00;-1 569 907,00;-1,32
37;-2;Хоум Кредит Банк;316;Москва и обл.;116 153 611,00;119 377 398,00;-3 223 787,00;-2,70
38;1;ОТП Банк;2766;Москва и обл.;107 291 871,00;108 233 706,00;-941 835,00;-0,87
39;2;Глобэкс;1942;Москва и обл.;106 665 955,00;102 586 188,00;4 079 767,00;3,98
40;0;Московский Индустриальный Банк;912;Москва и обл.;104 182 352,00;105 528 622,00;-1 346 270,00;-1,28
41;1;РГС Банк;3073;Москва и обл.;99 567 597,00;94 867 735,00;4 699 862,00;4,95
42;2;Восточный Банк;1460;Амурская обл.;97 245 420,00;89 525 001,00;7 720 419,00;8,62
43;2;Русфинанс Банк;1792;Самарская обл.;94 109 663,00;88 992 408,00;5 117 255,00;5,75
44;-1;Бинбанк;323;Москва и обл.;93 442 621,00;90 191 020,00;3 251 601,00;3,61
45;4;Дойче Банк;3328;Москва и обл.;85 200 247,00;75 367 454,00;9 832 793,00;13,05
46;-15;ЦентроКредит;121;Москва и обл.;84 010 533,00;132 988 384,00;-48 977 851,00;-36,83
47;-1;Юниаструм Банк;2771;Москва и обл.;82 149 842,00;81 481 986,00;667 856,00;0,82
48;0;Пробизнесбанк;2412;Москва и обл.;80 404 290,00;76 041 516,00;4 362 774,00;5,74
49;-2;Банк Интеза;2216;Москва и обл.;79 992 227,00;80 909 168,00;-916 941,00;-1,13
50;3;Кредит Европа Банк;3311;Москва и обл.;74 285 585,00;68 711 907,00;5 573 678,00;8,11
51;1;Мастер-Банк;2176;Москва и обл.;73 314 759,00;71 159 067,00;2 155 692,00;3,03
52;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;73 160 732,00;71 565 094,00;1 595 638,00;2,23
53;-3;Транскапиталбанк;2210;Москва и обл.;73 128 910,00;72 261 857,00;867 053,00;1,20
54;3;СКБ-Банк;705;Свердловская обл.;72 423 497,00;66 545 597,00;5 877 900,00;8,83
55;-1;Балтийский Банк;128;Москва и обл.;68 992 653,00;68 283 498,00;709 155,00;1,04
56;0;МСП Банк;3340;Москва и обл.;68 924 952,00;66 761 801,00;2 163 151,00;3,24
57;-2;Союз;2307;Москва и обл.;68 717 769,00;67 624 085,00;1 093 684,00;1,62
58;1;РосЕвроБанк;3137;Москва и обл.;67 769 808,00;65 554 579,00;2 215 229,00;3,38
59;-1;Собинбанк;1317;Москва и обл.;67 591 248,00;65 863 829,00;1 727 419,00;2,62
60;1;Инвестторгбанк;2763;Москва и обл.;62 965 298,00;59 895 407,00;3 069 891,00;5,13
61;2;Внешпромбанк;3261;Москва и обл.;62 714 235,00;58 747 811,00;3 966 424,00;6,75
62;-2;Запсибкомбанк;918;Тюменская обл.;60 340 803,00;59 957 585,00;383 218,00;0,64
63;-1;Татфондбанк;3058;Татарстан;59 373 603,00;59 183 235,00;190 368,00;0,32
64;1;Новикомбанк;2546;Москва и обл.;58 879 821,00;56 075 586,00;2 804 235,00;5,00
65;5;СМП Банк;3368;Москва и обл.;56 954 837,00;51 228 536,00;5 726 301,00;11,18
66;-2;Национальный Резервный Банк;2170;Москва и обл.;55 810 781,00;56 609 334,00;-798 553,00;-1,41
67;1;Авангард;2879;Москва и обл.;55 250 717,00;52 491 868,00;2 758 849,00;5,26
68;-2;Экспо Финанс;2594;Москва и обл.;54 938 462,00;53 607 112,00;1 331 350,00;2,48
69;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;52 249 913,00;52 279 961,00;-30 048,00;-0,06
70;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;51 279 756,00;48 912 238,00;2 367 518,00;4,84
71;23;Коммерцбанк (Евразия);3333;Москва и обл.;50 168 999,00;32 392 731,00;17 776 268,00;54,88
72;7;Роскосмосбанк;2989;Москва и обл.;49 270 751,00;43 952 153,00;5 318 598,00;12,10
73;-6;БНП Париба Банк;3407;Москва и обл.;49 188 653,00;52 703 409,00;-3 514 756,00;-6,67
74;-1;Центр-инвест;2225;Ростовская обл.;48 438 720,00;48 084 308,00;354 412,00;0,74
75;1;Ренессанс Кредит;3354;Москва и обл.;47 847 242,00;46 832 473,00;1 014 769,00;2,17
76;1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;47 696 768,00;46 797 050,00;899 718,00;1,92
