Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2010, тыс. рублей;Июль, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 169 351 986,00;8 112 705 369,00;56 646 617,00;0,70
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 636 543 952,00;2 681 505 508,00;-44 961 556,00;-1,68
3;0;Газпромбанк;354;Москва и обл.;1 632 946 369,00;1 658 673 055,00;-25 726 686,00;-1,55
4;0;Россельхозбанк;3349;Москва и обл.;1 016 524 815,00;1 018 983 216,00;-2 458 401,00;-0,24
5;0;БМ-Банк;2748;Москва и обл.;923 173 977,00;867 655 309,00;55 518 668,00;6,40
6;0;ВТБ 24;1623;Москва и обл.;806 423 547,00;789 196 466,00;17 227 081,00;2,18
7;0;Альфа-Банк;1326;Москва и обл.;719 900 264,00;714 889 421,00;5 010 843,00;0,70
8;0;ЮниКредит Банк;1;Москва и обл.;562 377 628,00;562 752 323,00;-374 695,00;-0,07
9;0;Райффайзенбанк;3292;Москва и обл.;520 027 471,00;514 408 323,00;5 619 148,00;1,09
10;1;Промсвязьбанк;3251;Москва и обл.;481 276 582,00;464 937 997,00;16 338 585,00;3,51
11;-1;Банк Уралсиб;30;Москва и обл.;448 518 408,00;465 115 902,00;-16 597 494,00;-3,57
12;0;МДМ Банк;2562;Новосибирская обл.;394 906 526,00;401 521 085,00;-6 614 559,00;-1,65
13;0;Росбанк;2272;Москва и обл.;392 343 343,00;397 536 512,00;-5 193 169,00;-1,31
14;0;Транскредитбанк;2142;Москва и обл.;341 951 084,00;333 405 362,00;8 545 722,00;2,56
15;0;Банк Открытие;2209;Москва и обл.;281 752 745,00;286 252 965,00;-4 500 220,00;-1,57
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;244 645 714,00;255 696 850,00;-11 051 136,00;-4,32
17;2;Ситибанк;2557;Москва и обл.;241 886 543,00;230 919 077,00;10 967 466,00;4,75
18;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;237 042 963,00;233 135 383,00;3 907 580,00;1,68
19;-2;Ак Барс;2590;Татарстан;234 838 880,00;236 643 500,00;-1 804 620,00;-0,76
20;0;Связь-Банк;1470;Москва и обл.;216 229 601,00;210 759 291,00;5 470 310,00;2,60
21;0;Петрокоммерц;1776;Москва и обл.;185 244 094,00;203 179 568,00;-17 935 474,00;-8,83
22;3;Нордеа Банк;3016;Москва и обл.;170 169 735,00;160 117 125,00;10 052 610,00;6,28
23;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;165 573 527,00;165 758 580,00;-185 053,00;-0,11
24;-1;Банк Зенит;3255;Москва и обл.;162 404 825,00;165 288 817,00;-2 883 992,00;-1,74
25;-1;Международный Промышленный Банк;2056;Москва и обл.;160 921 057,00;162 669 563,00;-1 748 506,00;-1,07
26;0;Возрождение;1439;Москва и обл.;160 788 920,00;155 584 127,00;5 204 793,00;3,35
27;2;Русский Стандарт;2289;Москва и обл.;145 279 353,00;139 808 565,00;5 470 788,00;3,91
28;3;Траст;3279;Москва и обл.;139 846 934,00;131 350 074,00;8 496 860,00;6,47
29;-1;Банк Сосьете Женераль Восток;2295;Москва и обл.;136 526 434,00;142 718 904,00;-6 192 470,00;-4,34
30;3;ЦентроКредит;121;Москва и обл.;133 725 895,00;124 115 814,00;9 610 081,00;7,74
31;1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;127 835 618,00;129 827 517,00;-1 991 899,00;-1,53
32;3;Московский Кредитный Банк;1978;Москва и обл.;126 958 429,00;118 258 836,00;8 699 593,00;7,36
33;-3;Абсолют Банк;2306;Москва и обл.;125 141 116,00;131 780 570,00;-6 639 454,00;-5,04
34;0;Газэнергопромбанк;3284;Москва и обл.;122 470 275,00;120 934 706,00;1 535 569,00;1,27
35;6;Россия;328;Санкт-Петербург и обл.;122 122 773,00;99 867 547,00;22 255 226,00;22,28
36;-9;МТС Банк;2268;Москва и обл.;120 134 130,00;150 852 225,00;-30 718 095,00;-20,36
37;0;Национальный Клиринговый Центр;3466;Москва и обл.;115 685 896,00;112 526 199,00;3 159 697,00;2,81
38;0;Хоум Кредит Банк;316;Москва и обл.;111 130 277,00;107 592 381,00;3 537 896,00;3,29
39;-3;ИНГ Банк;2495;Москва и обл.;110 559 606,00;112 770 128,00;-2 210 522,00;-1,96
40;-1;ОТП Банк;2766;Москва и обл.;101 838 462,00;103 102 359,00;-1 263 897,00;-1,23
41;1;Московский Индустриальный Банк;912;Москва и обл.;99 509 328,00;97 664 491,00;1 844 837,00;1,89
42;-2;РГС Банк;3073;Москва и обл.;97 259 827,00;100 865 188,00;-3 605 361,00;-3,57
43;3;Глобэкс;1942;Москва и обл.;87 843 940,00;75 198 588,00;12 645 352,00;16,82
44;-1;Русфинанс Банк;1792;Самарская обл.;86 445 780,00;86 586 146,00;-140 366,00;-0,16
45;-1;Бинбанк;323;Москва и обл.;86 389 935,00;84 608 155,00;1 781 780,00;2,11
46;1;Юниаструм Банк;2771;Москва и обл.;80 603 587,00;73 802 932,00;6 800 655,00;9,21
47;-2;Банк Интеза;2216;Москва и обл.;76 007 995,00;75 972 070,00;35 925,00;0,05
48;2;Восточный Банк;1460;Амурская обл.;73 706 923,00;68 301 794,00;5 405 129,00;7,91
49;12;Дойче Банк;3328;Москва и обл.;71 634 624,00;58 242 537,00;13 392 087,00;22,99
50;1;Транскапиталбанк;2210;Москва и обл.;70 476 427,00;66 297 574,00;4 178 853,00;6,30
51;-3;Кредит Европа Банк;3311;Москва и обл.;69 685 928,00;70 029 879,00;-343 951,00;-0,49
52;1;Пробизнесбанк;2412;Москва и обл.;67 223 675,00;65 420 015,00;1 803 660,00;2,76
53;-1;Балтийский Банк;128;Москва и обл.;66 967 575,00;66 172 967,00;794 608,00;1,20
54;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;66 153 856,00;64 068 415,00;2 085 441,00;3,26
55;-1;Мастер-Банк;2176;Москва и обл.;64 720 222,00;64 150 259,00;569 963,00;0,89
56;-1;СКБ-Банк;705;Свердловская обл.;64 093 334,00;64 138 817,00;-45 483,00;-0,07
57;0;МСП Банк;3340;Москва и обл.;62 810 478,00;63 532 278,00;-721 800,00;-1,14
58;1;РосЕвроБанк;3137;Москва и обл.;61 411 899,00;59 329 897,00;2 082 002,00;3,51
59;-10;Союз;2307;Москва и обл.;58 124 519,00;69 143 324,00;-11 018 805,00;-15,94
60;0;Татфондбанк;3058;Татарстан;57 697 633,00;58 746 281,00;-1 048 648,00;-1,79
61;5;Собинбанк;1317;Москва и обл.;57 161 455,00;53 803 153,00;3 358 302,00;6,24
62;0;Экспо Финанс;2594;Москва и обл.;57 114 105,00;57 850 924,00;-736 819,00;-1,27
63;7;СМП Банк;3368;Москва и обл.;56 390 137,00;49 211 818,00;7 178 319,00;14,59
64;8;Всероссийский Банк Развития Регионов;3287;Москва и обл.;55 927 010,00;46 027 893,00;9 899 117,00;21,51
65;-1;Петровский;729;Санкт-Петербург и обл.;55 818 536,00;54 844 552,00;973 984,00;1,78
66;-1;Инвестторгбанк;2763;Москва и обл.;55 063 912,00;53 978 754,00;1 085 158,00;2,01
67;0;Запсибкомбанк;918;Тюменская обл.;54 932 885,00;53 386 780,00;1 546 105,00;2,90
68;-10;Национальный Резервный Банк;2170;Москва и обл.;54 768 068,00;61 671 697,00;-6 903 629,00;-11,19
69;-6;Внешпромбанк;3261;Москва и обл.;52 475 360,00;55 846 017,00;-3 370 657,00;-6,04
70;-1;Авангард;2879;Москва и обл.;49 320 951,00;49 815 150,00;-494 199,00;-0,99
71;0;БНП Париба Банк;3407;Москва и обл.;49 048 019,00;49 168 517,00;-120 498,00;-0,25
72;-4;Сведбанк;3064;Москва и обл.;47 816 544,00;52 808 190,00;-4 991 646,00;-9,45
73;8;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;46 788 944,00;41 364 619,00;5 424 325,00;13,11
74;0;АМТ Банк;2820;Москва и обл.;46 749 536,00;45 859 815,00;889 721,00;1,94
75;-2;Новикомбанк;2546;Москва и обл.;46 541 230,00;45 903 192,00;638 038,00;1,39
76;-1;Банк «Открытие»;2179;Москва и обл.;46 345 793,00;45 564 207,00;781 586,00;1,72
77;2;Ренессанс Кредит;3354;Москва и обл.;45 632 095,00;42 773 402,00;2 858 693,00;6,68
78;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;44 976 770,00;44 547 752,00;429 018,00;0,96
79;-1;Центр-инвест;2225;Ростовская обл.;43 807 854,00;43 723 403,00;84 451,00;0,19
80;2;Сургутнефтегазбанк;588;Тюменская обл.;43 314 912,00;40 670 831,00;2 644 081,00;6,50
81;2;Локо-Банк;2707;Москва и обл.;42 833 474,00;40 304 299,00;2 529 175,00;6,28
82;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;42 193 266,00;42 659 825,00;-466 559,00;-1,09
83;2;Роскосмосбанк;2989;Москва и обл.;42 074 969,00;38 152 774,00;3 922 195,00;10,28
84;-8;Металлинвестбанк;2440;Москва и обл.;42 069 811,00;45 050 787,00;-2 980 976,00;-6,62
85;-1;Еврофинанс Моснарбанк;2402;Москва и обл.;39 371 484,00;39 871 557,00;-500 073,00;-1,25
86;0;Пересвет;2110;Москва и обл.;38 911 221,00;37 917 874,00;993 347,00;2,62
87;0;Совкомбанк;963;Костромская обл.;38 599 782,00;37 199 159,00;1 400 623,00;3,77
88;2;Инвестбанк;107;Калининградская обл.;35 402 058,00;35 004 188,00;397 870,00;1,14
89;0;Первобанк;3461;Самарская обл.;35 314 638,00;35 352 298,00;-37 660,00;-0,11
90;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;35 232 048,00;34 517 638,00;714 410,00;2,07
91;-3;СБ Банк (Судостроительный банк);2999;Москва и обл.;34 874 875,00;36 775 163,00;-1 900 288,00;-5,17
92;0;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;33 916 815,00;33 998 965,00;-82 150,00;-0,24
93;1;Национальный Стандарт;3421;Москва и обл.;30 422 735,00;29 442 631,00;980 104,00;3,33
94;1;Коммерцбанк (Евразия);3333;Москва и обл.;29 823 285,00;29 297 728,00;525 557,00;1,79
95;2;Банк ДОМ.РФ;2312;Москва и обл.;29 447 466,00;28 440 003,00;1 007 463,00;3,54
96;-3;Москоммерцбанк;3365;Москва и обл.;29 420 151,00;29 660 280,00;-240 129,00;-0,81
97;1;Национальный Торговый Банк;3087;Самарская обл.;28 095 118,00;27 486 583,00;608 535,00;2,21
98;2;Бинбанк Диджитал;2827;Москва и обл.;27 573 740,00;26 698 012,00;875 728,00;3,28
99;-3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;27 302 146,00;28 464 280,00;-1 162 134,00;-4,08
100;1;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;26 859 781,00;26 497 948,00;361 833,00;1,37
101;-2;Челиндбанк;485;Челябинская обл.;26 453 498,00;26 923 967,00;-470 469,00;-1,75
102;1;Дальневосточный Банк;843;Приморский край;26 117 867,00;26 253 569,00;-135 702,00;-0,52
103;-1;Экспобанк;2998;Москва и обл.;25 607 434,00;26 438 722,00;-831 288,00;-3,14
104;0;Кедр;1574;Москва и обл.;25 482 998,00;24 993 935,00;489 063,00;1,96
105;0;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;25 280 674,00;24 626 133,00;654 541,00;2,66
106;2;Акибанк;2587;Татарстан;24 760 578,00;23 209 756,00;1 550 822,00;6,68
107;6;Кубань Кредит;2518;Краснодарский край;24 001 774,00;22 105 409,00;1 896 365,00;8,58
108;3;Таврический Банк;2304;Санкт-Петербург и обл.;23 485 725,00;22 577 340,00;908 385,00;4,02
109;-2;Челябинвестбанк;493;Челябинская обл.;23 363 983,00;23 641 089,00;-277 106,00;-1,17
110;16;Международный Финансовый Клуб;2618;Москва и обл.;22 698 430,00;19 268 738,00;3 429 692,00;17,80
111;-2;Газбанк;2316;Самарская обл.;22 552 627,00;22 792 708,00;-240 081,00;-1,05
112;6;Расчетная Палата РТС;3335;Москва и обл.;22 534 985,00;20 819 453,00;1 715 532,00;8,24
113;1;Севергазбанк;2816;Вологодская обл.;22 042 768,00;21 724 187,00;318 581,00;1,47
114;5;СДМ-Банк;1637;Москва и обл.;21 980 745,00;20 773 303,00;1 207 442,00;5,81
115;2;Далькомбанк;84;Хабаровский край;21 551 664,00;21 471 791,00;79 873,00;0,37
116;5;Крайинвестбанк;3360;Краснодарский край;21 449 238,00;20 267 034,00;1 182 204,00;5,83
117;-11;Открытие / Инвестиционный банк;2901;Москва и обл.;21 422 837,00;24 103 152,00;-2 680 315,00;-11,12
118;-6;Нота-Банк;2913;Москва и обл.;21 182 607,00;22 441 707,00;-1 259 100,00;-5,61
119;-4;Саровбизнесбанк;2048;Нижегородская обл.;21 152 369,00;21 675 060,00;-522 691,00;-2,41
120;0;НС Банк;3124;Москва и обл.;21 023 120,00;20 329 618,00;693 502,00;3,41
121;-5;Интерпромбанк;3266;Москва и обл.;20 603 821,00;21 600 305,00;-996 484,00;-4,61
122;3;Кредит Урал Банк;2584;Челябинская обл.;20 287 464,00;19 464 788,00;822 676,00;4,23
123;0;Первый Республиканский Банк;1730;Москва и обл.;20 029 342,00;19 728 207,00;301 135,00;1,53
