Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2016, тыс. рублей;Ноябрь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 606 604 681,00;22 430 059 764,00;176 544 917,00;0,79
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 959 296 564,00;9 615 416 476,00;343 880 088,00;3,58
3;0;Газпромбанк;354;Москва и обл.;5 267 761 099,00;5 059 405 426,00;208 355 673,00;4,12
4;0;ВТБ 24;1623;Москва и обл.;3 207 540 431,00;3 230 989 597,00;-23 449 166,00;-0,73
5;0;Банк Открытие;2209;Москва и обл.;2 951 554 494,00;3 049 592 082,00;-98 037 588,00;-3,21
6;0;Россельхозбанк;3349;Москва и обл.;2 760 244 338,00;2 776 521 069,00;-16 276 731,00;-0,59
7;0;Альфа-Банк;1326;Москва и обл.;2 341 836 861,00;2 334 924 053,00;6 912 808,00;0,30
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 039 319 172,00;1 867 653 591,00;171 665 581,00;9,19
9;1;Московский Кредитный Банк;1978;Москва и обл.;1 363 786 529,00;1 297 871 282,00;65 915 247,00;5,08
10;-1;Промсвязьбанк;3251;Москва и обл.;1 311 290 450,00;1 368 788 986,00;-57 498 536,00;-4,20
11;0;ЮниКредит Банк;1;Москва и обл.;1 283 127 686,00;1 226 083 797,00;57 043 889,00;4,65
12;0;Бинбанк;323;Москва и обл.;1 182 581 108,00;870 349 052,00;312 232 056,00;35,87
13;0;Райффайзенбанк;3292;Москва и обл.;833 285 400,00;843 746 280,00;-10 460 880,00;-1,24
14;0;Росбанк;2272;Москва и обл.;783 690 300,00;783 720 759,00;-30 459,00;-0,00
15;0;Россия;328;Санкт-Петербург и обл.;736 708 248,00;716 247 022,00;20 461 226,00;2,86
16;0;БМ-Банк;2748;Москва и обл.;680 300 659,00;680 658 850,00;-358 191,00;-0,05
17;0;Рост Банк;2888;Москва и обл.;611 694 091,00;596 554 524,00;15 139 567,00;2,54
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;580 771 247,00;565 418 873,00;15 352 374,00;2,72
19;0;Совкомбанк;963;Костромская обл.;501 337 175,00;513 997 995,00;-12 660 820,00;-2,46
20;2;Московский Областной Банк;1751;Москва и обл.;477 001 913,00;456 570 438,00;20 431 475,00;4,47
21;-1;Ак Барс;2590;Татарстан;468 132 840,00;473 208 216,00;-5 075 376,00;-1,07
22;1;Банк Уралсиб;30;Москва и обл.;436 072 633,00;434 205 522,00;1 867 111,00;0,43
23;-2;Русский Стандарт;2289;Москва и обл.;433 714 418,00;456 653 364,00;-22 938 946,00;-5,02
24;0;Ситибанк;2557;Москва и обл.;425 469 053,00;422 301 003,00;3 168 050,00;0,75
25;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;401 873 113,00;349 090 986,00;52 782 127,00;15,12
26;-1;Траст;3279;Москва и обл.;396 047 719,00;393 922 677,00;2 125 042,00;0,54
27;-1;СМП Банк;3368;Москва и обл.;354 376 916,00;349 478 627,00;4 898 289,00;1,40
28;1;Связь-Банк;1470;Москва и обл.;326 650 168,00;323 452 091,00;3 198 077,00;0,99
29;1;Югра;880;Москва и обл.;323 280 466,00;309 622 630,00;13 657 836,00;4,41
30;1;Банк ДОМ.РФ;2312;Москва и обл.;301 193 045,00;296 064 753,00;5 128 292,00;1,73
31;3;Абсолют Банк;2306;Москва и обл.;266 840 813,00;257 570 001,00;9 270 812,00;3,60
32;0;Московский Индустриальный Банк;912;Москва и обл.;263 882 268,00;260 722 561,00;3 159 707,00;1,21
33;0;Банк Зенит;3255;Москва и обл.;262 531 783,00;258 457 485,00;4 074 298,00;1,58
34;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;256 229 769,00;250 806 083,00;5 423 686,00;2,16
35;0;Нордеа Банк;3016;Москва и обл.;250 462 394,00;251 135 127,00;-672 733,00;-0,27
36;3;Новикомбанк;2546;Москва и обл.;246 730 367,00;239 492 023,00;7 238 344,00;3,02
37;3;Возрождение;1439;Москва и обл.;242 812 689,00;238 133 113,00;4 679 576,00;1,97
38;-1;ИНГ Банк;2495;Москва и обл.;231 070 454,00;240 408 502,00;-9 338 048,00;-3,88
39;-1;Глобэкс;1942;Москва и обл.;226 340 287,00;239 532 331,00;-13 192 044,00;-5,51
40;2;Хоум Кредит Банк;316;Москва и обл.;220 635 904,00;219 023 921,00;1 611 983,00;0,74
41;0;Транскапиталбанк;2210;Москва и обл.;218 703 512,00;220 663 230,00;-1 959 718,00;-0,89
42;1;Татфондбанк;3058;Татарстан;210 550 161,00;214 677 067,00;-4 126 906,00;-1,92
43;1;Восточный Банк;1460;Амурская обл.;190 015 493,00;197 105 350,00;-7 089 857,00;-3,60
44;2;РосЕвроБанк;3137;Москва и обл.;188 850 522,00;175 533 942,00;13 316 580,00;7,59
45;0;Тинькофф Банк;2673;Москва и обл.;183 978 857,00;182 208 716,00;1 770 141,00;0,97
46;2;МТС Банк;2268;Москва и обл.;182 471 468,00;160 903 369,00;21 568 099,00;13,40
47;0;Экспресс-Волга;3085;Костромская обл.;182 376 076,00;164 612 265,00;17 763 811,00;10,79
48;2;ДельтаКредит;3338;Москва и обл.;161 050 099,00;156 418 685,00;4 631 414,00;2,96
49;0;РГС Банк;3073;Москва и обл.;155 932 180,00;157 791 204,00;-1 859 024,00;-1,18
50;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;145 645 217,00;153 824 816,00;-8 179 599,00;-5,32
51;1;Авангард;2879;Москва и обл.;143 069 749,00;140 542 588,00;2 527 161,00;1,80
52;1;ОТП Банк;2766;Москва и обл.;138 639 200,00;138 353 555,00;285 645,00;0,21
53;1;Аверс;415;Татарстан;131 277 071,00;129 098 759,00;2 178 312,00;1,69
54;36;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;131 245 016,00;56 908 608,00;74 336 408,00;130,62
55;1;СКБ-Банк;705;Свердловская обл.;127 891 283,00;126 773 857,00;1 117 426,00;0,88
56;5;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;127 826 511,00;110 419 299,00;17 407 212,00;15,76
57;0;Инвестторгбанк;2763;Москва и обл.;126 793 407,00;126 749 375,00;44 032,00;0,03
58;1;Кредит Европа Банк;3311;Москва и обл.;120 496 613,00;118 938 475,00;1 558 138,00;1,31
59;-4;МСП Банк;3340;Москва и обл.;120 112 261,00;128 734 638,00;-8 622 377,00;-6,70
60;-2;Национальный Расчетный Депозитарий;3294;Москва и обл.;119 413 192,00;123 129 287,00;-3 716 095,00;-3,02
61;-1;Почта Банк;650;Москва и обл.;118 796 367,00;113 635 127,00;5 161 240,00;4,54
62;0;Запсибкомбанк;918;Тюменская обл.;110 490 901,00;109 738 935,00;751 966,00;0,69
63;0;Юниаструм Банк;2771;Москва и обл.;108 819 048,00;107 680 109,00;1 138 939,00;1,06
64;0;Сетелем Банк;2168;Москва и обл.;107 278 053,00;105 916 307,00;1 361 746,00;1,29
65;0;Ренессанс Кредит;3354;Москва и обл.;104 185 922,00;103 696 942,00;488 980,00;0,47
66;0;Роскосмосбанк;2989;Москва и обл.;102 868 477,00;102 662 777,00;205 700,00;0,20
67;0;Русфинанс Банк;1792;Самарская обл.;102 773 151,00;100 216 481,00;2 556 670,00;2,55
68;0;Центр-инвест;2225;Ростовская обл.;99 129 634,00;98 399 166,00;730 468,00;0,74
69;1;Таврический Банк;2304;Санкт-Петербург и обл.;91 530 963,00;86 473 473,00;5 057 490,00;5,85
70;1;Локо-Банк;2707;Москва и обл.;89 690 174,00;83 357 971,00;6 332 203,00;7,60
71;-2;ЦентроКредит;121;Москва и обл.;88 302 711,00;89 368 628,00;-1 065 917,00;-1,19
72;12;Дойче Банк;3328;Москва и обл.;88 188 214,00;67 577 285,00;20 610 929,00;30,50
73;-1;Союз;2307;Москва и обл.;81 483 756,00;82 204 621,00;-720 865,00;-0,88
74;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;80 853 343,00;79 255 060,00;1 598 283,00;2,02
75;1;РНКБ;1354;Симферополь;80 714 143,00;77 731 180,00;2 982 963,00;3,84
76;-3;Банк Финсервис;3388;Москва и обл.;79 475 666,00;81 877 604,00;-2 401 938,00;-2,93
77;-3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;76 357 924,00;80 296 734,00;-3 938 810,00;-4,91
78;2;БНП Париба Банк;3407;Москва и обл.;75 664 582,00;72 456 942,00;3 207 640,00;4,43
79;-1;Кубань Кредит;2518;Краснодарский край;75 386 886,00;74 369 505,00;1 017 381,00;1,37
80;-3;Балтийский Банк;128;Санкт-Петербург и обл.;74 898 958,00;76 930 737,00;-2 031 779,00;-2,64
81;-2;ВУЗ-Банк;1557;Свердловская обл.;71 302 665,00;73 622 664,00;-2 319 999,00;-3,15
82;3;Экспобанк;2998;Москва и обл.;67 997 117,00;65 029 344,00;2 967 773,00;4,56
83;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;67 749 401,00;69 229 722,00;-1 480 321,00;-2,14
84;-1;РН Банк;170;Москва и обл.;65 817 884,00;67 584 336,00;-1 766 452,00;-2,61
85;-4;Банк Интеза;2216;Москва и обл.;65 304 076,00;71 369 370,00;-6 065 294,00;-8,50
86;5;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;64 577 864,00;55 337 408,00;9 240 456,00;16,70
87;2;Международный Финансовый Клуб;2618;Москва и обл.;64 562 480,00;61 512 545,00;3 049 935,00;4,96
88;-2;Металлинвестбанк;2440;Москва и обл.;64 380 637,00;64 320 900,00;59 737,00;0,09
89;-2;БКС Банк;101;Новосибирская обл.;62 550 597,00;63 415 468,00;-864 871,00;-1,36
90;-2;Банк БФА;3038;Санкт-Петербург и обл.;62 088 192,00;62 857 864,00;-769 672,00;-1,22
91;;Росэнергобанк;2211;Москва и обл.;57 311 388,00;-;-;
92;6;Росэксимбанк;2790;Москва и обл.;55 482 085,00;50 309 324,00;5 172 761,00;10,28
93;0;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;54 139 462,00;54 931 196,00;-791 734,00;-1,44
94;0;СДМ-Банк;1637;Москва и обл.;53 887 051,00;53 176 734,00;710 317,00;1,34
95;-3;Бинбанк Диджитал;2827;Москва и обл.;53 801 041,00;55 198 580,00;-1 397 539,00;-2,53
96;1;Крайинвестбанк;3360;Краснодарский край;52 508 423,00;50 587 146,00;1 921 277,00;3,80
97;-1;Образование;1521;Москва и обл.;51 865 153,00;51 962 978,00;-97 825,00;-0,19
98;-3;Тойота Банк;3470;Москва и обл.;51 818 036,00;52 378 886,00;-560 850,00;-1,07
99;0;Банк «Советский»;558;Санкт-Петербург и обл.;51 106 201,00;50 234 499,00;871 702,00;1,74
100;3;Социнвестбанк;1132;Башкортостан;50 440 052,00;48 471 175,00;1 968 877,00;4,06
101;5;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;49 979 802,00;47 356 739,00;2 623 063,00;5,54
102;0;Межтопэнергобанк;2956;Москва и обл.;49 043 293,00;48 958 726,00;84 567,00;0,17
103;1;ББР Банк;2929;Москва и обл.;47 824 875,00;47 921 348,00;-96 473,00;-0,20
104;1;Газэнергобанк;3252;Калужская обл.;47 817 967,00;47 512 753,00;305 214,00;0,64
105;2;Челиндбанк;485;Челябинская обл.;46 982 928,00;46 384 110,00;598 818,00;1,29
106;4;Примсоцбанк;2733;Приморский край;46 789 438,00;45 632 096,00;1 157 342,00;2,54
107;-7;АйСиБиСи Банк;3475;Москва и обл.;46 566 041,00;50 152 455,00;-3 586 414,00;-7,15
108;0;ОФК Банк;2270;Москва и обл.;46 399 061,00;45 967 125,00;431 936,00;0,94
109;2;Фора-Банк;1885;Москва и обл.;46 077 957,00;45 599 293,00;478 664,00;1,05
110;2;Челябинвестбанк;493;Челябинская обл.;45 532 221,00;44 784 184,00;748 037,00;1,67
111;2;Левобережный;1343;Новосибирская обл.;45 149 439,00;44 208 259,00;941 180,00;2,13
112;-11;Коммерцбанк (Евразия);3333;Москва и обл.;42 777 700,00;49 985 144,00;-7 207 444,00;-14,42
