Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2010, тыс. рублей;Июнь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 112 705 369,00;7 868 805 714,00;243 899 655,00;3,10
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 681 505 508,00;2 480 228 699,00;201 276 809,00;8,12
3;0;Газпромбанк;354;Москва и обл.;1 658 673 055,00;1 712 929 293,00;-54 256 238,00;-3,17
4;0;Россельхозбанк;3349;Москва и обл.;1 018 983 216,00;996 226 123,00;22 757 093,00;2,28
5;0;БМ-Банк;2748;Москва и обл.;867 655 309,00;854 154 367,00;13 500 942,00;1,58
6;0;ВТБ 24;1623;Москва и обл.;789 196 466,00;756 568 969,00;32 627 497,00;4,31
7;0;Альфа-Банк;1326;Москва и обл.;714 889 421,00;685 674 174,00;29 215 247,00;4,26
8;0;ЮниКредит Банк;1;Москва и обл.;562 752 323,00;544 391 074,00;18 361 249,00;3,37
9;0;Райффайзенбанк;3292;Москва и обл.;514 408 323,00;507 958 061,00;6 450 262,00;1,27
10;1;Банк Уралсиб;30;Москва и обл.;465 115 902,00;451 872 652,00;13 243 250,00;2,93
11;-1;Промсвязьбанк;3251;Москва и обл.;464 937 997,00;470 666 613,00;-5 728 616,00;-1,22
12;0;МДМ Банк;2562;Новосибирская обл.;401 521 085,00;395 838 889,00;5 682 196,00;1,44
13;0;Росбанк;2272;Москва и обл.;397 536 512,00;383 357 735,00;14 178 777,00;3,70
14;0;Транскредитбанк;2142;Москва и обл.;333 405 362,00;328 959 526,00;4 445 836,00;1,35
15;0;Банк Открытие;2209;Москва и обл.;286 252 965,00;286 292 616,00;-39 651,00;-0,01
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;255 696 850,00;244 341 423,00;11 355 427,00;4,65
17;0;Ак Барс;2590;Татарстан;236 643 500,00;240 172 396,00;-3 528 896,00;-1,47
18;1;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;233 135 383,00;217 435 040,00;15 700 343,00;7,22
19;-1;Ситибанк;2557;Москва и обл.;230 919 077,00;239 947 667,00;-9 028 590,00;-3,76
20;0;Связь-Банк;1470;Москва и обл.;210 759 291,00;216 298 701,00;-5 539 410,00;-2,56
21;0;Петрокоммерц;1776;Москва и обл.;203 179 568,00;189 158 169,00;14 021 399,00;7,41
22;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;165 758 580,00;161 462 570,00;4 296 010,00;2,66
23;0;Банк Зенит;3255;Москва и обл.;165 288 817,00;163 985 306,00;1 303 511,00;0,79
