Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2016, тыс. рублей;Октябрь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 430 059 764,00;22 769 723 919,00;-339 664 155,00;-1,49
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 615 416 476,00;9 426 904 850,00;188 511 626,00;2,00
3;0;Газпромбанк;354;Москва и обл.;5 059 405 426,00;5 200 032 570,00;-140 627 144,00;-2,70
4;0;ВТБ 24;1623;Москва и обл.;3 230 989 597,00;3 214 800 742,00;16 188 855,00;0,50
5;0;Банк Открытие;2209;Москва и обл.;3 049 592 082,00;3 159 180 195,00;-109 588 113,00;-3,47
6;0;Россельхозбанк;3349;Москва и обл.;2 776 521 069,00;2 778 068 101,00;-1 547 032,00;-0,06
7;0;Альфа-Банк;1326;Москва и обл.;2 334 924 053,00;2 305 151 731,00;29 772 322,00;1,29
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 867 653 591,00;1 952 485 449,00;-84 831 858,00;-4,34
9;1;Промсвязьбанк;3251;Москва и обл.;1 368 788 986,00;1 304 225 270,00;64 563 716,00;4,95
10;-1;Московский Кредитный Банк;1978;Москва и обл.;1 297 871 282,00;1 346 169 630,00;-48 298 348,00;-3,59
11;0;ЮниКредит Банк;1;Москва и обл.;1 226 083 797,00;1 276 756 418,00;-50 672 621,00;-3,97
12;0;Бинбанк;323;Москва и обл.;870 349 052,00;838 484 701,00;31 864 351,00;3,80
13;1;Райффайзенбанк;3292;Москва и обл.;843 746 280,00;826 761 792,00;16 984 488,00;2,05
14;-1;Росбанк;2272;Москва и обл.;783 720 759,00;826 766 602,00;-43 045 843,00;-5,21
15;0;Россия;328;Санкт-Петербург и обл.;716 247 022,00;716 945 803,00;-698 781,00;-0,10
16;0;БМ-Банк;2748;Москва и обл.;680 658 850,00;686 676 414,00;-6 017 564,00;-0,88
17;1;Рост Банк;2888;Москва и обл.;596 554 524,00;568 408 472,00;28 146 052,00;4,95
18;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;565 418 873,00;578 327 533,00;-12 908 660,00;-2,23
19;0;Совкомбанк;963;Костромская обл.;513 997 995,00;495 106 387,00;18 891 608,00;3,82
20;1;Ак Барс;2590;Татарстан;473 208 216,00;448 809 906,00;24 398 310,00;5,44
21;-1;Русский Стандарт;2289;Москва и обл.;456 653 364,00;466 519 874,00;-9 866 510,00;-2,11
22;0;Московский Областной Банк;1751;Москва и обл.;456 570 438,00;443 004 722,00;13 565 716,00;3,06
23;0;Банк Уралсиб;30;Москва и обл.;434 205 522,00;438 817 096,00;-4 611 574,00;-1,05
24;0;Ситибанк;2557;Москва и обл.;422 301 003,00;438 301 360,00;-16 000 357,00;-3,65
25;0;Траст;3279;Москва и обл.;393 922 677,00;398 641 818,00;-4 719 141,00;-1,18
26;3;СМП Банк;3368;Москва и обл.;349 478 627,00;332 164 443,00;17 314 184,00;5,21
27;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;349 090 986,00;342 237 922,00;6 853 064,00;2,00
28;0;МДМ Банк;2562;Москва и обл.;335 821 668,00;332 351 201,00;3 470 467,00;1,04
29;-3;Связь-Банк;1470;Москва и обл.;323 452 091,00;345 565 164,00;-22 113 073,00;-6,40
30;0;Югра;880;Москва и обл.;309 622 630,00;316 667 196,00;-7 044 566,00;-2,22
31;0;Банк ДОМ.РФ;2312;Москва и обл.;296 064 753,00;307 599 798,00;-11 535 045,00;-3,75
32;4;Московский Индустриальный Банк;912;Москва и обл.;260 722 561,00;257 733 038,00;2 989 523,00;1,16
33;-1;Банк Зенит;3255;Москва и обл.;258 457 485,00;273 635 407,00;-15 177 922,00;-5,55
34;-1;Абсолют Банк;2306;Москва и обл.;257 570 001,00;263 167 129,00;-5 597 128,00;-2,13
35;-1;Нордеа Банк;3016;Москва и обл.;251 135 127,00;259 037 070,00;-7 901 943,00;-3,05
36;4;Всероссийский Банк Развития Регионов;3287;Москва и обл.;250 806 083,00;231 427 382,00;19 378 701,00;8,37
