Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2011, тыс. рублей;Май, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 382 264 891,00;9 198 427 025,00;183 837 866,00;2,00
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 168 164 137,00;3 151 326 132,00;16 838 005,00;0,53
3;0;Газпромбанк;354;Москва и обл.;1 857 262 691,00;1 852 611 021,00;4 651 670,00;0,25
4;0;Россельхозбанк;3349;Москва и обл.;1 213 104 781,00;1 192 335 325,00;20 769 456,00;1,74
5;0;ВТБ 24;1623;Москва и обл.;1 004 670 510,00;998 478 799,00;6 191 711,00;0,62
6;0;БМ-Банк;2748;Москва и обл.;917 604 616,00;898 857 231,00;18 747 385,00;2,09
7;0;Альфа-Банк;1326;Москва и обл.;916 199 545,00;889 519 341,00;26 680 204,00;3,00
8;0;ЮниКредит Банк;1;Москва и обл.;670 230 889,00;639 540 303,00;30 690 586,00;4,80
9;0;Райффайзенбанк;3292;Москва и обл.;546 934 444,00;531 046 242,00;15 888 202,00;2,99
10;0;Промсвязьбанк;3251;Москва и обл.;507 478 393,00;516 049 471,00;-8 571 078,00;-1,66
11;0;Росбанк;2272;Москва и обл.;426 601 293,00;433 575 982,00;-6 974 689,00;-1,61
12;1;Транскредитбанк;2142;Москва и обл.;421 550 106,00;391 683 229,00;29 866 877,00;7,63
13;-1;Банк Уралсиб;30;Москва и обл.;416 929 732,00;410 137 693,00;6 792 039,00;1,66
14;1;МДМ Банк;2562;Новосибирская обл.;388 662 313,00;380 826 192,00;7 836 121,00;2,06
15;-1;Банк Открытие;2209;Москва и обл.;388 566 865,00;382 590 886,00;5 975 979,00;1,56
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;299 582 205,00;295 996 422,00;3 585 783,00;1,21
17;0;Ак Барс;2590;Татарстан;274 868 013,00;265 214 634,00;9 653 379,00;3,64
18;1;Ситибанк;2557;Москва и обл.;260 047 289,00;242 133 367,00;17 913 922,00;7,40
19;-1;Россия;328;Санкт-Петербург и обл.;252 826 810,00;264 823 723,00;-11 996 913,00;-4,53
20;3;Петрокоммерц;1776;Москва и обл.;204 797 012,00;184 905 818,00;19 891 194,00;10,76
