Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2014, тыс. рублей;Ноябрь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
29;-1;Банк Зенит;3255;Москва и обл.;288 552 228,00;280 269 027,00;8 283 201,00;2,96
30;1;Глобэкс;1942;Москва и обл.;284 828 297,00;263 595 866,00;21 232 431,00;8,05
31;6;ИНГ Банк;2495;Москва и обл.;274 710 153,00;230 094 279,00;44 615 874,00;19,39
32;-2;Московский Областной Банк;1751;Москва и обл.;270 138 451,00;265 433 083,00;4 705 368,00;1,77
33;-1;Петрокоммерц;1776;Москва и обл.;262 562 141,00;256 446 471,00;6 115 670,00;2,38
34;-1;Восточный Банк;1460;Амурская обл.;251 010 363,00;251 683 911,00;-673 548,00;-0,27
35;4;Новикомбанк;2546;Москва и обл.;231 742 817,00;211 742 044,00;20 000 773,00;9,45
36;0;Возрождение;1439;Москва и обл.;231 427 104,00;233 044 790,00;-1 617 686,00;-0,69
37;1;Абсолют Банк;2306;Москва и обл.;223 953 193,00;214 556 546,00;9 396 647,00;4,38
38;-3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;220 803 549,00;233 951 997,00;-13 148 448,00;-5,62
39;2;Внешпромбанк;3261;Москва и обл.;211 219 791,00;205 233 672,00;5 986 119,00;2,92
40;2;Московский Индустриальный Банк;912;Москва и обл.;207 948 017,00;204 823 017,00;3 125 000,00;1,53
41;-1;МТС Банк;2268;Москва и обл.;196 458 619,00;207 833 426,00;-11 374 807,00;-5,47
42;1;Совкомбанк;963;Костромская обл.;187 623 355,00;182 481 955,00;5 141 400,00;2,82
43;1;ОТП Банк;2766;Москва и обл.;185 469 001,00;171 473 157,00;13 995 844,00;8,16
44;5;Банк ДОМ.РФ;2312;Москва и обл.;173 772 954,00;146 070 359,00;27 702 595,00;18,97
45;0;Транскапиталбанк;2210;Москва и обл.;165 649 405,00;158 725 327,00;6 924 078,00;4,36
46;2;Российский Кредит;324;Москва и обл.;162 266 443,00;154 445 426,00;7 821 017,00;5,06
47;-1;Кредит Европа Банк;3311;Москва и обл.;161 046 273,00;155 376 153,00;5 670 120,00;3,65
48;-1;Татфондбанк;3058;Татарстан;157 564 198,00;155 203 715,00;2 360 483,00;1,52
49;1;РосЕвроБанк;3137;Москва и обл.;148 179 928,00;140 090 555,00;8 089 373,00;5,77
50;3;Ренессанс Кредит;3354;Москва и обл.;135 167 771,00;131 266 563,00;3 901 208,00;2,97
51;12;Национальный Расчетный Депозитарий;3294;Москва и обл.;134 814 277,00;112 513 680,00;22 300 597,00;19,82
52;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;134 754 435,00;131 657 248,00;3 097 187,00;2,35
53;1;Тинькофф Банк;2673;Москва и обл.;131 125 865,00;127 894 984,00;3 230 881,00;2,53
54;-3;ДельтаКредит;3338;Москва и обл.;130 602 856,00;134 334 203,00;-3 731 347,00;-2,78
55;0;МСП Банк;3340;Москва и обл.;129 920 841,00;126 740 492,00;3 180 349,00;2,51
56;11;Дойче Банк;3328;Москва и обл.;129 344 351,00;97 192 634,00;32 151 717,00;33,08
57;1;Инвестторгбанк;2763;Москва и обл.;125 757 851,00;118 719 949,00;7 037 902,00;5,93
58;4;Пробизнесбанк;2412;Москва и обл.;124 785 622,00;112 853 129,00;11 932 493,00;10,57
59;-2;СКБ-Банк;705;Свердловская обл.;121 228 066,00;120 174 805,00;1 053 261,00;0,88
60;1;Авангард;2879;Москва и обл.;120 348 909,00;113 252 295,00;7 096 614,00;6,27
61;-2;РГС Банк;3073;Москва и обл.;119 823 102,00;118 310 672,00;1 512 430,00;1,28
62;-6;Русфинанс Банк;1792;Самарская обл.;118 461 895,00;123 747 847,00;-5 285 952,00;-4,27
63;6;ЦентроКредит;121;Москва и обл.;115 228 184,00;96 489 303,00;18 738 881,00;19,42
64;-4;Пересвет;2110;Москва и обл.;113 699 652,00;113 873 327,00;-173 675,00;-0,15
65;13;БНП Париба Банк;3407;Москва и обл.;113 124 212,00;83 037 110,00;30 087 102,00;36,23
66;-2;Балтийский Банк;128;Москва и обл.;107 683 049,00;107 175 335,00;507 714,00;0,47
67;1;Югра;880;Ханты-Мансийский АО — Югра;107 662 909,00;96 582 823,00;11 080 086,00;11,47
68;-3;Запсибкомбанк;918;Тюменская обл.;104 254 848,00;104 298 506,00;-43 658,00;-0,04
69;-3;Сетелем Банк;2168;Москва и обл.;101 383 612,00;100 988 496,00;395 116,00;0,39
70;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;96 312 160,00;90 152 800,00;6 159 360,00;6,83
71;5;Металлинвестбанк;2440;Москва и обл.;91 286 427,00;83 926 135,00;7 360 292,00;8,77
72;-1;Банк БФА;3038;Санкт-Петербург и обл.;90 915 321,00;90 753 805,00;161 516,00;0,18
73;6;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;90 167 566,00;81 917 783,00;8 249 783,00;10,07
74;11;Международный Финансовый Клуб;2618;Москва и обл.;87 632 138,00;74 026 503,00;13 605 635,00;18,38
75;-2;Центр-инвест;2225;Ростовская обл.;87 377 099,00;86 309 335,00;1 067 764,00;1,24
76;-6;Локо-Банк;2707;Москва и обл.;85 330 075,00;93 354 383,00;-8 024 308,00;-8,60
77;3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;84 211 616,00;80 807 707,00;3 403 909,00;4,21
78;-1;Союз;2307;Москва и обл.;83 897 315,00;83 166 057,00;731 258,00;0,88
79;4;Роскосмосбанк;2989;Москва и обл.;83 384 546,00;75 676 701,00;7 707 845,00;10,19
80;2;СБ Банк (Судостроительный банк);2999;Москва и обл.;82 332 409,00;76 513 141,00;5 819 268,00;7,61
81;-7;Нота-Банк;2913;Москва и обл.;81 431 800,00;84 919 270,00;-3 487 470,00;-4,11
82;-7;Рост Банк;2888;Москва и обл.;80 055 343,00;84 700 622,00;-4 645 279,00;-5,48
83;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;76 469 758,00;74 825 055,00;1 644 703,00;2,20
84;-3;Банк Интеза;2216;Москва и обл.;73 988 269,00;78 479 555,00;-4 491 286,00;-5,72
85;3;Первобанк;3461;Самарская обл.;72 902 139,00;67 223 866,00;5 678 273,00;8,45
86;1;Интеркоммерц Банк;1657;Москва и обл.;71 753 157,00;69 821 262,00;1 931 895,00;2,77
87;7;Бинбанк Диджитал;2827;Москва и обл.;70 371 722,00;54 711 029,00;15 660 693,00;28,62
88;-2;Связной Банк;1961;Москва и обл.;64 842 149,00;72 803 070,00;-7 960 921,00;-10,93
89;2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;63 591 630,00;57 741 067,00;5 850 563,00;10,13
90;-1;Юниаструм Банк;2771;Москва и обл.;61 709 666,00;64 595 216,00;-2 885 550,00;-4,47
91;1;РосинтерБанк;226;Москва и обл.;59 644 389,00;57 161 434,00;2 482 955,00;4,34
92;4;Национальный Стандарт;3421;Москва и обл.;58 970 024,00;53 341 325,00;5 628 699,00;10,55
93;-3;Тойота Банк;3470;Москва и обл.;58 546 009,00;58 042 926,00;503 083,00;0,87
94;-1;Экспобанк;2998;Москва и обл.;55 606 589,00;54 880 740,00;725 849,00;1,32
95;2;Банк Финсервис;3388;Москва и обл.;55 340 038,00;52 407 121,00;2 932 917,00;5,60
96;3;Финпромбанк (ФПБ Банк);2157;Москва и обл.;55 246 192,00;52 235 105,00;3 011 087,00;5,76
97;18;Еврофинанс Моснарбанк;2402;Москва и обл.;54 984 743,00;43 158 717,00;11 826 026,00;27,40
98;21;Меткомбанк (Череповец);901;Вологодская обл.;54 031 976,00;40 134 880,00;13 897 096,00;34,63
99;-1;Почта Банк;650;Москва и обл.;53 708 023,00;52 238 054,00;1 469 969,00;2,81
100;3;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;52 650 272,00;50 573 965,00;2 076 307,00;4,11
101;-1;Кубань Кредит;2518;Краснодарский край;51 733 873,00;51 253 404,00;480 469,00;0,94
102;7;Фора-Банк;1885;Москва и обл.;51 051 381,00;47 364 698,00;3 686 683,00;7,78
103;5;БФГ-Кредит;3068;Москва и обл.;50 480 415,00;47 366 293,00;3 114 122,00;6,57
104;-2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;49 709 890,00;50 766 090,00;-1 056 200,00;-2,08
105;-1;Таврический Банк;2304;Санкт-Петербург и обл.;49 440 095,00;49 531 180,00;-91 085,00;-0,18
106;7;Аверс;415;Татарстан;49 376 981,00;44 007 647,00;5 369 334,00;12,20
107;-2;Мосстройэкономбанк (М Банк);948;Москва и обл.;49 322 086,00;48 323 778,00;998 308,00;2,07
108;-13;Экспо Финанс;2594;Москва и обл.;48 933 138,00;53 783 736,00;-4 850 598,00;-9,02
109;-8;АйСиБиСи Банк;3475;Москва и обл.;47 478 331,00;50 906 637,00;-3 428 306,00;-6,73
110;-4;Собинбанк;1317;Москва и обл.;47 343 915,00;48 125 158,00;-781 243,00;-1,62
111;0;Военно-Промышленный Банк;3065;Москва и обл.;47 227 976,00;44 800 619,00;2 427 357,00;5,42
112;0;Экспресс-Волга;3085;Саратовская обл.;46 121 549,00;44 525 159,00;1 596 390,00;3,59
113;3;Коммерцбанк (Евразия);3333;Москва и обл.;45 353 084,00;42 959 895,00;2 393 189,00;5,57
114;0;Межтопэнергобанк;2956;Москва и обл.;45 225 480,00;43 527 663,00;1 697 817,00;3,90
115;-5;Фольксваген Банк Рус;3500;Москва и обл.;44 724 296,00;46 324 490,00;-1 600 194,00;-3,45
116;-9;МБА-Москва;3395;Москва и обл.;44 504 918,00;47 417 789,00;-2 912 871,00;-6,14
117;1;СДМ-Банк;1637;Москва и обл.;42 527 005,00;40 525 258,00;2 001 747,00;4,94
118;8;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;41 373 501,00;37 486 661,00;3 886 840,00;10,37
119;6;Росэнергобанк;2211;Москва и обл.;40 969 858,00;37 708 391,00;3 261 467,00;8,65
120;0;Интерпромбанк;3266;Москва и обл.;40 867 717,00;38 902 800,00;1 964 917,00;5,05
121;0;Примсоцбанк;2733;Приморский край;39 522 896,00;38 690 709,00;832 187,00;2,15
122;-5;Крайинвестбанк;3360;Краснодарский край;39 469 306,00;41 199 551,00;-1 730 245,00;-4,20
123;0;Челиндбанк;485;Челябинская обл.;38 914 403,00;37 933 960,00;980 443,00;2,58
124;0;Кольцо Урала;65;Свердловская обл.;38 376 277,00;37 845 493,00;530 784,00;1,40
125;-3;Саровбизнесбанк;2048;Нижегородская обл.;38 341 319,00;38 058 776,00;282 543,00;0,74
126;2;Русский Международный Банк;3123;Москва и обл.;38 188 551,00;36 813 517,00;1 375 034,00;3,74
127;3;Интерпрогрессбанк;600;Москва и обл.;37 869 139,00;36 661 339,00;1 207 800,00;3,29
128;1;Банк «Советский»;558;Санкт-Петербург и обл.;37 490 502,00;36 747 166,00;743 336,00;2,02
129;2;Образование;1521;Москва и обл.;37 281 564,00;36 249 584,00;1 031 980,00;2,85
130;-3;Челябинвестбанк;493;Челябинская обл.;37 175 510,00;37 195 649,00;-20 139,00;-0,05
131;14;Натиксис Банк;3390;Москва и обл.;36 968 869,00;29 291 139,00;7 677 730,00;26,21
132;1;ББР Банк;2929;Москва и обл.;36 866 305,00;34 587 478,00;2 278 827,00;6,59
133;-1;НС Банк;3124;Москва и обл.;36 314 322,00;35 817 692,00;496 630,00;1,39
134;3;М2М Прайвет Банк;1414;Москва и обл.;35 866 884,00;33 553 436,00;2 313 448,00;6,89
135;-1;Левобережный;1343;Новосибирская обл.;34 423 276,00;34 460 083,00;-36 807,00;-0,11
136;-1;Севергазбанк;2816;Вологодская обл.;34 029 605,00;34 262 754,00;-233 149,00;-0,68
137;2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;32 836 081,00;33 170 058,00;-333 977,00;-1,01
138;-2;БыстроБанк;1745;Удмуртия;32 823 787,00;33 917 595,00;-1 093 808,00;-3,22
139;1;Газбанк;2316;Самарская обл.;32 614 401,00;32 572 002,00;42 399,00;0,13
140;8;Бэнк оф Чайна;2309;Москва и обл.;32 333 259,00;28 552 226,00;3 781 033,00;13,24
141;0;Русстройбанк;3205;Москва и обл.;31 799 935,00;32 196 918,00;-396 983,00;-1,23
142;4;РН Банк;170;Москва и обл.;31 419 509,00;28 946 356,00;2 473 153,00;8,54
143;-1;Транспортный;3174;Москва и обл.;31 159 153,00;31 272 000,00;-112 847,00;-0,36
144;3;ПЧРБ Банк;3291;Москва и обл.;30 801 215,00;28 799 723,00;2 001 492,00;6,95
145;-7;АМБ Банк;3036;Москва и обл.;30 310 139,00;33 552 659,00;-3 242 520,00;-9,66
146;22;БКС Банк;101;Новосибирская обл.;30 037 913,00;23 171 769,00;6 866 144,00;29,63
147;-3;Банк АВБ;23;Самарская обл.;29 787 437,00;30 588 361,00;-800 924,00;-2,62
148;2;Агропромкредит;2880;Москва и обл.;28 220 885,00;27 991 128,00;229 757,00;0,82
149;3;Дальневосточный Банк;843;Приморский край;28 019 669,00;27 853 329,00;166 340,00;0,60
150;7;Кредит Урал Банк;2584;Челябинская обл.;27 958 200,00;25 654 363,00;2 303 837,00;8,98
151;0;Кедр;1574;Красноярский край;27 076 435,00;27 865 521,00;-789 086,00;-2,83
152;7;РНКБ;1354;Москва и обл.;26 885 523,00;25 385 577,00;1 499 946,00;5,91
153;1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 174 995,00;26 730 854,00;-555 859,00;-2,08
154;4;Интехбанк;2705;Татарстан;26 001 233,00;25 519 722,00;481 511,00;1,89
155;-2;Модульбанк;1927;Костромская обл.;25 903 240,00;26 732 821,00;-829 581,00;-3,10
156;5;Липецккомбанк;1242;Липецкая обл.;25 836 898,00;25 277 353,00;559 545,00;2,21
157;-2;Приморье;3001;Приморский край;25 589 608,00;26 322 983,00;-733 375,00;-2,79
158;5;Балтика;967;Москва и обл.;25 560 066,00;24 161 106,00;1 398 960,00;5,79
159;3;Акибанк;2587;Татарстан;25 237 792,00;25 093 458,00;144 334,00;0,58
160;-4;Девон-Кредит;1972;Татарстан;24 933 438,00;26 183 201,00;-1 249 763,00;-4,77
161;-12;Банк Кредит Свисс;2494;Москва и обл.;24 598 725,00;28 425 955,00;-3 827 230,00;-13,46
162;10;Москоммерцбанк;3365;Москва и обл.;24 494 155,00;21 642 483,00;2 851 672,00;13,18
163;4;АктивКапитал Банк;3006;Самарская обл.;24 306 984,00;23 888 710,00;418 274,00;1,75
164;0;Урал ФД;249;Пермская обл.;23 821 362,00;24 118 651,00;-297 289,00;-1,23
165;5;Легион;3117;Москва и обл.;23 427 049,00;22 835 475,00;591 574,00;2,59
166;0;Альта-Банк;2269;Москва и обл.;23 367 735,00;23 968 340,00;-600 605,00;-2,51
167;4;Спурт Банк;2207;Татарстан;22 903 035,00;22 375 735,00;527 300,00;2,36
168;1;Тимер Банк;1581;Татарстан;22 867 923,00;23 026 126,00;-158 203,00;-0,69
169;9;Тольяттихимбанк;2507;Самарская обл.;22 696 930,00;19 990 591,00;2 706 339,00;13,54
170;24;Данске Банк;3307;Санкт-Петербург и обл.;22 290 205,00;17 641 471,00;4 648 734,00;26,35
171;10;Ланта-Банк;1920;Москва и обл.;21 753 287,00;19 439 991,00;2 313 296,00;11,90
172;-7;Платежный Центр;3166;Новосибирская обл.;21 636 215,00;23 973 935,00;-2 337 720,00;-9,75
173;0;Морской Банк;77;Москва и обл.;21 573 795,00;20 905 878,00;667 917,00;3,19
174;0;Солидарность;554;Самарская обл.;21 247 024,00;20 640 754,00;606 270,00;2,94
175;7;ОФК Банк;2270;Москва и обл.;21 240 616,00;19 261 544,00;1 979 072,00;10,27
176;0;ФИА-Банк;2542;Самарская обл.;20 972 688,00;20 560 393,00;412 295,00;2,01
177;-2;АйМаниБанк;1975;Москва и обл.;20 458 740,00;20 633 255,00;-174 515,00;-0,85
178;5;Газэнергобанк;3252;Калужская обл.;20 409 009,00;19 215 487,00;1 193 522,00;6,21
179;7;МАСТ-Банк;3267;Москва и обл.;20 408 977,00;19 017 693,00;1 391 284,00;7,32
180;-37;Морган Стэнли Банк;3456;Москва и обл.;20 368 646,00;30 770 324,00;-10 401 678,00;-33,80
181;-4;БМВ Банк;3482;Москва и обл.;20 339 806,00;20 174 878,00;164 928,00;0,82
182;-2;Энергобанк;67;Татарстан;19 939 021,00;19 658 763,00;280 258,00;1,43
183;2;Транснациональный Банк;2108;Москва и обл.;19 891 090,00;19 126 310,00;764 780,00;4,00
184;-5;Алмазэргиэнбанк;2602;Саха (Якутия);19 880 844,00;19 721 993,00;158 851,00;0,81
185;5;Держава;2738;Москва и обл.;19 733 582,00;18 022 590,00;1 710 992,00;9,49
186;1;Московское Ипотечное Агентство;3344;Москва и обл.;18 984 739,00;18 772 702,00;212 037,00;1,13
187;1;НБД-Банк;1966;Нижегородская обл.;18 508 173,00;18 215 938,00;292 235,00;1,60
188;3;Объединенный Капитал;2611;Санкт-Петербург и обл.;18 263 606,00;17 949 759,00;313 847,00;1,75
189;3;Денизбанк Москва;3330;Москва и обл.;18 146 065,00;17 762 007,00;384 058,00;2,16
190;-1;Курскпромбанк;735;Курская обл.;18 031 721,00;18 171 029,00;-139 308,00;-0,77
191;8;Норвик Банк;902;Кировская обл.;17 465 865,00;16 716 131,00;749 734,00;4,49
192;4;Инвесткапиталбанк;2377;Башкортостан;17 278 229,00;17 104 747,00;173 482,00;1,01
193;2;Уралтрансбанк;812;Свердловская обл.;17 222 514,00;17 280 196,00;-57 682,00;-0,33
194;4;Анталбанк;3115;Москва и обл.;17 076 747,00;16 716 283,00;360 464,00;2,16
195;10;Расчетно-Кредитный Банк;103;Москва и обл.;16 956 326,00;15 968 000,00;988 326,00;6,19
196;5;ГПБ-Ипотека;2403;Москва и обл.;16 838 350,00;16 499 377,00;338 973,00;2,05
197;0;Форштадт;2208;Оренбургская обл.;16 817 610,00;16 892 531,00;-74 921,00;-0,44
198;5;Гранд Инвест Банк;3053;Москва и обл.;16 703 150,00;16 338 527,00;364 623,00;2,23
199;-6;Нацинвестпромбанк;3077;Москва и обл.;16 674 336,00;17 700 525,00;-1 026 189,00;-5,80
200;2;Квантмобайл Банк;1189;Москва и обл.;16 596 215,00;16 364 215,00;232 000,00;1,42
201;16;Энерготрансбанк;1307;Калининградская обл.;16 405 158,00;14 557 288,00;1 847 870,00;12,69
202;7;СЭБ Банк;3235;Санкт-Петербург и обл.;16 187 580,00;15 413 030,00;774 550,00;5,03
203;-3;Национальный Резервный Банк;2170;Москва и обл.;16 089 351,00;16 610 993,00;-521 642,00;-3,14
204;2;Рублев;3098;Москва и обл.;16 052 168,00;15 896 714,00;155 454,00;0,98
205;-21;Алеф-Банк;2119;Москва и обл.;16 044 896,00;19 152 721,00;-3 107 825,00;-16,23
206;-2;Банк Город;2644;Москва и обл.;16 043 002,00;15 978 122,00;64 880,00;0,41
207;0;Хлынов;254;Кировская обл.;15 690 856,00;15 716 400,00;-25 544,00;-0,16
208;2;Тусар;2712;Москва и обл.;15 622 859,00;15 128 698,00;494 161,00;3,27
209;14;Автоторгбанк;2776;Москва и обл.;15 622 073,00;13 813 720,00;1 808 353,00;13,09
210;5;Клиентский;2324;Москва и обл.;15 384 061,00;14 777 053,00;607 008,00;4,11
211;0;СтарБанк;548;Москва и обл.;15 191 377,00;15 115 205,00;76 172,00;0,50
212;8;Росэксимбанк;2790;Москва и обл.;15 182 898,00;13 869 017,00;1 313 881,00;9,47
213;6;Национальная Факторинговая Компания;3437;Москва и обл.;15 043 044,00;14 171 492,00;871 552,00;6,15
214;-6;РосДорБанк;1573;Москва и обл.;14 978 058,00;15 465 708,00;-487 650,00;-3,15
215;-2;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Костромская обл.;14 962 321,00;15 040 398,00;-78 077,00;-0,52
216;9;Генбанк;2490;Москва и обл.;14 926 342,00;13 751 834,00;1 174 508,00;8,54
217;-3;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;14 908 129,00;14 899 808,00;8 321,00;0,06
218;0;Развитие-Столица;3013;Москва и обл.;14 678 753,00;14 276 052,00;402 701,00;2,82
219;8;Чайна Констракшн;3515;Москва и обл.;14 495 202,00;13 580 976,00;914 226,00;6,73
220;25;Аресбанк;2914;Москва и обл.;14 235 961,00;11 916 837,00;2 319 124,00;19,46
221;3;Росавтобанк;2767;Москва и обл.;14 182 075,00;13 766 952,00;415 123,00;3,02
222;16;Ишбанк;2867;Москва и обл.;14 143 456,00;12 435 302,00;1 708 154,00;13,74
223;-11;Гаранти Банк — Москва;3275;Москва и обл.;14 088 751,00;15 077 204,00;-988 453,00;-6,56
224;9;Стратегия;2801;Москва и обл.;14 009 394,00;12 523 187,00;1 486 207,00;11,87
225;-3;БайкалБанк;2632;Бурятия;13 958 363,00;13 821 024,00;137 339,00;0,99
226;0;Банк Акцепт;567;Новосибирская обл.;13 829 368,00;13 604 843,00;224 525,00;1,65
227;2;ТЭМБР-Банк;2764;Москва и обл.;13 796 320,00;13 146 814,00;649 506,00;4,94
228;-12;Пойдем!;2534;Москва и обл.;13 771 046,00;14 659 086,00;-888 040,00;-6,06
229;-1;НК Банк;2755;Москва и обл.;13 503 913,00;13 414 344,00;89 569,00;0,67
230;4;Экономбанк;1319;Саратовская обл.;13 378 805,00;12 504 316,00;874 489,00;6,99
231;10;Русский Ипотечный Банк;1968;Москва и обл.;13 198 579,00;12 198 685,00;999 894,00;8,20
232;7;Тройка-Д Банк;3431;Москва и обл.;13 117 370,00;12 386 747,00;730 623,00;5,90
233;3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;13 093 448,00;12 484 612,00;608 836,00;4,88
234;-4;Первомайский;518;Краснодарский край;12 862 488,00;12 928 827,00;-66 339,00;-0,51
235;2;Гарант-Инвест;2576;Москва и обл.;12 806 858,00;12 472 252,00;334 606,00;2,68
236;8;ВУЗ-Банк;1557;Свердловская обл.;12 681 531,00;11 996 900,00;684 631,00;5,71
237;-2;Социнвестбанк;1132;Башкортостан;12 593 812,00;12 497 320,00;96 492,00;0,77
238;-6;Центркомбанк;2983;Москва и обл.;12 590 344,00;12 569 589,00;20 755,00;0,17
239;3;Дил-Банк;3384;Москва и обл.;12 182 091,00;12 114 079,00;68 012,00;0,56
240;16;Русьуниверсалбанк;3293;Москва и обл.;12 146 033,00;10 877 100,00;1 268 933,00;11,67
241;6;Унифин;2654;Москва и обл.;12 142 075,00;11 420 595,00;721 480,00;6,32
242;12;Нефтяной Альянс;2859;Москва и обл.;12 077 141,00;11 010 243,00;1 066 898,00;9,69
243;-12;Метробанк;2548;Москва и обл.;12 057 805,00;12 853 707,00;-795 902,00;-6,19
244;-4;Гута-Банк;256;Москва и обл.;11 800 411,00;12 299 124,00;-498 713,00;-4,05
245;4;Александровский;53;Санкт-Петербург и обл.;11 731 285,00;11 398 515,00;332 770,00;2,92
246;-3;Солидарность (Москва);1555;Москва и обл.;11 730 613,00;12 095 399,00;-364 786,00;-3,02
247;1;ОПМ-Банк;2734;Москва и обл.;11 703 126,00;11 405 076,00;298 050,00;2,61
248;-27;Киви Банк;2241;Москва и обл.;11 672 511,00;13 825 336,00;-2 152 825,00;-15,57
249;6;Хованский;2145;Москва и обл.;11 570 322,00;10 958 703,00;611 619,00;5,58
250;7;Солид Банк;1329;Камчатская обл.;11 509 121,00;10 845 530,00;663 591,00;6,12
251;-5;Международный Акционерный Банк;1987;Москва и обл.;11 440 034,00;11 797 071,00;-357 037,00;-3,03
252;1;Мир Бизнес Банк;3396;Москва и обл.;11 283 300,00;11 138 369,00;144 931,00;1,30
253;-1;Прио-Внешторгбанк;212;Рязанская обл.;11 272 733,00;11 153 543,00;119 190,00;1,07
254;10;Темпбанк;55;Москва и обл.;10 927 359,00;10 255 636,00;671 723,00;6,55
255;3;ЕвроситиБанк;1869;Москва и обл.;10 833 327,00;10 776 737,00;56 590,00;0,53
256;45;Кубаньторгбанк;478;Краснодарский край;10 744 231,00;7 833 831,00;2 910 400,00;37,15
257;2;Банк Оренбург;3269;Оренбургская обл.;10 742 972,00;10 682 229,00;60 743,00;0,57
258;-8;Кредит-Москва;5;Москва и обл.;10 728 036,00;11 195 677,00;-467 641,00;-4,18
259;1;Энергомашбанк;52;Санкт-Петербург и обл.;10 610 052,00;10 619 279,00;-9 227,00;-0,09
