Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2014, тыс. рублей;Ноябрь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;20 451 148 750,00;19 285 063 731,00;1 166 085 019,00;6,05
2;0;ВТБ;1000;Санкт-Петербург и обл.;7 718 404 263,00;6 966 844 969,00;751 559 294,00;10,79
3;0;Газпромбанк;354;Москва и обл.;4 527 651 988,00;4 217 244 613,00;310 407 375,00;7,36
4;0;ВТБ 24;1623;Москва и обл.;2 767 994 716,00;2 572 458 296,00;195 536 420,00;7,60
5;0;БМ-Банк;2748;Москва и обл.;2 429 501 449,00;2 142 605 685,00;286 895 764,00;13,39
6;1;Альфа-Банк;1326;Москва и обл.;2 123 947 035,00;1 962 205 694,00;161 741 341,00;8,24
7;-1;Россельхозбанк;3349;Москва и обл.;2 114 023 345,00;2 051 923 053,00;62 100 292,00;3,03
8;0;Банк Открытие;2209;Москва и обл.;1 511 339 105,00;1 341 595 630,00;169 743 475,00;12,65
9;0;ЮниКредит Банк;1;Москва и обл.;1 201 919 285,00;1 127 257 386,00;74 661 899,00;6,62
10;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 138 395 443,00;1 101 313 762,00;37 081 681,00;3,37
11;0;Промсвязьбанк;3251;Москва и обл.;1 004 937 750,00;974 770 002,00;30 167 748,00;3,09
12;1;Райффайзенбанк;3292;Москва и обл.;905 911 611,00;816 826 100,00;89 085 511,00;10,91
13;-1;Росбанк;2272;Москва и обл.;890 749 519,00;860 988 151,00;29 761 368,00;3,46
14;9;Ханты-Мансийский банк Открытие;1971;Москва и обл.;624 586 166,00;351 478 044,00;273 108 122,00;77,70
15;-1;Московский Кредитный Банк;1978;Москва и обл.;557 249 006,00;529 766 401,00;27 482 605,00;5,19
16;-1;Россия;328;Санкт-Петербург и обл.;527 636 913,00;501 820 161,00;25 816 752,00;5,14
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;514 129 079,00;485 994 592,00;28 134 487,00;5,79
18;-1;Русский Стандарт;2289;Москва и обл.;445 677 000,00;458 883 101,00;-13 206 101,00;-2,88
19;-1;Ак Барс;2590;Татарстан;426 179 814,00;416 036 436,00;10 143 378,00;2,44
20;-1;Банк Уралсиб;30;Москва и обл.;389 972 137,00;386 597 920,00;3 374 217,00;0,87
21;0;Ситибанк;2557;Москва и обл.;381 893 740,00;372 272 508,00;9 621 232,00;2,58
22;3;Нордеа Банк;3016;Москва и обл.;381 172 184,00;341 126 841,00;40 045 343,00;11,74
23;-1;Связь-Банк;1470;Москва и обл.;377 847 175,00;354 961 655,00;22 885 520,00;6,45
24;-4;МДМ Банк;2562;Новосибирская обл.;375 658 797,00;377 812 871,00;-2 154 074,00;-0,57
25;-1;Хоум Кредит Банк;316;Москва и обл.;335 340 616,00;344 460 653,00;-9 120 037,00;-2,65
26;0;СМП Банк;3368;Москва и обл.;334 200 499,00;311 320 366,00;22 880 133,00;7,35
27;0;Бинбанк;323;Москва и обл.;316 826 257,00;283 462 369,00;33 363 888,00;11,77
28;1;Траст;3279;Москва и обл.;291 254 821,00;273 226 513,00;18 028 308,00;6,60
