Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2017, тыс. рублей;Июль, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
65;2;Банк Финсервис;3388;Москва и обл.;103 030 148,00;102 520 422,00;509 726,00;0,50
66;2;Таврический Банк;2304;Санкт-Петербург и обл.;102 738 700,00;101 065 702,00;1 672 998,00;1,66
67;2;Центр-инвест;2225;Ростовская обл.;101 904 124,00;98 915 621,00;2 988 503,00;3,02
68;-16;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;100 057 489,00;138 902 082,00;-38 844 593,00;-27,97
69;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;93 828 078,00;83 927 937,00;9 900 141,00;11,80
70;44;БКС Банк;101;Новосибирская обл.;86 867 529,00;35 676 208,00;51 191 321,00;143,49
71;1;Союз;2307;Москва и обл.;82 155 271,00;79 693 624,00;2 461 647,00;3,09
72;2;Кубань Кредит;2518;Краснодарский край;80 899 583,00;79 041 668,00;1 857 915,00;2,35
73;4;Росэксимбанк;2790;Москва и обл.;77 602 616,00;73 918 817,00;3 683 799,00;4,98
74;1;Локо-Банк;2707;Москва и обл.;77 568 732,00;78 141 818,00;-573 086,00;-0,73
75;4;РН Банк;170;Москва и обл.;76 035 528,00;72 517 720,00;3 517 808,00;4,85
76;0;ЦентроКредит;121;Москва и обл.;76 032 856,00;76 101 665,00;-68 809,00;-0,09
77;1;ВУЗ-Банк;1557;Свердловская обл.;73 702 030,00;73 762 163,00;-60 133,00;-0,08
78;-5;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;72 344 323,00;79 142 986,00;-6 798 663,00;-8,59
79;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;67 897 838,00;70 951 834,00;-3 053 996,00;-4,30
80;1;Металлинвестбанк;2440;Москва и обл.;67 622 898,00;69 511 101,00;-1 888 203,00;-2,72
81;1;Экспобанк;2998;Москва и обл.;65 790 631,00;67 569 243,00;-1 778 612,00;-2,63
82;1;Дойче Банк;3328;Москва и обл.;65 473 117,00;67 200 156,00;-1 727 039,00;-2,57
83;5;БНП Париба Банк;3407;Москва и обл.;63 091 398,00;57 032 987,00;6 058 411,00;10,62
84;0;ОФК Банк;2270;Москва и обл.;60 018 444,00;60 792 199,00;-773 755,00;-1,27
85;2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;58 941 184,00;58 528 752,00;412 432,00;0,70
86;-1;Балтийский Банк;128;Санкт-Петербург и обл.;58 194 870,00;60 165 348,00;-1 970 478,00;-3,28
87;-1;Банк Интеза;2216;Москва и обл.;56 998 629,00;59 631 052,00;-2 632 423,00;-4,41
88;1;СДМ-Банк;1637;Москва и обл.;56 572 682,00;55 827 025,00;745 657,00;1,34
89;2;Крайинвестбанк;3360;Краснодарский край;54 888 762,00;54 546 675,00;342 087,00;0,63
90;0;Тойота Банк;3470;Москва и обл.;54 624 989,00;55 288 396,00;-663 407,00;-1,20
91;2;Международный Финансовый Клуб;2618;Москва и обл.;53 402 889,00;52 742 416,00;660 473,00;1,25
92;0;Социнвестбанк;1132;Башкортостан;53 363 741,00;52 865 822,00;497 919,00;0,94
93;1;ББР Банк;2929;Москва и обл.;52 852 232,00;52 405 350,00;446 882,00;0,85
94;1;АйСиБиСи Банк;3475;Москва и обл.;50 603 156,00;51 200 316,00;-597 160,00;-1,17
95;1;Челябинвестбанк;493;Челябинская обл.;50 030 768,00;49 455 188,00;575 580,00;1,16
96;2;Примсоцбанк;2733;Приморский край;49 120 477,00;48 406 734,00;713 743,00;1,47
97;2;Левобережный;1343;Новосибирская обл.;48 285 360,00;48 364 698,00;-79 338,00;-0,16
98;-1;Газэнергобанк;3252;Калужская обл.;48 198 176,00;48 707 366,00;-509 190,00;-1,05
99;5;Интерпрогрессбанк;600;Москва и обл.;47 634 241,00;43 777 632,00;3 856 609,00;8,81
100;0;Челиндбанк;485;Челябинская обл.;47 617 627,00;47 286 087,00;331 540,00;0,70
101;0;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;47 357 827,00;46 314 968,00;1 042 859,00;2,25
102;0;Севергазбанк;2816;Вологодская обл.;47 095 729,00;45 558 250,00;1 537 479,00;3,37
103;5;Еврофинанс Моснарбанк;2402;Москва и обл.;46 654 450,00;40 103 230,00;6 551 220,00;16,34
104;-1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;46 520 668,00;44 261 933,00;2 258 735,00;5,10
105;0;Фора-Банк;1885;Москва и обл.;43 856 721,00;43 668 375,00;188 346,00;0,43
106;1;Саровбизнесбанк;2048;Нижегородская обл.;41 423 387,00;41 837 889,00;-414 502,00;-0,99
107;3;Финанс Бизнес Банк;520;Москва и обл.;39 299 813,00;37 464 981,00;1 834 832,00;4,90
108;-2;Коммерцбанк (Евразия);3333;Москва и обл.;38 820 951,00;42 693 957,00;-3 873 006,00;-9,07
109;2;Квантмобайл Банк;1189;Москва и обл.;36 819 950,00;37 143 242,00;-323 292,00;-0,87
110;2;БыстроБанк;1745;Удмуртия;36 623 083,00;36 392 815,00;230 268,00;0,63
111;2;Объединенный Капитал;2611;Санкт-Петербург и обл.;34 788 421,00;35 820 177,00;-1 031 756,00;-2,88
112;14;Кредит Урал Банк;2584;Челябинская обл.;34 660 791,00;30 796 290,00;3 864 501,00;12,55
113;5;Кольцо Урала;65;Свердловская обл.;34 422 242,00;32 837 177,00;1 585 065,00;4,83
114;7;Генбанк;2490;Симферополь;34 157 711,00;31 832 092,00;2 325 619,00;7,31
115;8;Фольксваген Банк Рус;3500;Москва и обл.;33 332 119,00;31 340 803,00;1 991 316,00;6,35
116;3;Бинбанк Диджитал;2827;Москва и обл.;32 738 366,00;32 544 148,00;194 218,00;0,60
117;-2;НС Банк;3124;Москва и обл.;32 624 847,00;33 390 941,00;-766 094,00;-2,29
118;-2;Национальный Стандарт;3421;Москва и обл.;32 147 879,00;33 381 332,00;-1 233 453,00;-3,70
119;1;Платежный Центр;3166;Новосибирская обл.;31 898 266,00;32 085 970,00;-187 704,00;-0,59
120;8;Солидарность;554;Самарская обл.;31 862 332,00;30 665 441,00;1 196 891,00;3,90
121;3;Дальневосточный Банк;843;Приморский край;31 746 413,00;31 301 691,00;444 722,00;1,42
122;0;АктивКапитал Банк;3006;Самарская обл.;31 199 526,00;31 345 198,00;-145 672,00;-0,46
123;2;Алмазэргиэнбанк;2602;Саха (Якутия);30 799 394,00;31 270 984,00;-471 590,00;-1,51
124;3;Приморье;3001;Приморский край;30 649 434,00;30 768 697,00;-119 263,00;-0,39
125;6;Газбанк;2316;Самарская обл.;29 639 315,00;29 771 679,00;-132 364,00;-0,44
126;4;Бэнк оф Чайна;2309;Москва и обл.;28 923 670,00;29 967 031,00;-1 043 361,00;-3,48
127;5;СЭБ Банк;3235;Санкт-Петербург и обл.;28 574 101,00;28 530 392,00;43 709,00;0,15
128;9;Энерготрансбанк;1307;Калининградская обл.;27 964 738,00;25 688 348,00;2 276 390,00;8,86
129;5;БМВ Банк;3482;Москва и обл.;27 335 237,00;27 975 664,00;-640 427,00;-2,29
130;3;Интерпромбанк;3266;Москва и обл.;27 318 244,00;28 208 006,00;-889 762,00;-3,15
131;5;Девон-Кредит;1972;Татарстан;27 021 961,00;26 074 457,00;947 504,00;3,63
132;6;Татсоцбанк;480;Татарстан;26 920 456,00;25 625 349,00;1 295 107,00;5,05
133;7;Чайна Констракшн;3515;Москва и обл.;26 818 791,00;25 263 518,00;1 555 273,00;6,16
134;-5;Аресбанк;2914;Москва и обл.;26 727 059,00;30 271 190,00;-3 544 131,00;-11,71
135;4;Ланта-Банк;1920;Москва и обл.;25 642 461,00;25 428 639,00;213 822,00;0,84
136;-19;Мир Бизнес Банк;3396;Москва и обл.;25 200 992,00;33 131 836,00;-7 930 844,00;-23,94
137;4;Акибанк;2587;Татарстан;25 121 046,00;25 068 567,00;52 479,00;0,21
138;-3;Липецккомбанк;1242;Липецкая обл.;24 521 539,00;26 172 996,00;-1 651 457,00;-6,31
139;3;Данске Банк;3307;Санкт-Петербург и обл.;24 330 094,00;24 648 074,00;-317 980,00;-1,29
140;3;Русский Международный Банк;3123;Москва и обл.;23 907 491,00;24 524 587,00;-617 096,00;-2,52
141;5;Энергобанк;67;Татарстан;23 035 685,00;22 806 957,00;228 728,00;1,00
142;6;Курскпромбанк;735;Курская обл.;22 769 802,00;22 450 706,00;319 096,00;1,42
143;8;Натиксис Банк;3390;Москва и обл.;22 701 951,00;21 171 590,00;1 530 361,00;7,23
144;6;Мерседес-Бенц Банк Рус;3473;Москва и обл.;22 461 938,00;21 340 074,00;1 121 864,00;5,26
145;2;Урал ФД;249;Пермская обл.;22 380 593,00;22 799 192,00;-418 599,00;-1,84
146;-1;Агропромкредит;2880;Москва и обл.;21 852 474,00;22 876 852,00;-1 024 378,00;-4,48
147;-3;Московское Ипотечное Агентство;3344;Москва и обл.;21 178 185,00;24 038 436,00;-2 860 251,00;-11,90
148;5;Хлынов;254;Кировская обл.;21 138 571,00;20 859 028,00;279 543,00;1,34
149;0;МБА-Москва;3395;Москва и обл.;20 847 044,00;22 137 527,00;-1 290 483,00;-5,83
150;4;Кошелев-Банк;3300;Самарская обл.;20 800 235,00;20 394 383,00;405 852,00;1,99
151;4;Москоммерцбанк;3365;Москва и обл.;20 219 834,00;20 126 181,00;93 653,00;0,47
152;0;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;19 986 629,00;20 980 156,00;-993 527,00;-4,74
153;4;НБД-Банк;1966;Нижегородская обл.;19 916 845,00;19 597 156,00;319 689,00;1,63
154;2;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;19 713 338,00;19 876 336,00;-162 998,00;-0,82
155;5;Банк Кредит Свисс;2494;Москва и обл.;18 748 262,00;18 361 589,00;386 673,00;2,11
156;2;Тольяттихимбанк;2507;Самарская обл.;18 562 618,00;19 084 611,00;-521 993,00;-2,74
157;7;Рублев;3098;Москва и обл.;18 502 029,00;17 371 305,00;1 130 724,00;6,51
158;5;Алеф-Банк;2119;Москва и обл.;18 398 275,00;17 459 038,00;939 237,00;5,38
159;6;Александровский;53;Санкт-Петербург и обл.;18 245 518,00;17 233 446,00;1 012 072,00;5,87
160;-1;Держава;2738;Москва и обл.;17 848 628,00;18 434 536,00;-585 908,00;-3,18
161;1;Денизбанк Москва;3330;Москва и обл.;17 245 787,00;17 584 786,00;-338 999,00;-1,93
162;5;Развитие-Столица;3013;Москва и обл.;17 192 956,00;16 959 246,00;233 710,00;1,38
163;3;Темпбанк;55;Москва и обл.;17 144 617,00;16 996 924,00;147 693,00;0,87
164;5;Пойдем!;2534;Москва и обл.;16 957 577,00;16 727 897,00;229 680,00;1,37
165;-4;Джей энд Ти Банк;3061;Москва и обл.;16 814 003,00;18 118 262,00;-1 304 259,00;-7,20
166;4;Банк Акцепт;567;Новосибирская обл.;16 313 820,00;16 415 200,00;-101 380,00;-0,62
167;4;Инбанк;1829;Москва и обл.;16 310 531,00;15 806 981,00;503 550,00;3,19
168;6;Объединенный Кредитный Банк;1118;Ярославская обл.;15 713 439,00;15 703 906,00;9 533,00;0,06
169;4;Собинбанк;1317;Москва и обл.;15 550 747,00;15 757 282,00;-206 535,00;-1,31
170;2;Норвик Банк;902;Кировская обл.;15 512 038,00;15 789 261,00;-277 223,00;-1,76
171;7;Нацинвестпромбанк;3077;Москва и обл.;15 342 260,00;15 076 428,00;265 832,00;1,76
172;4;Морской Банк;77;Москва и обл.;15 298 568,00;15 522 507,00;-223 939,00;-1,44
173;9;Банк ВВБ;1093;Севастополь;15 289 834,00;14 466 894,00;822 940,00;5,69
174;3;Расчетно-Кредитный Банк;103;Москва и обл.;15 227 203,00;15 103 128,00;124 075,00;0,82
175;6;Прио-Внешторгбанк;212;Рязанская обл.;15 075 865,00;14 902 066,00;173 799,00;1,17
176;3;НК Банк;2755;Москва и обл.;15 052 759,00;15 054 062,00;-1 303,00;-0,01
177;-2;Гарант-Инвест;2576;Москва и обл.;14 978 776,00;15 573 704,00;-594 928,00;-3,82
178;2;Киви Банк;2241;Москва и обл.;14 905 542,00;14 998 044,00;-92 502,00;-0,62
179;5;Форштадт;2208;Оренбургская обл.;14 541 746,00;14 239 039,00;302 707,00;2,13
180;3;Солидарность (Москва);1555;Москва и обл.;14 486 719,00;14 271 228,00;215 491,00;1,51
181;4;Банк Казани;708;Татарстан;14 351 960,00;14 235 857,00;116 103,00;0,82
182;4;РосДорБанк;1573;Москва и обл.;14 282 045,00;14 195 354,00;86 691,00;0,61
183;6;Национальный Резервный Банк;2170;Москва и обл.;13 882 075,00;13 835 974,00;46 101,00;0,33
184;3;Национальная Факторинговая Компания;3437;Москва и обл.;13 816 339,00;14 162 911,00;-346 572,00;-2,45
185;5;Ишбанк;2867;Москва и обл.;13 770 264,00;13 559 207,00;211 057,00;1,56
186;2;Уралтрансбанк;812;Свердловская обл.;13 735 976,00;13 960 417,00;-224 441,00;-1,61
187;6;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 414 754,00;13 042 352,00;372 402,00;2,86
188;4;КС Банк;1752;Мордовия;13 169 625,00;13 068 024,00;101 601,00;0,78
189;83;Руснарбанк;3403;Москва и обл.;13 057 603,00;5 981 659,00;7 075 944,00;118,29
190;1;Русский Ипотечный Банк;1968;Москва и обл.;12 997 885,00;13 088 291,00;-90 406,00;-0,69
191;17;Ури Банк;3479;Москва и обл.;12 648 169,00;10 874 261,00;1 773 908,00;16,31
192;3;ТЭМБР-Банк;2764;Москва и обл.;12 173 186,00;12 196 511,00;-23 325,00;-0,19
193;4;Агросоюз;1459;Москва и обл.;12 009 167,00;12 013 352,00;-4 185,00;-0,03
194;4;НИКО-Банк;702;Оренбургская обл.;11 944 531,00;11 991 734,00;-47 203,00;-0,39
195;11;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;11 887 479,00;10 923 178,00;964 301,00;8,83
196;-2;Модульбанк;1927;Костромская обл.;11 583 394,00;12 284 941,00;-701 547,00;-5,71
197;5;Ассоциация;732;Нижегородская обл.;11 488 271,00;11 422 755,00;65 516,00;0,57
198;2;Русьуниверсалбанк;3293;Москва и обл.;11 426 693,00;11 617 796,00;-191 103,00;-1,64
199;-3;Датабанк;646;Удмуртия;11 421 504,00;12 168 594,00;-747 090,00;-6,14
200;3;Первомайский;518;Краснодарский край;11 361 915,00;11 398 950,00;-37 035,00;-0,32
201;6;Новопокровский;467;Краснодарский край;11 352 384,00;10 899 148,00;453 236,00;4,16
202;-1;Банк Оренбург;3269;Оренбургская обл.;11 243 036,00;11 617 771,00;-374 735,00;-3,23
203;6;Тройка-Д Банк;3431;Москва и обл.;11 214 379,00;10 808 988,00;405 391,00;3,75
204;-5;Гранд Инвест Банк;3053;Москва и обл.;11 154 747,00;11 772 445,00;-617 698,00;-5,25
205;-1;Солид Банк;1329;Приморский край;11 110 423,00;11 100 871,00;9 552,00;0,09
206;-1;Русский Торговый Банк;2842;Москва и обл.;10 877 286,00;10 924 324,00;-47 038,00;-0,43
207;5;Юг-Инвестбанк;2772;Краснодарский край;10 839 596,00;10 524 929,00;314 667,00;2,99
208;2;Таатта;1249;Саха (Якутия);10 777 432,00;10 778 229,00;-797,00;-0,01
209;2;Реалист Банк;1067;Иркутская обл.;10 356 498,00;10 618 384,00;-261 886,00;-2,47
210;6;Снежинский;1376;Челябинская обл.;9 921 027,00;9 630 305,00;290 722,00;3,02
211;3;Банк Жилищного Финансирования;3138;Москва и обл.;9 759 104,00;9 818 388,00;-59 284,00;-0,60
212;22;Автоторгбанк;2776;Москва и обл.;9 678 665,00;8 025 572,00;1 653 093,00;20,60
213;0;Екатеринбург;3161;Свердловская обл.;9 445 160,00;9 871 679,00;-426 519,00;-4,32
214;131;Крыловский;456;Краснодарский край;9 443 563,00;3 183 897,00;6 259 666,00;196,60
215;7;Углеметбанк;2997;Челябинская обл.;9 212 100,00;8 570 561,00;641 539,00;7,49
216;2;РусЮгбанк;2093;Волгоградская обл.;9 169 463,00;9 015 980,00;153 483,00;1,70
217;3;Воронеж;654;Воронежская обл.;9 030 953,00;8 945 064,00;85 889,00;0,96
218;1;МС Банк Рус;2789;Москва и обл.;8 962 796,00;8 967 327,00;-4 531,00;-0,05
219;2;СИАБ;3245;Санкт-Петербург и обл.;8 937 408,00;8 933 840,00;3 568,00;0,04
220;-5;Эксперт Банк;2949;Омская обл.;8 903 644,00;9 661 405,00;-757 761,00;-7,84
221;-4;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;8 832 081,00;9 356 772,00;-524 691,00;-5,61
222;6;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;8 820 796,00;8 302 645,00;518 151,00;6,24
223;9;Промтрансбанк;2638;Башкортостан;8 668 278,00;8 098 754,00;569 524,00;7,03
224;6;Трансстройбанк;2807;Москва и обл.;8 658 803,00;8 141 675,00;517 128,00;6,35
225;0;Консервативный Коммерческий Банк;1087;Астраханская обл.;8 656 443,00;8 529 223,00;127 220,00;1,49
226;0;Томскпромстройбанк;1720;Томская обл.;8 474 996,00;8 329 222,00;145 774,00;1,75
227;4;Славия;2664;Москва и обл.;8 446 282,00;8 120 422,00;325 860,00;4,01
228;12;Мосуралбанк;2468;Москва и обл.;8 024 846,00;7 791 512,00;233 334,00;2,99
229;6;Вокбанк;312;Нижегородская обл.;8 010 863,00;7 989 116,00;21 747,00;0,27
230;7;Белгородсоцбанк;760;Белгородская обл.;7 994 994,00;7 906 295,00;88 699,00;1,12
231;2;Московский Нефтехимический Банк;1411;Москва и обл.;7 993 808,00;8 083 117,00;-89 309,00;-1,10
232;-8;Азия-Инвест Банк;3303;Москва и обл.;7 978 780,00;8 529 449,00;-550 669,00;-6,46
233;9;Морган Стэнли Банк;3456;Москва и обл.;7 978 288,00;7 471 945,00;506 343,00;6,78
234;-5;Нефтепромбанк;2156;Москва и обл.;7 905 412,00;8 281 194,00;-375 782,00;-4,54
235;1;Энергомашбанк;52;Санкт-Петербург и обл.;7 869 864,00;7 963 561,00;-93 697,00;-1,18
236;7;Кузнецкбизнесбанк;1158;Кемеровская обл.;7 817 351,00;7 451 979,00;365 372,00;4,90
237;25;Российская Финансовая Корпорация;3099;Москва и обл.;7 726 928,00;6 724 961,00;1 001 967,00;14,90
238;1;Кранбанк;2271;Ивановская обл.;7 638 367,00;7 873 484,00;-235 117,00;-2,99
239;-1;Северный Кредит;2398;Вологодская обл.;7 612 193,00;7 878 092,00;-265 899,00;-3,38
240;4;Ставропольпромстройбанк;1288;Ставропольский край;7 578 424,00;7 415 369,00;163 055,00;2,20
241;-14;РЕСО Кредит;3450;Москва и обл.;7 401 910,00;8 312 485,00;-910 575,00;-10,95
242;3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 323 307,00;7 379 522,00;-56 215,00;-0,76
243;5;Хакасский Муниципальный Банк;1049;Хакасия;7 285 860,00;7 108 747,00;177 113,00;2,49
244;5;Уралкапиталбанк;2519;Башкортостан;7 284 420,00;7 103 129,00;181 291,00;2,55
245;1;Актив Банк;2529;Мордовия;7 280 689,00;7 320 317,00;-39 628,00;-0,54
246;1;Банк Раунд;2506;Москва и обл.;7 233 152,00;7 274 621,00;-41 469,00;-0,57
247;-6;Нейва;1293;Свердловская обл.;7 225 679,00;7 503 091,00;-277 412,00;-3,70
248;8;Финам Банк;2799;Москва и обл.;7 118 117,00;6 884 991,00;233 126,00;3,39
249;1;Северо-Восточный Альянс;2768;Москва и обл.;7 115 440,00;7 032 370,00;83 070,00;1,18
250;7;Проминвестбанк;2433;Москва и обл.;6 968 878,00;6 820 947,00;147 931,00;2,17
251;0;Коммерческий Индо Банк;3446;Москва и обл.;6 928 378,00;6 965 665,00;-37 287,00;-0,54
252;2;Чувашкредитпромбанк;1280;Чувашия;6 913 390,00;6 903 066,00;10 324,00;0,15
253;8;ФорБанк;2063;Москва и обл.;6 885 744,00;6 750 157,00;135 587,00;2,01
254;-31;Альба Альянс;2593;Москва и обл.;6 871 342,00;8 531 737,00;-1 660 395,00;-19,46
255;8;Северный Народный Банк;2721;Коми;6 842 016,00;6 652 101,00;189 915,00;2,85
256;2;Газтрансбанк;665;Адыгея;6 833 719,00;6 802 793,00;30 926,00;0,45
257;-5;Русь;704;Оренбургская обл.;6 820 850,00;6 908 778,00;-87 928,00;-1,27
258;10;Новобанк;1352;Новгородская обл.;6 680 616,00;6 377 878,00;302 738,00;4,75
259;-4;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 629 981,00;6 902 729,00;-272 748,00;-3,95
