Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2017, тыс. рублей;Июль, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 322 666 077,00;22 864 607 863,00;458 058 214,00;2,00
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 220 312 364,00;9 137 509 418,00;82 802 946,00;0,91
3;0;Газпромбанк;354;Москва и обл.;5 478 300 501,00;5 346 357 832,00;131 942 669,00;2,47
4;0;ВТБ 24;1623;Москва и обл.;3 462 992 307,00;3 392 697 881,00;70 294 426,00;2,07
5;0;Россельхозбанк;3349;Москва и обл.;2 898 712 724,00;2 932 545 773,00;-33 833 049,00;-1,15
6;1;Альфа-Банк;1326;Москва и обл.;2 666 208 894,00;2 603 932 484,00;62 276 410,00;2,39
7;1;Национальный Клиринговый Центр;3466;Москва и обл.;2 655 660 650,00;2 557 943 335,00;97 717 315,00;3,82
8;-2;Банк Открытие;2209;Москва и обл.;2 323 873 824,00;2 614 241 476,00;-290 367 652,00;-11,11
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 723 910 563,00;1 470 137 084,00;253 773 479,00;17,26
10;0;Промсвязьбанк;3251;Москва и обл.;1 299 597 298,00;1 306 018 440,00;-6 421 142,00;-0,49
11;1;Бинбанк;323;Москва и обл.;1 176 179 502,00;1 197 550 553,00;-21 371 051,00;-1,78
12;-1;ЮниКредит Банк;1;Москва и обл.;1 165 421 158,00;1 209 607 773,00;-44 186 615,00;-3,65
13;0;Росбанк;2272;Москва и обл.;858 120 503,00;857 107 827,00;1 012 676,00;0,12
14;0;Райффайзенбанк;3292;Москва и обл.;841 688 153,00;838 966 292,00;2 721 861,00;0,32
15;0;Россия;328;Санкт-Петербург и обл.;768 468 288,00;781 047 547,00;-12 579 259,00;-1,61
16;0;Рост Банк;2888;Москва и обл.;675 179 654,00;666 230 757,00;8 948 897,00;1,34
17;1;Совкомбанк;963;Костромская обл.;618 780 365,00;608 577 040,00;10 203 325,00;1,68
18;-1;БМ-Банк;2748;Москва и обл.;612 444 990,00;621 796 365,00;-9 351 375,00;-1,50
19;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;575 876 956,00;601 029 785,00;-25 152 829,00;-4,18
20;0;Банк Уралсиб;30;Москва и обл.;522 329 477,00;522 077 774,00;251 703,00;0,05
21;0;Московский Областной Банк;1751;Москва и обл.;517 860 863,00;513 370 474,00;4 490 389,00;0,87
22;0;Ситибанк;2557;Москва и обл.;483 769 922,00;494 593 414,00;-10 823 492,00;-2,19
23;0;Ак Барс;2590;Татарстан;475 017 208,00;465 318 704,00;9 698 504,00;2,08
24;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;404 565 588,00;409 704 051,00;-5 138 463,00;-1,25
25;1;Русский Стандарт;2289;Москва и обл.;403 429 357,00;398 978 560,00;4 450 797,00;1,12
26;1;Банк ДОМ.РФ;2312;Москва и обл.;388 036 743,00;381 692 500,00;6 344 243,00;1,66
27;3;СМП Банк;3368;Москва и обл.;343 951 251,00;328 444 032,00;15 507 219,00;4,72
28;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;309 144 246,00;343 585 963,00;-34 441 717,00;-10,02
29;2;Восточный Банк;1460;Амурская обл.;278 618 080,00;285 421 087,00;-6 803 007,00;-2,38
30;3;Московский Индустриальный Банк;912;Москва и обл.;274 160 275,00;271 012 639,00;3 147 636,00;1,16
31;6;Новикомбанк;2546;Москва и обл.;273 748 977,00;247 394 673,00;26 354 304,00;10,65
32;0;Абсолют Банк;2306;Москва и обл.;259 622 950,00;276 286 196,00;-16 663 246,00;-6,03
33;1;Возрождение;1439;Москва и обл.;253 405 836,00;260 040 984,00;-6 635 148,00;-2,55
34;2;Связь-Банк;1470;Москва и обл.;249 913 314,00;253 530 637,00;-3 617 323,00;-1,43
35;3;Тинькофф Банк;2673;Москва и обл.;247 278 119,00;238 482 384,00;8 795 735,00;3,69
36;-1;Банк Зенит;3255;Москва и обл.;245 360 255,00;256 792 850,00;-11 432 595,00;-4,45
37;3;Пересвет;2110;Москва и обл.;230 222 057,00;225 217 106,00;5 004 951,00;2,22
38;3;Хоум Кредит Банк;316;Москва и обл.;227 339 857,00;217 959 468,00;9 380 389,00;4,30
39;0;ИНГ Банк;2495;Москва и обл.;213 628 176,00;229 062 515,00;-15 434 339,00;-6,74
40;3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;205 670 775,00;204 390 429,00;1 280 346,00;0,63
41;3;Транскапиталбанк;2210;Москва и обл.;204 009 537,00;199 639 775,00;4 369 762,00;2,19
42;0;Нордеа Банк;3016;Москва и обл.;202 157 789,00;216 850 921,00;-14 693 132,00;-6,78
43;2;Почта Банк;650;Москва и обл.;201 160 053,00;194 046 339,00;7 113 714,00;3,67
44;2;Экспресс-Волга;3085;Костромская обл.;189 424 705,00;187 036 140,00;2 388 565,00;1,28
45;2;РосЕвроБанк;3137;Москва и обл.;183 387 488,00;184 973 040,00;-1 585 552,00;-0,86
46;2;ДельтаКредит;3338;Москва и обл.;169 611 013,00;170 284 611,00;-673 598,00;-0,40
47;2;МТС Банк;2268;Москва и обл.;164 661 204,00;165 334 866,00;-673 662,00;-0,41
48;12;Национальный Расчетный Депозитарий;3294;Москва и обл.;156 872 035,00;120 052 068,00;36 819 967,00;30,67
49;1;Глобэкс;1942;Москва и обл.;150 885 447,00;155 600 293,00;-4 714 846,00;-3,03
50;1;Авангард;2879;Москва и обл.;141 708 957,00;142 594 133,00;-885 176,00;-0,62
51;2;РГС Банк;3073;Москва и обл.;136 842 104,00;132 485 379,00;4 356 725,00;3,29
52;4;ОТП Банк;2766;Москва и обл.;132 271 065,00;129 180 505,00;3 090 560,00;2,39
53;2;Инвестторгбанк;2763;Москва и обл.;131 712 009,00;131 364 930,00;347 079,00;0,26
54;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;131 085 962,00;131 507 616,00;-421 654,00;-0,32
55;4;Аверс;415;Татарстан;126 282 458,00;120 632 317,00;5 650 141,00;4,68
56;1;Кредит Европа Банк;3311;Москва и обл.;122 735 627,00;128 324 124,00;-5 588 497,00;-4,35
57;1;СКБ-Банк;705;Свердловская обл.;122 048 686,00;126 013 103,00;-3 964 417,00;-3,15
58;3;МСП Банк;3340;Москва и обл.;117 751 156,00;117 325 860,00;425 296,00;0,36
59;3;Сетелем Банк;2168;Москва и обл.;117 502 659,00;114 945 740,00;2 556 919,00;2,22
60;4;Ренессанс Кредит;3354;Москва и обл.;116 993 441,00;112 910 676,00;4 082 765,00;3,62
61;2;Запсибкомбанк;918;Тюменская обл.;114 182 977,00;114 726 061,00;-543 084,00;-0,47
62;3;Роскосмосбанк;2989;Москва и обл.;113 798 217,00;107 525 388,00;6 272 829,00;5,83
63;3;Русфинанс Банк;1792;Самарская обл.;109 161 495,00;106 865 715,00;2 295 780,00;2,15
64;6;РНКБ;1354;Симферополь;107 977 066,00;92 029 657,00;15 947 409,00;17,33
