Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2013, тыс. рублей;Июль, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;14 945 107 940,00;14 783 796 412,00;161 311 528,00;1,09
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 959 386 035,00;5 046 055 494,00;-86 669 459,00;-1,72
3;0;Газпромбанк;354;Москва и обл.;3 274 186 552,00;3 219 875 456,00;54 311 096,00;1,69
4;1;ВТБ 24;1623;Москва и обл.;1 779 970 542,00;1 746 577 663,00;33 392 879,00;1,91
5;-1;Россельхозбанк;3349;Москва и обл.;1 770 847 786,00;1 787 006 277,00;-16 158 491,00;-0,90
6;0;БМ-Банк;2748;Москва и обл.;1 642 598 099,00;1 615 071 361,00;27 526 738,00;1,70
7;0;Альфа-Банк;1326;Москва и обл.;1 411 143 517,00;1 417 896 979,00;-6 753 462,00;-0,48
8;0;ЮниКредит Банк;1;Москва и обл.;824 359 297,00;796 821 583,00;27 537 714,00;3,46
9;3;Банк Открытие;2209;Москва и обл.;792 833 787,00;696 360 062,00;96 473 725,00;13,85
10;1;Райффайзенбанк;3292;Москва и обл.;748 888 415,00;700 280 089,00;48 608 326,00;6,94
11;-1;Росбанк;2272;Москва и обл.;737 400 247,00;732 658 124,00;4 742 123,00;0,65
12;-3;Промсвязьбанк;3251;Москва и обл.;716 767 707,00;745 357 643,00;-28 589 936,00;-3,84
13;2;Хоум Кредит Банк;316;Москва и обл.;429 260 842,00;399 072 318,00;30 188 524,00;7,56
14;-1;Банк Уралсиб;30;Москва и обл.;428 208 420,00;433 386 997,00;-5 178 577,00;-1,19
15;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;419 591 772,00;402 738 755,00;16 853 017,00;4,18
16;1;Русский Стандарт;2289;Москва и обл.;383 654 772,00;374 903 288,00;8 751 484,00;2,33
17;-1;Московский Кредитный Банк;1978;Москва и обл.;381 747 693,00;374 970 904,00;6 776 789,00;1,81
18;2;Ак Барс;2590;Татарстан;368 134 204,00;351 661 443,00;16 472 761,00;4,68
19;-1;Россия;328;Санкт-Петербург и обл.;368 058 949,00;367 973 105,00;85 844,00;0,02
20;-1;МДМ Банк;2562;Новосибирская обл.;345 435 736,00;360 118 520,00;-14 682 784,00;-4,08
21;0;Ситибанк;2557;Москва и обл.;333 165 668,00;346 693 178,00;-13 527 510,00;-3,90
22;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;330 296 977,00;318 836 432,00;11 460 545,00;3,59
23;0;Транскредитбанк;2142;Москва и обл.;279 038 509,00;298 315 267,00;-19 276 758,00;-6,46
24;0;Связь-Банк;1470;Москва и обл.;278 899 457,00;285 271 232,00;-6 371 775,00;-2,23
25;3;Национальный Клиринговый Центр;3466;Москва и обл.;268 090 888,00;241 374 689,00;26 716 199,00;11,07
26;1;Петрокоммерц;1776;Москва и обл.;262 983 799,00;247 562 488,00;15 421 311,00;6,23
27;3;Глобэкс;1942;Москва и обл.;258 461 943,00;237 368 416,00;21 093 527,00;8,89
28;5;ИНГ Банк;2495;Москва и обл.;256 678 327,00;223 134 095,00;33 544 232,00;15,03
29;-3;Восточный Банк;1460;Амурская обл.;253 888 977,00;250 736 016,00;3 152 961,00;1,26
30;-5;Нордеа Банк;3016;Москва и обл.;251 426 226,00;270 084 764,00;-18 658 538,00;-6,91
31;-2;Банк Зенит;3255;Москва и обл.;238 448 485,00;238 819 722,00;-371 237,00;-0,16
32;-1;Возрождение;1439;Москва и обл.;233 130 448,00;230 565 146,00;2 565 302,00;1,11
33;-1;Траст;3279;Москва и обл.;226 896 815,00;229 595 807,00;-2 698 992,00;-1,18
34;0;Банк «Открытие»;2179;Москва и обл.;208 329 551,00;199 572 000,00;8 757 551,00;4,39
35;0;Бинбанк;323;Москва и обл.;188 504 114,00;197 244 086,00;-8 739 972,00;-4,43
36;0;МТС Банк;2268;Москва и обл.;186 283 808,00;193 835 725,00;-7 551 917,00;-3,90
37;0;Московский Индустриальный Банк;912;Москва и обл.;185 680 719,00;183 241 662,00;2 439 057,00;1,33
38;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;182 647 894,00;170 309 321,00;12 338 573,00;7,24
39;-1;ОТП Банк;2766;Москва и обл.;179 088 859,00;179 120 402,00;-31 543,00;-0,02
40;2;Кредит Европа Банк;3311;Москва и обл.;152 246 144,00;145 125 375,00;7 120 769,00;4,91
41;4;Транскапиталбанк;2210;Москва и обл.;145 417 684,00;137 715 191,00;7 702 493,00;5,59
42;2;Внешпромбанк;3261;Москва и обл.;142 957 074,00;140 242 451,00;2 714 623,00;1,94
