Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2011, тыс. рублей;Март, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
43;1;РГС Банк;3073;Москва и обл.;95 453 755,00;94 587 309,00;866 446,00;0,92
44;1;Русфинанс Банк;1792;Самарская обл.;93 199 100,00;91 454 143,00;1 744 957,00;1,91
45;1;МСП Банк;3340;Москва и обл.;86 991 693,00;89 986 471,00;-2 994 778,00;-3,33
46;2;Юниаструм Банк;2771;Москва и обл.;86 012 162,00;83 159 154,00;2 853 008,00;3,43
47;0;Банк Интеза;2216;Москва и обл.;83 750 970,00;83 299 207,00;451 763,00;0,54
48;2;Транскапиталбанк;2210;Москва и обл.;83 645 001,00;80 663 969,00;2 981 032,00;3,70
49;0;Кредит Европа Банк;3311;Москва и обл.;82 798 093,00;82 886 436,00;-88 343,00;-0,11
50;1;СКБ-Банк;705;Свердловская обл.;81 727 070,00;79 962 771,00;1 764 299,00;2,21
51;2;Пробизнесбанк;2412;Москва и обл.;80 325 508,00;77 797 203,00;2 528 305,00;3,25
52;2;Союз;2307;Москва и обл.;75 754 483,00;75 848 085,00;-93 602,00;-0,12
53;5;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;74 389 462,00;71 960 451,00;2 429 011,00;3,38
54;1;БНП Париба Банк;3407;Москва и обл.;72 600 939,00;73 891 010,00;-1 290 071,00;-1,75
55;2;Балтийский Банк;128;Москва и обл.;72 549 445,00;72 082 926,00;466 519,00;0,65
56;3;РосЕвроБанк;3137;Москва и обл.;72 260 337,00;71 667 381,00;592 956,00;0,83
57;7;Инвестторгбанк;2763;Москва и обл.;71 545 446,00;67 389 584,00;4 155 862,00;6,17
58;3;Мастер-Банк;2176;Москва и обл.;69 521 961,00;69 975 054,00;-453 093,00;-0,65
59;4;Внешпромбанк;3261;Москва и обл.;69 338 303,00;68 305 429,00;1 032 874,00;1,51
60;-8;Дойче Банк;3328;Москва и обл.;69 215 916,00;79 648 529,00;-10 432 613,00;-13,10
61;4;Новикомбанк;2546;Москва и обл.;68 267 987,00;65 202 055,00;3 065 932,00;4,70
62;0;Собинбанк;1317;Москва и обл.;67 612 092,00;69 576 069,00;-1 963 977,00;-2,82
63;-3;ЦентроКредит;121;Москва и обл.;67 280 558,00;70 579 581,00;-3 299 023,00;-4,67
64;3;Татфондбанк;3058;Татарстан;64 655 343,00;63 799 278,00;856 065,00;1,34
65;29;Еврофинанс Моснарбанк;2402;Москва и обл.;63 172 914,00;35 099 780,00;28 073 134,00;79,98
66;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;62 434 302,00;64 732 691,00;-2 298 389,00;-3,55
67;-11;СМП Банк;3368;Москва и обл.;61 746 248,00;72 181 296,00;-10 435 048,00;-14,46
68;1;Национальный Резервный Банк;2170;Москва и обл.;61 495 224,00;58 242 039,00;3 253 185,00;5,59
69;-1;Запсибкомбанк;918;Тюменская обл.;60 360 395,00;61 828 288,00;-1 467 893,00;-2,37
70;0;Авангард;2879;Москва и обл.;58 648 775,00;57 054 815,00;1 593 960,00;2,79
71;2;ДельтаКредит;3338;Москва и обл.;53 343 126,00;53 582 768,00;-239 642,00;-0,45
72;2;Локо-Банк;2707;Москва и обл.;52 943 186,00;53 463 273,00;-520 087,00;-0,97
73;3;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;52 872 793,00;49 979 116,00;2 893 677,00;5,79
74;3;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;51 266 801,00;49 790 312,00;1 476 489,00;2,97
75;3;Балтинвестбанк;3176;Санкт-Петербург и обл.;51 187 043,00;49 695 964,00;1 491 079,00;3,00
76;8;Пересвет;2110;Москва и обл.;51 163 808,00;45 979 732,00;5 184 076,00;11,27
77;-5;Роскосмосбанк;2989;Москва и обл.;50 982 173,00;54 073 886,00;-3 091 713,00;-5,72
78;-3;Экспо Финанс;2594;Москва и обл.;50 498 405,00;51 912 115,00;-1 413 710,00;-2,72
79;0;Ренессанс Кредит;3354;Москва и обл.;49 152 301,00;49 057 165,00;95 136,00;0,19
80;0;Центр-инвест;2225;Ростовская обл.;48 779 702,00;48 419 666,00;360 036,00;0,74
81;-10;Сургутнефтегазбанк;588;Тюменская обл.;48 130 138,00;54 247 154,00;-6 117 016,00;-11,28
82;-1;Совкомбанк;963;Костромская обл.;47 990 269,00;47 829 074,00;161 195,00;0,34
83;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;47 087 430,00;46 634 243,00;453 187,00;0,97
84;-2;АМТ Банк;2820;Москва и обл.;46 285 648,00;47 412 262,00;-1 126 614,00;-2,38
85;2;Инвестбанк;107;Калининградская обл.;44 534 371,00;42 148 422,00;2 385 949,00;5,66
86;-1;Металлинвестбанк;2440;Москва и обл.;43 730 603,00;44 432 243,00;-701 640,00;-1,58
87;1;СБ Банк (Судостроительный банк);2999;Москва и обл.;42 529 382,00;40 350 053,00;2 179 329,00;5,40
88;1;Банк ДОМ.РФ;2312;Москва и обл.;41 242 747,00;40 281 752,00;960 995,00;2,39
89;-3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;39 760 478,00;42 349 584,00;-2 589 106,00;-6,11
90;3;Расчетная Палата РТС;3335;Москва и обл.;38 764 228,00;35 189 574,00;3 574 654,00;10,16
91;0;Национальный Стандарт;3421;Москва и обл.;37 162 473,00;37 522 514,00;-360 041,00;-0,96
92;0;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;37 090 623,00;35 801 928,00;1 288 695,00;3,60
93;-3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;35 883 753,00;39 187 380,00;-3 303 627,00;-8,43
94;1;Первобанк;3461;Самарская обл.;34 697 653,00;34 302 912,00;394 741,00;1,15
95;1;Коммерцбанк (Евразия);3333;Москва и обл.;34 654 756,00;33 461 296,00;1 193 460,00;3,57
96;6;Нота-Банк;2913;Москва и обл.;34 063 579,00;30 621 687,00;3 441 892,00;11,24
97;4;Международный Финансовый Клуб;2618;Москва и обл.;33 645 672,00;31 579 496,00;2 066 176,00;6,54
98;-1;Таврический Банк;2304;Санкт-Петербург и обл.;33 464 449,00;33 196 054,00;268 395,00;0,81
99;1;Бинбанк Диджитал;2827;Москва и обл.;32 761 061,00;32 073 129,00;687 932,00;2,14
100;-2;Национальный Торговый Банк;3087;Самарская обл.;32 038 357,00;33 064 595,00;-1 026 238,00;-3,10
101;-2;Сведбанк;3064;Москва и обл.;30 240 509,00;32 339 382,00;-2 098 873,00;-6,49
102;3;Челиндбанк;485;Челябинская обл.;29 470 248,00;29 349 318,00;120 930,00;0,41
103;1;Дальневосточный Банк;843;Приморский край;28 086 993,00;29 760 669,00;-1 673 676,00;-5,62
104;4;Межтопэнергобанк;2956;Москва и обл.;27 930 564,00;27 486 819,00;443 745,00;1,61
105;-2;Экспобанк;2998;Москва и обл.;27 805 347,00;30 015 586,00;-2 210 239,00;-7,36
106;0;Челябинвестбанк;493;Челябинская обл.;27 783 003,00;28 226 049,00;-443 046,00;-1,57
107;0;Кубань Кредит;2518;Краснодарский край;27 169 646,00;27 738 123,00;-568 477,00;-2,05
108;2;Первый Республиканский Банк;1730;Москва и обл.;27 035 283,00;26 413 791,00;621 492,00;2,35
109;0;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;26 841 131,00;27 308 942,00;-467 811,00;-1,71
110;3;Москоммерцбанк;3365;Москва и обл.;25 389 790,00;25 138 440,00;251 350,00;1,00
111;0;Кедр;1574;Москва и обл.;25 282 784,00;25 176 762,00;106 022,00;0,42
112;6;Газбанк;2316;Самарская обл.;25 161 044,00;24 053 378,00;1 107 666,00;4,61
113;1;Севергазбанк;2816;Вологодская обл.;24 756 247,00;24 870 782,00;-114 535,00;-0,46
114;3;Экспресс-Волга;3085;Саратовская обл.;24 525 907,00;24 145 707,00;380 200,00;1,57
115;-3;Далькомбанк;84;Хабаровский край;24 441 800,00;25 147 098,00;-705 298,00;-2,80
116;0;СДМ-Банк;1637;Москва и обл.;24 377 762,00;24 576 964,00;-199 202,00;-0,81
117;2;НС Банк;3124;Москва и обл.;24 286 169,00;23 843 625,00;442 544,00;1,86
118;10;Крайинвестбанк;3360;Краснодарский край;23 751 771,00;22 144 878,00;1 606 893,00;7,26
119;-4;Акибанк;2587;Татарстан;23 744 660,00;24 676 734,00;-932 074,00;-3,78
120;0;Приморье;3001;Приморский край;23 744 265,00;23 414 656,00;329 609,00;1,41
121;6;Русский Международный Банк;3123;Москва и обл.;22 645 507,00;22 182 449,00;463 058,00;2,09
122;4;Интеркоммерц Банк;1657;Москва и обл.;22 452 675,00;22 292 199,00;160 476,00;0,72
123;-2;Банк Кредит Свисс;2494;Москва и обл.;22 432 896,00;23 134 953,00;-702 057,00;-3,03
124;-2;Интерпромбанк;3266;Москва и обл.;22 379 779,00;22 747 578,00;-367 799,00;-1,62
125;-1;БФГ-Кредит;3068;Москва и обл.;22 199 162,00;22 593 316,00;-394 154,00;-1,74
126;-1;Банк АВБ;23;Самарская обл.;22 063 059,00;22 415 950,00;-352 891,00;-1,57
127;2;М2М Прайвет Банк;1414;Москва и обл.;21 676 447,00;22 100 964,00;-424 517,00;-1,92
128;4;Липецккомбанк;1242;Липецкая обл.;21 115 544,00;20 998 064,00;117 480,00;0,56
129;4;Солидарность;554;Самарская обл.;20 990 614,00;20 558 400,00;432 214,00;2,10
130;-7;Кредит Урал Банк;2584;Челябинская обл.;20 982 535,00;22 653 218,00;-1 670 683,00;-7,38
131;14;Стройкредит;18;Москва и обл.;20 967 640,00;18 417 127,00;2 550 513,00;13,85
132;-1;АМБ Банк;3036;Москва и обл.;20 851 891,00;21 051 874,00;-199 983,00;-0,95
133;2;Девон-Кредит;1972;Татарстан;20 405 531,00;20 036 810,00;368 721,00;1,84
134;0;Фора-Банк;1885;Москва и обл.;20 367 063,00;20 189 157,00;177 906,00;0,88
135;1;Агропромкредит;2880;Москва и обл.;20 345 497,00;19 938 054,00;407 443,00;2,04
136;7;Мой Банк;2939;Москва и обл.;20 146 380,00;19 077 344,00;1 069 036,00;5,60
137;1;Московский Областной Банк;1751;Москва и обл.;20 033 597,00;19 468 305,00;565 292,00;2,90
138;1;ГПБ-Ипотека;2403;Москва и обл.;19 686 432,00;19 359 560,00;326 872,00;1,69
139;1;Саровбизнесбанк;2048;Нижегородская обл.;19 509 144,00;19 337 206,00;171 938,00;0,89
140;2;Примсоцбанк;2733;Приморский край;19 484 574,00;19 080 622,00;403 952,00;2,12
141;-11;Меткомбанк (Череповец);901;Вологодская обл.;19 403 738,00;21 558 221,00;-2 154 483,00;-9,99
142;-5;Альта-Банк;2269;Москва и обл.;19 040 021,00;19 529 580,00;-489 559,00;-2,51
143;3;Росэнергобанк;2211;Москва и обл.;18 343 942,00;17 931 508,00;412 434,00;2,30
144;-3;Кольцо Урала;65;Свердловская обл.;18 313 114,00;19 221 384,00;-908 270,00;-4,73
145;5;Народный Кредит;2401;Москва и обл.;18 286 136,00;17 570 926,00;715 210,00;4,07
146;-2;Уралтрансбанк;812;Свердловская обл.;18 207 549,00;18 593 448,00;-385 899,00;-2,08
147;1;МБА-Москва;3395;Москва и обл.;18 194 319,00;17 886 917,00;307 402,00;1,72
148;-1;Урал ФД;249;Пермская обл.;17 836 174,00;17 912 126,00;-75 952,00;-0,42
149;3;ФИА-Банк;2542;Самарская обл.;17 744 776,00;17 200 457,00;544 319,00;3,16
150;18;Тойота Банк;3470;Москва и обл.;16 987 772,00;14 692 306,00;2 295 466,00;15,62
151;7;Банк Проектного Финансирования;1677;Москва и обл.;16 944 542,00;15 737 796,00;1 206 746,00;7,67
152;9;Смоленский Банк;2029;Смоленская обл.;16 919 719,00;15 405 043,00;1 514 676,00;9,83
153;-4;Тройка-Д Банк;3431;Москва и обл.;16 843 660,00;17 690 346,00;-846 686,00;-4,79
154;3;Модульбанк;1927;Костромская обл.;16 638 430,00;15 856 529,00;781 901,00;4,93
155;4;Натиксис Банк;3390;Москва и обл.;16 488 889,00;15 654 017,00;834 872,00;5,33
156;6;Морской Банк;77;Москва и обл.;16 084 672,00;15 357 453,00;727 219,00;4,74
157;12;Спурт Банк;2207;Татарстан;16 030 763,00;14 676 051,00;1 354 712,00;9,23
158;12;Связной Банк;1961;Москва и обл.;15 994 669,00;14 452 978,00;1 541 691,00;10,67
159;1;Тимер Банк;1581;Татарстан;15 974 769,00;15 541 135,00;433 634,00;2,79
160;-9;Сетелем Банк;2168;Москва и обл.;15 896 423,00;17 428 529,00;-1 532 106,00;-8,79
161;-6;Тинькофф Банк;2673;Москва и обл.;15 806 498,00;16 296 304,00;-489 806,00;-3,01
162;-6;ПЧРБ Банк;3291;Москва и обл.;15 598 325,00;16 243 555,00;-645 230,00;-3,97
163;3;Столичный Торговый Банк;2797;Москва и обл.;15 527 654,00;14 715 686,00;811 968,00;5,52
164;-1;НОМОС-Региобанк;539;Хабаровский край;15 054 501,00;15 354 190,00;-299 689,00;-1,95
165;6;Энергобанк;67;Татарстан;14 879 237,00;14 411 743,00;467 494,00;3,24
166;6;Левобережный;1343;Новосибирская обл.;14 596 342,00;14 053 122,00;543 220,00;3,87
167;-13;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;14 457 181,00;16 302 078,00;-1 844 897,00;-11,32
168;-4;Интерпрогрессбанк;600;Москва и обл.;14 143 330,00;15 183 501,00;-1 040 171,00;-6,85
169;5;Ланта-Банк;1920;Москва и обл.;14 038 798,00;13 813 283,00;225 515,00;1,63
170;-17;Развитие-Столица;3013;Москва и обл.;13 995 717,00;16 647 071,00;-2 651 354,00;-15,93
171;-6;Банк БФА;3038;Санкт-Петербург и обл.;13 923 829,00;14 869 747,00;-945 918,00;-6,36
172;4;Инвесткапиталбанк;2377;Башкортостан;13 780 039,00;13 607 927,00;172 112,00;1,26
173;-6;Мосстройэкономбанк (М Банк);948;Москва и обл.;13 759 618,00;14 693 166,00;-933 548,00;-6,35
174;-1;Российский Кредит;324;Москва и обл.;13 717 477,00;13 816 989,00;-99 512,00;-0,72
175;2;НБД-Банк;1966;Нижегородская обл.;13 622 334,00;13 493 690,00;128 644,00;0,95
176;9;Курскпромбанк;735;Курская обл.;13 309 814,00;12 910 752,00;399 062,00;3,09
177;3;Норвик Банк;902;Кировская обл.;13 088 466,00;13 331 817,00;-243 351,00;-1,83
178;3;Рост Банк;2888;Татарстан;13 055 600,00;13 180 726,00;-125 126,00;-0,95
179;4;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;12 993 423,00;13 026 161,00;-32 738,00;-0,25
180;4;Алмазэргиэнбанк;2602;Саха (Якутия);12 967 763,00;13 015 238,00;-47 475,00;-0,36
181;5;Русстройбанк;3205;Москва и обл.;12 889 931,00;12 896 929,00;-6 998,00;-0,05
182;-7;Углеметбанк;2997;Челябинская обл.;12 861 571,00;13 628 425,00;-766 854,00;-5,63
183;-4;Центркомбанк;2983;Москва и обл.;12 847 753,00;13 341 344,00;-493 591,00;-3,70
184;-6;Европейский Трастовый Банк;2968;Москва и обл.;12 218 741,00;13 468 793,00;-1 250 052,00;-9,28
185;5;Эллипс Банк;1950;Нижегородская обл.;12 004 840,00;11 505 152,00;499 688,00;4,34
186;10;Гаранти Банк — Москва;3275;Москва и обл.;11 982 290,00;10 783 153,00;1 199 137,00;11,12
187;2;Интехбанк;2705;Татарстан;11 928 299,00;11 539 141,00;389 158,00;3,37
188;6;Образование;1521;Москва и обл.;11 792 208,00;11 111 668,00;680 540,00;6,12
189;8;Александровский;53;Санкт-Петербург и обл.;11 735 533,00;10 675 977,00;1 059 556,00;9,92
190;5;БМВ Банк;3482;Москва и обл.;11 725 607,00;11 098 255,00;627 352,00;5,65
191;86;Западный;2598;Москва и обл.;11 718 909,00;6 468 217,00;5 250 692,00;81,18
192;-1;Мир Бизнес Банк;3396;Москва и обл.;11 435 388,00;11 332 978,00;102 410,00;0,90
193;-5;Фининвест;671;Москва и обл.;11 257 405,00;11 638 592,00;-381 187,00;-3,28
194;-2;Московское Ипотечное Агентство;3344;Москва и обл.;11 204 860,00;11 177 664,00;27 196,00;0,24
195;-2;БыстроБанк;1745;Удмуртия;11 184 422,00;11 174 028,00;10 394,00;0,09
196;18;Гута-Банк;256;Москва и обл.;10 875 316,00;9 570 648,00;1 304 668,00;13,63
197;11;Банк Финсервис;3388;Москва и обл.;10 676 115,00;9 932 770,00;743 345,00;7,48
198;3;Форштадт;2208;Оренбургская обл.;10 652 415,00;10 366 807,00;285 608,00;2,76
199;8;Солидарность (Москва);1555;Москва и обл.;10 529 206,00;9 947 185,00;582 021,00;5,85
200;17;Алеф-Банк;2119;Москва и обл.;10 432 635,00;9 521 053,00;911 582,00;9,57
201;-1;РосДорБанк;1573;Москва и обл.;10 428 330,00;10 420 384,00;7 946,00;0,08
202;-15;Держава;2738;Москва и обл.;10 418 992,00;11 690 480,00;-1 271 488,00;-10,88
203;-21;Соцгорбанк;1827;Москва и обл.;10 387 164,00;13 144 030,00;-2 756 866,00;-20,97
204;21;НК Банк;2755;Москва и обл.;10 310 716,00;9 235 771,00;1 074 945,00;11,64
205;4;Эс-Би-Ай Банк;3185;Москва и обл.;10 292 984,00;9 912 571,00;380 413,00;3,84
206;-7;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;10 173 706,00;10 428 841,00;-255 135,00;-2,45
207;4;АйМаниБанк;1975;Республика Алтай;10 139 908,00;9 842 399,00;297 509,00;3,02
208;2;Роспромбанк;3204;Москва и обл.;10 073 217,00;9 847 189,00;226 028,00;2,30
209;-3;Первомайский;518;Краснодарский край;10 041 731,00;9 953 702,00;88 029,00;0,88
210;5;Энерготрансбанк;1307;Калининградская обл.;9 988 904,00;9 564 870,00;424 034,00;4,43
211;-7;Нижегородпромстройбанк;1851;Нижегородская обл.;9 981 467,00;10 105 653,00;-124 186,00;-1,23
212;18;БКС Банк;101;Новосибирская обл.;9 945 135,00;9 029 487,00;915 648,00;10,14
213;5;Банк «Советский»;558;Санкт-Петербург и обл.;9 922 468,00;9 519 408,00;403 060,00;4,23
214;61;Финпромбанк (ФПБ Банк);2157;Москва и обл.;9 878 804,00;6 487 931,00;3 390 873,00;52,26
215;7;Интрастбанк;3144;Москва и обл.;9 758 223,00;9 308 457,00;449 766,00;4,83
216;-11;Тольяттихимбанк;2507;Самарская обл.;9 749 872,00;10 048 817,00;-298 945,00;-2,97
217;3;Легион;3117;Москва и обл.;9 612 654,00;9 341 357,00;271 297,00;2,90
218;-6;ТЭМБР-Банк;2764;Москва и обл.;9 556 321,00;9 662 755,00;-106 434,00;-1,10
219;-6;Хлынов;254;Кировская обл.;9 507 784,00;9 629 317,00;-121 533,00;-1,26
220;-18;АБ Финанс;514;Москва и обл.;9 409 272,00;10 234 922,00;-825 650,00;-8,07
221;3;Экопромбанк;2011;Пермская обл.;9 389 961,00;9 269 183,00;120 778,00;1,30
222;-6;Росэксимбанк;2790;Москва и обл.;9 267 899,00;9 533 478,00;-265 579,00;-2,79
223;14;Современный Коммерческий Инновационный Банк;3329;Калужская обл.;9 264 281,00;8 428 072,00;836 209,00;9,92
224;-1;ББР Банк;2929;Москва и обл.;9 263 419,00;9 304 342,00;-40 923,00;-0,44
225;2;ВУЗ-Банк;1557;Свердловская обл.;9 246 590,00;9 137 323,00;109 267,00;1,20
226;-5;Северо-Восточный Альянс;2768;Москва и обл.;9 246 493,00;9 325 754,00;-79 261,00;-0,85
227;1;Нацинвестпромбанк;3077;Москва и обл.;8 965 978,00;9 070 802,00;-104 824,00;-1,16
228;3;Прио-Внешторгбанк;212;Рязанская обл.;8 912 329,00;8 836 533,00;75 796,00;0,86
229;4;Банк24.ру;2227;Свердловская обл.;8 886 893,00;8 713 070,00;173 823,00;1,99
230;-4;Гранд Инвест Банк;3053;Москва и обл.;8 865 615,00;9 163 926,00;-298 311,00;-3,26
231;11;Энергомашбанк;52;Санкт-Петербург и обл.;8 803 905,00;8 218 135,00;585 770,00;7,13
232;17;Денизбанк Москва;3330;Москва и обл.;8 693 316,00;7 874 240,00;819 076,00;10,40
233;2;Банк Жилищного Финансирования;3138;Москва и обл.;8 682 158,00;8 580 087,00;102 071,00;1,19
234;2;Газэнергобанк;3252;Калужская обл.;8 647 561,00;8 535 202,00;112 359,00;1,32
235;35;Ури Банк;3479;Москва и обл.;8 632 222,00;6 834 791,00;1 797 431,00;26,30
236;8;Мерседес-Бенц Банк Рус;3473;Москва и обл.;8 626 446,00;8 077 879,00;548 567,00;6,79
237;-39;Свенска Хандельсбанкен;3455;Москва и обл.;8 551 341,00;10 561 792,00;-2 010 451,00;-19,04
238;0;Экономбанк;1319;Саратовская обл.;8 508 274,00;8 425 990,00;82 284,00;0,98
239;0;Банк Оренбург;3269;Оренбургская обл.;8 385 118,00;8 312 901,00;72 217,00;0,87
240;3;Тарханы;459;Пензенская обл.;8 371 991,00;8 125 749,00;246 242,00;3,03
241;13;Национальная Факторинговая Компания;3437;Москва и обл.;8 206 472,00;7 603 281,00;603 191,00;7,93
242;-1;Промсбербанк;1043;Москва и обл.;8 087 041,00;8 222 137,00;-135 096,00;-1,64
243;17;МАСТ-Банк;3267;Москва и обл.;8 052 856,00;7 226 616,00;826 240,00;11,43
244;-10;МАК-Банк;1088;Москва и обл.;8 020 402,00;8 630 130,00;-609 728,00;-7,07
245;3;Бэнк оф Чайна;2309;Москва и обл.;7 938 939,00;7 921 663,00;17 276,00;0,22
246;0;Гарант-Инвест;2576;Москва и обл.;7 881 903,00;7 998 185,00;-116 282,00;-1,45
247;3;Социнвестбанк;1132;Башкортостан;7 873 196,00;7 827 536,00;45 660,00;0,58
248;-3;Расчетно-Кредитный Банк;103;Москва и обл.;7 831 067,00;8 007 898,00;-176 831,00;-2,21
249;-2;Екатеринбург;3161;Свердловская обл.;7 644 753,00;7 942 215,00;-297 462,00;-3,75
250;37;Замоскворецкий;1640;Москва и обл.;7 620 921,00;6 037 725,00;1 583 196,00;26,22
251;20;Банк ПСА Финанс Рус;3481;Москва и обл.;7 544 117,00;6 802 222,00;741 895,00;10,91
252;1;Снежинский;1376;Челябинская обл.;7 517 783,00;7 722 076,00;-204 293,00;-2,65
253;2;Международный Акционерный Банк;1987;Москва и обл.;7 515 290,00;7 530 998,00;-15 708,00;-0,21
254;2;Квантмобайл Банк;1189;Омская обл.;7 476 189,00;7 494 703,00;-18 514,00;-0,25
255;-36;Руснарбанк;3403;Москва и обл.;7 311 717,00;9 471 543,00;-2 159 826,00;-22,80
256;-27;Ю Би Эс Банк;3463;Москва и обл.;7 254 019,00;9 048 801,00;-1 794 782,00;-19,83
257;0;Европейский;1616;Калининградская обл.;7 222 923,00;7 453 100,00;-230 177,00;-3,09
258;0;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;7 210 353,00;7 385 105,00;-174 752,00;-2,37
259;5;СтарБанк;548;Тюменская обл.;7 177 431,00;7 014 360,00;163 071,00;2,32
