Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2011, тыс. рублей;Март, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 154 810 157,00;9 134 420 162,00;20 389 995,00;0,22
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 105 980 513,00;3 026 511 442,00;79 469 071,00;2,63
3;0;Газпромбанк;354;Москва и обл.;1 933 706 171,00;1 884 001 371,00;49 704 800,00;2,64
4;0;Россельхозбанк;3349;Москва и обл.;1 157 462 115,00;1 091 632 269,00;65 829 846,00;6,03
5;0;ВТБ 24;1623;Москва и обл.;971 387 230,00;943 976 307,00;27 410 923,00;2,90
6;0;БМ-Банк;2748;Москва и обл.;942 244 259,00;920 238 298,00;22 005 961,00;2,39
7;0;Альфа-Банк;1326;Москва и обл.;871 349 138,00;859 238 334,00;12 110 804,00;1,41
8;0;ЮниКредит Банк;1;Москва и обл.;637 312 475,00;620 313 241,00;16 999 234,00;2,74
9;0;Райффайзенбанк;3292;Москва и обл.;525 292 785,00;509 368 469,00;15 924 316,00;3,13
10;0;Промсвязьбанк;3251;Москва и обл.;500 865 840,00;503 244 614,00;-2 378 774,00;-0,47
11;0;Росбанк;2272;Москва и обл.;443 389 108,00;448 720 706,00;-5 331 598,00;-1,19
12;3;Транскредитбанк;2142;Москва и обл.;411 240 572,00;349 274 594,00;61 965 978,00;17,74
13;-1;Банк Уралсиб;30;Москва и обл.;405 000 406,00;413 695 270,00;-8 694 864,00;-2,10
14;-1;Банк Открытие;2209;Москва и обл.;394 708 538,00;389 177 841,00;5 530 697,00;1,42
15;-1;МДМ Банк;2562;Новосибирская обл.;389 357 357,00;384 491 022,00;4 866 335,00;1,27
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;294 522 002,00;282 942 851,00;11 579 151,00;4,09
17;2;Ак Барс;2590;Татарстан;265 398 529,00;250 026 198,00;15 372 331,00;6,15
18;0;Россия;328;Санкт-Петербург и обл.;263 076 609,00;258 466 380,00;4 610 229,00;1,78
19;-2;Ситибанк;2557;Москва и обл.;240 270 367,00;266 127 270,00;-25 856 903,00;-9,72
20;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;197 624 744,00;188 785 810,00;8 838 934,00;4,68
21;0;Нордеа Банк;3016;Москва и обл.;184 654 962,00;189 839 302,00;-5 184 340,00;-2,73
22;3;Возрождение;1439;Москва и обл.;184 460 176,00;178 838 810,00;5 621 366,00;3,14
23;1;Банк Зенит;3255;Москва и обл.;182 448 410,00;180 229 042,00;2 219 368,00;1,23
24;-1;Петрокоммерц;1776;Москва и обл.;180 621 648,00;180 468 922,00;152 726,00;0,08
25;1;Траст;3279;Москва и обл.;178 743 454,00;167 420 224,00;11 323 230,00;6,76
26;1;Московский Кредитный Банк;1978;Москва и обл.;173 049 248,00;164 540 785,00;8 508 463,00;5,17
27;1;Связь-Банк;1470;Москва и обл.;172 939 282,00;163 880 603,00;9 058 679,00;5,53
28;2;Русский Стандарт;2289;Москва и обл.;157 836 319,00;152 915 103,00;4 921 216,00;3,22
29;2;Банк Сосьете Женераль Восток;2295;Москва и обл.;154 497 616,00;148 134 022,00;6 363 594,00;4,30
30;-1;ИНГ Банк;2495;Москва и обл.;143 291 744,00;161 938 993,00;-18 647 249,00;-11,51
31;2;Банк «Открытие»;2179;Москва и обл.;136 178 169,00;131 082 042,00;5 096 127,00;3,89
32;0;МТС Банк;2268;Москва и обл.;131 780 805,00;147 922 508,00;-16 141 703,00;-10,91
33;1;Глобэкс;1942;Москва и обл.;126 156 611,00;126 982 332,00;-825 721,00;-0,65
34;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;122 842 823,00;122 074 251,00;768 572,00;0,63
35;3;Хоум Кредит Банк;316;Москва и обл.;120 674 970,00;113 652 821,00;7 022 149,00;6,18
36;1;Московский Индустриальный Банк;912;Москва и обл.;118 526 356,00;115 201 301,00;3 325 055,00;2,89
37;-1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;115 741 717,00;115 562 721,00;178 996,00;0,15
38;1;Абсолют Банк;2306;Москва и обл.;112 453 565,00;112 756 392,00;-302 827,00;-0,27
39;2;Национальный Клиринговый Центр;3466;Москва и обл.;109 729 554,00;106 580 129,00;3 149 425,00;2,95
40;2;Восточный Банк;1460;Амурская обл.;106 934 600,00;105 103 885,00;1 830 715,00;1,74
41;-1;ОТП Банк;2766;Москва и обл.;106 451 488,00;107 188 808,00;-737 320,00;-0,69
42;1;Бинбанк;323;Москва и обл.;102 345 705,00;97 336 825,00;5 008 880,00;5,15
