Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2014, тыс. рублей;Сентябрь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;18 697 497 222,00;18 035 447 117,00;662 050 105,00;3,67
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 543 380 359,00;6 444 694 629,00;98 685 730,00;1,53
3;0;Газпромбанк;354;Москва и обл.;4 008 233 303,00;3 898 434 943,00;109 798 360,00;2,82
4;0;ВТБ 24;1623;Москва и обл.;2 426 465 146,00;2 393 005 182,00;33 459 964,00;1,40
5;0;БМ-Банк;2748;Москва и обл.;2 053 894 665,00;2 004 951 177,00;48 943 488,00;2,44
6;0;Россельхозбанк;3349;Москва и обл.;2 021 157 647,00;1 915 294 890,00;105 862 757,00;5,53
7;0;Альфа-Банк;1326;Москва и обл.;1 852 170 032,00;1 722 260 563,00;129 909 469,00;7,54
8;0;Банк Открытие;2209;Москва и обл.;1 131 773 362,00;1 128 980 858,00;2 792 504,00;0,25
9;0;ЮниКредит Банк;1;Москва и обл.;1 032 899 178,00;957 930 314,00;74 968 864,00;7,83
10;0;Национальный Клиринговый Центр;3466;Москва и обл.;967 915 116,00;929 683 565,00;38 231 551,00;4,11
11;0;Промсвязьбанк;3251;Москва и обл.;923 003 151,00;880 566 215,00;42 436 936,00;4,82
12;0;Росбанк;2272;Москва и обл.;795 938 311,00;761 823 065,00;34 115 246,00;4,48
13;0;Райффайзенбанк;3292;Москва и обл.;728 063 912,00;746 438 658,00;-18 374 746,00;-2,46
14;0;Московский Кредитный Банк;1978;Москва и обл.;504 236 496,00;492 679 186,00;11 557 310,00;2,35
15;0;Россия;328;Санкт-Петербург и обл.;476 914 672,00;464 291 099,00;12 623 573,00;2,72
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;476 125 743,00;454 758 268,00;21 367 475,00;4,70
17;0;Русский Стандарт;2289;Москва и обл.;448 843 303,00;444 769 382,00;4 073 921,00;0,92
18;0;Ак Барс;2590;Татарстан;406 844 915,00;408 351 477,00;-1 506 562,00;-0,37
19;0;Банк Уралсиб;30;Москва и обл.;381 024 462,00;389 874 693,00;-8 850 231,00;-2,27
20;0;МДМ Банк;2562;Новосибирская обл.;353 862 842,00;360 414 704,00;-6 551 862,00;-1,82
21;0;Ханты-Мансийский банк Открытие;1971;Ханты-Мансийский АО — Югра;353 190 675,00;356 096 121,00;-2 905 446,00;-0,82
22;2;Связь-Банк;1470;Москва и обл.;352 985 693,00;344 579 346,00;8 406 347,00;2,44
23;0;Хоум Кредит Банк;316;Москва и обл.;349 984 910,00;346 312 219,00;3 672 691,00;1,06
24;1;Ситибанк;2557;Москва и обл.;339 773 959,00;324 516 179,00;15 257 780,00;4,70
25;-3;Нордеа Банк;3016;Москва и обл.;332 013 654,00;347 649 804,00;-15 636 150,00;-4,50
26;8;СМП Банк;3368;Москва и обл.;278 730 891,00;226 137 769,00;52 593 122,00;23,26
27;-1;Банк Зенит;3255;Москва и обл.;274 591 366,00;270 895 192,00;3 696 174,00;1,36
28;1;Бинбанк;323;Москва и обл.;271 341 978,00;258 911 584,00;12 430 394,00;4,80
29;-1;Траст;3279;Москва и обл.;266 893 464,00;261 418 689,00;5 474 775,00;2,09
30;0;Глобэкс;1942;Москва и обл.;260 466 007,00;257 171 166,00;3 294 841,00;1,28
31;-4;Петрокоммерц;1776;Москва и обл.;255 132 364,00;265 192 105,00;-10 059 741,00;-3,79
32;4;Банк «Открытие»;2179;Москва и обл.;254 316 755,00;225 354 294,00;28 962 461,00;12,85
33;-2;Восточный Банк;1460;Амурская обл.;246 620 842,00;249 544 482,00;-2 923 640,00;-1,17
34;-2;Московский Областной Банк;1751;Москва и обл.;243 400 867,00;231 901 006,00;11 499 861,00;4,96
35;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;238 405 836,00;226 061 682,00;12 344 154,00;5,46
36;-3;Возрождение;1439;Москва и обл.;229 454 822,00;228 583 476,00;871 346,00;0,38
37;3;Новикомбанк;2546;Москва и обл.;209 822 447,00;198 508 736,00;11 313 711,00;5,70
38;0;МТС Банк;2268;Москва и обл.;205 094 885,00;201 252 856,00;3 842 029,00;1,91
39;0;Московский Индустриальный Банк;912;Москва и обл.;201 619 185,00;201 110 710,00;508 475,00;0,25
40;2;Внешпромбанк;3261;Москва и обл.;200 249 421,00;197 274 345,00;2 975 076,00;1,51
41;0;Абсолют Банк;2306;Москва и обл.;195 856 445,00;198 371 434,00;-2 514 989,00;-1,27
42;1;Совкомбанк;963;Костромская обл.;179 889 749,00;180 452 883,00;-563 134,00;-0,31
43;1;ОТП Банк;2766;Москва и обл.;177 892 906,00;173 506 429,00;4 386 477,00;2,53
44;-7;ИНГ Банк;2495;Москва и обл.;169 419 774,00;203 445 173,00;-34 025 399,00;-16,72
