Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2020, тыс. рублей;Февраль, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;29 276 869 089,00;28 956 284 893,00;320 584 196,00;1,11
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 115 988 836,00;14 121 403 057,00;-5 414 221,00;-0,04
3;0;Газпромбанк;354;Москва и обл.;6 700 683 954,00;6 651 137 698,00;49 546 256,00;0,74
4;1;Национальный Клиринговый Центр;3466;Москва и обл.;3 941 010 034,00;3 714 752 967,00;226 257 067,00;6,09
5;-1;Альфа-Банк;1326;Москва и обл.;3 827 665 260,00;3 761 502 037,00;66 163 223,00;1,76
6;0;Россельхозбанк;3349;Москва и обл.;3 456 650 842,00;3 409 864 634,00;46 786 208,00;1,37
7;0;Банк Открытие;2209;Москва и обл.;2 675 473 579,00;2 714 064 048,00;-38 590 469,00;-1,42
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 531 468 385,00;2 528 641 747,00;2 826 638,00;0,11
9;1;ЮниКредит Банк;1;Москва и обл.;1 502 277 222,00;1 306 365 158,00;195 912 064,00;15,00
10;3;Райффайзенбанк;3292;Москва и обл.;1 323 138 108,00;1 255 694 215,00;67 443 893,00;5,37
11;-2;Траст;3279;Москва и обл.;1 305 217 096,00;1 314 423 199,00;-9 206 103,00;-0,70
12;-1;Росбанк;2272;Москва и обл.;1 301 804 463,00;1 279 238 538,00;22 565 925,00;1,76
13;-1;Совкомбанк;963;Костромская обл.;1 297 872 499,00;1 260 254 769,00;37 617 730,00;2,98
14;0;Россия;328;Санкт-Петербург и обл.;1 039 489 878,00;1 052 832 567,00;-13 342 689,00;-1,27
15;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;783 139 060,00;675 597 956,00;107 541 104,00;15,92
16;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;697 185 106,00;699 850 623,00;-2 665 517,00;-0,38
17;1;Тинькофф Банк;2673;Москва и обл.;641 376 100,00;599 113 743,00;42 262 357,00;7,05
18;-1;Ак Барс;2590;Татарстан;618 911 122,00;616 511 628,00;2 399 494,00;0,39
19;0;Ситибанк;2557;Москва и обл.;582 485 990,00;562 730 685,00;19 755 305,00;3,51
20;1;Банк Уралсиб;30;Москва и обл.;531 484 381,00;520 302 342,00;11 182 039,00;2,15
21;-1;Почта Банк;650;Москва и обл.;521 881 019,00;520 479 344,00;1 401 675,00;0,27
22;1;Новикомбанк;2546;Москва и обл.;520 106 745,00;496 468 759,00;23 637 986,00;4,76
23;-1;БМ-Банк;2748;Москва и обл.;510 397 186,00;508 787 818,00;1 609 368,00;0,32
24;0;СМП Банк;3368;Москва и обл.;468 798 858,00;467 426 948,00;1 371 910,00;0,29
25;0;Московский Индустриальный Банк;912;Москва и обл.;426 047 305,00;426 143 308,00;-96 003,00;-0,02
26;0;Московский Областной Банк;1751;Москва и обл.;407 967 297,00;408 793 411,00;-826 114,00;-0,20
27;11;ИНГ Банк;2495;Москва и обл.;364 939 535,00;238 022 451,00;126 917 084,00;53,32
28;0;Русский Стандарт;2289;Москва и обл.;361 089 674,00;342 321 342,00;18 768 332,00;5,48
29;-2;Банк ДОМ.РФ;2312;Москва и обл.;352 962 722,00;347 957 469,00;5 005 253,00;1,44
30;-1;Пересвет;2110;Москва и обл.;343 035 460,00;338 338 703,00;4 696 757,00;1,39
31;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;292 299 818,00;299 621 361,00;-7 321 543,00;-2,44
32;2;Абсолют Банк;2306;Москва и обл.;287 540 893,00;276 373 794,00;11 167 099,00;4,04
33;-2;Хоум Кредит Банк;316;Москва и обл.;287 304 788,00;284 721 354,00;2 583 434,00;0,91
34;-2;Связь-Банк;1470;Москва и обл.;281 022 367,00;282 009 254,00;-986 887,00;-0,35
35;-2;Возрождение;1439;Москва и обл.;279 139 692,00;279 392 201,00;-252 509,00;-0,09
36;-1;РНКБ;1354;Симферополь;257 903 385,00;260 354 826,00;-2 451 441,00;-0,94
37;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;243 931 720,00;246 599 906,00;-2 668 186,00;-1,08
38;-2;Банк Зенит;3255;Москва и обл.;242 901 084,00;247 099 040,00;-4 197 956,00;-1,70
39;0;Восточный Банк;1460;Амурская обл.;233 546 100,00;234 885 791,00;-1 339 691,00;-0,57
40;1;МТС Банк;2268;Москва и обл.;200 918 462,00;196 690 485,00;4 227 977,00;2,15
41;-1;Инвестторгбанк;2763;Москва и обл.;197 249 180,00;196 724 849,00;524 331,00;0,27
42;2;Национальный Расчетный Депозитарий;3294;Москва и обл.;182 383 022,00;172 059 563,00;10 323 459,00;6,00
43;-1;ОТП Банк;2766;Москва и обл.;178 538 364,00;178 251 227,00;287 137,00;0,16
44;-1;Ренессанс Кредит;3354;Москва и обл.;177 650 379,00;176 708 007,00;942 372,00;0,53
