Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2020, тыс. рублей;Февраль, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
45;1;Экспресс-Волга;3085;Костромская обл.;165 266 543,00;164 418 627,00;847 916,00;0,52
46;-1;Транскапиталбанк;2210;Москва и обл.;164 077 309,00;165 988 074,00;-1 910 765,00;-1,15
47;0;Русфинанс Банк;1792;Самарская обл.;159 565 321,00;163 686 681,00;-4 121 360,00;-2,52
48;0;Сетелем Банк;2168;Москва и обл.;154 432 311,00;153 692 713,00;739 598,00;0,48
49;0;Кредит Европа Банк;3311;Москва и обл.;151 205 525,00;148 844 116,00;2 361 409,00;1,59
50;0;Росэксимбанк;2790;Москва и обл.;150 358 699,00;148 151 218,00;2 207 481,00;1,49
51;0;Запсибкомбанк;918;Тюменская обл.;147 146 541,00;145 761 550,00;1 384 991,00;0,95
52;1;Авангард;2879;Москва и обл.;135 080 003,00;130 771 482,00;4 308 521,00;3,29
53;-1;Роскосмосбанк;2989;Москва и обл.;132 562 044,00;136 058 208,00;-3 496 164,00;-2,57
54;0;Таврический Банк;2304;Санкт-Петербург и обл.;131 220 874,00;125 622 225,00;5 598 649,00;4,46
55;0;МСП Банк;3340;Москва и обл.;126 029 347,00;125 269 603,00;759 744,00;0,61
56;1;Центр-инвест;2225;Ростовская обл.;122 767 894,00;122 058 085,00;709 809,00;0,58
57;1;Банк Финсервис;3388;Москва и обл.;121 966 937,00;121 364 608,00;602 329,00;0,50
58;-2;ЦентроКредит;121;Москва и обл.;120 848 083,00;123 626 170,00;-2 778 087,00;-2,25
59;5;Аверс;415;Татарстан;116 787 943,00;104 684 719,00;12 103 224,00;11,56
60;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;116 294 658,00;116 998 197,00;-703 539,00;-0,60
61;0;Кубань Кредит;2518;Краснодарский край;113 679 419,00;113 295 860,00;383 559,00;0,34
62;1;ВУЗ-Банк;1557;Свердловская обл.;110 623 074,00;105 016 141,00;5 606 933,00;5,34
63;-1;РН Банк;170;Москва и обл.;110 514 730,00;112 651 068,00;-2 136 338,00;-1,90
64;1;Металлинвестбанк;2440;Москва и обл.;106 721 461,00;101 501 774,00;5 219 687,00;5,14
65;3;Дойче Банк;3328;Москва и обл.;106 464 359,00;86 687 067,00;19 777 292,00;22,81
66;0;Союз;2307;Москва и обл.;106 439 224,00;100 909 428,00;5 529 796,00;5,48
67;0;СКБ-Банк;705;Свердловская обл.;97 570 289,00;92 868 380,00;4 701 909,00;5,06
68;-8;Локо-Банк;2707;Москва и обл.;92 765 787,00;116 265 720,00;-23 499 933,00;-20,21
69;1;Экспобанк;2998;Москва и обл.;89 153 171,00;80 646 051,00;8 507 120,00;10,55
70;19;Банк Кредит Свисс;2494;Москва и обл.;83 979 556,00;56 585 965,00;27 393 591,00;48,41
71;2;Нордеа Банк;3016;Москва и обл.;82 293 453,00;75 953 446,00;6 340 007,00;8,35
72;0;Мидзухо Банк;3337;Москва и обл.;79 740 215,00;78 122 326,00;1 617 889,00;2,07
73;1;Тойота Банк;3470;Москва и обл.;77 536 592,00;75 904 621,00;1 631 971,00;2,15
74;13;ББР Банк;2929;Москва и обл.;77 450 817,00;57 521 387,00;19 929 430,00;34,65
75;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 576 081,00;75 259 702,00;-683 621,00;-0,91
76;7;Коммерцбанк (Евразия);3333;Москва и обл.;74 427 007,00;61 119 773,00;13 307 234,00;21,77
77;0;СДМ-Банк;1637;Москва и обл.;72 619 922,00;74 382 499,00;-1 762 577,00;-2,37
78;-7;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;72 221 881,00;78 382 075,00;-6 160 194,00;-7,86
79;-4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;71 911 806,00;75 455 863,00;-3 544 057,00;-4,70
80;-1;Левобережный;1343;Новосибирская обл.;71 194 311,00;71 073 997,00;120 314,00;0,17
81;-12;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;71 143 108,00;83 138 957,00;-11 995 849,00;-14,43
82;-2;БКС Банк;101;Москва и обл.;70 307 922,00;69 581 722,00;726 200,00;1,04
83;-2;Банк Интеза;2216;Москва и обл.;68 914 586,00;68 812 344,00;102 242,00;0,15
84;-2;Примсоцбанк;2733;Приморский край;68 035 706,00;66 714 535,00;1 321 171,00;1,98
85;-7;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;66 676 063,00;74 325 662,00;-7 649 599,00;-10,29
86;0;АйСиБиСи Банк;3475;Москва и обл.;61 485 712,00;59 271 275,00;2 214 437,00;3,74
87;-2;Фора-Банк;1885;Москва и обл.;59 395 371,00;59 563 773,00;-168 402,00;-0,28
88;-4;Севергазбанк;2816;Вологодская обл.;57 805 557,00;60 546 002,00;-2 740 445,00;-4,53
89;-1;Челиндбанк;485;Челябинская обл.;57 438 708,00;57 246 689,00;192 019,00;0,34
90;0;Челябинвестбанк;493;Челябинская обл.;56 771 160,00;56 327 310,00;443 850,00;0,79
91;4;Киви Банк;2241;Москва и обл.;54 481 098,00;53 142 800,00;1 338 298,00;2,52
92;1;Энерготрансбанк;1307;Калининградская обл.;54 043 590,00;54 497 187,00;-453 597,00;-0,83
93;3;РГС Банк;3073;Москва и обл.;53 925 762,00;51 691 282,00;2 234 480,00;4,32
94;0;СЭБ Банк;3235;Санкт-Петербург и обл.;53 682 201,00;53 698 381,00;-16 180,00;-0,03
95;7;Аресбанк;2914;Москва и обл.;52 509 088,00;47 657 081,00;4 852 007,00;10,18
96;-4;Международный Финансовый Клуб;2618;Москва и обл.;52 091 183,00;54 749 440,00;-2 658 257,00;-4,86
97;0;Генбанк;2490;Симферополь;51 733 680,00;51 602 123,00;131 557,00;0,25
98;-7;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;51 370 931,00;55 443 509,00;-4 072 578,00;-7,35
99;-1;Газэнергобанк;3252;Калужская обл.;50 795 944,00;50 155 892,00;640 052,00;1,28
100;0;Платежный Центр;3166;Новосибирская обл.;49 961 621,00;48 222 705,00;1 738 916,00;3,61
101;3;Мир Бизнес Банк;3396;Москва и обл.;48 067 227,00;46 578 809,00;1 488 418,00;3,20
102;-1;Саровбизнесбанк;2048;Нижегородская обл.;47 992 579,00;47 955 909,00;36 670,00;0,08
103;0;БНП Париба Банк;3407;Москва и обл.;47 928 811,00;46 628 197,00;1 300 614,00;2,79
104;-5;БМВ Банк;3482;Москва и обл.;47 777 811,00;49 724 417,00;-1 946 606,00;-3,91
105;0;Объединенный Капитал;2611;Санкт-Петербург и обл.;47 766 444,00;45 507 430,00;2 259 014,00;4,96
106;0;Солидарность;554;Самарская обл.;45 380 549,00;45 216 515,00;164 034,00;0,36
107;6;Интерпрогрессбанк;600;Москва и обл.;43 260 754,00;38 459 136,00;4 801 618,00;12,48
108;4;Дж. П. Морган Банк;2629;Москва и обл.;41 858 110,00;39 081 730,00;2 776 380,00;7,10
109;-1;Фольксваген Банк Рус;3500;Москва и обл.;41 565 749,00;43 225 013,00;-1 659 264,00;-3,84
110;-1;Голдман Сакс Банк;3490;Москва и обл.;40 886 304,00;41 916 540,00;-1 030 236,00;-2,46
111;-4;Бэнк оф Чайна;2309;Москва и обл.;39 665 030,00;45 122 694,00;-5 457 664,00;-12,10
112;-2;Кольцо Урала;65;Свердловская обл.;38 708 552,00;39 975 891,00;-1 267 339,00;-3,17
113;1;Дальневосточный Банк;843;Приморский край;38 408 244,00;38 019 049,00;389 195,00;1,02
114;1;Приморье;3001;Приморский край;37 732 533,00;37 069 174,00;663 359,00;1,79
115;-4;БыстроБанк;1745;Удмуртия;37 175 679,00;39 369 113,00;-2 193 434,00;-5,57
116;1;Кредит Урал Банк;2584;Челябинская обл.;34 927 089,00;34 904 281,00;22 808,00;0,07
117;1;Квантмобайл Банк;1189;Москва и обл.;34 795 864,00;34 641 137,00;154 727,00;0,45
118;1;Национальный Стандарт;3421;Москва и обл.;33 128 173,00;33 041 879,00;86 294,00;0,26
119;1;Алмазэргиэнбанк;2602;Саха (Якутия);32 084 607,00;32 288 448,00;-203 841,00;-0,63
120;-4;Держава;2738;Москва и обл.;32 048 176,00;36 680 736,00;-4 632 560,00;-12,63
121;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;31 395 531,00;30 552 437,00;843 094,00;2,76
122;-1;НС Банк;3124;Москва и обл.;31 204 839,00;30 712 140,00;492 699,00;1,60
123;0;МС Банк Рус;2789;Москва и обл.;29 877 974,00;30 046 229,00;-168 255,00;-0,56
124;4;Экономбанк;1319;Саратовская обл.;27 369 705,00;25 972 097,00;1 397 608,00;5,38
125;1;Курскпромбанк;735;Курская обл.;27 176 065,00;27 121 802,00;54 263,00;0,20
126;-2;Урал ФД;249;Пермская обл.;26 442 877,00;27 491 334,00;-1 048 457,00;-3,81
127;-2;Интерпромбанк;3266;Москва и обл.;26 322 693,00;27 465 017,00;-1 142 324,00;-4,16
128;-1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 097 908,00;26 322 538,00;-224 630,00;-0,85
129;4;Ланта-Банк;1920;Москва и обл.;26 064 018,00;24 371 296,00;1 692 722,00;6,95
130;-1;Акибанк;2587;Татарстан;25 907 623,00;25 936 044,00;-28 421,00;-0,11
131;-1;Хлынов;254;Кировская обл.;25 816 315,00;25 871 532,00;-55 217,00;-0,21
132;0;Энергобанк;67;Татарстан;24 581 540,00;24 484 985,00;96 555,00;0,39
133;1;Москоммерцбанк;3365;Москва и обл.;23 643 383,00;23 075 269,00;568 114,00;2,46
134;4;Натиксис Банк;3390;Москва и обл.;23 504 378,00;22 156 798,00;1 347 580,00;6,08
135;1;Джей энд Ти Банк;3061;Москва и обл.;23 066 794,00;22 635 055,00;431 739,00;1,91
136;1;НБД-Банк;1966;Нижегородская обл.;22 496 197,00;22 265 472,00;230 725,00;1,04
137;-2;Чайна Констракшн;3515;Москва и обл.;22 311 927,00;22 872 183,00;-560 256,00;-2,45
138;6;Инбанк;1829;Москва и обл.;22 038 863,00;20 610 096,00;1 428 767,00;6,93
139;1;Банк Акцепт;567;Новосибирская обл.;21 339 827,00;21 377 443,00;-37 616,00;-0,18
140;-1;Модульбанк;1927;Костромская обл.;21 095 414,00;21 676 861,00;-581 447,00;-2,68
141;4;Татсоцбанк;480;Татарстан;20 825 538,00;20 398 044,00;427 494,00;2,10
142;1;Пойдем!;2534;Москва и обл.;20 648 216,00;20 685 744,00;-37 528,00;-0,18
143;-1;Агропромкредит;2880;Москва и обл.;20 540 810,00;20 934 211,00;-393 401,00;-1,88
144;-3;Тольяттихимбанк;2507;Самарская обл.;20 291 095,00;21 152 284,00;-861 189,00;-4,07
145;4;РосДорБанк;1573;Москва и обл.;19 913 129,00;19 097 835,00;815 294,00;4,27
146;2;Кошелев-Банк;3300;Самарская обл.;19 709 464,00;19 661 309,00;48 155,00;0,24
147;-1;Ури Банк;3479;Москва и обл.;19 168 173,00;20 106 679,00;-938 506,00;-4,67
148;4;Александровский;53;Санкт-Петербург и обл.;19 161 756,00;18 369 971,00;791 785,00;4,31
149;2;Прио-Внешторгбанк;212;Рязанская обл.;18 387 695,00;18 584 788,00;-197 093,00;-1,06
150;8;Развитие-Столица;3013;Москва и обл.;18 076 217,00;16 420 264,00;1 655 953,00;10,08
151;-20;Московское Ипотечное Агентство;3344;Москва и обл.;17 973 602,00;25 363 484,00;-7 389 882,00;-29,14
152;3;Алеф-Банк;2119;Москва и обл.;17 927 551,00;17 446 864,00;480 687,00;2,76
153;1;Денизбанк Москва;3330;Москва и обл.;17 830 279,00;17 689 412,00;140 867,00;0,80
154;-1;Банк Оренбург;3269;Оренбургская обл.;17 823 574,00;17 752 458,00;71 116,00;0,40
155;-8;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;17 640 460,00;19 768 068,00;-2 127 608,00;-10,76
156;-6;Ишбанк;2867;Москва и обл.;17 454 998,00;18 612 998,00;-1 158 000,00;-6,22
157;-1;Морской Банк;77;Москва и обл.;17 366 965,00;17 371 434,00;-4 469,00;-0,03
158;-1;Форштадт;2208;Оренбургская обл.;16 573 123,00;16 654 945,00;-81 822,00;-0,49
159;1;Норвик Банк;902;Кировская обл.;16 296 104,00;16 104 275,00;191 829,00;1,19
160;-1;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;16 150 922,00;16 150 918,00;4,00;0,00
161;0;Эс-Би-Ай Банк;3185;Москва и обл.;16 018 378,00;15 798 195,00;220 183,00;1,39
162;0;РЕСО Кредит;3450;Москва и обл.;15 473 872,00;15 236 896,00;236 976,00;1,56
163;0;Финанс Бизнес Банк;520;Москва и обл.;15 166 380,00;14 943 825,00;222 555,00;1,49
164;0;НК Банк;2755;Москва и обл.;15 043 824,00;14 545 538,00;498 286,00;3,43
165;8;Национальный Резервный Банк;2170;Москва и обл.;15 017 936,00;12 681 137,00;2 336 799,00;18,43
166;5;Промтрансбанк;2638;Башкортостан;14 464 447,00;12 905 622,00;1 558 825,00;12,08
167;3;ЮMoney;3510;Россия;14 175 651,00;13 107 328,00;1 068 323,00;8,15
168;0;Реалист Банк;1067;Москва и обл.;13 639 464,00;13 205 921,00;433 543,00;3,28
169;5;Консервативный Коммерческий Банк;1087;Астраханская обл.;13 617 094,00;12 573 213,00;1 043 881,00;8,30
170;-4;Банк Казани;708;Татарстан;13 517 933,00;14 228 643,00;-710 710,00;-4,99
171;-4;Гарант-Инвест;2576;Москва и обл.;13 382 005,00;13 457 961,00;-75 956,00;-0,56
172;-3;КС Банк;1752;Мордовия;13 117 086,00;13 193 220,00;-76 134,00;-0,58
173;24;Морган Стэнли Банк;3456;Москва и обл.;13 021 749,00;8 805 336,00;4 216 413,00;47,88
174;-2;НИКО-Банк;702;Оренбургская обл.;12 925 005,00;12 881 325,00;43 680,00;0,34
175;0;Датабанк;646;Удмуртия;12 601 937,00;12 549 331,00;52 606,00;0,42
176;-11;Чайнасельхозбанк;3529;Москва и обл.;12 590 023,00;14 280 888,00;-1 690 865,00;-11,84
177;-1;Нацинвестпромбанк;3077;Москва и обл.;12 555 803,00;12 260 858,00;294 945,00;2,41
178;3;Энергомашбанк;52;Санкт-Петербург и обл.;12 482 324,00;11 812 031,00;670 293,00;5,67
179;-2;Собинбанк;1317;Москва и обл.;12 309 066,00;12 250 591,00;58 475,00;0,48
180;-2;Юг-Инвестбанк;2772;Краснодарский край;12 292 773,00;12 134 780,00;157 993,00;1,30
181;2;ТЭМБР-Банк;2764;Москва и обл.;11 995 727,00;11 407 474,00;588 253,00;5,16
182;-3;Снежинский;1376;Челябинская обл.;11 808 817,00;12 074 305,00;-265 488,00;-2,20
183;7;Автоторгбанк;2776;Москва и обл.;11 797 306,00;9 953 124,00;1 844 182,00;18,53
184;17;Инкахран;3454;Москва и обл.;11 796 354,00;8 497 670,00;3 298 684,00;38,82
185;-1;Руснарбанк;3403;Москва и обл.;11 692 404,00;11 295 042,00;397 362,00;3,52
186;-4;Актив Банк;2529;Мордовия;11 466 916,00;11 643 640,00;-176 724,00;-1,52
187;-1;Банк Жилищного Финансирования;3138;Москва и обл.;11 119 685,00;10 974 196,00;145 489,00;1,33
188;-8;Банк Раунд;2506;Москва и обл.;10 976 107,00;11 920 779,00;-944 672,00;-7,92
189;4;Русьуниверсалбанк;3293;Москва и обл.;10 811 411,00;9 696 393,00;1 115 018,00;11,50
190;-5;Банк БКФ;2684;Москва и обл.;10 771 135,00;11 041 319,00;-270 184,00;-2,45
191;-3;МБА-Москва;3395;Москва и обл.;10 758 538,00;10 456 417,00;302 121,00;2,89
192;-5;Солид Банк;1329;Приморский край;10 590 885,00;10 566 029,00;24 856,00;0,24
193;-2;Национальная Факторинговая Компания;3437;Москва и обл.;10 418 538,00;9 825 850,00;592 688,00;6,03
194;-5;Екатеринбург;3161;Свердловская обл.;10 340 405,00;10 151 418,00;188 987,00;1,86
195;-3;Итуруп;2390;Сахалинская обл.;9 495 225,00;9 757 188,00;-261 963,00;-2,68
196;-1;Томскпромстройбанк;1720;Томская обл.;9 229 481,00;9 137 912,00;91 569,00;1,00
197;3;Зираат Банк;2559;Москва и обл.;9 068 626,00;8 619 688,00;448 938,00;5,21
198;0;Нейва;1293;Свердловская обл.;8 853 115,00;8 772 487,00;80 628,00;0,92
199;0;Хакасский Муниципальный Банк;1049;Хакасия;8 830 631,00;8 737 121,00;93 510,00;1,07
200;-6;Углеметбанк;2997;Челябинская обл.;8 552 417,00;9 660 621,00;-1 108 204,00;-11,47
201;2;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 429 534,00;8 224 482,00;205 052,00;2,49
202;5;Трансстройбанк;2807;Москва и обл.;8 375 699,00;7 885 432,00;490 267,00;6,22
203;-1;Белгородсоцбанк;760;Белгородская обл.;8 181 256,00;8 349 252,00;-167 996,00;-2,01
204;2;Новобанк;1352;Новгородская обл.;8 156 385,00;8 059 522,00;96 863,00;1,20
205;5;Сити Инвест Банк;3194;Санкт-Петербург и обл.;8 028 868,00;7 642 971,00;385 897,00;5,05
206;2;Северный Народный Банк;2721;Коми;7 985 448,00;7 859 976,00;125 472,00;1,60
207;-11;Финам Банк;2799;Москва и обл.;7 857 649,00;9 134 065,00;-1 276 416,00;-13,97
208;-4;Ставропольпромстройбанк;1288;Ставропольский край;7 546 719,00;8 162 169,00;-615 450,00;-7,54
209;0;Сибсоцбанк;2015;Алтайский край;7 469 298,00;7 659 254,00;-189 956,00;-2,48
210;1;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 271 178,00;7 386 940,00;-115 762,00;-1,57
211;2;Агророс;2860;Саратовская обл.;7 216 772,00;7 127 719,00;89 053,00;1,25
212;0;Ростфинанс;481;Ростовская обл.;7 130 428,00;7 299 823,00;-169 395,00;-2,32
213;2;Ю Би Эс Банк;3463;Москва и обл.;7 004 388,00;6 924 701,00;79 687,00;1,15
214;-9;Гута-Банк;256;Москва и обл.;6 996 131,00;8 100 162,00;-1 104 031,00;-13,63
215;-1;Славия;2664;Москва и обл.;6 982 380,00;7 019 837,00;-37 457,00;-0,53
216;0;Нефтепромбанк;2156;Москва и обл.;6 947 151,00;6 876 802,00;70 349,00;1,02
217;0;Черноморский банк развития и реконструкции;3527;Симферополь;6 817 351,00;6 833 789,00;-16 438,00;-0,24
218;1;Горбанк;2982;Санкт-Петербург и обл.;6 713 864,00;6 727 256,00;-13 392,00;-0,20
219;5;Земский Банк;2900;Самарская обл.;6 648 848,00;6 575 729,00;73 119,00;1,11
220;-2;Кузнецкий;609;Пензенская обл.;6 641 032,00;6 796 295,00;-155 263,00;-2,28
221;1;Венец;524;Ульяновская обл.;6 632 880,00;6 675 954,00;-43 074,00;-0,65
222;3;Азия-Инвест Банк;3303;Москва и обл.;6 552 827,00;6 553 512,00;-685,00;-0,01
223;-2;Автоградбанк;1455;Татарстан;6 535 385,00;6 702 928,00;-167 543,00;-2,50
224;-1;Енисейский Объединенный Банк;2645;Красноярский край;6 467 140,00;6 632 195,00;-165 055,00;-2,49
225;-5;ФорБанк;2063;Москва и обл.;6 447 625,00;6 709 843,00;-262 218,00;-3,91
226;1;Газтрансбанк;665;Краснодарский край;6 109 075,00;6 046 403,00;62 672,00;1,04
227;-1;Москва-Сити;3247;Москва и обл.;5 928 771,00;6 056 482,00;-127 711,00;-2,11
228;1;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 851 568,00;5 595 278,00;256 290,00;4,58
229;-1;Кубаньторгбанк;478;Краснодарский край;5 799 601,00;5 792 180,00;7 421,00;0,13
230;7;Бест Эффортс Банк;435;Москва и обл.;5 619 657,00;5 045 365,00;574 292,00;11,38
231;-1;Банк Фридом Финанс;1143;Москва и обл.;5 558 182,00;5 554 217,00;3 965,00;0,07
232;0;Роял Кредит Банк;783;Приморский край;5 491 789,00;5 464 153,00;27 636,00;0,51
233;0;Стройлесбанк;2995;Тюменская обл.;5 475 738,00;5 409 617,00;66 121,00;1,22
234;-3;Альба Альянс;2593;Москва и обл.;5 337 328,00;5 476 950,00;-139 622,00;-2,55
235;19;Бланк Банк;2368;Москва и обл.;5 200 296,00;4 166 343,00;1 033 953,00;24,82
236;-1;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;5 040 611,00;5 078 034,00;-37 423,00;-0,74
237;-3;Проминвестбанк;2433;Москва и обл.;4 971 921,00;5 170 047,00;-198 126,00;-3,83
238;11;Народный Банк;2249;Москва и обл.;4 825 380,00;4 316 794,00;508 586,00;11,78
239;-3;СИАБ;3245;Санкт-Петербург и обл.;4 800 716,00;5 059 491,00;-258 775,00;-5,11
240;0;НОКССбанк;3202;Волгоградская обл.;4 788 003,00;4 772 808,00;15 195,00;0,32
241;-2;Заубер Банк;1614;Санкт-Петербург и обл.;4 771 475,00;4 818 318,00;-46 843,00;-0,97
242;3;Московский Коммерческий Банк;3172;Москва и обл.;4 740 890,00;4 433 701,00;307 189,00;6,93
243;-5;Зенит Сочи;232;Краснодарский край;4 730 554,00;4 991 322,00;-260 768,00;-5,22
244;-3;Крокус-Банк;2682;Москва и обл.;4 639 003,00;4 727 506,00;-88 503,00;-1,87
245;-3;Долинск;857;Сахалинская обл.;4 491 766,00;4 711 676,00;-219 910,00;-4,67
246;4;Платина;2347;Москва и обл.;4 478 922,00;4 274 661,00;204 261,00;4,78
247;-3;Камский Коммерческий Банк;438;Татарстан;4 445 319,00;4 447 769,00;-2 450,00;-0,06
248;-2;Братский АНКБ;1144;Иркутская обл.;4 440 536,00;4 415 146,00;25 390,00;0,58
249;-6;ФинТех;3499;Москва и обл.;4 376 218,00;4 698 419,00;-322 201,00;-6,86
250;-2;Мегаполис;3265;Чувашия;4 372 828,00;4 369 930,00;2 898,00;0,07
251;5;ЮМК Банк;3495;Краснодарский край;4 191 945,00;4 023 197,00;168 748,00;4,19
252;-1;Славянский Кредит;2960;Москва и обл.;4 173 358,00;4 254 320,00;-80 962,00;-1,90
253;-6;Банк Кремлевский;2905;Москва и обл.;4 168 288,00;4 385 109,00;-216 821,00;-4,94
254;5;Новый Век;3417;Москва и обл.;4 154 864,00;3 956 652,00;198 212,00;5,01
255;70;Кросна-Банк;2607;Москва и обл.;4 092 424,00;1 945 402,00;2 147 022,00;110,36
256;-1;Алтайкапиталбанк;2659;Алтайский край;4 052 858,00;4 078 598,00;-25 740,00;-0,63
257;1;ПэйПал Ру;3517;Москва и обл.;3 988 777,00;3 988 777,00;0,00;0
258;2;Вологжанин;1896;Вологодская обл.;3 946 386,00;3 888 395,00;57 991,00;1,49
259;-7;Донкомбанк;492;Ростовская обл.;3 943 054,00;4 220 272,00;-277 218,00;-6,57
