Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2016, тыс. рублей;Май, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 005 589 888,00;22 933 754 353,00;71 835 535,00;0,31
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 634 020 082,00;8 805 713 007,00;828 307 075,00;9,41
3;0;Газпромбанк;354;Москва и обл.;5 318 860 129,00;5 227 698 735,00;91 161 394,00;1,74
4;0;ВТБ 24;1623;Москва и обл.;3 040 704 865,00;2 999 446 189,00;41 258 676,00;1,38
5;0;Банк Открытие;2209;Москва и обл.;2 947 627 164,00;2 842 983 813,00;104 643 351,00;3,68
6;0;Россельхозбанк;3349;Москва и обл.;2 690 654 760,00;2 662 954 776,00;27 699 984,00;1,04
7;0;Альфа-Банк;1326;Москва и обл.;2 219 987 981,00;2 236 384 509,00;-16 396 528,00;-0,73
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 921 957 032,00;2 006 147 298,00;-84 190 266,00;-4,20
9;1;ЮниКредит Банк;1;Москва и обл.;1 377 936 432,00;1 317 300 675,00;60 635 757,00;4,60
10;1;Московский Кредитный Банк;1978;Москва и обл.;1 256 975 566,00;1 301 748 951,00;-44 773 385,00;-3,44
11;1;Промсвязьбанк;3251;Москва и обл.;1 224 676 601,00;1 227 397 289,00;-2 720 688,00;-0,22
12;2;Райффайзенбанк;3292;Москва и обл.;849 482 374,00;800 745 938,00;48 736 436,00;6,09
13;0;Росбанк;2272;Москва и обл.;815 215 164,00;856 730 019,00;-41 514 855,00;-4,85
14;1;Бинбанк;323;Москва и обл.;751 125 138,00;736 519 885,00;14 605 253,00;1,98
15;-6;БМ-Банк;2748;Москва и обл.;722 338 104,00;1 688 499 232,00;-966 161 128,00;-57,22
16;0;Россия;328;Санкт-Петербург и обл.;591 832 266,00;584 544 280,00;7 287 986,00;1,25
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;572 176 689,00;563 456 101,00;8 720 588,00;1,55
18;3;Совкомбанк;963;Костромская обл.;503 896 028,00;476 538 129,00;27 357 899,00;5,74
19;-1;Ханты-Мансийский банк Открытие;1971;Москва и обл.;502 166 268,00;501 998 808,00;167 460,00;0,03
20;-1;Рост Банк;2888;Москва и обл.;498 204 689,00;484 643 012,00;13 561 677,00;2,80
21;-1;Русский Стандарт;2289;Москва и обл.;492 699 900,00;481 294 645,00;11 405 255,00;2,37
22;0;Московский Областной Банк;1751;Москва и обл.;476 682 287,00;473 923 441,00;2 758 846,00;0,58
23;0;Ак Барс;2590;Татарстан;462 244 738,00;450 991 849,00;11 252 889,00;2,50
24;0;Банк Уралсиб;30;Москва и обл.;455 551 112,00;447 095 100,00;8 456 012,00;1,89
25;0;Ситибанк;2557;Москва и обл.;449 640 106,00;419 727 592,00;29 912 514,00;7,13
26;0;Траст;3279;Москва и обл.;395 615 338,00;399 235 613,00;-3 620 275,00;-0,91
27;1;Связь-Банк;1470;Москва и обл.;353 181 005,00;343 853 667,00;9 327 338,00;2,71
28;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;345 466 594,00;346 076 756,00;-610 162,00;-0,18
29;1;СМП Банк;3368;Москва и обл.;327 726 828,00;331 544 232,00;-3 817 404,00;-1,15
30;1;МДМ Банк;2562;Москва и обл.;327 049 730,00;330 168 614,00;-3 118 884,00;-0,94
31;1;Югра;880;Москва и обл.;322 110 027,00;319 128 090,00;2 981 937,00;0,93
32;-3;Нордеа Банк;3016;Москва и обл.;318 441 001,00;338 776 478,00;-20 335 477,00;-6,00
33;0;ИНГ Банк;2495;Москва и обл.;289 087 404,00;289 647 783,00;-560 379,00;-0,19
34;0;Банк ДОМ.РФ;2312;Москва и обл.;282 692 725,00;272 546 206,00;10 146 519,00;3,72
35;0;Банк Зенит;3255;Москва и обл.;262 722 895,00;262 320 136,00;402 759,00;0,15
36;0;Абсолют Банк;2306;Москва и обл.;259 766 272,00;256 895 706,00;2 870 566,00;1,12
37;1;Московский Индустриальный Банк;912;Москва и обл.;258 357 823,00;248 886 492,00;9 471 331,00;3,81
38;-1;Новикомбанк;2546;Москва и обл.;251 465 453,00;255 059 974,00;-3 594 521,00;-1,41
39;1;Возрождение;1439;Москва и обл.;233 953 820,00;231 990 115,00;1 963 705,00;0,85
