Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2010, тыс. рублей;Август, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 243 891 885,00;8 169 351 986,00;74 539 899,00;0,91
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 752 157 150,00;2 636 543 952,00;115 613 198,00;4,39
3;0;Газпромбанк;354;Москва и обл.;1 602 450 227,00;1 632 946 369,00;-30 496 142,00;-1,87
4;0;Россельхозбанк;3349;Москва и обл.;1 025 516 683,00;1 016 524 815,00;8 991 868,00;0,88
5;0;БМ-Банк;2748;Москва и обл.;911 602 136,00;923 173 977,00;-11 571 841,00;-1,25
6;0;ВТБ 24;1623;Москва и обл.;816 115 564,00;806 423 547,00;9 692 017,00;1,20
7;0;Альфа-Банк;1326;Москва и обл.;741 559 533,00;719 900 264,00;21 659 269,00;3,01
8;0;ЮниКредит Банк;1;Москва и обл.;551 868 494,00;562 377 628,00;-10 509 134,00;-1,87
9;0;Райффайзенбанк;3292;Москва и обл.;532 379 216,00;520 027 471,00;12 351 745,00;2,38
10;0;Промсвязьбанк;3251;Москва и обл.;496 772 704,00;481 276 582,00;15 496 122,00;3,22
11;0;Банк Уралсиб;30;Москва и обл.;410 454 444,00;448 518 408,00;-38 063 964,00;-8,49
12;1;Росбанк;2272;Москва и обл.;403 725 312,00;392 343 343,00;11 381 969,00;2,90
13;-1;МДМ Банк;2562;Новосибирская обл.;403 075 828,00;394 906 526,00;8 169 302,00;2,07
14;0;Транскредитбанк;2142;Москва и обл.;353 225 289,00;341 951 084,00;11 274 205,00;3,30
15;0;Банк Открытие;2209;Москва и обл.;286 568 472,00;281 752 745,00;4 815 727,00;1,71
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;247 009 275,00;244 645 714,00;2 363 561,00;0,97
17;2;Ак Барс;2590;Татарстан;241 487 183,00;234 838 880,00;6 648 303,00;2,83
18;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;238 072 714,00;237 042 963,00;1 029 751,00;0,43
19;-2;Ситибанк;2557;Москва и обл.;235 386 231,00;241 886 543,00;-6 500 312,00;-2,69
20;0;Связь-Банк;1470;Москва и обл.;230 885 984,00;216 229 601,00;14 656 383,00;6,78
21;14;Россия;328;Санкт-Петербург и обл.;222 548 639,00;122 122 773,00;100 425 866,00;82,23
22;-1;Петрокоммерц;1776;Москва и обл.;185 798 674,00;185 244 094,00;554 580,00;0,30
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;172 812 476,00;165 573 527,00;7 238 949,00;4,37
24;-2;Нордеа Банк;3016;Москва и обл.;170 262 442,00;170 169 735,00;92 707,00;0,05
25;1;Возрождение;1439;Москва и обл.;163 977 188,00;160 788 920,00;3 188 268,00;1,98
26;-1;Международный Промышленный Банк;2056;Москва и обл.;160 150 379,00;160 921 057,00;-770 678,00;-0,48
27;-3;Банк Зенит;3255;Москва и обл.;156 241 062,00;162 404 825,00;-6 163 763,00;-3,80
28;0;Траст;3279;Москва и обл.;147 163 407,00;139 846 934,00;7 316 473,00;5,23
29;-2;Русский Стандарт;2289;Москва и обл.;141 244 501,00;145 279 353,00;-4 034 852,00;-2,78
30;-1;Банк Сосьете Женераль Восток;2295;Москва и обл.;132 937 219,00;136 526 434,00;-3 589 215,00;-2,63
31;-1;ЦентроКредит;121;Москва и обл.;129 945 185,00;133 725 895,00;-3 780 710,00;-2,83
32;1;Абсолют Банк;2306;Москва и обл.;129 781 844,00;125 141 116,00;4 640 728,00;3,71
33;-2;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;128 368 893,00;127 835 618,00;533 275,00;0,42
34;-2;Московский Кредитный Банк;1978;Москва и обл.;126 532 582,00;126 958 429,00;-425 847,00;-0,34
35;3;Хоум Кредит Банк;316;Москва и обл.;116 448 883,00;111 130 277,00;5 318 606,00;4,79
36;0;МТС Банк;2268;Москва и обл.;114 332 956,00;120 134 130,00;-5 801 174,00;-4,83
37;0;Национальный Клиринговый Центр;3466;Москва и обл.;113 647 064,00;115 685 896,00;-2 038 832,00;-1,76
38;1;ИНГ Банк;2495;Москва и обл.;108 839 391,00;110 559 606,00;-1 720 215,00;-1,56
39;1;ОТП Банк;2766;Москва и обл.;103 080 157,00;101 838 462,00;1 241 695,00;1,22
40;1;Московский Индустриальный Банк;912;Москва и обл.;99 728 996,00;99 509 328,00;219 668,00;0,22
41;1;РГС Банк;3073;Москва и обл.;94 928 326,00;97 259 827,00;-2 331 501,00;-2,40
42;2;Русфинанс Банк;1792;Самарская обл.;86 525 923,00;86 445 780,00;80 143,00;0,09
43;2;Бинбанк;323;Москва и обл.;85 950 055,00;86 389 935,00;-439 880,00;-0,51
44;-1;Глобэкс;1942;Москва и обл.;85 918 941,00;87 843 940,00;-1 924 999,00;-2,19
45;1;Юниаструм Банк;2771;Москва и обл.;82 495 892,00;80 603 587,00;1 892 305,00;2,35
46;3;Дойче Банк;3328;Москва и обл.;82 048 153,00;71 634 624,00;10 413 529,00;14,54
47;1;Восточный Банк;1460;Амурская обл.;76 649 815,00;73 706 923,00;2 942 892,00;3,99
48;5;Балтийский Банк;128;Москва и обл.;70 302 096,00;66 967 575,00;3 334 521,00;4,98
49;3;Пробизнесбанк;2412;Москва и обл.;69 626 385,00;67 223 675,00;2 402 710,00;3,57
50;1;Кредит Европа Банк;3311;Москва и обл.;68 967 666,00;69 685 928,00;-718 262,00;-1,03
51;-4;Банк Интеза;2216;Москва и обл.;68 890 471,00;76 007 995,00;-7 117 524,00;-9,36
52;-2;Транскапиталбанк;2210;Москва и обл.;67 420 679,00;70 476 427,00;-3 055 748,00;-4,34
53;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;67 392 891,00;66 153 856,00;1 239 035,00;1,87
54;1;Мастер-Банк;2176;Москва и обл.;67 371 476,00;64 720 222,00;2 651 254,00;4,10
55;1;СКБ-Банк;705;Свердловская обл.;66 135 641,00;64 093 334,00;2 042 307,00;3,19
56;2;РосЕвроБанк;3137;Москва и обл.;63 818 881,00;61 411 899,00;2 406 982,00;3,92
57;0;МСП Банк;3340;Москва и обл.;63 213 101,00;62 810 478,00;402 623,00;0,64
58;1;Союз;2307;Москва и обл.;57 914 008,00;58 124 519,00;-210 511,00;-0,36
59;1;Татфондбанк;3058;Татарстан;57 865 471,00;57 697 633,00;167 838,00;0,29
