Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2013, тыс. рублей;Январь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;13 795 990 088,00;14 082 252 862,00;-286 262 774,00;-2,03
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 291 726 251,00;4 338 506 970,00;-46 780 719,00;-1,08
3;0;Газпромбанк;354;Москва и обл.;2 843 557 323,00;2 814 389 584,00;29 167 739,00;1,04
4;0;Россельхозбанк;3349;Москва и обл.;1 647 148 686,00;1 672 771 138,00;-25 622 452,00;-1,53
5;1;ВТБ 24;1623;Москва и обл.;1 499 116 601,00;1 511 500 758,00;-12 384 157,00;-0,82
6;-1;БМ-Банк;2748;Москва и обл.;1 485 592 406,00;1 520 101 934,00;-34 509 528,00;-2,27
7;0;Альфа-Банк;1326;Москва и обл.;1 257 151 126,00;1 377 045 587,00;-119 894 461,00;-8,71
8;0;ЮниКредит Банк;1;Москва и обл.;744 457 903,00;886 111 726,00;-141 653 823,00;-15,99
9;1;Росбанк;2272;Москва и обл.;681 338 323,00;694 965 066,00;-13 626 743,00;-1,96
10;-1;Промсвязьбанк;3251;Москва и обл.;672 645 785,00;703 512 015,00;-30 866 230,00;-4,39
11;1;Райффайзенбанк;3292;Москва и обл.;613 960 678,00;636 129 628,00;-22 168 950,00;-3,48
12;-1;Банк Открытие;2209;Москва и обл.;611 866 309,00;658 177 268,00;-46 310 959,00;-7,04
13;0;Транскредитбанк;2142;Москва и обл.;504 430 097,00;504 220 728,00;209 369,00;0,04
14;0;Банк Уралсиб;30;Москва и обл.;429 134 835,00;452 552 670,00;-23 417 835,00;-5,17
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;364 191 070,00;377 459 109,00;-13 268 039,00;-3,52
16;0;МДМ Банк;2562;Новосибирская обл.;349 162 424,00;369 245 138,00;-20 082 714,00;-5,44
17;0;Ак Барс;2590;Татарстан;336 299 676,00;342 762 257,00;-6 462 581,00;-1,89
18;0;Хоум Кредит Банк;316;Москва и обл.;336 181 403,00;331 652 350,00;4 529 053,00;1,37
19;0;Ситибанк;2557;Москва и обл.;323 852 973,00;326 162 434,00;-2 309 461,00;-0,71
20;1;Россия;328;Санкт-Петербург и обл.;315 201 223,00;320 073 599,00;-4 872 376,00;-1,52
21;1;Русский Стандарт;2289;Москва и обл.;311 171 558,00;301 700 094,00;9 471 464,00;3,14
22;-2;Московский Кредитный Банк;1978;Москва и обл.;308 361 793,00;320 218 464,00;-11 856 671,00;-3,70
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;274 937 390,00;298 476 987,00;-23 539 597,00;-7,89
24;0;Связь-Банк;1470;Москва и обл.;269 672 772,00;269 560 402,00;112 370,00;0,04
25;3;Петрокоммерц;1776;Москва и обл.;251 959 550,00;233 056 908,00;18 902 642,00;8,11
26;-1;Нордеа Банк;3016;Москва и обл.;234 873 476,00;265 476 257,00;-30 602 781,00;-11,53
27;0;Восточный Банк;1460;Амурская обл.;231 523 628,00;233 182 612,00;-1 658 984,00;-0,71
28;1;Банк Зенит;3255;Москва и обл.;225 883 170,00;226 905 452,00;-1 022 282,00;-0,45
29;-3;Глобэкс;1942;Москва и обл.;223 741 251,00;236 339 119,00;-12 597 868,00;-5,33
30;1;Возрождение;1439;Москва и обл.;219 890 216,00;221 393 243,00;-1 503 027,00;-0,68
31;-1;ИНГ Банк;2495;Москва и обл.;213 183 125,00;221 820 082,00;-8 636 957,00;-3,89
32;1;Банк «Открытие»;2179;Москва и обл.;195 181 581,00;192 344 693,00;2 836 888,00;1,47
33;-1;Национальный Клиринговый Центр;3466;Москва и обл.;190 642 133,00;211 699 749,00;-21 057 616,00;-9,95
34;0;Траст;3279;Москва и обл.;182 251 894,00;183 375 283,00;-1 123 389,00;-0,61
35;0;Московский Индустриальный Банк;912;Москва и обл.;168 153 274,00;172 675 164,00;-4 521 890,00;-2,62
36;1;МТС Банк;2268;Москва и обл.;162 300 090,00;168 131 059,00;-5 830 969,00;-3,47
37;2;ОТП Банк;2766;Москва и обл.;159 856 369,00;158 934 553,00;921 816,00;0,58
38;0;Бинбанк;323;Москва и обл.;159 172 124,00;164 032 856,00;-4 860 732,00;-2,96
39;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;147 359 450,00;147 422 942,00;-63 492,00;-0,04
40;0;СМП Банк;3368;Москва и обл.;137 083 125,00;147 603 845,00;-10 520 720,00;-7,13
41;-5;Дойче Банк;3328;Москва и обл.;136 757 247,00;170 515 233,00;-33 757 986,00;-19,80
42;7;Национальный Расчетный Депозитарий;3294;Москва и обл.;134 321 708,00;112 653 228,00;21 668 480,00;19,23
43;-1;СКБ-Банк;705;Свердловская обл.;129 463 371,00;135 371 008,00;-5 907 637,00;-4,36
44;-1;Новикомбанк;2546;Москва и обл.;122 513 977,00;130 481 520,00;-7 967 543,00;-6,11
45;-1;Транскапиталбанк;2210;Москва и обл.;120 346 699,00;122 646 212,00;-2 299 513,00;-1,87
46;-1;Кредит Европа Банк;3311;Москва и обл.;117 518 124,00;120 512 039,00;-2 993 915,00;-2,48
47;-1;Внешпромбанк;3261;Москва и обл.;116 746 157,00;117 442 614,00;-696 457,00;-0,59
48;0;МСП Банк;3340;Москва и обл.;114 431 732,00;115 891 829,00;-1 460 097,00;-1,26
49;-2;РосЕвроБанк;3137;Москва и обл.;112 061 565,00;116 715 944,00;-4 654 379,00;-3,99
50;4;Пробизнесбанк;2412;Москва и обл.;109 373 907,00;107 984 819,00;1 389 088,00;1,29
51;-1;Инвестторгбанк;2763;Москва и обл.;107 403 844,00;111 382 988,00;-3 979 144,00;-3,57
52;-1;Абсолют Банк;2306;Москва и обл.;106 617 336,00;110 483 276,00;-3 865 940,00;-3,50
53;0;Татфондбанк;3058;Татарстан;106 226 412,00;108 152 554,00;-1 926 142,00;-1,78
54;-2;Авангард;2879;Москва и обл.;105 093 270,00;110 130 208,00;-5 036 938,00;-4,57
55;0;Русфинанс Банк;1792;Самарская обл.;105 090 236,00;107 935 177,00;-2 844 941,00;-2,64
56;0;РГС Банк;3073;Москва и обл.;101 345 763,00;103 668 352,00;-2 322 589,00;-2,24
57;1;Банк ДОМ.РФ;2312;Москва и обл.;99 759 439,00;100 318 559,00;-559 120,00;-0,56
58;1;Совкомбанк;963;Костромская обл.;98 539 784,00;97 772 413,00;767 371,00;0,78
59;-2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;93 101 795,00;101 728 610,00;-8 626 815,00;-8,48
60;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;92 239 404,00;91 033 983,00;1 205 421,00;1,32
61;4;Ренессанс Кредит;3354;Москва и обл.;91 832 313,00;89 492 688,00;2 339 625,00;2,61
62;2;БНП Париба Банк;3407;Москва и обл.;90 180 333,00;89 537 170,00;643 163,00;0,72
63;-3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;87 254 560,00;92 900 420,00;-5 645 860,00;-6,08
64;-2;Еврофинанс Моснарбанк;2402;Москва и обл.;85 630 225,00;90 491 009,00;-4 860 784,00;-5,37
65;-2;Юниаструм Банк;2771;Москва и обл.;84 911 128,00;90 427 375,00;-5 516 247,00;-6,10
66;28;Сургутнефтегазбанк;588;Тюменская обл.;84 317 578,00;50 524 562,00;33 793 016,00;66,88
67;-1;Запсибкомбанк;918;Тюменская обл.;83 645 521,00;87 519 776,00;-3 874 255,00;-4,43
68;-1;Балтийский Банк;128;Москва и обл.;82 960 663,00;84 821 302,00;-1 860 639,00;-2,19
69;2;ДельтаКредит;3338;Москва и обл.;80 244 715,00;80 169 491,00;75 224,00;0,09
70;-2;Пересвет;2110;Москва и обл.;80 236 049,00;84 625 399,00;-4 389 350,00;-5,19
71;-1;Банк Интеза;2216;Москва и обл.;80 233 634,00;81 724 535,00;-1 490 901,00;-1,82
72;0;Союз;2307;Москва и обл.;79 289 651,00;79 129 303,00;160 348,00;0,20
73;-4;Связной Банк;1961;Москва и обл.;78 583 976,00;82 285 015,00;-3 701 039,00;-4,50
74;-1;Мастер-Банк;2176;Москва и обл.;77 888 782,00;77 766 584,00;122 198,00;0,16
75;-1;Тинькофф Банк;2673;Москва и обл.;76 436 853,00;75 414 961,00;1 021 892,00;1,36
76;20;Банк Кредит Свисс;2494;Москва и обл.;75 347 512,00;45 396 565,00;29 950 947,00;65,98
77;-2;Нота-Банк;2913;Москва и обл.;74 086 835,00;75 380 556,00;-1 293 721,00;-1,72
78;1;ЦентроКредит;121;Москва и обл.;72 864 900,00;72 157 363,00;707 537,00;0,98
79;-1;Локо-Банк;2707;Москва и обл.;71 663 688,00;72 555 717,00;-892 029,00;-1,23
80;-3;Собинбанк;1317;Москва и обл.;69 672 288,00;72 611 320,00;-2 939 032,00;-4,05
81;-5;Всероссийский Банк Развития Регионов;3287;Москва и обл.;67 407 448,00;74 287 442,00;-6 879 994,00;-9,26
82;-2;Роскосмосбанк;2989;Москва и обл.;66 344 120,00;68 343 355,00;-1 999 235,00;-2,93
83;-2;Центр-инвест;2225;Ростовская обл.;65 261 540,00;64 581 199,00;680 341,00;1,05
84;-2;Металлинвестбанк;2440;Москва и обл.;65 238 470,00;63 412 208,00;1 826 262,00;2,88
85;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;61 773 595,00;62 468 221,00;-694 626,00;-1,11
86;0;Банк БФА;3038;Санкт-Петербург и обл.;61 709 607,00;56 183 522,00;5 526 085,00;9,84
87;4;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;59 018 629,00;51 263 618,00;7 755 011,00;15,13
88;-4;Инвестбанк;107;Москва и обл.;56 391 559,00;57 517 684,00;-1 126 125,00;-1,96
