Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2020, тыс. рублей;Март, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;30 996 090 960,00;29 276 869 089,00;1 719 221 871,00;5,87
2;0;ВТБ;1000;Санкт-Петербург и обл.;15 449 915 604,00;14 115 988 836,00;1 333 926 768,00;9,45
3;0;Газпромбанк;354;Москва и обл.;7 222 616 558,00;6 700 683 954,00;521 932 604,00;7,79
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 581 142 681,00;3 941 010 034,00;640 132 647,00;16,24
5;0;Альфа-Банк;1326;Москва и обл.;4 341 514 901,00;3 827 665 260,00;513 849 641,00;13,42
6;0;Россельхозбанк;3349;Москва и обл.;3 863 162 782,00;3 456 650 842,00;406 511 940,00;11,76
7;1;Московский Кредитный Банк;1978;Москва и обл.;2 893 610 487,00;2 531 468 385,00;362 142 102,00;14,31
8;-1;Банк Открытие;2209;Москва и обл.;2 718 916 985,00;2 675 473 579,00;43 443 406,00;1,62
9;0;ЮниКредит Банк;1;Москва и обл.;1 569 864 314,00;1 502 277 222,00;67 587 092,00;4,50
10;0;Райффайзенбанк;3292;Москва и обл.;1 476 539 869,00;1 323 138 108,00;153 401 761,00;11,59
11;2;Совкомбанк;963;Костромская обл.;1 423 047 410,00;1 297 872 499,00;125 174 911,00;9,64
12;0;Росбанк;2272;Москва и обл.;1 388 529 692,00;1 301 804 463,00;86 725 229,00;6,66
13;-2;Траст;3279;Москва и обл.;1 335 937 983,00;1 305 217 096,00;30 720 887,00;2,35
14;0;Россия;328;Санкт-Петербург и обл.;1 023 350 274,00;1 039 489 878,00;-16 139 604,00;-1,55
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;869 353 697,00;783 139 060,00;86 214 637,00;11,01
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;704 374 119,00;697 185 106,00;7 189 013,00;1,03
17;2;Ситибанк;2557;Москва и обл.;644 693 575,00;582 485 990,00;62 207 585,00;10,68
18;-1;Тинькофф Банк;2673;Москва и обл.;643 304 098,00;641 376 100,00;1 927 998,00;0,30
19;-1;Ак Барс;2590;Татарстан;633 169 104,00;618 911 122,00;14 257 982,00;2,30
20;4;СМП Банк;3368;Москва и обл.;573 371 810,00;468 798 858,00;104 572 952,00;22,31
21;1;Новикомбанк;2546;Москва и обл.;552 624 359,00;520 106 745,00;32 517 614,00;6,25
22;-2;Банк Уралсиб;30;Москва и обл.;545 978 713,00;531 484 381,00;14 494 332,00;2,73
23;0;БМ-Банк;2748;Москва и обл.;529 669 691,00;510 397 186,00;19 272 505,00;3,78
24;-3;Почта Банк;650;Москва и обл.;521 601 454,00;521 881 019,00;-279 565,00;-0,05
25;1;Московский Областной Банк;1751;Москва и обл.;490 625 194,00;407 967 297,00;82 657 897,00;20,26
26;-1;Московский Индустриальный Банк;912;Москва и обл.;441 948 302,00;426 047 305,00;15 900 997,00;3,73
27;2;Банк ДОМ.РФ;2312;Москва и обл.;385 392 400,00;352 962 722,00;32 429 678,00;9,19
