Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2013, тыс. рублей;Август, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
77;1;Роскосмосбанк;2989;Москва и обл.;73 581 635,00;74 561 605,00;-979 970,00;-1,31
78;-10;Всероссийский Банк Развития Регионов;3287;Москва и обл.;72 650 819,00;85 402 760,00;-12 751 941,00;-14,93
79;0;Банк БФА;3038;Санкт-Петербург и обл.;71 130 989,00;70 357 639,00;773 350,00;1,10
80;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;65 270 888,00;61 442 195,00;3 828 693,00;6,23
81;-1;Металлинвестбанк;2440;Москва и обл.;64 696 575,00;63 136 073,00;1 560 502,00;2,47
82;-1;Инвестбанк;107;Москва и обл.;63 767 526,00;62 826 405,00;941 121,00;1,50
83;5;СБ Банк (Судостроительный банк);2999;Москва и обл.;63 757 544,00;60 244 562,00;3 512 982,00;5,83
84;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;63 684 151,00;60 654 433,00;3 029 718,00;5,00
85;-1;Собинбанк;1317;Москва и обл.;62 106 680,00;61 203 537,00;903 143,00;1,48
86;1;Первобанк;3461;Самарская обл.;62 042 620,00;60 340 870,00;1 701 750,00;2,82
87;4;Сургутнефтегазбанк;588;Тюменская обл.;59 288 737,00;57 190 954,00;2 097 783,00;3,67
88;4;Московский Областной Банк;1751;Москва и обл.;59 272 742,00;55 194 675,00;4 078 067,00;7,39
89;1;Бинбанк Диджитал;2827;Москва и обл.;58 676 909,00;58 752 914,00;-76 005,00;-0,13
90;4;Рост Банк;2888;Москва и обл.;57 690 641,00;53 746 609,00;3 944 032,00;7,34
91;-5;Международный Финансовый Клуб;2618;Москва и обл.;57 476 422,00;60 344 350,00;-2 867 928,00;-4,75
92;3;Российский Кредит;324;Москва и обл.;55 839 824,00;52 007 740,00;3 832 084,00;7,37
93;-10;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;55 550 975,00;61 311 186,00;-5 760 211,00;-9,40
94;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;55 263 327,00;53 946 416,00;1 316 911,00;2,44
95;3;Интеркоммерц Банк;1657;Москва и обл.;50 451 619,00;48 640 566,00;1 811 053,00;3,72
96;0;Тойота Банк;3470;Москва и обл.;50 426 246,00;49 787 578,00;638 668,00;1,28
97;4;Национальный Стандарт;3421;Москва и обл.;47 736 714,00;45 580 859,00;2 155 855,00;4,73
98;-1;Таврический Банк;2304;Санкт-Петербург и обл.;47 731 811,00;48 724 054,00;-992 243,00;-2,04
99;4;Кубань Кредит;2518;Краснодарский край;47 357 992,00;43 875 376,00;3 482 616,00;7,94
100;0;Экспресс-Волга;3085;Саратовская обл.;46 556 409,00;45 974 217,00;582 192,00;1,27
101;-2;Экспо Финанс;2594;Москва и обл.;46 545 164,00;47 415 730,00;-870 566,00;-1,84
102;-13;Еврофинанс Моснарбанк;2402;Москва и обл.;44 481 603,00;58 847 319,00;-14 365 716,00;-24,41
103;2;Межтопэнергобанк;2956;Москва и обл.;44 404 996,00;42 414 932,00;1 990 064,00;4,69
104;-2;Народный Кредит;2401;Москва и обл.;43 392 111,00;43 935 186,00;-543 075,00;-1,24
105;5;Сетелем Банк;2168;Москва и обл.;42 721 518,00;39 059 823,00;3 661 695,00;9,37
106;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;42 365 894,00;41 923 294,00;442 600,00;1,06
107;6;Экспобанк;2998;Москва и обл.;40 491 696,00;37 567 845,00;2 923 851,00;7,78
108;-1;НС Банк;3124;Москва и обл.;40 194 783,00;41 269 833,00;-1 075 050,00;-2,60
109;-1;Примсоцбанк;2733;Приморский край;39 727 298,00;39 533 766,00;193 532,00;0,49
110;-6;Коммерцбанк (Евразия);3333;Москва и обл.;39 469 907,00;42 572 804,00;-3 102 897,00;-7,29
111;1;Смоленский Банк;2029;Смоленская обл.;38 955 862,00;38 270 775,00;685 087,00;1,79
112;-1;Челябинвестбанк;493;Челябинская обл.;38 855 490,00;38 508 725,00;346 765,00;0,90
113;4;БФГ-Кредит;3068;Москва и обл.;37 815 504,00;36 397 195,00;1 418 309,00;3,90
114;5;Югра;880;Тюменская обл.;37 742 626,00;36 363 715,00;1 378 911,00;3,79
115;0;Левобережный;1343;Новосибирская обл.;37 533 098,00;37 306 310,00;226 788,00;0,61
116;0;Фора-Банк;1885;Москва и обл.;37 447 515,00;36 662 997,00;784 518,00;2,14
117;4;СДМ-Банк;1637;Москва и обл.;37 090 984,00;36 115 691,00;975 293,00;2,70
118;2;Первый Республиканский Банк;1730;Москва и обл.;36 858 290,00;36 261 555,00;596 735,00;1,65
119;-10;Меткомбанк (Череповец);901;Вологодская обл.;36 839 117,00;39 447 453,00;-2 608 336,00;-6,61
120;-2;Челиндбанк;485;Челябинская обл.;36 443 794,00;36 373 193,00;70 601,00;0,19
121;2;Крайинвестбанк;3360;Краснодарский край;36 402 016,00;35 264 917,00;1 137 099,00;3,22
122;0;Интерпромбанк;3266;Москва и обл.;36 065 588,00;35 813 714,00;251 874,00;0,70
123;3;Банк «Советский»;558;Санкт-Петербург и обл.;35 490 516,00;34 200 678,00;1 289 838,00;3,77
124;0;Кольцо Урала;65;Свердловская обл.;35 232 389,00;35 128 294,00;104 095,00;0,30
125;0;Саровбизнесбанк;2048;Нижегородская обл.;34 986 700,00;34 894 284,00;92 416,00;0,26
126;1;РосинтерБанк;226;Москва и обл.;34 877 143,00;32 708 101,00;2 169 042,00;6,63
127;-13;Банк Кредит Свисс;2494;Москва и обл.;34 637 454,00;37 379 807,00;-2 742 353,00;-7,34
128;7;АМБ Банк;3036;Москва и обл.;34 145 081,00;30 412 427,00;3 732 654,00;12,27
129;-1;Русский Международный Банк;3123;Москва и обл.;32 738 929,00;31 685 029,00;1 053 900,00;3,33
130;12;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;32 063 874,00;28 565 593,00;3 498 281,00;12,25
131;-1;Росэнергобанк;2211;Москва и обл.;31 760 706,00;31 221 577,00;539 129,00;1,73
132;-3;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;31 399 640,00;31 322 907,00;76 733,00;0,24
133;7;Интерпрогрессбанк;600;Москва и обл.;31 203 751,00;29 786 862,00;1 416 889,00;4,76
134;0;Банк Проектного Финансирования;1677;Москва и обл.;30 887 969,00;30 509 327,00;378 642,00;1,24
135;-4;Кедр;1574;Красноярский край;30 675 667,00;30 800 686,00;-125 019,00;-0,41
136;1;Пушкино;391;Москва и обл.;30 576 133,00;30 047 064,00;529 069,00;1,76
137;-4;Газбанк;2316;Самарская обл.;30 433 946,00;30 534 867,00;-100 921,00;-0,33
138;-6;Банк АВБ;23;Самарская обл.;30 227 275,00;30 641 131,00;-413 856,00;-1,35
139;-1;Дальневосточный Банк;843;Приморский край;29 526 872,00;30 016 845,00;-489 973,00;-1,63
140;-1;Агропромкредит;2880;Москва и обл.;29 426 559,00;29 820 693,00;-394 134,00;-1,32
141;-5;МБА-Москва;3395;Москва и обл.;28 994 275,00;30 375 822,00;-1 381 547,00;-4,55
142;18;Аверс;415;Татарстан;28 846 872,00;24 290 205,00;4 556 667,00;18,76
143;0;Севергазбанк;2816;Вологодская обл.;28 768 454,00;27 888 375,00;880 079,00;3,16
144;3;БыстроБанк;1745;Удмуртия;28 682 076,00;26 729 779,00;1 952 297,00;7,30
145;0;Образование;1521;Москва и обл.;27 949 890,00;27 019 066,00;930 824,00;3,45
146;-5;Мой Банк;2939;Москва и обл.;27 461 787,00;28 617 377,00;-1 155 590,00;-4,04
147;1;Акибанк;2587;Татарстан;27 207 700,00;26 570 581,00;637 119,00;2,40
148;-4;Липецккомбанк;1242;Липецкая обл.;27 167 410,00;27 515 432,00;-348 022,00;-1,26
149;3;Финпромбанк (ФПБ Банк);2157;Москва и обл.;26 605 097,00;25 364 444,00;1 240 653,00;4,89
150;-1;Мосстройэкономбанк (М Банк);948;Москва и обл.;26 241 000,00;26 105 294,00;135 706,00;0,52
151;-5;М2М Прайвет Банк;1414;Москва и обл.;25 935 185,00;27 006 472,00;-1 071 287,00;-3,97
152;13;Западный;2598;Москва и обл.;25 770 751,00;23 296 116,00;2 474 635,00;10,62
153;1;Русстройбанк;3205;Москва и обл.;25 395 777,00;25 005 946,00;389 831,00;1,56
154;-4;Национальный Резервный Банк;2170;Москва и обл.;25 129 197,00;25 664 301,00;-535 104,00;-2,09
155;0;Девон-Кредит;1972;Татарстан;24 844 220,00;24 979 578,00;-135 358,00;-0,54
156;6;ББР Банк;2929;Москва и обл.;24 800 014,00;23 678 948,00;1 121 066,00;4,73
157;2;ПЧРБ Банк;3291;Москва и обл.;24 567 568,00;24 447 342,00;120 226,00;0,49
158;-2;Солидарность;554;Самарская обл.;24 444 529,00;24 935 388,00;-490 859,00;-1,97
159;-1;БМВ Банк;3482;Москва и обл.;24 397 674,00;24 491 914,00;-94 240,00;-0,38
160;6;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;23 713 451,00;22 962 374,00;751 077,00;3,27
161;3;Модульбанк;1927;Костромская обл.;23 485 236,00;23 341 011,00;144 225,00;0,62
162;-9;Европейский Трастовый Банк;2968;Москва и обл.;23 409 365,00;25 186 149,00;-1 776 784,00;-7,05
163;-2;Стройкредит;18;Москва и обл.;23 364 015,00;23 803 307,00;-439 292,00;-1,85
164;-7;Кредит Урал Банк;2584;Челябинская обл.;23 063 392,00;24 659 007,00;-1 595 615,00;-6,47
165;4;Урал ФД;249;Пермская обл.;23 050 193,00;22 074 282,00;975 911,00;4,42
166;-3;Приморье;3001;Приморский край;22 984 514,00;23 641 551,00;-657 037,00;-2,78
167;0;Москоммерцбанк;3365;Москва и обл.;22 070 445,00;22 262 453,00;-192 008,00;-0,86
168;2;Военно-Промышленный Банк;3065;Москва и обл.;21 941 918,00;21 802 585,00;139 333,00;0,64
169;12;Балтика;967;Санкт-Петербург и обл.;21 768 661,00;19 748 178,00;2 020 483,00;10,23
170;-19;Натиксис Банк;3390;Москва и обл.;21 510 909,00;25 556 394,00;-4 045 485,00;-15,83
171;3;ФИА-Банк;2542;Самарская обл.;21 489 177,00;20 693 210,00;795 967,00;3,85
172;10;Фольксваген Банк Рус;3500;Москва и обл.;21 482 960,00;19 747 910,00;1 735 050,00;8,79
173;-2;С банк;2581;Москва и обл.;21 194 825,00;21 208 324,00;-13 499,00;-0,06
174;3;Спурт Банк;2207;Татарстан;21 155 871,00;20 301 596,00;854 275,00;4,21
175;-3;Альта-Банк;2269;Москва и обл.;21 087 499,00;20 913 741,00;173 758,00;0,83
176;-8;ГПБ-Ипотека;2403;Москва и обл.;20 958 020,00;22 177 244,00;-1 219 224,00;-5,50
177;-4;Тимер Банк;1581;Татарстан;20 947 751,00;20 869 515,00;78 236,00;0,37
178;-3;Огни Москвы;2328;Москва и обл.;20 717 757,00;20 406 221,00;311 536,00;1,53
179;-3;Пойдем!;2534;Москва и обл.;20 464 204,00;20 320 868,00;143 336,00;0,71
180;3;Легион;3117;Москва и обл.;19 942 482,00;19 394 102,00;548 380,00;2,83
181;-1;Интехбанк;2705;Татарстан;19 930 984,00;19 791 077,00;139 907,00;0,71
182;-4;Мерседес-Бенц Банк Рус;3473;Москва и обл.;19 840 777,00;20 031 577,00;-190 800,00;-0,95
183;-4;Транспортный;3174;Москва и обл.;19 624 079,00;19 948 761,00;-324 682,00;-1,63
184;2;АктивКапитал Банк;3006;Самарская обл.;19 178 815,00;18 905 976,00;272 839,00;1,44
185;3;Фининвест;671;Санкт-Петербург и обл.;19 173 785,00;18 658 582,00;515 203,00;2,76
186;7;Эллипс Банк;1950;Нижегородская обл.;19 151 904,00;17 503 942,00;1 647 962,00;9,41
187;0;Уралтрансбанк;812;Свердловская обл.;18 835 404,00;18 813 024,00;22 380,00;0,12
188;-4;Алеф-Банк;2119;Москва и обл.;18 753 044,00;19 312 553,00;-559 509,00;-2,90
189;1;Норвик Банк;902;Кировская обл.;18 581 241,00;17 936 128,00;645 113,00;3,60
190;-5;Ланта-Банк;1920;Москва и обл.;18 385 368,00;18 943 801,00;-558 433,00;-2,95
191;-2;Алмазэргиэнбанк;2602;Саха (Якутия);18 345 710,00;18 025 919,00;319 791,00;1,77
192;17;Платежный Центр;3166;Новосибирская обл.;18 199 884,00;15 660 527,00;2 539 357,00;16,22
193;-1;Первомайский;518;Краснодарский край;18 013 181,00;17 804 189,00;208 992,00;1,17
194;13;Морской Банк;77;Москва и обл.;17 895 478,00;15 703 940,00;2 191 538,00;13,96
195;-1;Энергобанк;67;Татарстан;17 824 073,00;17 503 510,00;320 563,00;1,83
196;-1;Газэнергобанк;3252;Калужская обл.;17 709 630,00;17 410 139,00;299 491,00;1,72
197;17;Энерготрансбанк;1307;Калининградская обл.;17 633 484,00;15 366 439,00;2 267 045,00;14,75
198;-7;Инвесткапиталбанк;2377;Башкортостан;17 623 916,00;17 846 339,00;-222 423,00;-1,25
199;33;Почта Банк;650;Москва и обл.;17 462 104,00;13 668 781,00;3 793 323,00;27,75
200;-4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 442 944,00;17 301 411,00;141 533,00;0,82
201;16;Банк Финсервис;3388;Москва и обл.;17 272 684,00;15 272 589,00;2 000 095,00;13,10
202;-1;Развитие-Столица;3013;Москва и обл.;17 194 595,00;16 324 082,00;870 513,00;5,33
203;-5;НБД-Банк;1966;Нижегородская обл.;16 837 683,00;16 459 375,00;378 308,00;2,30
204;15;БКС Банк;101;Новосибирская обл.;16 749 366,00;14 697 834,00;2 051 532,00;13,96
205;-2;Тольяттихимбанк;2507;Самарская обл.;16 441 955,00;16 242 656,00;199 299,00;1,23
206;-6;Форштадт;2208;Оренбургская обл.;16 424 633,00;16 339 248,00;85 385,00;0,52
207;-8;Курскпромбанк;735;Курская обл.;16 313 962,00;16 448 814,00;-134 852,00;-0,82
208;-3;АйСиБиСи Банк;3475;Москва и обл.;16 072 575,00;15 877 693,00;194 882,00;1,23
209;-12;Гута-Банк;256;Москва и обл.;16 014 016,00;16 803 770,00;-789 754,00;-4,70
210;-2;МАСТ-Банк;3267;Москва и обл.;15 991 691,00;15 663 317,00;328 374,00;2,10
211;-9;СтарБанк;548;Москва и обл.;15 971 853,00;16 261 146,00;-289 293,00;-1,78
212;-2;Транснациональный Банк;2108;Москва и обл.;15 955 640,00;15 570 644,00;384 996,00;2,47
213;-2;Гаранти Банк — Москва;3275;Москва и обл.;15 728 292,00;15 433 708,00;294 584,00;1,91
214;-8;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;15 723 380,00;15 799 140,00;-75 760,00;-0,48
215;10;Московское Ипотечное Агентство;3344;Москва и обл.;15 700 064,00;14 258 947,00;1 441 117,00;10,11
216;-1;Энергомашбанк;52;Санкт-Петербург и обл.;15 606 238,00;15 315 169,00;291 069,00;1,90
217;-5;ВУЗ-Банк;1557;Свердловская обл.;15 564 096,00;15 423 142,00;140 954,00;0,91
218;3;АйМаниБанк;1975;Москва и обл.;15 152 308,00;14 517 101,00;635 207,00;4,38
219;-6;Расчетно-Кредитный Банк;103;Москва и обл.;15 074 451,00;15 391 240,00;-316 789,00;-2,06
220;-2;РосДорБанк;1573;Москва и обл.;15 000 862,00;14 997 851,00;3 011,00;0,02
221;8;Рублев;3098;Москва и обл.;14 708 070,00;13 744 555,00;963 515,00;7,01
222;-6;Интрастбанк;3144;Москва и обл.;14 647 083,00;15 294 384,00;-647 301,00;-4,23
223;-19;Держава;2738;Москва и обл.;14 512 911,00;16 183 690,00;-1 670 779,00;-10,32
224;6;Национальный Банк Развития Бизнеса;2795;Москва и обл.;14 317 480,00;13 695 269,00;622 211,00;4,54
225;-3;Национальная Факторинговая Компания;3437;Москва и обл.;14 292 717,00;14 446 027,00;-153 310,00;-1,06
226;-6;ТЭМБР-Банк;2764;Москва и обл.;14 205 784,00;14 599 972,00;-394 188,00;-2,70
227;-3;Хлынов;254;Кировская обл.;14 121 906,00;14 309 857,00;-187 951,00;-1,31
228;7;Аресбанк;2914;Москва и обл.;14 121 135,00;13 179 110,00;942 025,00;7,15
229;-2;Квантмобайл Банк;1189;Омская обл.;14 007 987,00;14 007 361,00;626,00;0,00
230;-2;Гранд Инвест Банк;3053;Москва и обл.;13 741 372,00;13 849 188,00;-107 816,00;-0,78
231;-8;Александровский;53;Санкт-Петербург и обл.;13 729 691,00;14 310 109,00;-580 418,00;-4,06
232;-6;Банк ПСА Финанс Рус;3481;Москва и обл.;13 727 222,00;14 048 465,00;-321 243,00;-2,29
233;3;Банк Расчетов и Сбережений;2617;Москва и обл.;13 713 789,00;13 101 918,00;611 871,00;4,67
234;-3;Центркомбанк;2983;Москва и обл.;13 595 104,00;13 692 290,00;-97 186,00;-0,71
235;13;БайкалБанк;2632;Бурятия;13 593 224,00;11 795 253,00;1 797 971,00;15,24
236;2;Банк Город;2644;Москва и обл.;13 551 302,00;12 930 667,00;620 635,00;4,80
237;0;Нацинвестпромбанк;3077;Москва и обл.;13 314 141,00;12 939 451,00;374 690,00;2,90
238;3;Банк24.ру;2227;Свердловская обл.;13 312 745,00;12 504 292,00;808 453,00;6,47
239;-6;СИАБ;3245;Санкт-Петербург и обл.;13 300 402,00;13 392 360,00;-91 958,00;-0,69
240;4;Метробанк;2548;Москва и обл.;13 014 490,00;12 034 761,00;979 729,00;8,14
241;-1;Монолит;1967;Москва и обл.;12 845 376,00;12 519 070,00;326 306,00;2,61
242;4;Солидарность (Москва);1555;Москва и обл.;12 251 044,00;11 944 194,00;306 850,00;2,57
243;-4;Денизбанк Москва;3330;Москва и обл.;12 236 378,00;12 746 844,00;-510 466,00;-4,00
244;3;Банк Акцепт;567;Новосибирская обл.;12 170 682,00;11 899 893,00;270 789,00;2,28
245;0;Европейский;1616;Калининградская обл.;12 126 911,00;12 021 149,00;105 762,00;0,88
246;-3;НК Банк;2755;Москва и обл.;12 101 021,00;12 315 735,00;-214 714,00;-1,74
247;3;Русский Ипотечный Банк;1968;Москва и обл.;12 088 760,00;11 434 693,00;654 067,00;5,72
248;8;Социнвестбанк;1132;Башкортостан;12 016 153,00;11 028 550,00;987 603,00;8,95
249;4;Русский Земельный Банк;2810;Москва и обл.;11 688 275,00;11 196 979,00;491 296,00;4,39
250;9;Адмиралтейский;3054;Москва и обл.;11 623 268,00;10 878 430,00;744 838,00;6,85
251;19;Русьуниверсалбанк;3293;Москва и обл.;11 606 532,00;10 194 443,00;1 412 089,00;13,85
252;-18;Сведбанк;3064;Москва и обл.;11 503 792,00;13 309 087,00;-1 805 295,00;-13,56
253;8;Клиентский;2324;Москва и обл.;11 503 052,00;10 777 720,00;725 332,00;6,73
254;-3;РусЮгбанк;2093;Волгоградская обл.;11 420 427,00;11 239 373,00;181 054,00;1,61
255;2;ОФК Банк;2270;Москва и обл.;11 419 067,00;11 017 486,00;401 581,00;3,64
256;-7;Расчетная Палата РТС;3335;Москва и обл.;11 414 001,00;11 529 631,00;-115 630,00;-1,00
257;-3;Экономбанк;1319;Саратовская обл.;11 390 995,00;11 195 199,00;195 796,00;1,75
258;-16;Миллениум Банк;3423;Москва и обл.;11 388 343,00;12 401 822,00;-1 013 479,00;-8,17
259;10;Экопромбанк;2011;Пермская обл.;11 341 397,00;10 207 225,00;1 134 172,00;11,11
