Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2013, тыс. рублей;Август, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;15 164 065 734,00;14 945 107 940,00;218 957 794,00;1,47
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 027 665 104,00;4 959 386 035,00;68 279 069,00;1,38
3;0;Газпромбанк;354;Москва и обл.;3 237 321 087,00;3 274 186 552,00;-36 865 465,00;-1,13
4;0;ВТБ 24;1623;Москва и обл.;1 803 043 255,00;1 779 970 542,00;23 072 713,00;1,30
5;0;Россельхозбанк;3349;Москва и обл.;1 782 423 623,00;1 770 847 786,00;11 575 837,00;0,65
6;0;БМ-Банк;2748;Москва и обл.;1 696 351 502,00;1 642 598 099,00;53 753 403,00;3,27
7;0;Альфа-Банк;1326;Москва и обл.;1 413 332 745,00;1 411 143 517,00;2 189 228,00;0,16
8;0;ЮниКредит Банк;1;Москва и обл.;811 946 579,00;824 359 297,00;-12 412 718,00;-1,51
9;0;Банк Открытие;2209;Москва и обл.;801 514 403,00;792 833 787,00;8 680 616,00;1,09
10;1;Росбанк;2272;Москва и обл.;770 990 716,00;737 400 247,00;33 590 469,00;4,56
11;-1;Райффайзенбанк;3292;Москва и обл.;750 960 658,00;748 888 415,00;2 072 243,00;0,28
12;0;Промсвязьбанк;3251;Москва и обл.;723 942 384,00;716 767 707,00;7 174 677,00;1,00
13;1;Банк Уралсиб;30;Москва и обл.;439 160 364,00;428 208 420,00;10 951 944,00;2,56
14;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;405 113 389,00;419 591 772,00;-14 478 383,00;-3,45
15;2;Московский Кредитный Банк;1978;Москва и обл.;395 111 573,00;381 747 693,00;13 363 880,00;3,50
16;-3;Хоум Кредит Банк;316;Москва и обл.;392 131 322,00;429 260 842,00;-37 129 520,00;-8,65
17;-1;Русский Стандарт;2289;Москва и обл.;387 129 678,00;383 654 772,00;3 474 906,00;0,91
18;1;Россия;328;Санкт-Петербург и обл.;384 271 380,00;368 058 949,00;16 212 431,00;4,40
19;-1;Ак Барс;2590;Татарстан;375 167 551,00;368 134 204,00;7 033 347,00;1,91
20;0;МДМ Банк;2562;Новосибирская обл.;342 274 680,00;345 435 736,00;-3 161 056,00;-0,92
21;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;339 893 220,00;330 296 977,00;9 596 243,00;2,91
22;-1;Ситибанк;2557;Москва и обл.;333 306 442,00;333 165 668,00;140 774,00;0,04
23;2;Национальный Клиринговый Центр;3466;Москва и обл.;291 361 270,00;268 090 888,00;23 270 382,00;8,68
24;0;Связь-Банк;1470;Москва и обл.;272 960 471,00;278 899 457,00;-5 938 986,00;-2,13
25;5;Нордеа Банк;3016;Москва и обл.;265 872 746,00;251 426 226,00;14 446 520,00;5,75
26;1;Глобэкс;1942;Москва и обл.;265 636 725,00;258 461 943,00;7 174 782,00;2,78
27;1;ИНГ Банк;2495;Москва и обл.;259 527 394,00;256 678 327,00;2 849 067,00;1,11
28;1;Восточный Банк;1460;Амурская обл.;253 626 839,00;253 888 977,00;-262 138,00;-0,10
29;-3;Петрокоммерц;1776;Москва и обл.;248 420 579,00;262 983 799,00;-14 563 220,00;-5,54
30;1;Банк Зенит;3255;Москва и обл.;243 019 578,00;238 448 485,00;4 571 093,00;1,92
31;-8;Транскредитбанк;2142;Москва и обл.;238 569 703,00;279 038 509,00;-40 468 806,00;-14,50
32;0;Возрождение;1439;Москва и обл.;231 016 271,00;233 130 448,00;-2 114 177,00;-0,91
33;0;Траст;3279;Москва и обл.;214 566 036,00;226 896 815,00;-12 330 779,00;-5,43
34;0;Банк «Открытие»;2179;Москва и обл.;205 098 553,00;208 329 551,00;-3 230 998,00;-1,55
35;0;Бинбанк;323;Москва и обл.;202 075 776,00;188 504 114,00;13 571 662,00;7,20
36;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;192 247 428,00;182 647 894,00;9 599 534,00;5,26
37;0;Московский Индустриальный Банк;912;Москва и обл.;187 944 776,00;185 680 719,00;2 264 057,00;1,22
38;-2;МТС Банк;2268;Москва и обл.;179 717 917,00;186 283 808,00;-6 565 891,00;-3,52
39;7;Дойче Банк;3328;Москва и обл.;177 623 384,00;130 657 761,00;46 965 623,00;35,95
40;-1;ОТП Банк;2766;Москва и обл.;176 765 460,00;179 088 859,00;-2 323 399,00;-1,30
41;-1;Кредит Европа Банк;3311;Москва и обл.;150 091 687,00;152 246 144,00;-2 154 457,00;-1,42
42;2;Новикомбанк;2546;Москва и обл.;148 316 876,00;139 947 009,00;8 369 867,00;5,98
43;-1;Внешпромбанк;3261;Москва и обл.;147 050 998,00;142 957 074,00;4 093 924,00;2,86
44;-1;СМП Банк;3368;Москва и обл.;140 006 180,00;141 441 681,00;-1 435 501,00;-1,01
45;-4;Транскапиталбанк;2210;Москва и обл.;137 582 050,00;145 417 684,00;-7 835 634,00;-5,39
46;-1;СКБ-Банк;705;Свердловская обл.;134 651 117,00;135 570 587,00;-919 470,00;-0,68
47;0;МСП Банк;3340;Москва и обл.;132 131 646,00;129 927 635,00;2 204 011,00;1,70
48;0;Авангард;2879;Москва и обл.;125 082 390,00;122 038 610,00;3 043 780,00;2,49
49;4;Инвестторгбанк;2763;Москва и обл.;120 061 981,00;115 245 688,00;4 816 293,00;4,18
50;-1;Татфондбанк;3058;Татарстан;120 045 520,00;118 125 105,00;1 920 415,00;1,63
51;0;Совкомбанк;963;Костромская обл.;117 822 646,00;116 361 267,00;1 461 379,00;1,26
52;6;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;116 460 253,00;112 758 698,00;3 701 555,00;3,28
53;1;РосЕвроБанк;3137;Москва и обл.;116 454 392,00;114 939 963,00;1 514 429,00;1,32
54;1;Русфинанс Банк;1792;Самарская обл.;115 301 319,00;113 586 554,00;1 714 765,00;1,51
55;-3;РГС Банк;3073;Москва и обл.;114 749 328,00;116 184 353,00;-1 435 025,00;-1,24
56;1;Пробизнесбанк;2412;Москва и обл.;114 192 344,00;113 468 255,00;724 089,00;0,64
57;-1;Ренессанс Кредит;3354;Москва и обл.;113 865 859,00;113 558 673,00;307 186,00;0,27
58;2;Банк ДОМ.РФ;2312;Москва и обл.;110 269 440,00;104 381 233,00;5 888 207,00;5,64
59;0;Абсолют Банк;2306;Москва и обл.;104 956 895,00;105 525 203,00;-568 308,00;-0,54
60;1;БНП Париба Банк;3407;Москва и обл.;103 478 071,00;103 253 882,00;224 189,00;0,22
61;1;Тинькофф Банк;2673;Москва и обл.;100 479 568,00;98 503 508,00;1 976 060,00;2,01
62;3;Пересвет;2110;Москва и обл.;93 734 918,00;93 203 617,00;531 301,00;0,57
63;3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;91 893 550,00;89 170 625,00;2 722 925,00;3,05
64;-1;ДельтаКредит;3338;Москва и обл.;90 227 716,00;94 079 268,00;-3 851 552,00;-4,09
65;-15;Национальный Расчетный Депозитарий;3294;Москва и обл.;89 254 770,00;117 906 656,00;-28 651 886,00;-24,30
66;3;ЦентроКредит;121;Москва и обл.;88 264 585,00;84 544 928,00;3 719 657,00;4,40
67;-3;Запсибкомбанк;918;Тюменская обл.;87 600 318,00;93 442 310,00;-5 841 992,00;-6,25
68;-1;Балтийский Банк;128;Москва и обл.;86 761 091,00;85 561 789,00;1 199 302,00;1,40
69;3;Банк Интеза;2216;Москва и обл.;84 145 616,00;82 597 962,00;1 547 654,00;1,87
70;1;Мастер-Банк;2176;Москва и обл.;82 420 559,00;83 273 550,00;-852 991,00;-1,02
71;2;Нота-Банк;2913;Москва и обл.;81 136 174,00;81 426 013,00;-289 839,00;-0,36
72;2;Связной Банк;1961;Москва и обл.;80 617 950,00;80 030 300,00;587 650,00;0,73
73;-3;Союз;2307;Москва и обл.;80 238 307,00;83 975 048,00;-3 736 741,00;-4,45
74;1;Локо-Банк;2707;Москва и обл.;79 338 860,00;79 640 498,00;-301 638,00;-0,38
75;2;Центр-инвест;2225;Ростовская обл.;77 461 650,00;75 009 488,00;2 452 162,00;3,27
76;0;Юниаструм Банк;2771;Москва и обл.;75 981 567,00;76 967 990,00;-986 423,00;-1,28
