Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2012, тыс. рублей;Апрель, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;11 794 216 241,00;11 547 052 205,00;247 164 036,00;2,14
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 921 603 075,00;3 810 115 830,00;111 487 245,00;2,93
3;0;Газпромбанк;354;Москва и обл.;2 399 923 431,00;2 405 543 451,00;-5 620 020,00;-0,23
4;0;Россельхозбанк;3349;Москва и обл.;1 441 871 580,00;1 423 141 534,00;18 730 046,00;1,32
5;1;ВТБ 24;1623;Москва и обл.;1 245 392 348,00;1 207 392 018,00;38 000 330,00;3,15
6;-1;БМ-Банк;2748;Москва и обл.;1 202 955 196,00;1 221 285 536,00;-18 330 340,00;-1,50
7;0;Альфа-Банк;1326;Москва и обл.;1 004 224 001,00;987 838 733,00;16 385 268,00;1,66
8;0;ЮниКредит Банк;1;Москва и обл.;848 557 786,00;842 647 284,00;5 910 502,00;0,70
9;0;Росбанк;2272;Москва и обл.;639 146 115,00;628 641 587,00;10 504 528,00;1,67
10;0;Райффайзенбанк;3292;Москва и обл.;608 639 442,00;594 802 880,00;13 836 562,00;2,33
11;0;Промсвязьбанк;3251;Москва и обл.;587 772 063,00;578 115 999,00;9 656 064,00;1,67
12;1;Банк Открытие;2209;Москва и обл.;515 055 059,00;481 998 332,00;33 056 727,00;6,86
13;-1;Транскредитбанк;2142;Москва и обл.;502 120 147,00;496 081 299,00;6 038 848,00;1,22
14;0;Банк Уралсиб;30;Москва и обл.;435 218 555,00;436 337 263,00;-1 118 708,00;-0,26
15;0;МДМ Банк;2562;Новосибирская обл.;360 905 979,00;366 140 406,00;-5 234 427,00;-1,43
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;352 696 595,00;363 508 724,00;-10 812 129,00;-2,97
17;1;Ситибанк;2557;Москва и обл.;326 149 571,00;309 487 452,00;16 662 119,00;5,38
18;-1;Россия;328;Санкт-Петербург и обл.;318 838 370,00;318 704 377,00;133 993,00;0,04
19;0;Ак Барс;2590;Татарстан;304 476 016,00;307 764 849,00;-3 288 833,00;-1,07
