Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2014, тыс. рублей;Февраль, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 308 935 043,00;17 173 935 247,00;134 999 796,00;0,79
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 818 555 489,00;5 779 742 974,00;38 812 515,00;0,67
3;0;Газпромбанк;354;Москва и обл.;3 905 878 925,00;3 772 816 530,00;133 062 395,00;3,53
4;0;ВТБ 24;1623;Москва и обл.;2 202 101 644,00;2 166 946 706,00;35 154 938,00;1,62
5;0;Россельхозбанк;3349;Москва и обл.;1 864 238 034,00;1 845 535 125,00;18 702 909,00;1,01
6;0;БМ-Банк;2748;Москва и обл.;1 755 314 592,00;1 826 253 188,00;-70 938 596,00;-3,88
7;0;Альфа-Банк;1326;Москва и обл.;1 514 216 523,00;1 481 720 427,00;32 496 096,00;2,19
8;0;Банк Открытие;2209;Москва и обл.;985 682 014,00;953 868 944,00;31 813 070,00;3,34
9;0;ЮниКредит Банк;1;Москва и обл.;883 166 179,00;883 049 714,00;116 465,00;0,01
10;1;Росбанк;2272;Москва и обл.;785 118 189,00;746 376 898,00;38 741 291,00;5,19
11;-1;Промсвязьбанк;3251;Москва и обл.;774 630 701,00;784 765 018,00;-10 134 317,00;-1,29
12;0;Райффайзенбанк;3292;Москва и обл.;764 394 149,00;740 468 108,00;23 926 041,00;3,23
13;1;Национальный Клиринговый Центр;3466;Москва и обл.;497 058 806,00;448 061 633,00;48 997 173,00;10,94
14;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;473 812 878,00;458 730 867,00;15 082 011,00;3,29
15;1;Россия;328;Санкт-Петербург и обл.;454 687 074,00;405 597 466,00;49 089 608,00;12,10
16;-1;Московский Кредитный Банк;1978;Москва и обл.;451 526 611,00;442 773 224,00;8 753 387,00;1,98
17;0;Русский Стандарт;2289;Москва и обл.;401 602 939,00;395 003 084,00;6 599 855,00;1,67
18;0;Банк Уралсиб;30;Москва и обл.;385 419 198,00;387 103 806,00;-1 684 608,00;-0,44
19;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;379 365 129,00;367 180 480,00;12 184 649,00;3,32
20;-1;Хоум Кредит Банк;316;Москва и обл.;375 325 073,00;375 447 765,00;-122 692,00;-0,03
21;-1;Ак Барс;2590;Татарстан;372 947 048,00;374 838 747,00;-1 891 699,00;-0,50
22;0;Ситибанк;2557;Москва и обл.;364 731 007,00;332 102 027,00;32 628 980,00;9,82
23;0;МДМ Банк;2562;Новосибирская обл.;339 788 707,00;330 737 902,00;9 050 805,00;2,74
24;0;Связь-Банк;1470;Москва и обл.;318 427 179,00;319 494 482,00;-1 067 303,00;-0,33
25;0;Нордеа Банк;3016;Москва и обл.;290 434 975,00;285 467 149,00;4 967 826,00;1,74
26;1;Петрокоммерц;1776;Москва и обл.;270 724 998,00;264 714 127,00;6 010 871,00;2,27
27;2;ИНГ Банк;2495;Москва и обл.;265 524 585,00;254 561 344,00;10 963 241,00;4,31
28;-2;Глобэкс;1942;Москва и обл.;264 076 968,00;274 696 540,00;-10 619 572,00;-3,87
29;-1;Банк Зенит;3255;Москва и обл.;255 379 901,00;258 053 684,00;-2 673 783,00;-1,04
30;0;Восточный Банк;1460;Амурская обл.;254 776 529,00;251 826 413,00;2 950 116,00;1,17
31;0;Траст;3279;Москва и обл.;226 918 248,00;223 000 926,00;3 917 322,00;1,76
32;0;Возрождение;1439;Москва и обл.;225 221 699,00;222 244 738,00;2 976 961,00;1,34
33;0;Бинбанк;323;Москва и обл.;221 584 703,00;215 560 373,00;6 024 330,00;2,79
34;1;Банк «Открытие»;2179;Москва и обл.;218 569 117,00;199 616 456,00;18 952 661,00;9,49
35;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;215 337 726,00;213 720 846,00;1 616 880,00;0,76
36;0;Московский Индустриальный Банк;912;Москва и обл.;194 888 068,00;197 212 364,00;-2 324 296,00;-1,18
37;2;Новикомбанк;2546;Москва и обл.;192 634 771,00;166 715 478,00;25 919 293,00;15,55
