Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2013, тыс. рублей;Апрель, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;14 351 466 658,00;13 951 006 123,00;400 460 535,00;2,87
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 617 318 651,00;4 441 728 272,00;175 590 379,00;3,95
3;0;Газпромбанк;354;Москва и обл.;3 125 702 201,00;3 229 411 196,00;-103 708 995,00;-3,21
4;0;Россельхозбанк;3349;Москва и обл.;1 691 877 709,00;1 676 448 898,00;15 428 811,00;0,92
5;0;ВТБ 24;1623;Москва и обл.;1 678 071 989,00;1 605 561 991,00;72 509 998,00;4,52
6;0;БМ-Банк;2748;Москва и обл.;1 596 422 337,00;1 527 365 808,00;69 056 529,00;4,52
7;0;Альфа-Банк;1326;Москва и обл.;1 310 536 246,00;1 341 169 396,00;-30 633 150,00;-2,28
8;0;ЮниКредит Банк;1;Москва и обл.;814 184 970,00;777 744 489,00;36 440 481,00;4,69
9;0;Росбанк;2272;Москва и обл.;759 948 972,00;731 323 973,00;28 624 999,00;3,91
10;2;Райффайзенбанк;3292;Москва и обл.;700 535 764,00;647 758 659,00;52 777 105,00;8,15
11;-1;Банк Открытие;2209;Москва и обл.;678 476 379,00;697 020 928,00;-18 544 549,00;-2,66
12;-1;Промсвязьбанк;3251;Москва и обл.;669 217 665,00;693 222 030,00;-24 004 365,00;-3,46
13;0;Банк Уралсиб;30;Москва и обл.;430 077 540,00;434 681 883,00;-4 604 343,00;-1,06
14;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;408 065 895,00;371 586 471,00;36 479 424,00;9,82
15;-1;Транскредитбанк;2142;Москва и обл.;375 515 116,00;424 268 961,00;-48 753 845,00;-11,49
16;3;Хоум Кредит Банк;316;Москва и обл.;360 465 213,00;346 372 473,00;14 092 740,00;4,07
17;-1;Ак Барс;2590;Татарстан;359 595 440,00;357 148 800,00;2 446 640,00;0,69
18;0;Русский Стандарт;2289;Москва и обл.;358 577 508,00;349 401 959,00;9 175 549,00;2,63
19;-2;МДМ Банк;2562;Новосибирская обл.;348 610 780,00;353 922 366,00;-5 311 586,00;-1,50
20;0;Московский Кредитный Банк;1978;Москва и обл.;341 503 329,00;334 553 290,00;6 950 039,00;2,08
21;0;Ситибанк;2557;Москва и обл.;327 505 390,00;325 981 085,00;1 524 305,00;0,47
22;0;Россия;328;Санкт-Петербург и обл.;319 297 776,00;311 860 880,00;7 436 896,00;2,38
23;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;296 624 140,00;276 760 494,00;19 863 646,00;7,18
24;-1;Связь-Банк;1470;Москва и обл.;278 821 535,00;281 189 732,00;-2 368 197,00;-0,84
25;0;Восточный Банк;1460;Амурская обл.;243 931 613,00;241 123 179,00;2 808 434,00;1,16
26;1;Глобэкс;1942;Москва и обл.;237 160 518,00;235 776 390,00;1 384 128,00;0,59
27;1;Петрокоммерц;1776;Москва и обл.;235 663 337,00;235 748 672,00;-85 335,00;-0,04
28;1;Банк Зенит;3255;Москва и обл.;234 816 996,00;231 225 167,00;3 591 829,00;1,55
29;-3;Национальный Клиринговый Центр;3466;Москва и обл.;225 450 006,00;236 628 386,00;-11 178 380,00;-4,72
30;0;Возрождение;1439;Москва и обл.;223 600 754,00;223 149 051,00;451 703,00;0,20
31;0;Нордеа Банк;3016;Москва и обл.;217 603 402,00;222 955 801,00;-5 352 399,00;-2,40
32;0;ИНГ Банк;2495;Москва и обл.;214 961 306,00;204 353 639,00;10 607 667,00;5,19
33;0;Банк «Открытие»;2179;Москва и обл.;204 268 172,00;192 209 175,00;12 058 997,00;6,27
34;0;Траст;3279;Москва и обл.;193 717 775,00;189 991 200,00;3 726 575,00;1,96
35;0;Московский Индустриальный Банк;912;Москва и обл.;176 469 268,00;174 558 952,00;1 910 316,00;1,09
36;2;МТС Банк;2268;Москва и обл.;174 030 582,00;162 145 539,00;11 885 043,00;7,33
37;-1;Бинбанк;323;Москва и обл.;171 597 858,00;168 407 640,00;3 190 218,00;1,89
38;-1;ОТП Банк;2766;Москва и обл.;171 069 077,00;166 321 206,00;4 747 871,00;2,85
39;0;Дойче Банк;3328;Москва и обл.;167 669 384,00;159 715 975,00;7 953 409,00;4,98
40;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;163 180 862,00;155 052 256,00;8 128 606,00;5,24
41;0;СМП Банк;3368;Москва и обл.;146 189 845,00;138 748 140,00;7 441 705,00;5,36
42;3;Кредит Европа Банк;3311;Москва и обл.;141 498 866,00;127 074 469,00;14 424 397,00;11,35
43;4;Национальный Расчетный Депозитарий;3294;Москва и обл.;141 484 620,00;120 852 559,00;20 632 061,00;17,07
44;-2;СКБ-Банк;705;Свердловская обл.;132 087 167,00;130 814 443,00;1 272 724,00;0,97
45;-2;Транскапиталбанк;2210;Москва и обл.;127 414 930,00;129 079 534,00;-1 664 604,00;-1,29
46;5;МСП Банк;3340;Москва и обл.;127 151 599,00;116 023 620,00;11 127 979,00;9,59
47;-1;Внешпромбанк;3261;Москва и обл.;126 536 763,00;126 649 957,00;-113 194,00;-0,09
48;-4;Новикомбанк;2546;Москва и обл.;126 100 168,00;128 596 444,00;-2 496 276,00;-1,94
49;-1;РГС Банк;3073;Москва и обл.;117 690 194,00;118 335 831,00;-645 637,00;-0,55
50;-1;Инвестторгбанк;2763;Москва и обл.;116 240 945,00;117 077 020,00;-836 075,00;-0,71
51;1;РосЕвроБанк;3137;Москва и обл.;112 897 505,00;115 905 771,00;-3 008 266,00;-2,60
52;2;Авангард;2879;Москва и обл.;112 856 756,00;109 784 398,00;3 072 358,00;2,80
53;0;Татфондбанк;3058;Татарстан;112 317 774,00;110 977 179,00;1 340 595,00;1,21
54;4;Совкомбанк;963;Костромская обл.;110 294 210,00;105 219 648,00;5 074 562,00;4,82
55;4;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;108 726 146,00;98 299 039,00;10 427 107,00;10,61
56;1;Русфинанс Банк;1792;Самарская обл.;107 754 753,00;105 458 401,00;2 296 352,00;2,18
57;-1;Пробизнесбанк;2412;Москва и обл.;107 460 903,00;108 193 991,00;-733 088,00;-0,68
58;-8;Абсолют Банк;2306;Москва и обл.;106 830 897,00;116 773 803,00;-9 942 906,00;-8,51
59;1;Банк ДОМ.РФ;2312;Москва и обл.;98 467 915,00;91 246 145,00;7 221 770,00;7,91
60;1;Ренессанс Кредит;3354;Москва и обл.;92 186 995,00;89 155 574,00;3 031 421,00;3,40
61;-6;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;90 554 159,00;108 318 292,00;-17 764 133,00;-16,40
62;0;Тинькофф Банк;2673;Москва и обл.;90 167 750,00;87 922 763,00;2 244 987,00;2,55
63;4;Союз;2307;Москва и обл.;89 145 913,00;85 041 583,00;4 104 330,00;4,83
64;2;Запсибкомбанк;918;Тюменская обл.;87 574 397,00;85 154 073,00;2 420 324,00;2,84
65;-1;БНП Париба Банк;3407;Москва и обл.;87 056 516,00;85 783 929,00;1 272 587,00;1,48
66;2;ЦентроКредит;121;Москва и обл.;86 701 272,00;84 032 505,00;2 668 767,00;3,18
67;-2;Пересвет;2110;Москва и обл.;86 585 551,00;85 783 305,00;802 246,00;0,94
68;2;ДельтаКредит;3338;Москва и обл.;86 137 680,00;82 113 032,00;4 024 648,00;4,90
69;0;Балтийский Банк;128;Москва и обл.;84 976 358,00;83 559 231,00;1 417 127,00;1,70
70;4;Мастер-Банк;2176;Москва и обл.;80 305 945,00;78 577 852,00;1 728 093,00;2,20
71;5;Нота-Банк;2913;Москва и обл.;79 590 409,00;77 345 964,00;2 244 445,00;2,90
72;1;Юниаструм Банк;2771;Москва и обл.;79 388 421,00;79 001 381,00;387 040,00;0,49
73;-2;Банк Интеза;2216;Москва и обл.;78 687 886,00;79 721 728,00;-1 033 842,00;-1,30
74;1;Связной Банк;1961;Москва и обл.;78 036 869,00;77 724 003,00;312 866,00;0,40
75;9;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;77 325 150,00;60 879 250,00;16 445 900,00;27,01
76;1;Локо-Банк;2707;Москва и обл.;75 185 776,00;73 353 128,00;1 832 648,00;2,50
77;1;Центр-инвест;2225;Ростовская обл.;71 426 423,00;69 236 800,00;2 189 623,00;3,16
78;-15;Всероссийский Банк Развития Регионов;3287;Москва и обл.;70 909 540,00;86 757 728,00;-15 848 188,00;-18,27
79;3;Роскосмосбанк;2989;Москва и обл.;66 667 728,00;66 014 046,00;653 682,00;0,99
80;0;Собинбанк;1317;Москва и обл.;63 908 532,00;67 469 714,00;-3 561 182,00;-5,28
81;0;Еврофинанс Моснарбанк;2402;Москва и обл.;63 865 672,00;67 400 879,00;-3 535 207,00;-5,25
82;-3;Банк БФА;3038;Санкт-Петербург и обл.;63 201 432,00;68 355 758,00;-5 154 326,00;-7,54
83;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;62 434 332,00;63 128 082,00;-693 750,00;-1,10
84;3;Первобанк;3461;Самарская обл.;62 429 788,00;58 846 080,00;3 583 708,00;6,09
85;0;Инвестбанк;107;Москва и обл.;62 200 274,00;60 029 658,00;2 170 616,00;3,62
86;-14;Банк Кредит Свисс;2494;Москва и обл.;57 704 631,00;79 641 498,00;-21 936 867,00;-27,54
87;-1;Металлинвестбанк;2440;Москва и обл.;57 687 219,00;59 515 916,00;-1 828 697,00;-3,07
88;1;СБ Банк (Судостроительный банк);2999;Москва и обл.;54 794 547,00;54 686 330,00;108 217,00;0,20
89;2;Бинбанк Диджитал;2827;Москва и обл.;54 124 040,00;52 773 005,00;1 351 035,00;2,56
90;2;Международный Финансовый Клуб;2618;Москва и обл.;53 033 720,00;52 463 513,00;570 207,00;1,09
91;-3;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;51 834 839,00;55 802 563,00;-3 967 724,00;-7,11
92;-2;Сургутнефтегазбанк;588;Тюменская обл.;51 697 481,00;54 433 963,00;-2 736 482,00;-5,03
93;3;Московский Областной Банк;1751;Москва и обл.;47 634 045,00;46 344 107,00;1 289 938,00;2,78
94;5;Тойота Банк;3470;Москва и обл.;46 641 411,00;44 612 855,00;2 028 556,00;4,55
95;7;Таврический Банк;2304;Санкт-Петербург и обл.;45 575 791,00;43 416 765,00;2 159 026,00;4,97
96;1;Интеркоммерц Банк;1657;Москва и обл.;44 672 635,00;46 063 051,00;-1 390 416,00;-3,02
97;3;Экспресс-Волга;3085;Саратовская обл.;44 588 675,00;44 176 147,00;412 528,00;0,93
98;3;Кубань Кредит;2518;Краснодарский край;44 415 925,00;43 845 513,00;570 412,00;1,30
99;-1;Национальный Стандарт;3421;Москва и обл.;43 706 288,00;44 864 243,00;-1 157 955,00;-2,58
100;-7;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;43 468 867,00;49 521 604,00;-6 052 737,00;-12,22
101;-6;Экспо Финанс;2594;Москва и обл.;42 849 781,00;47 479 893,00;-4 630 112,00;-9,75
102;-8;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;42 812 648,00;48 020 575,00;-5 207 927,00;-10,85
103;3;Народный Кредит;2401;Москва и обл.;41 110 719,00;40 151 912,00;958 807,00;2,39
104;1;Межтопэнергобанк;2956;Москва и обл.;39 631 676,00;40 160 752,00;-529 076,00;-1,32
105;-1;НС Банк;3124;Москва и обл.;39 129 228,00;40 342 680,00;-1 213 452,00;-3,01
106;-3;Российский Кредит;324;Москва и обл.;38 488 922,00;40 402 973,00;-1 914 051,00;-4,74
107;0;Примсоцбанк;2733;Приморский край;37 899 408,00;37 403 417,00;495 991,00;1,33
108;1;Кольцо Урала;65;Свердловская обл.;37 465 478,00;35 907 343,00;1 558 135,00;4,34
109;1;Челябинвестбанк;493;Челябинская обл.;36 051 195,00;34 526 172,00;1 525 023,00;4,42
110;7;Левобережный;1343;Новосибирская обл.;35 256 517,00;33 419 287,00;1 837 230,00;5,50
111;8;Крайинвестбанк;3360;Краснодарский край;35 119 064,00;32 465 541,00;2 653 523,00;8,17
112;0;Челиндбанк;485;Челябинская обл.;34 809 620,00;34 468 392,00;341 228,00;0,99
113;3;Саровбизнесбанк;2048;Нижегородская обл.;34 736 794,00;33 923 829,00;812 965,00;2,40
114;1;Смоленский Банк;2029;Смоленская обл.;34 546 795,00;34 053 191,00;493 604,00;1,45
