Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2012, тыс. рублей;Январь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;11 075 914 298,00;10 975 636 300,00;100 277 998,00;0,91
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 155 105 245,00;4 209 294 510,00;-54 189 265,00;-1,29
3;0;Газпромбанк;354;Москва и обл.;2 425 908 854,00;2 458 897 495,00;-32 988 641,00;-1,34
4;0;Россельхозбанк;3349;Москва и обл.;1 439 506 752,00;1 466 605 876,00;-27 099 124,00;-1,85
5;0;БМ-Банк;2748;Москва и обл.;1 318 651 663,00;1 333 451 155,00;-14 799 492,00;-1,11
6;0;ВТБ 24;1623;Москва и обл.;1 190 668 892,00;1 215 652 461,00;-24 983 569,00;-2,06
7;0;Альфа-Банк;1326;Москва и обл.;966 899 116,00;998 169 890,00;-31 270 774,00;-3,13
8;0;ЮниКредит Банк;1;Москва и обл.;889 824 400,00;894 251 608,00;-4 427 208,00;-0,50
9;0;Росбанк;2272;Москва и обл.;634 707 263,00;644 809 922,00;-10 102 659,00;-1,57
10;0;Райффайзенбанк;3292;Москва и обл.;610 683 609,00;594 216 497,00;16 467 112,00;2,77
11;0;Промсвязьбанк;3251;Москва и обл.;567 356 100,00;589 098 990,00;-21 742 890,00;-3,69
12;0;Транскредитбанк;2142;Москва и обл.;481 890 351,00;511 123 981,00;-29 233 630,00;-5,72
13;0;Банк Открытие;2209;Москва и обл.;469 710 299,00;477 551 056,00;-7 840 757,00;-1,64
14;0;Банк Уралсиб;30;Москва и обл.;434 987 999,00;448 379 092,00;-13 391 093,00;-2,99
15;0;МДМ Банк;2562;Новосибирская обл.;355 403 153,00;381 509 924,00;-26 106 771,00;-6,84
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;330 892 944,00;342 254 428,00;-11 361 484,00;-3,32
17;0;Россия;328;Санкт-Петербург и обл.;299 932 805,00;306 180 265,00;-6 247 460,00;-2,04
18;0;Ак Барс;2590;Татарстан;297 379 507,00;302 471 540,00;-5 092 033,00;-1,68
19;0;Ситибанк;2557;Москва и обл.;296 984 842,00;284 028 682,00;12 956 160,00;4,56
20;0;Нордеа Банк;3016;Москва и обл.;257 421 788,00;276 713 343,00;-19 291 555,00;-6,97
21;4;Петрокоммерц;1776;Москва и обл.;225 411 090,00;203 881 417,00;21 529 673,00;10,56
22;-1;Московский Кредитный Банк;1978;Москва и обл.;225 352 793,00;237 615 707,00;-12 262 914,00;-5,16
