Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2014, тыс. рублей;Декабрь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;16 730 027 366,00;15 895 724 834,00;834 302 532,00;5,25
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 277 158 336,00;5 263 350 401,00;13 807 935,00;0,26
3;0;Газпромбанк;354;Москва и обл.;3 622 276 552,00;3 511 406 147,00;110 870 405,00;3,16
4;0;ВТБ 24;1623;Москва и обл.;2 100 686 266,00;2 088 711 302,00;11 974 964,00;0,57
5;1;Россельхозбанк;3349;Москва и обл.;1 915 951 035,00;1 842 414 211,00;73 536 824,00;3,99
6;-1;БМ-Банк;2748;Москва и обл.;1 828 292 759,00;1 893 576 791,00;-65 284 032,00;-3,45
7;0;Альфа-Банк;1326;Москва и обл.;1 562 124 365,00;1 495 597 624,00;66 526 741,00;4,45
8;1;Банк Открытие;2209;Москва и обл.;965 044 832,00;850 938 971,00;114 105 861,00;13,41
9;-1;ЮниКредит Банк;1;Москва и обл.;926 606 774,00;860 744 791,00;65 861 983,00;7,65
10;1;Промсвязьбанк;3251;Москва и обл.;752 662 475,00;759 378 124,00;-6 715 649,00;-0,88
11;1;Росбанк;2272;Москва и обл.;736 292 644,00;751 134 817,00;-14 842 173,00;-1,98
12;-2;Райффайзенбанк;3292;Москва и обл.;712 061 162,00;763 444 846,00;-51 383 684,00;-6,73
13;0;Московский Кредитный Банк;1978;Москва и обл.;463 414 118,00;440 946 405,00;22 467 713,00;5,10
14;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;447 067 129,00;436 362 147,00;10 704 982,00;2,45
15;0;Россия;328;Санкт-Петербург и обл.;418 037 106,00;421 906 520,00;-3 869 414,00;-0,92
16;1;Русский Стандарт;2289;Москва и обл.;400 349 567,00;386 607 580,00;13 741 987,00;3,55
17;-1;Банк Уралсиб;30;Москва и обл.;397 439 341,00;414 634 443,00;-17 195 102,00;-4,15
18;3;Национальный Клиринговый Центр;3466;Москва и обл.;386 777 212,00;345 248 811,00;41 528 401,00;12,03
19;3;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;377 588 258,00;344 800 254,00;32 788 004,00;9,51
20;-1;Ак Барс;2590;Татарстан;369 547 856,00;371 308 190,00;-1 760 334,00;-0,47
21;-1;Ситибанк;2557;Москва и обл.;368 811 697,00;349 583 620,00;19 228 077,00;5,50
22;-4;Хоум Кредит Банк;316;Москва и обл.;366 989 663,00;381 853 684,00;-14 864 021,00;-3,89
23;1;Связь-Банк;1470;Москва и обл.;352 251 341,00;304 080 913,00;48 170 428,00;15,84
24;-1;МДМ Банк;2562;Новосибирская обл.;334 130 788,00;342 001 188,00;-7 870 400,00;-2,30
25;0;Нордеа Банк;3016;Москва и обл.;278 160 968,00;291 867 956,00;-13 706 988,00;-4,70
26;1;Глобэкс;1942;Москва и обл.;265 305 884,00;272 105 815,00;-6 799 931,00;-2,50
27;1;Банк Зенит;3255;Москва и обл.;258 313 361,00;258 665 942,00;-352 581,00;-0,14
28;1;Восточный Банк;1460;Амурская обл.;252 605 333,00;255 217 435,00;-2 612 102,00;-1,02
29;1;Петрокоммерц;1776;Москва и обл.;249 190 047,00;247 764 433,00;1 425 614,00;0,58
30;-4;ИНГ Банк;2495;Москва и обл.;235 368 484,00;274 005 455,00;-38 636 971,00;-14,10
31;1;Возрождение;1439;Москва и обл.;223 571 868,00;223 094 393,00;477 475,00;0,21
32;1;Траст;3279;Москва и обл.;221 942 704,00;219 506 244,00;2 436 460,00;1,11
33;1;Бинбанк;323;Москва и обл.;212 410 850,00;213 477 065,00;-1 066 215,00;-0,50
34;-3;Банк «Открытие»;2179;Москва и обл.;207 319 310,00;227 440 559,00;-20 121 249,00;-8,85
35;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;207 063 585,00;202 768 395,00;4 295 190,00;2,12
36;1;Московский Индустриальный Банк;912;Москва и обл.;201 142 624,00;200 242 375,00;900 249,00;0,45
37;-2;МТС Банк;2268;Москва и обл.;189 190 779,00;202 892 162,00;-13 701 383,00;-6,75
38;2;Новикомбанк;2546;Москва и обл.;173 077 891,00;157 851 636,00;15 226 255,00;9,65
