Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2018, тыс. рублей;Февраль, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
43;-1;Транскапиталбанк;2210;Москва и обл.;197 540 763,00;211 662 523,00;-14 121 760,00;-6,67
44;1;Экспресс-Волга;3085;Костромская обл.;189 116 746,00;193 513 582,00;-4 396 836,00;-2,27
45;3;МТС Банк;2268;Москва и обл.;177 391 107,00;164 629 317,00;12 761 790,00;7,75
46;0;ДельтаКредит;3338;Москва и обл.;173 552 912,00;176 371 329,00;-2 818 417,00;-1,60
47;0;Нордеа Банк;3016;Москва и обл.;160 883 018,00;167 995 260,00;-7 112 242,00;-4,23
48;7;РГС Банк;3073;Москва и обл.;159 302 000,00;132 292 504,00;27 009 496,00;20,42
49;1;Инвестторгбанк;2763;Москва и обл.;145 136 740,00;141 588 343,00;3 548 397,00;2,51
50;-1;РНКБ;1354;Симферополь;142 635 191,00;143 411 793,00;-776 602,00;-0,54
51;1;ОТП Банк;2766;Москва и обл.;138 514 524,00;139 827 872,00;-1 313 348,00;-0,94
52;-1;Авангард;2879;Москва и обл.;136 795 058,00;141 481 339,00;-4 686 281,00;-3,31
53;3;Аверс;415;Татарстан;133 742 045,00;130 817 526,00;2 924 519,00;2,24
54;0;Ренессанс Кредит;3354;Москва и обл.;133 082 502,00;132 435 348,00;647 154,00;0,49
55;4;Кредит Европа Банк;3311;Москва и обл.;132 346 631,00;128 330 416,00;4 016 215,00;3,13
56;-3;Глобэкс;1942;Москва и обл.;130 098 138,00;133 354 714,00;-3 256 576,00;-2,44
57;1;Банк АВБ;23;Самарская обл.;128 757 140,00;128 988 497,00;-231 357,00;-0,18
58;-1;Сетелем Банк;2168;Москва и обл.;127 998 747,00;129 486 114,00;-1 487 367,00;-1,15
59;2;Запсибкомбанк;918;Тюменская обл.;123 454 401,00;122 343 578,00;1 110 823,00;0,91
60;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;123 023 779,00;125 933 237,00;-2 909 458,00;-2,31
61;2;Русфинанс Банк;1792;Самарская обл.;120 760 920,00;119 295 426,00;1 465 494,00;1,23
62;0;Банк Финсервис;3388;Москва и обл.;118 661 001,00;119 405 221,00;-744 220,00;-0,62
63;1;СКБ-Банк;705;Свердловская обл.;116 529 086,00;117 420 818,00;-891 732,00;-0,76
64;-20;Национальный Расчетный Депозитарий;3294;Москва и обл.;115 314 488,00;197 002 915,00;-81 688 427,00;-41,47
65;0;Роскосмосбанк;2989;Москва и обл.;108 984 088,00;111 667 349,00;-2 683 261,00;-2,40
66;0;МСП Банк;3340;Москва и обл.;107 311 405,00;107 451 931,00;-140 526,00;-0,13
67;1;Центр-инвест;2225;Ростовская обл.;106 294 299,00;105 219 142,00;1 075 157,00;1,02
68;-1;Таврический Банк;2304;Санкт-Петербург и обл.;105 602 984,00;107 077 383,00;-1 474 399,00;-1,38
69;0;Росэксимбанк;2790;Москва и обл.;100 466 189,00;98 517 037,00;1 949 152,00;1,98
70;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;90 684 821,00;90 806 826,00;-122 005,00;-0,13
71;1;ЦентроКредит;121;Москва и обл.;90 032 598,00;84 869 942,00;5 162 656,00;6,08
72;-1;Кубань Кредит;2518;Краснодарский край;88 403 158,00;88 187 567,00;215 591,00;0,24
73;1;Локо-Банк;2707;Москва и обл.;84 439 953,00;81 459 688,00;2 980 265,00;3,66
74;-1;Союз;2307;Москва и обл.;83 916 063,00;83 682 564,00;233 499,00;0,28
75;0;РН Банк;170;Москва и обл.;80 191 576,00;78 517 081,00;1 674 495,00;2,13
76;2;Банк Кредит Свисс;2494;Москва и обл.;77 747 606,00;75 684 606,00;2 063 000,00;2,73
77;-1;Металлинвестбанк;2440;Москва и обл.;76 588 511,00;76 816 107,00;-227 596,00;-0,30
78;25;ВУЗ-Банк;1557;Свердловская обл.;72 995 226,00;48 524 886,00;24 470 340,00;50,43
79;1;Дойче Банк;3328;Москва и обл.;67 717 239,00;66 481 195,00;1 236 044,00;1,86
80;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;64 462 435,00;68 097 033,00;-3 634 598,00;-5,34
81;-4;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;62 038 564,00;75 923 454,00;-13 884 890,00;-18,29
82;0;Тимер Банк;1581;Татарстан;61 598 665,00;61 678 925,00;-80 260,00;-0,13
83;0;Экспобанк;2998;Москва и обл.;61 031 679,00;61 375 949,00;-344 270,00;-0,56
84;1;Мидзухо Банк;3337;Москва и обл.;59 470 007,00;58 868 320,00;601 687,00;1,02
85;5;Банк Интеза;2216;Москва и обл.;59 397 695,00;56 676 507,00;2 721 188,00;4,80
86;8;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;59 203 277,00;54 461 686,00;4 741 591,00;8,71
87;-3;СДМ-Банк;1637;Москва и обл.;57 285 331,00;59 642 779,00;-2 357 448,00;-3,95
88;-1;Крайинвестбанк;3360;Краснодарский край;57 119 138,00;57 363 192,00;-244 054,00;-0,43
89;-1;Севергазбанк;2816;Вологодская обл.;57 118 221,00;57 154 795,00;-36 574,00;-0,06
90;-1;Балтийский Банк;128;Санкт-Петербург и обл.;57 061 831,00;56 896 189,00;165 642,00;0,29
91;-5;ББР Банк;2929;Москва и обл.;56 867 505,00;58 378 855,00;-1 511 350,00;-2,59
92;4;БКС Банк;101;Новосибирская обл.;56 432 680,00;53 684 070,00;2 748 610,00;5,12
93;0;Социнвестбанк;1132;Башкортостан;55 278 934,00;54 616 993,00;661 941,00;1,21
94;-2;Тойота Банк;3470;Москва и обл.;55 278 057,00;56 287 354,00;-1 009 297,00;-1,79
95;-4;Еврофинанс Моснарбанк;2402;Москва и обл.;54 345 596,00;56 672 060,00;-2 326 464,00;-4,11
96;2;Примсоцбанк;2733;Приморский край;52 813 219,00;53 151 736,00;-338 517,00;-0,64
97;-2;БНП Париба Банк;3407;Москва и обл.;52 612 943,00;54 343 637,00;-1 730 694,00;-3,18
98;-1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;52 349 944,00;53 337 647,00;-987 703,00;-1,85
99;1;Челябинвестбанк;493;Челябинская обл.;51 944 501,00;51 241 634,00;702 867,00;1,37
100;4;АйСиБиСи Банк;3475;Москва и обл.;51 901 356,00;47 669 352,00;4 232 004,00;8,88
101;-2;Левобережный;1343;Новосибирская обл.;51 698 644,00;51 316 862,00;381 782,00;0,74
102;10;Данске Банк;3307;Санкт-Петербург и обл.;51 513 127,00;41 466 362,00;10 046 765,00;24,23
103;-22;ОФК Банк;2270;Москва и обл.;50 444 297,00;63 932 904,00;-13 488 607,00;-21,10
104;-3;Челиндбанк;485;Челябинская обл.;50 130 208,00;50 383 078,00;-252 870,00;-0,50
105;33;Генбанк;2490;Симферополь;49 511 005,00;27 209 955,00;22 301 050,00;81,96
106;3;Интерпрогрессбанк;600;Москва и обл.;48 126 081,00;44 672 847,00;3 453 234,00;7,73
107;-1;Международный Финансовый Клуб;2618;Москва и обл.;47 886 164,00;47 157 866,00;728 298,00;1,54
108;0;Газэнергобанк;3252;Калужская обл.;47 385 635,00;46 938 546,00;447 089,00;0,95
109;-7;Фора-Банк;1885;Москва и обл.;47 168 778,00;48 654 884,00;-1 486 106,00;-3,05
110;-3;Банк «Советский»;558;Санкт-Петербург и обл.;46 462 206,00;47 109 961,00;-647 755,00;-1,37
111;-1;Саровбизнесбанк;2048;Нижегородская обл.;44 971 623,00;44 270 428,00;701 195,00;1,58
112;-7;Коммерцбанк (Евразия);3333;Москва и обл.;44 129 618,00;47 354 880,00;-3 225 262,00;-6,81
113;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;43 250 962,00;39 970 479,00;3 280 483,00;8,21
114;-3;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;40 473 990,00;42 570 365,00;-2 096 375,00;-4,92
115;0;БыстроБанк;1745;Удмуртия;38 612 020,00;38 130 669,00;481 351,00;1,26
116;-3;Объединенный Капитал;2611;Санкт-Петербург и обл.;38 401 545,00;40 615 100,00;-2 213 555,00;-5,45
117;-1;Кольцо Урала;65;Свердловская обл.;36 271 790,00;36 709 862,00;-438 072,00;-1,19
118;0;АктивКапитал Банк;3006;Самарская обл.;35 465 937,00;36 118 803,00;-652 866,00;-1,81
119;-2;Бэнк оф Чайна;2309;Москва и обл.;35 356 426,00;36 299 247,00;-942 821,00;-2,60
120;1;Финанс Бизнес Банк;520;Москва и обл.;34 994 737,00;34 114 408,00;880 329,00;2,58
121;32;Дж. П. Морган Банк;2629;Москва и обл.;34 818 917,00;22 119 447,00;12 699 470,00;57,41
122;0;Мир Бизнес Банк;3396;Москва и обл.;34 742 015,00;33 567 835,00;1 174 180,00;3,50
123;1;Дальневосточный Банк;843;Приморский край;33 839 544,00;32 341 285,00;1 498 259,00;4,63
124;-1;Платежный Центр;3166;Новосибирская обл.;32 708 810,00;33 012 621,00;-303 811,00;-0,92
125;5;Фольксваген Банк Рус;3500;Москва и обл.;32 141 416,00;31 722 197,00;419 219,00;1,32
126;1;БМВ Банк;3482;Москва и обл.;32 087 942,00;32 123 877,00;-35 935,00;-0,11
127;1;Квантмобайл Банк;1189;Москва и обл.;31 893 405,00;31 768 061,00;125 344,00;0,39
128;-2;Солидарность;554;Самарская обл.;31 680 539,00;32 231 564,00;-551 025,00;-1,71
129;-9;Кредит Урал Банк;2584;Челябинская обл.;31 608 812,00;34 604 460,00;-2 995 648,00;-8,66
130;2;Девон-Кредит;1972;Татарстан;31 516 128,00;30 625 232,00;890 896,00;2,91
131;-12;СЭБ Банк;3235;Санкт-Петербург и обл.;31 384 421,00;35 695 026,00;-4 310 605,00;-12,08
132;8;Национальный Стандарт;3421;Москва и обл.;31 281 406,00;26 582 737,00;4 698 669,00;17,68
133;-2;Приморье;3001;Приморский край;30 971 817,00;31 709 176,00;-737 359,00;-2,33
134;-9;Интерпромбанк;3266;Москва и обл.;30 291 590,00;32 234 390,00;-1 942 800,00;-6,03
135;0;Энерготрансбанк;1307;Калининградская обл.;29 999 689,00;28 056 845,00;1 942 844,00;6,92
136;-7;НС Банк;3124;Москва и обл.;29 561 533,00;31 761 706,00;-2 200 173,00;-6,93
137;-3;Бинбанк Диджитал;2827;Москва и обл.;28 359 421,00;28 183 478,00;175 943,00;0,62
138;1;Чайна Констракшн;3515;Москва и обл.;28 014 687,00;27 011 061,00;1 003 626,00;3,72
139;-3;Алмазэргиэнбанк;2602;Саха (Якутия);27 664 105,00;28 035 195,00;-371 090,00;-1,32
140;3;Татсоцбанк;480;Татарстан;26 499 988,00;25 000 357,00;1 499 631,00;6,00
141;0;Газбанк;2316;Самарская обл.;26 275 878,00;26 151 412,00;124 466,00;0,48
142;-5;Ланта-Банк;1920;Москва и обл.;26 219 645,00;27 347 854,00;-1 128 209,00;-4,13
143;-10;ЦМРБанк;3531;Москва и обл.;24 937 800,00;28 884 496,00;-3 946 696,00;-13,66
144;17;Морган Стэнли Банк;3456;Москва и обл.;24 865 050,00;19 814 988,00;5 050 062,00;25,49
145;-3;Урал ФД;249;Пермская обл.;24 647 079,00;25 003 281,00;-356 202,00;-1,42
146;0;Акибанк;2587;Татарстан;24 390 447,00;23 988 041,00;402 406,00;1,68
147;0;Курскпромбанк;735;Курская обл.;24 138 405,00;23 780 239,00;358 166,00;1,51
148;-4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;23 849 442,00;24 940 804,00;-1 091 362,00;-4,38
149;6;Агропромкредит;2880;Москва и обл.;23 562 066,00;21 691 555,00;1 870 511,00;8,62
150;-1;Липецккомбанк;1242;Липецкая обл.;23 513 538,00;23 424 234,00;89 304,00;0,38
151;-6;Мерседес-Бенц Банк Рус;3473;Москва и обл.;23 483 509,00;24 307 692,00;-824 183,00;-3,39
152;-2;Энергобанк;67;Татарстан;23 153 650,00;23 094 701,00;58 949,00;0,26
153;-2;Хлынов;254;Кировская обл.;22 863 150,00;22 713 939,00;149 211,00;0,66
154;8;Собинбанк;1317;Москва и обл.;22 796 401,00;19 762 663,00;3 033 738,00;15,35
155;-7;Москоммерцбанк;3365;Москва и обл.;22 765 111,00;23 667 568,00;-902 457,00;-3,81
156;-4;Экономбанк;1319;Саратовская обл.;22 213 047,00;22 252 454,00;-39 407,00;-0,18
157;-3;Московское Ипотечное Агентство;3344;Москва и обл.;22 071 462,00;22 025 434,00;46 028,00;0,21
158;-2;Александровский;53;Санкт-Петербург и обл.;21 140 140,00;20 900 990,00;239 150,00;1,14
159;5;Натиксис Банк;3390;Москва и обл.;20 747 025,00;18 977 339,00;1 769 686,00;9,33
160;-3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;20 711 196,00;20 616 574,00;94 622,00;0,46
161;-3;Кошелев-Банк;3300;Самарская обл.;20 395 894,00;20 530 383,00;-134 489,00;-0,66
162;-2;НБД-Банк;1966;Нижегородская обл.;20 273 903,00;20 343 485,00;-69 582,00;-0,34
163;5;Киви Банк;2241;Москва и обл.;20 059 519,00;18 194 886,00;1 864 633,00;10,25
164;-5;Джей энд Ти Банк;3061;Москва и обл.;19 896 651,00;20 414 483,00;-517 832,00;-2,54
165;1;Алеф-Банк;2119;Москва и обл.;19 105 493,00;18 676 073,00;429 420,00;2,30
166;4;Аресбанк;2914;Москва и обл.;18 900 855,00;17 771 030,00;1 129 825,00;6,36
167;5;Денизбанк Москва;3330;Москва и обл.;18 891 908,00;16 735 925,00;2 155 983,00;12,88
168;1;Держава;2738;Москва и обл.;18 845 865,00;18 136 599,00;709 266,00;3,91
169;-4;МБА-Москва;3395;Москва и обл.;18 778 901,00;18 841 828,00;-62 927,00;-0,33
170;-7;Банк Акцепт;567;Новосибирская обл.;18 688 964,00;19 109 629,00;-420 665,00;-2,20
171;-4;Тольяттихимбанк;2507;Самарская обл.;18 335 877,00;18 400 715,00;-64 838,00;-0,35
172;2;Рублев;3098;Москва и обл.;17 632 477,00;16 338 504,00;1 293 973,00;7,92
173;-2;Пойдем!;2534;Москва и обл.;17 506 620,00;17 397 402,00;109 218,00;0,63
174;-1;Руснарбанк;3403;Москва и обл.;16 646 815,00;16 658 413,00;-11 598,00;-0,07
175;7;Инбанк;1829;Москва и обл.;16 411 996,00;15 083 191,00;1 328 805,00;8,81
176;1;Прио-Внешторгбанк;212;Рязанская обл.;15 880 222,00;15 878 301,00;1 921,00;0,01
177;4;Банк ВВБ;1093;Севастополь;15 310 307,00;15 351 701,00;-41 394,00;-0,27
178;2;Гарант-Инвест;2576;Москва и обл.;15 063 654,00;15 540 492,00;-476 838,00;-3,07
179;-4;НК Банк;2755;Москва и обл.;14 928 822,00;16 102 566,00;-1 173 744,00;-7,29
180;-2;Объединенный Кредитный Банк;1118;Ярославская обл.;14 922 397,00;15 876 123,00;-953 726,00;-6,01
181;-2;Развитие-Столица;3013;Москва и обл.;14 894 921,00;15 699 396,00;-804 475,00;-5,12
182;1;Форштадт;2208;Оренбургская обл.;14 754 630,00;14 860 461,00;-105 831,00;-0,71
183;5;Морской Банк;77;Москва и обл.;14 671 152,00;14 479 003,00;192 149,00;1,33
184;3;Национальный Резервный Банк;2170;Москва и обл.;14 668 897,00;14 759 891,00;-90 994,00;-0,62
185;-1;Норвик Банк;902;Кировская обл.;14 510 254,00;14 851 759,00;-341 505,00;-2,30
186;-10;Российская Финансовая Корпорация;3099;Москва и обл.;14 440 768,00;16 030 742,00;-1 589 974,00;-9,92
187;-1;Нацинвестпромбанк;3077;Москва и обл.;14 317 695,00;14 761 252,00;-443 557,00;-3,00
188;1;Ишбанк;2867;Москва и обл.;13 762 711,00;13 997 157,00;-234 446,00;-1,67
189;14;Модульбанк;1927;Костромская обл.;13 691 253,00;11 860 742,00;1 830 511,00;15,43
190;2;КС Банк;1752;Мордовия;13 535 389,00;13 580 216,00;-44 827,00;-0,33
191;0;Национальная Факторинговая Компания;3437;Москва и обл.;13 525 549,00;13 697 309,00;-171 760,00;-1,25
192;3;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 203 568,00;13 224 662,00;-21 094,00;-0,16
193;0;РосДорБанк;1573;Москва и обл.;13 148 177,00;13 370 701,00;-222 524,00;-1,66
194;0;Уралтрансбанк;812;Свердловская обл.;13 121 316,00;13 311 431,00;-190 115,00;-1,43
195;-5;Банк Казани;708;Татарстан;13 089 806,00;13 889 383,00;-799 577,00;-5,76
196;9;Ури Банк;3479;Москва и обл.;12 856 168,00;11 478 509,00;1 377 659,00;12,00
197;-1;Русский Ипотечный Банк;1968;Москва и обл.;12 719 994,00;13 093 460,00;-373 466,00;-2,85
198;3;МС Банк Рус;2789;Москва и обл.;12 450 598,00;11 919 509,00;531 089,00;4,46
199;-2;НИКО-Банк;702;Оренбургская обл.;12 367 109,00;12 377 667,00;-10 558,00;-0,09
200;-2;Ассоциация;732;Нижегородская обл.;12 210 970,00;12 152 372,00;58 598,00;0,48
201;1;Первомайский;518;Краснодарский край;11 861 249,00;11 882 069,00;-20 820,00;-0,18
202;-3;Тройка-Д Банк;3431;Москва и обл.;11 821 304,00;12 082 838,00;-261 534,00;-2,16
203;6;Реалист Банк;1067;Иркутская обл.;11 811 381,00;11 351 262,00;460 119,00;4,05
204;11;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;11 704 645,00;10 660 696,00;1 043 949,00;9,79
205;2;Банк Оренбург;3269;Оренбургская обл.;11 504 449,00;11 428 803,00;75 646,00;0,66
206;-6;ТЭМБР-Банк;2764;Москва и обл.;11 486 118,00;12 065 684,00;-579 566,00;-4,80
207;-3;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;11 325 199,00;11 576 721,00;-251 522,00;-2,17
208;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;11 212 555,00;11 176 770,00;35 785,00;0,32
209;-1;Агросоюз;1459;Москва и обл.;11 155 626,00;11 386 216,00;-230 590,00;-2,03
210;0;Юг-Инвестбанк;2772;Краснодарский край;11 085 514,00;11 296 687,00;-211 173,00;-1,87
211;-5;Автоторгбанк;2776;Москва и обл.;11 021 282,00;11 471 122,00;-449 840,00;-3,92
212;1;Русский Торговый Банк;2842;Москва и обл.;10 964 404,00;11 026 432,00;-62 028,00;-0,56
213;1;Воронеж;654;Воронежская обл.;10 837 700,00;10 906 044,00;-68 344,00;-0,63
214;-2;Солид Банк;1329;Приморский край;10 810 445,00;11 109 445,00;-299 000,00;-2,69
215;2;Снежинский;1376;Челябинская обл.;10 767 344,00;10 489 063,00;278 281,00;2,65
216;0;Датабанк;646;Удмуртия;10 716 752,00;10 559 474,00;157 278,00;1,49
217;1;Таатта;1249;Саха (Якутия);9 924 512,00;10 083 705,00;-159 193,00;-1,58
218;1;Русьуниверсалбанк;3293;Москва и обл.;9 764 899,00;9 608 238,00;156 661,00;1,63
219;4;Азия-Инвест Банк;3303;Москва и обл.;9 677 432,00;8 706 616,00;970 816,00;11,15
220;0;Екатеринбург;3161;Свердловская обл.;9 628 493,00;9 496 923,00;131 570,00;1,39
221;1;Банк Жилищного Финансирования;3138;Москва и обл.;9 168 643,00;8 960 521,00;208 122,00;2,32
222;-1;РусЮгбанк;2093;Волгоградская обл.;9 166 214,00;9 239 298,00;-73 084,00;-0,79
223;3;Ю Би Эс Банк;3463;Москва и обл.;8 876 581,00;8 287 198,00;589 383,00;7,11
224;14;РЕСО Кредит;3450;Москва и обл.;8 675 110,00;7 657 380,00;1 017 730,00;13,29
225;-1;Томскпромстройбанк;1720;Томская обл.;8 486 842,00;8 435 906,00;50 936,00;0,60
226;4;Промтрансбанк;2638;Башкортостан;8 153 547,00;8 070 164,00;83 383,00;1,03
227;5;Банк Раунд;2506;Москва и обл.;8 092 073,00;7 892 134,00;199 939,00;2,53
228;-1;Энергомашбанк;52;Санкт-Петербург и обл.;8 046 882,00;8 285 735,00;-238 853,00;-2,88
229;-1;Московский Нефтехимический Банк;1411;Москва и обл.;7 973 860,00;8 217 747,00;-243 887,00;-2,97
230;4;Кранбанк;2271;Ивановская обл.;7 963 860,00;7 871 098,00;92 762,00;1,18
231;-2;Трансстройбанк;2807;Москва и обл.;7 940 471,00;8 081 474,00;-141 003,00;-1,74
232;1;Кузнецкбизнесбанк;1158;Кемеровская обл.;7 932 390,00;7 874 022,00;58 368,00;0,74
233;6;Хакасский Муниципальный Банк;1049;Хакасия;7 874 604,00;7 635 980,00;238 624,00;3,12
234;1;Углеметбанк;2997;Челябинская обл.;7 833 282,00;7 739 036,00;94 246,00;1,22
235;13;Гута-Банк;256;Москва и обл.;7 773 551,00;7 264 831,00;508 720,00;7,00
236;-5;Ставропольпромстройбанк;1288;Ставропольский край;7 718 765,00;7 969 203,00;-250 438,00;-3,14
237;5;Эксперт Банк;2949;Омская обл.;7 708 682,00;7 516 656,00;192 026,00;2,55
238;-1;Актив Банк;2529;Мордовия;7 652 480,00;7 674 769,00;-22 289,00;-0,29
239;-3;ФорБанк;2063;Москва и обл.;7 613 549,00;7 680 815,00;-67 266,00;-0,88
240;3;СИАБ;3245;Санкт-Петербург и обл.;7 605 359,00;7 413 584,00;191 775,00;2,59
241;0;Белгородсоцбанк;760;Белгородская обл.;7 553 477,00;7 590 356,00;-36 879,00;-0,49
242;2;Славия;2664;Москва и обл.;7 445 295,00;7 397 284,00;48 011,00;0,65
243;12;ЮMoney;3510;Россия;7 343 997,00;7 029 550,00;314 447,00;4,47
244;1;Финам Банк;2799;Москва и обл.;7 254 142,00;7 350 358,00;-96 216,00;-1,31
245;1;Нейва;1293;Свердловская обл.;7 234 829,00;7 336 446,00;-101 617,00;-1,39
246;4;Северный Народный Банк;2721;Коми;7 209 857,00;7 170 795,00;39 062,00;0,54
247;5;Ростфинанс;481;Ростовская обл.;7 171 824,00;7 078 041,00;93 783,00;1,32
248;3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;7 123 340,00;7 098 574,00;24 766,00;0,35
249;-2;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 061 368,00;7 271 010,00;-209 642,00;-2,88
250;4;Сибсоцбанк;2015;Алтайский край;7 056 563,00;7 038 912,00;17 651,00;0,25
251;2;Союзный;3236;Москва и обл.;6 972 498,00;7 064 976,00;-92 478,00;-1,31
252;6;Газтрансбанк;665;Краснодарский край;6 951 103,00;6 986 153,00;-35 050,00;-0,50
253;3;Новобанк;1352;Новгородская обл.;6 897 078,00;7 013 978,00;-116 900,00;-1,67
254;18;Бест Эффортс Банк;435;Москва и обл.;6 759 008,00;6 297 848,00;461 160,00;7,32
255;-15;Гранд Инвест Банк;3053;Москва и обл.;6 748 613,00;7 614 535,00;-865 922,00;-11,37
256;10;Проминвестбанк;2433;Москва и обл.;6 718 054,00;6 568 882,00;149 172,00;2,27
257;3;НБК-Банк;3283;Москва и обл.;6 697 081,00;6 839 642,00;-142 561,00;-2,08
