Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2018, тыс. рублей;Февраль, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;24 036 552 269,00;23 923 567 371,00;112 984 898,00;0,47
2;0;ВТБ;1000;Санкт-Петербург и обл.;11 933 068 392,00;12 072 943 598,00;-139 875 206,00;-1,16
3;0;Газпромбанк;354;Москва и обл.;5 667 273 263,00;6 073 790 112,00;-406 516 849,00;-6,69
4;0;Россельхозбанк;3349;Москва и обл.;3 196 873 217,00;3 158 641 358,00;38 231 859,00;1,21
5;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 867 008 011,00;3 007 397 735,00;-140 389 724,00;-4,67
6;0;Альфа-Банк;1326;Москва и обл.;2 619 450 415,00;2 646 159 899,00;-26 709 484,00;-1,01
7;0;Банк Открытие;2209;Москва и обл.;2 152 924 111,00;2 321 983 153,00;-169 059 042,00;-7,28
8;0;Московский Кредитный Банк;1978;Москва и обл.;1 841 847 607,00;1 984 123 615,00;-142 276 008,00;-7,17
9;0;Бинбанк;323;Москва и обл.;1 230 737 877,00;1 216 956 605,00;13 781 272,00;1,13
10;1;ЮниКредит Банк;1;Москва и обл.;1 199 413 772,00;1 206 280 187,00;-6 866 415,00;-0,57
11;-1;Промсвязьбанк;3251;Москва и обл.;1 175 785 245,00;1 216 661 311,00;-40 876 066,00;-3,36
12;1;Росбанк;2272;Москва и обл.;956 502 003,00;922 302 443,00;34 199 560,00;3,71
13;-1;Райффайзенбанк;3292;Москва и обл.;942 429 700,00;955 536 048,00;-13 106 348,00;-1,37
14;0;Россия;328;Санкт-Петербург и обл.;936 210 933,00;868 215 335,00;67 995 598,00;7,83
15;0;Рост Банк;2888;Москва и обл.;794 115 751,00;794 831 472,00;-715 721,00;-0,09
16;0;Совкомбанк;963;Костромская обл.;689 337 802,00;708 913 545,00;-19 575 743,00;-2,76
17;1;БМ-Банк;2748;Москва и обл.;655 180 859,00;621 601 705,00;33 579 154,00;5,40
18;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;626 174 546,00;609 534 803,00;16 639 743,00;2,73
19;-2;Траст;3279;Москва и обл.;616 897 699,00;622 055 259,00;-5 157 560,00;-0,83
20;3;Всероссийский Банк Развития Регионов;3287;Москва и обл.;536 223 672,00;509 916 978,00;26 306 694,00;5,16
21;0;Московский Областной Банк;1751;Москва и обл.;529 979 930,00;540 261 116,00;-10 281 186,00;-1,90
22;-2;Банк Уралсиб;30;Москва и обл.;528 960 786,00;557 197 659,00;-28 236 873,00;-5,07
23;-1;Ситибанк;2557;Москва и обл.;485 053 787,00;526 301 400,00;-41 247 613,00;-7,84
24;0;Ак Барс;2590;Татарстан;467 660 235,00;463 143 631,00;4 516 604,00;0,98
25;0;Русский Стандарт;2289;Москва и обл.;383 220 639,00;391 682 965,00;-8 462 326,00;-2,16
26;0;СМП Банк;3368;Москва и обл.;345 512 332,00;348 503 844,00;-2 991 512,00;-0,86
27;0;Банк ДОМ.РФ;2312;Москва и обл.;325 853 610,00;323 996 991,00;1 856 619,00;0,57
28;0;Новикомбанк;2546;Москва и обл.;322 340 927,00;309 864 753,00;12 476 174,00;4,03
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;315 389 790,00;301 819 839,00;13 569 951,00;4,50
30;1;Тинькофф Банк;2673;Москва и обл.;289 161 054,00;285 177 094,00;3 983 960,00;1,40
31;2;Почта Банк;650;Москва и обл.;286 846 446,00;274 287 894,00;12 558 552,00;4,58
32;0;Связь-Банк;1470;Москва и обл.;283 544 722,00;284 309 746,00;-765 024,00;-0,27
33;1;Московский Индустриальный Банк;912;Москва и обл.;275 229 589,00;273 817 719,00;1 411 870,00;0,52
34;6;ИНГ Банк;2495;Москва и обл.;272 066 018,00;218 218 991,00;53 847 027,00;24,68
35;1;Пересвет;2110;Москва и обл.;271 187 825,00;264 654 640,00;6 533 185,00;2,47
36;-1;Абсолют Банк;2306;Москва и обл.;267 697 411,00;269 511 670,00;-1 814 259,00;-0,67
37;-7;Восточный Банк;1460;Амурская обл.;265 157 382,00;287 648 523,00;-22 491 141,00;-7,82
38;-1;Хоум Кредит Банк;316;Москва и обл.;261 422 842,00;264 603 160,00;-3 180 318,00;-1,20
39;-1;Возрождение;1439;Москва и обл.;251 304 209,00;260 063 218,00;-8 759 009,00;-3,37
40;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;241 135 478,00;236 228 055,00;4 907 423,00;2,08
41;0;Банк Зенит;3255;Москва и обл.;219 284 823,00;213 521 434,00;5 763 389,00;2,70
42;1;РосЕвроБанк;3137;Москва и обл.;201 818 907,00;204 757 112,00;-2 938 205,00;-1,43
