Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2012, тыс. рублей;Ноябрь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;13 611 685 899,00;13 351 076 462,00;260 609 437,00;1,95
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 225 872 030,00;4 288 963 693,00;-63 091 663,00;-1,47
3;0;Газпромбанк;354;Москва и обл.;2 801 570 042,00;2 790 979 754,00;10 590 288,00;0,38
4;0;Россельхозбанк;3349;Москва и обл.;1 615 112 616,00;1 607 172 944,00;7 939 672,00;0,49
5;0;БМ-Банк;2748;Москва и обл.;1 513 461 083,00;1 486 917 761,00;26 543 322,00;1,79
6;0;ВТБ 24;1623;Москва и обл.;1 460 127 712,00;1 445 290 810,00;14 836 902,00;1,03
7;0;Альфа-Банк;1326;Москва и обл.;1 232 046 219,00;1 211 203 133,00;20 843 086,00;1,72
8;0;ЮниКредит Банк;1;Москва и обл.;830 703 742,00;808 958 535,00;21 745 207,00;2,69
9;0;Росбанк;2272;Москва и обл.;666 371 991,00;682 369 505,00;-15 997 514,00;-2,34
10;0;Промсвязьбанк;3251;Москва и обл.;652 082 203,00;637 734 612,00;14 347 591,00;2,25
11;0;Райффайзенбанк;3292;Москва и обл.;597 059 444,00;627 331 529,00;-30 272 085,00;-4,83
12;0;Банк Открытие;2209;Москва и обл.;554 095 615,00;546 373 949,00;7 721 666,00;1,41
13;0;Транскредитбанк;2142;Москва и обл.;506 682 198,00;528 625 315,00;-21 943 117,00;-4,15
14;0;Банк Уралсиб;30;Москва и обл.;439 411 936,00;431 984 784,00;7 427 152,00;1,72
15;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;364 769 398,00;346 690 306,00;18 079 092,00;5,21
16;2;Ситибанк;2557;Москва и обл.;359 013 594,00;332 037 654,00;26 975 940,00;8,12
17;-2;МДМ Банк;2562;Новосибирская обл.;356 146 568,00;363 397 080,00;-7 250 512,00;-2,00
18;-1;Ак Барс;2590;Татарстан;352 164 044,00;338 271 324,00;13 892 720,00;4,11
19;0;Россия;328;Санкт-Петербург и обл.;314 199 470,00;311 314 861,00;2 884 609,00;0,93
20;2;Хоум Кредит Банк;316;Москва и обл.;293 230 412,00;276 346 622,00;16 883 790,00;6,11
21;2;Русский Стандарт;2289;Москва и обл.;281 552 901,00;273 533 251,00;8 019 650,00;2,93
22;-2;Московский Кредитный Банк;1978;Москва и обл.;280 005 476,00;287 017 192,00;-7 011 716,00;-2,44
23;-2;Нордеа Банк;3016;Москва и обл.;275 291 721,00;286 834 960,00;-11 543 239,00;-4,02
24;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;268 789 901,00;261 871 164,00;6 918 737,00;2,64
25;0;Связь-Банк;1470;Москва и обл.;263 269 406,00;257 154 321,00;6 115 085,00;2,38
26;0;Петрокоммерц;1776;Москва и обл.;245 651 574,00;240 412 064,00;5 239 510,00;2,18
27;0;Банк Зенит;3255;Москва и обл.;224 445 328,00;223 031 969,00;1 413 359,00;0,63
28;0;Глобэкс;1942;Москва и обл.;217 495 066,00;220 996 636,00;-3 501 570,00;-1,58
29;0;Восточный Банк;1460;Амурская обл.;217 341 434,00;210 812 291,00;6 529 143,00;3,10
30;0;ИНГ Банк;2495;Москва и обл.;211 981 099,00;208 794 054,00;3 187 045,00;1,53
31;0;Возрождение;1439;Москва и обл.;205 587 584,00;204 648 870,00;938 714,00;0,46
32;2;Банк «Открытие»;2179;Москва и обл.;183 400 946,00;173 484 571,00;9 916 375,00;5,72
33;0;Траст;3279;Москва и обл.;179 120 185,00;182 939 465,00;-3 819 280,00;-2,09
34;-2;МТС Банк;2268;Москва и обл.;174 964 645,00;186 887 274,00;-11 922 629,00;-6,38
35;3;Национальный Клиринговый Центр;3466;Москва и обл.;174 644 016,00;146 652 985,00;27 991 031,00;19,09
36;-1;Московский Индустриальный Банк;912;Москва и обл.;163 465 475,00;163 758 704,00;-293 229,00;-0,18
37;-1;Бинбанк;323;Москва и обл.;161 634 223,00;160 165 613,00;1 468 610,00;0,92
38;5;Дойче Банк;3328;Москва и обл.;160 556 039,00;117 418 684,00;43 137 355,00;36,74
39;-2;ОТП Банк;2766;Москва и обл.;151 571 569,00;157 037 902,00;-5 466 333,00;-3,48
40;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;140 966 010,00;135 310 481,00;5 655 529,00;4,18
41;0;СМП Банк;3368;Москва и обл.;134 264 042,00;131 088 310,00;3 175 732,00;2,42
42;-2;СКБ-Банк;705;Свердловская обл.;133 754 670,00;131 591 341,00;2 163 329,00;1,64
43;-1;Транскапиталбанк;2210;Москва и обл.;119 445 673,00;118 608 095,00;837 578,00;0,71
44;3;Новикомбанк;2546;Москва и обл.;118 584 979,00;109 793 607,00;8 791 372,00;8,01
45;14;Национальный Расчетный Депозитарий;3294;Москва и обл.;116 624 817,00;89 040 816,00;27 584 001,00;30,98
46;-2;Кредит Европа Банк;3311;Москва и обл.;115 696 673,00;114 122 263,00;1 574 410,00;1,38
47;-2;Русфинанс Банк;1792;Самарская обл.;113 389 093,00;112 569 922,00;819 171,00;0,73
48;0;Внешпромбанк;3261;Москва и обл.;110 157 303,00;109 625 657,00;531 646,00;0,48
49;-3;Абсолют Банк;2306;Москва и обл.;108 006 493,00;110 198 882,00;-2 192 389,00;-1,99
50;0;Пробизнесбанк;2412;Москва и обл.;107 143 370,00;102 217 726,00;4 925 644,00;4,82
51;-2;РосЕвроБанк;3137;Москва и обл.;105 378 238,00;106 201 747,00;-823 509,00;-0,78
52;0;МСП Банк;3340;Москва и обл.;103 690 226,00;100 347 305,00;3 342 921,00;3,33
53;-2;Инвестторгбанк;2763;Москва и обл.;102 878 954,00;101 614 983,00;1 263 971,00;1,24
54;-1;Татфондбанк;3058;Татарстан;100 925 143,00;99 818 759,00;1 106 384,00;1,11
55;0;Авангард;2879;Москва и обл.;100 677 482,00;97 623 399,00;3 054 083,00;3,13
56;1;РГС Банк;3073;Москва и обл.;99 602 987,00;96 350 980,00;3 252 007,00;3,38
57;3;Совкомбанк;963;Костромская обл.;95 823 079,00;88 958 294,00;6 864 785,00;7,72
58;12;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;95 580 181,00;77 162 548,00;18 417 633,00;23,87
59;-3;Банк ДОМ.РФ;2312;Москва и обл.;94 762 458,00;97 040 238,00;-2 277 780,00;-2,35
60;3;Ренессанс Кредит;3354;Москва и обл.;92 112 096,00;87 646 036,00;4 466 060,00;5,10
61;-7;БНП Париба Банк;3407;Москва и обл.;91 187 564,00;98 670 404,00;-7 482 840,00;-7,58
62;-1;Юниаструм Банк;2771;Москва и обл.;90 323 866,00;88 562 812,00;1 761 054,00;1,99
63;-1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;89 445 521,00;88 437 809,00;1 007 712,00;1,14
64;4;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;88 158 945,00;80 631 059,00;7 527 886,00;9,34
65;-1;Банк Интеза;2216;Москва и обл.;85 341 980,00;86 992 055,00;-1 650 075,00;-1,90
66;3;Пересвет;2110;Москва и обл.;82 918 004,00;78 197 800,00;4 720 204,00;6,04
67;-2;Балтийский Банк;128;Москва и обл.;82 897 560,00;83 093 102,00;-195 542,00;-0,24
68;-2;Союз;2307;Москва и обл.;79 725 011,00;81 500 102,00;-1 775 091,00;-2,18
69;2;Запсибкомбанк;918;Тюменская обл.;78 250 348,00;76 210 927,00;2 039 421,00;2,68
70;2;ДельтаКредит;3338;Москва и обл.;75 515 013,00;74 963 132,00;551 881,00;0,74
71;3;Банк Кредит Свисс;2494;Москва и обл.;73 845 420,00;73 156 861,00;688 559,00;0,94
72;3;Собинбанк;1317;Москва и обл.;72 898 793,00;72 804 937,00;93 856,00;0,13
73;-15;Еврофинанс Моснарбанк;2402;Москва и обл.;72 546 089,00;91 818 935,00;-19 272 846,00;-20,99
74;-1;Связной Банк;1961;Москва и обл.;72 333 021,00;74 033 923,00;-1 700 902,00;-2,30
75;2;Мастер-Банк;2176;Москва и обл.;71 803 891,00;69 673 183,00;2 130 708,00;3,06
76;-9;Всероссийский Банк Развития Регионов;3287;Москва и обл.;70 962 449,00;80 731 175,00;-9 768 726,00;-12,10
77;2;Тинькофф Банк;2673;Москва и обл.;68 425 950,00;65 311 672,00;3 114 278,00;4,77
