Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2012, тыс. рублей;Ноябрь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
78;0;Локо-Банк;2707;Москва и обл.;68 159 593,00;68 344 817,00;-185 224,00;-0,27
79;-3;ЦентроКредит;121;Москва и обл.;65 649 436,00;71 180 844,00;-5 531 408,00;-7,77
80;2;Роскосмосбанк;2989;Москва и обл.;63 782 329,00;62 300 970,00;1 481 359,00;2,38
81;0;Центр-инвест;2225;Ростовская обл.;63 551 806,00;63 010 252,00;541 554,00;0,86
82;3;Балтинвестбанк;3176;Санкт-Петербург и обл.;60 534 116,00;59 043 890,00;1 490 226,00;2,52
83;-3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;59 312 960,00;63 172 708,00;-3 859 748,00;-6,11
84;10;Экспо Финанс;2594;Москва и обл.;57 605 506,00;48 134 406,00;9 471 100,00;19,68
85;1;Первобанк;3461;Самарская обл.;57 114 475,00;58 115 268,00;-1 000 793,00;-1,72
86;4;Нота-Банк;2913;Москва и обл.;54 662 342,00;51 767 984,00;2 894 358,00;5,59
87;2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;54 397 455,00;51 861 509,00;2 535 946,00;4,89
88;-1;Металлинвестбанк;2440;Москва и обл.;54 394 977,00;55 746 826,00;-1 351 849,00;-2,42
89;-1;Инвестбанк;107;Москва и обл.;53 939 100,00;53 205 921,00;733 179,00;1,38
90;3;Сургутнефтегазбанк;588;Тюменская обл.;51 889 916,00;49 974 369,00;1 915 547,00;3,83
91;-8;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;51 549 244,00;59 861 681,00;-8 312 437,00;-13,89
92;3;Международный Финансовый Клуб;2618;Москва и обл.;50 530 568,00;47 984 672,00;2 545 896,00;5,31
93;-2;Национальный Стандарт;3421;Москва и обл.;50 079 190,00;51 130 851,00;-1 051 661,00;-2,06
94;-2;СБ Банк (Судостроительный банк);2999;Москва и обл.;49 875 030,00;50 472 245,00;-597 215,00;-1,18
95;1;Бинбанк Диджитал;2827;Москва и обл.;48 821 228,00;47 528 743,00;1 292 485,00;2,72
96;-12;Банк БФА;3038;Санкт-Петербург и обл.;47 917 718,00;59 720 555,00;-11 802 837,00;-19,76
97;0;Таврический Банк;2304;Санкт-Петербург и обл.;45 865 357,00;44 969 919,00;895 438,00;1,99
98;3;Московский Областной Банк;1751;Москва и обл.;41 894 321,00;40 018 291,00;1 876 030,00;4,69
99;1;Тойота Банк;3470;Москва и обл.;41 201 591,00;40 272 547,00;929 044,00;2,31
100;-1;Экспресс-Волга;3085;Саратовская обл.;41 177 480,00;40 692 740,00;484 740,00;1,19
101;2;Интеркоммерц Банк;1657;Москва и обл.;40 318 588,00;39 155 618,00;1 162 970,00;2,97
102;2;Кубань Кредит;2518;Краснодарский край;38 670 814,00;37 817 445,00;853 369,00;2,26
103;4;Народный Кредит;2401;Москва и обл.;36 106 872,00;35 461 417,00;645 455,00;1,82
104;-2;Национальный Резервный Банк;2170;Москва и обл.;34 859 147,00;39 687 272,00;-4 828 125,00;-12,17
105;5;Челябинвестбанк;493;Челябинская обл.;34 681 591,00;33 216 095,00;1 465 496,00;4,41
106;3;Челиндбанк;485;Челябинская обл.;33 801 001,00;33 265 927,00;535 074,00;1,61
107;-9;Меткомбанк (Череповец);901;Вологодская обл.;33 346 959,00;42 402 467,00;-9 055 508,00;-21,36
108;4;Межтопэнергобанк;2956;Москва и обл.;33 281 893,00;32 449 317,00;832 576,00;2,57
109;2;Примсоцбанк;2733;Приморский край;33 278 390,00;32 930 973,00;347 417,00;1,05
110;5;Кедр;1574;Москва и обл.;32 350 204,00;31 652 993,00;697 211,00;2,20
111;2;Кольцо Урала;65;Свердловская обл.;32 221 046,00;32 172 590,00;48 456,00;0,15
112;-6;Дальневосточный Банк;843;Приморский край;32 165 930,00;35 560 071,00;-3 394 141,00;-9,54
113;5;Русский Международный Банк;3123;Москва и обл.;32 010 093,00;30 466 384,00;1 543 709,00;5,07
114;0;Саровбизнесбанк;2048;Нижегородская обл.;31 674 097,00;32 104 605,00;-430 508,00;-1,34
115;5;СДМ-Банк;1637;Москва и обл.;31 418 967,00;29 688 436,00;1 730 531,00;5,83
116;0;Фора-Банк;1885;Москва и обл.;31 300 708,00;30 845 773,00;454 935,00;1,47
117;12;Смоленский Банк;2029;Смоленская обл.;30 812 600,00;28 838 551,00;1 974 049,00;6,85
118;3;Севергазбанк;2816;Вологодская обл.;30 622 150,00;29 523 192,00;1 098 958,00;3,72
119;-2;Стройкредит;18;Москва и обл.;30 560 099,00;30 755 098,00;-194 999,00;-0,63
120;5;НС Банк;3124;Москва и обл.;30 245 231,00;28 997 628,00;1 247 603,00;4,30
121;5;Крайинвестбанк;3360;Краснодарский край;30 204 341,00;28 931 941,00;1 272 400,00;4,40
122;6;Интерпромбанк;3266;Москва и обл.;30 180 180,00;28 858 908,00;1 321 272,00;4,58
123;-4;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;29 745 707,00;29 874 177,00;-128 470,00;-0,43
124;6;Первый Республиканский Банк;1730;Москва и обл.;29 612 199,00;28 606 008,00;1 006 191,00;3,52
125;2;Пушкино;391;Москва и обл.;29 096 879,00;28 872 073,00;224 806,00;0,78
126;-2;Газбанк;2316;Самарская обл.;29 080 392,00;29 114 278,00;-33 886,00;-0,12
127;5;Левобережный;1343;Новосибирская обл.;28 962 705,00;27 849 291,00;1 113 414,00;4,00
128;-20;Коммерцбанк (Евразия);3333;Москва и обл.;28 406 135,00;35 269 909,00;-6 863 774,00;-19,46
129;2;М2М Прайвет Банк;1414;Москва и обл.;28 088 348,00;28 350 375,00;-262 027,00;-0,92
130;10;Сетелем Банк;2168;Москва и обл.;27 937 168,00;26 119 510,00;1 817 658,00;6,96
131;-9;Натиксис Банк;3390;Москва и обл.;27 557 534,00;29 414 519,00;-1 856 985,00;-6,31
132;5;Мой Банк;2939;Москва и обл.;27 425 182,00;26 622 845,00;802 337,00;3,01
133;0;Росэнергобанк;2211;Москва и обл.;27 367 796,00;27 831 020,00;-463 224,00;-1,66
134;0;Банк АВБ;23;Самарская обл.;27 247 096,00;27 542 922,00;-295 826,00;-1,07
135;3;АМБ Банк;3036;Москва и обл.;27 160 746,00;26 470 071,00;690 675,00;2,61
136;6;Экспобанк;2998;Москва и обл.;26 783 836,00;25 504 745,00;1 279 091,00;5,02
137;-1;МБА-Москва;3395;Москва и обл.;26 372 925,00;26 946 193,00;-573 268,00;-2,13
138;1;БФГ-Кредит;3068;Москва и обл.;26 021 159,00;26 418 658,00;-397 499,00;-1,50
139;4;Агропромкредит;2880;Москва и обл.;25 703 217,00;25 133 944,00;569 273,00;2,26
140;4;Липецккомбанк;1242;Липецкая обл.;25 237 631,00;25 009 916,00;227 715,00;0,91
141;4;ГПБ-Ипотека;2403;Москва и обл.;24 529 972,00;24 807 930,00;-277 958,00;-1,12
142;6;Интерпрогрессбанк;600;Москва и обл.;24 260 906,00;24 425 701,00;-164 795,00;-0,67
143;-2;Российский Кредит;324;Москва и обл.;24 248 967,00;25 859 319,00;-1 610 352,00;-6,23
144;2;Акибанк;2587;Татарстан;24 207 391,00;24 598 048,00;-390 657,00;-1,59
145;12;Девон-Кредит;1972;Татарстан;24 042 000,00;21 980 639,00;2 061 361,00;9,38
146;4;Рост;2589;Москва и обл.;23 958 605,00;23 742 190,00;216 415,00;0,91
147;2;Москоммерцбанк;3365;Москва и обл.;23 628 586,00;23 807 923,00;-179 337,00;-0,75
148;-25;Приморье;3001;Приморский край;23 531 891,00;29 321 317,00;-5 789 426,00;-19,74
149;9;Банк Проектного Финансирования;1677;Москва и обл.;23 320 233,00;21 604 024,00;1 716 209,00;7,94
150;1;Альта-Банк;2269;Москва и обл.;22 828 652,00;22 868 983,00;-40 331,00;-0,18
151;20;БыстроБанк;1745;Удмуртия;22 822 463,00;19 793 042,00;3 029 421,00;15,31
152;-17;Мир Бизнес Банк;3396;Москва и обл.;22 702 493,00;27 137 391,00;-4 434 898,00;-16,34
153;-1;БМВ Банк;3482;Москва и обл.;22 530 297,00;22 507 312,00;22 985,00;0,10
154;-1;Аверс;415;Татарстан;21 884 358,00;22 493 127,00;-608 769,00;-2,71
155;4;Кредит Урал Банк;2584;Челябинская обл.;21 790 320,00;21 535 290,00;255 030,00;1,18
156;-9;Сведбанк;3064;Москва и обл.;21 695 933,00;24 508 597,00;-2 812 664,00;-11,48
157;6;Банк «Советский»;558;Санкт-Петербург и обл.;21 627 840,00;20 876 531,00;751 309,00;3,60
158;16;РосинтерБанк;226;Москва и обл.;21 548 807,00;19 003 276,00;2 545 531,00;13,40
159;-5;Образование;1521;Москва и обл.;21 536 447,00;22 381 116,00;-844 669,00;-3,77
160;2;ФИА-Банк;2542;Самарская обл.;21 475 961,00;20 915 018,00;560 943,00;2,68
161;-6;Солидарность;554;Самарская обл.;21 364 806,00;22 059 307,00;-694 501,00;-3,15
162;11;Модульбанк;1927;Костромская обл.;21 206 711,00;19 163 665,00;2 043 046,00;10,66
163;-3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;20 787 240,00;21 267 993,00;-480 753,00;-2,26
164;4;Русстройбанк;3205;Москва и обл.;20 751 241,00;20 080 119,00;671 122,00;3,34
165;-4;Мосстройэкономбанк (М Банк);948;Москва и обл.;20 739 833,00;20 973 032,00;-233 199,00;-1,11
166;-1;С банк;2581;Москва и обл.;20 697 144,00;20 470 414,00;226 730,00;1,11
167;-1;Тимер Банк;1581;Татарстан;20 331 300,00;20 436 853,00;-105 553,00;-0,52
168;7;Огни Москвы;2328;Москва и обл.;20 275 514,00;18 596 339,00;1 679 175,00;9,03
169;-2;Урал ФД;249;Пермская обл.;20 268 282,00;20 321 928,00;-53 646,00;-0,26
170;-6;ПЧРБ Банк;3291;Москва и обл.;20 185 213,00;20 755 787,00;-570 574,00;-2,75
171;-2;Спурт Банк;2207;Татарстан;19 999 865,00;19 929 669,00;70 196,00;0,35
172;0;Европейский Трастовый Банк;2968;Москва и обл.;19 814 043,00;19 281 549,00;532 494,00;2,76
173;43;Фольксваген Банк Рус;3500;Москва и обл.;19 097 022,00;13 554 577,00;5 542 445,00;40,89
174;2;ББР Банк;2929;Москва и обл.;18 685 752,00;18 212 541,00;473 211,00;2,60
175;7;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;18 651 888,00;16 632 094,00;2 019 794,00;12,14
176;1;Пойдем!;2534;Москва и обл.;18 428 874,00;17 811 680,00;617 194,00;3,47
177;-7;НОМОС-Региобанк;539;Хабаровский край;18 216 546,00;19 820 741,00;-1 604 195,00;-8,09
178;0;Морской Банк;77;Москва и обл.;17 851 798,00;17 388 484,00;463 314,00;2,66
179;14;Финпромбанк (ФПБ Банк);2157;Москва и обл.;17 578 387,00;15 452 661,00;2 125 726,00;13,76
180;12;МАСТ-Банк;3267;Москва и обл.;17 307 746,00;15 547 023,00;1 760 723,00;11,33
181;-1;Энергобанк;67;Татарстан;17 279 069,00;17 131 984,00;147 085,00;0,86
182;-3;Уралтрансбанк;812;Свердловская обл.;17 238 246,00;17 328 986,00;-90 740,00;-0,52
183;4;Легион;3117;Москва и обл.;17 185 161,00;16 187 961,00;997 200,00;6,16
184;1;Рост Банк;2888;Татарстан;17 057 609,00;16 286 480,00;771 129,00;4,73
185;-4;Инвесткапиталбанк;2377;Башкортостан;16 772 188,00;16 981 639,00;-209 451,00;-1,23
186;-3;Интехбанк;2705;Татарстан;16 419 668,00;16 384 100,00;35 568,00;0,22
187;-3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;16 333 176,00;16 349 955,00;-16 779,00;-0,10
188;43;БКС Банк;101;Новосибирская обл.;16 146 457,00;11 849 406,00;4 297 051,00;36,26
189;1;Фининвест;671;Москва и обл.;16 071 216,00;15 679 864,00;391 352,00;2,50
190;-2;Развитие-Столица;3013;Москва и обл.;16 061 084,00;16 032 382,00;28 702,00;0,18
191;0;Алмазэргиэнбанк;2602;Саха (Якутия);16 019 734,00;15 629 528,00;390 206,00;2,50
192;-6;Форштадт;2208;Оренбургская обл.;16 015 705,00;16 242 048,00;-226 343,00;-1,39
193;14;Квантмобайл Банк;1189;Омская обл.;15 973 762,00;14 358 352,00;1 615 410,00;11,25
194;-5;НБД-Банк;1966;Нижегородская обл.;15 782 067,00;15 964 289,00;-182 222,00;-1,14
195;2;Первомайский;518;Краснодарский край;15 590 778,00;15 173 724,00;417 054,00;2,75
196;-2;Курскпромбанк;735;Курская обл.;15 506 915,00;15 402 991,00;103 924,00;0,67
197;6;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;15 466 220,00;14 984 446,00;481 774,00;3,22
198;7;Тольяттихимбанк;2507;Самарская обл.;15 352 762,00;14 963 063,00;389 699,00;2,60
199;-1;Газэнергобанк;3252;Калужская обл.;15 314 952,00;15 164 161,00;150 791,00;0,99
200;-1;Эллипс Банк;1950;Нижегородская обл.;15 256 305,00;15 108 270,00;148 035,00;0,98
201;-6;Ланта-Банк;1920;Москва и обл.;15 244 349,00;15 346 160,00;-101 811,00;-0,66
202;0;Норвик Банк;902;Кировская обл.;15 241 072,00;15 045 071,00;196 001,00;1,30
203;-3;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;15 114 218,00;15 086 360,00;27 858,00;0,18
204;14;Энергомашбанк;52;Санкт-Петербург и обл.;15 080 938,00;13 338 273,00;1 742 665,00;13,07
205;-1;Банк ПСА Финанс Рус;3481;Москва и обл.;14 897 106,00;14 964 691,00;-67 585,00;-0,45
206;-5;Энерготрансбанк;1307;Калининградская обл.;14 557 309,00;15 077 626,00;-520 317,00;-3,45
207;3;Александровский;53;Санкт-Петербург и обл.;14 441 113,00;14 185 260,00;255 853,00;1,80
208;-12;Гаранти Банк — Москва;3275;Москва и обл.;14 272 346,00;15 280 825,00;-1 008 479,00;-6,60
209;2;Балтика;967;Санкт-Петербург и обл.;14 272 123,00;14 150 574,00;121 549,00;0,86
210;-2;Гута-Банк;256;Москва и обл.;14 238 546,00;14 303 538,00;-64 992,00;-0,45
211;-2;ВУЗ-Банк;1557;Свердловская обл.;14 197 275,00;14 289 362,00;-92 087,00;-0,64
212;1;Западный;2598;Москва и обл.;14 192 589,00;14 084 116,00;108 473,00;0,77
213;-7;Центркомбанк;2983;Москва и обл.;14 051 006,00;14 474 334,00;-423 328,00;-2,92
214;0;АктивКапитал Банк;3006;Самарская обл.;13 886 022,00;14 050 729,00;-164 707,00;-1,17
215;25;Эс-Би-Ай Банк;3185;Москва и обл.;13 669 767,00;10 882 116,00;2 787 651,00;25,62
216;3;Держава;2738;Москва и обл.;13 562 359,00;13 256 161,00;306 198,00;2,31
217;-2;АйМаниБанк;1975;Республика Алтай;13 552 823,00;13 628 470,00;-75 647,00;-0,56
218;-6;Алеф-Банк;2119;Москва и обл.;13 423 878,00;14 121 661,00;-697 783,00;-4,94
219;8;Военно-Промышленный Банк;3065;Москва и обл.;13 336 976,00;12 175 500,00;1 161 476,00;9,54
220;1;ТЭМБР-Банк;2764;Москва и обл.;12 961 875,00;13 011 028,00;-49 153,00;-0,38
221;2;Национальная Факторинговая Компания;3437;Москва и обл.;12 880 948,00;12 580 615,00;300 333,00;2,39
222;-2;Гранд Инвест Банк;3053;Москва и обл.;12 757 727,00;13 255 165,00;-497 438,00;-3,75
223;2;Расчетно-Кредитный Банк;103;Москва и обл.;12 663 502,00;12 281 286,00;382 216,00;3,11
224;5;Хлынов;254;Кировская обл.;12 492 730,00;12 060 835,00;431 895,00;3,58
225;19;Платежный Центр;3166;Новосибирская обл.;12 348 755,00;10 631 694,00;1 717 061,00;16,15
226;-2;Интрастбанк;3144;Москва и обл.;12 330 353,00;12 517 895,00;-187 542,00;-1,50
227;11;АйСиБиСи Банк;3475;Москва и обл.;12 305 954,00;11 089 408,00;1 216 546,00;10,97
228;-11;Нацинвестпромбанк;3077;Москва и обл.;12 259 413,00;13 547 419,00;-1 288 006,00;-9,51
229;5;Национальный Банк Развития Бизнеса;2795;Москва и обл.;11 979 232,00;11 717 760,00;261 472,00;2,23
230;2;СтарБанк;548;Москва и обл.;11 791 196,00;11 836 451,00;-45 255,00;-0,38
231;-5;СИАБ;3245;Санкт-Петербург и обл.;11 684 742,00;12 192 134,00;-507 392,00;-4,16
232;-4;РосДорБанк;1573;Москва и обл.;11 641 884,00;12 124 838,00;-482 954,00;-3,98
233;20;Экопромбанк;2011;Пермская обл.;11 595 770,00;10 075 709,00;1 520 061,00;15,09
234;2;Солидарность (Москва);1555;Москва и обл.;11 562 735,00;11 215 401,00;347 334,00;3,10
235;4;Московское Ипотечное Агентство;3344;Москва и обл.;11 428 635,00;11 012 805,00;415 830,00;3,78
236;-14;РусЮгбанк;2093;Волгоградская обл.;11 293 129,00;12 936 028,00;-1 642 899,00;-12,70
237;-7;Углеметбанк;2997;Челябинская обл.;11 053 571,00;11 904 153,00;-850 582,00;-7,15
238;22;Экспресс;3084;Дагестан;10 971 392,00;9 533 299,00;1 438 093,00;15,08
239;9;Банк Расчетов и Сбережений;2617;Москва и обл.;10 865 133,00;10 194 906,00;670 227,00;6,57
240;-3;Денизбанк Москва;3330;Москва и обл.;10 793 521,00;11 185 045,00;-391 524,00;-3,50
241;29;МАК-Банк;1088;Москва и обл.;10 779 540,00;8 969 487,00;1 810 053,00;20,18
242;1;Банк24.ру;2227;Свердловская обл.;10 766 895,00;10 702 385,00;64 510,00;0,60
243;-10;НК Банк;2755;Москва и обл.;10 717 592,00;11 741 821,00;-1 024 229,00;-8,72
244;117;Ури Банк;3479;Москва и обл.;10 709 195,00;5 442 201,00;5 266 994,00;96,78
245;0;Экономбанк;1319;Саратовская обл.;10 686 400,00;10 508 143,00;178 257,00;1,70
246;-4;Прио-Внешторгбанк;212;Рязанская обл.;10 662 888,00;10 738 913,00;-76 025,00;-0,71
247;8;Банк Акцепт;567;Новосибирская обл.;10 651 011,00;10 002 330,00;648 681,00;6,49
248;6;Транснациональный Банк;2108;Москва и обл.;10 585 663,00;10 024 524,00;561 139,00;5,60
249;-8;Европейский;1616;Калининградская обл.;10 585 094,00;10 836 327,00;-251 233,00;-2,32
250;14;Международный Акционерный Банк;1987;Москва и обл.;10 398 848,00;9 362 646,00;1 036 202,00;11,07
251;33;Бэнк оф Чайна;2309;Москва и обл.;10 385 965,00;8 234 418,00;2 151 547,00;26,13
252;-3;ОФК Банк;2270;Москва и обл.;10 327 366,00;10 193 462,00;133 904,00;1,31
253;-6;Социнвестбанк;1132;Башкортостан;10 268 526,00;10 295 604,00;-27 078,00;-0,26
254;-19;Аресбанк;2914;Москва и обл.;10 260 731,00;11 387 078,00;-1 126 347,00;-9,89
255;-9;БайкалБанк;2632;Бурятия;10 134 323,00;10 381 170,00;-246 847,00;-2,38
256;13;Гарант-Инвест;2576;Москва и обл.;10 115 373,00;9 070 630,00;1 044 743,00;11,52
257;1;НОМОС-Банк-Сибирь;410;Новосибирская обл.;10 000 951,00;9 735 302,00;265 649,00;2,73
258;-7;Унифин;2654;Москва и обл.;9 945 750,00;10 107 679,00;-161 929,00;-1,60
