Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2014, тыс. рублей;Январь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 173 935 247,00;16 730 027 366,00;443 907 881,00;2,65
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 779 742 974,00;5 277 158 336,00;502 584 638,00;9,52
3;0;Газпромбанк;354;Москва и обл.;3 772 816 530,00;3 622 276 552,00;150 539 978,00;4,16
4;0;ВТБ 24;1623;Москва и обл.;2 166 946 706,00;2 100 686 266,00;66 260 440,00;3,15
5;0;Россельхозбанк;3349;Москва и обл.;1 845 535 125,00;1 915 951 035,00;-70 415 910,00;-3,68
6;0;БМ-Банк;2748;Москва и обл.;1 826 253 188,00;1 828 292 759,00;-2 039 571,00;-0,11
7;0;Альфа-Банк;1326;Москва и обл.;1 481 720 427,00;1 562 124 365,00;-80 403 938,00;-5,15
8;0;Банк Открытие;2209;Москва и обл.;953 868 944,00;965 044 832,00;-11 175 888,00;-1,16
9;0;ЮниКредит Банк;1;Москва и обл.;883 049 714,00;926 606 774,00;-43 557 060,00;-4,70
10;0;Промсвязьбанк;3251;Москва и обл.;784 765 018,00;752 662 475,00;32 102 543,00;4,27
11;0;Росбанк;2272;Москва и обл.;746 376 898,00;736 292 644,00;10 084 254,00;1,37
12;0;Райффайзенбанк;3292;Москва и обл.;740 468 108,00;712 061 162,00;28 406 946,00;3,99
13;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;458 730 867,00;447 067 129,00;11 663 738,00;2,61
14;4;Национальный Клиринговый Центр;3466;Москва и обл.;448 061 633,00;386 777 212,00;61 284 421,00;15,84
15;-2;Московский Кредитный Банк;1978;Москва и обл.;442 773 224,00;463 414 118,00;-20 640 894,00;-4,45
16;-1;Россия;328;Санкт-Петербург и обл.;405 597 466,00;418 037 106,00;-12 439 640,00;-2,98
17;-1;Русский Стандарт;2289;Москва и обл.;395 003 084,00;400 349 567,00;-5 346 483,00;-1,34
18;-1;Банк Уралсиб;30;Москва и обл.;387 103 806,00;397 439 341,00;-10 335 535,00;-2,60
19;3;Хоум Кредит Банк;316;Москва и обл.;375 447 765,00;366 989 663,00;8 458 102,00;2,30
20;0;Ак Барс;2590;Татарстан;374 838 747,00;369 547 856,00;5 290 891,00;1,43
21;-2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;367 180 480,00;377 588 258,00;-10 407 778,00;-2,76
22;-1;Ситибанк;2557;Москва и обл.;332 102 027,00;368 811 697,00;-36 709 670,00;-9,95
23;1;МДМ Банк;2562;Новосибирская обл.;330 737 902,00;334 130 788,00;-3 392 886,00;-1,02
24;-1;Связь-Банк;1470;Москва и обл.;319 494 482,00;352 251 341,00;-32 756 859,00;-9,30
25;0;Нордеа Банк;3016;Москва и обл.;285 467 149,00;278 160 968,00;7 306 181,00;2,63
26;0;Глобэкс;1942;Москва и обл.;274 696 540,00;265 305 884,00;9 390 656,00;3,54
27;2;Петрокоммерц;1776;Москва и обл.;264 714 127,00;249 190 047,00;15 524 080,00;6,23
28;-1;Банк Зенит;3255;Москва и обл.;258 053 684,00;258 313 361,00;-259 677,00;-0,10
29;1;ИНГ Банк;2495;Москва и обл.;254 561 344,00;235 368 484,00;19 192 860,00;8,15
30;-2;Восточный Банк;1460;Амурская обл.;251 826 413,00;252 605 333,00;-778 920,00;-0,31
31;1;Траст;3279;Москва и обл.;223 000 926,00;221 942 704,00;1 058 222,00;0,48
32;-1;Возрождение;1439;Москва и обл.;222 244 738,00;223 571 868,00;-1 327 130,00;-0,59
33;0;Бинбанк;323;Москва и обл.;215 560 373,00;212 410 850,00;3 149 523,00;1,48
34;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;213 720 846,00;207 063 585,00;6 657 261,00;3,22
35;-1;Банк «Открытие»;2179;Москва и обл.;199 616 456,00;207 319 310,00;-7 702 854,00;-3,72
36;0;Московский Индустриальный Банк;912;Москва и обл.;197 212 364,00;201 142 624,00;-3 930 260,00;-1,95
37;0;МТС Банк;2268;Москва и обл.;188 341 697,00;189 190 779,00;-849 082,00;-0,45
38;1;ОТП Банк;2766;Москва и обл.;170 595 363,00;172 558 034,00;-1 962 671,00;-1,14
39;-1;Новикомбанк;2546;Москва и обл.;166 715 478,00;173 077 891,00;-6 362 413,00;-3,68
40;0;Внешпромбанк;3261;Москва и обл.;165 842 977,00;163 139 873,00;2 703 104,00;1,66
41;1;СМП Банк;3368;Москва и обл.;160 951 589,00;155 807 405,00;5 144 184,00;3,30
42;-1;Кредит Европа Банк;3311;Москва и обл.;160 546 578,00;161 086 412,00;-539 834,00;-0,34
43;0;Транскапиталбанк;2210;Москва и обл.;148 209 772,00;143 726 121,00;4 483 651,00;3,12
