Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2012, тыс. рублей;Октябрь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;13 351 076 462,00;12 792 475 705,00;558 600 757,00;4,37
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 288 963 693,00;4 208 111 559,00;80 852 134,00;1,92
3;0;Газпромбанк;354;Москва и обл.;2 790 979 754,00;2 737 845 649,00;53 134 105,00;1,94
4;0;Россельхозбанк;3349;Москва и обл.;1 607 172 944,00;1 591 652 129,00;15 520 815,00;0,98
5;0;БМ-Банк;2748;Москва и обл.;1 486 917 761,00;1 475 837 830,00;11 079 931,00;0,75
6;0;ВТБ 24;1623;Москва и обл.;1 445 290 810,00;1 414 339 821,00;30 950 989,00;2,19
7;0;Альфа-Банк;1326;Москва и обл.;1 211 203 133,00;1 147 611 779,00;63 591 354,00;5,54
8;0;ЮниКредит Банк;1;Москва и обл.;808 958 535,00;778 753 259,00;30 205 276,00;3,88
9;0;Росбанк;2272;Москва и обл.;682 369 505,00;690 269 359,00;-7 899 854,00;-1,14
10;0;Промсвязьбанк;3251;Москва и обл.;637 734 612,00;635 318 408,00;2 416 204,00;0,38
11;0;Райффайзенбанк;3292;Москва и обл.;627 331 529,00;625 956 320,00;1 375 209,00;0,22
12;0;Банк Открытие;2209;Москва и обл.;546 373 949,00;558 523 559,00;-12 149 610,00;-2,18
13;0;Транскредитбанк;2142;Москва и обл.;528 625 315,00;526 606 775,00;2 018 540,00;0,38
14;0;Банк Уралсиб;30;Москва и обл.;431 984 784,00;435 984 716,00;-3 999 932,00;-0,92
15;0;МДМ Банк;2562;Новосибирская обл.;363 397 080,00;361 913 589,00;1 483 491,00;0,41
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;346 690 306,00;339 393 140,00;7 297 166,00;2,15
17;1;Ак Барс;2590;Татарстан;338 271 324,00;337 233 699,00;1 037 625,00;0,31
18;-2;Ситибанк;2557;Москва и обл.;332 037 654,00;342 204 075,00;-10 166 421,00;-2,97
19;0;Россия;328;Санкт-Петербург и обл.;311 314 861,00;306 600 935,00;4 713 926,00;1,54
20;0;Московский Кредитный Банк;1978;Москва и обл.;287 017 192,00;288 847 572,00;-1 830 380,00;-0,63
21;0;Нордеа Банк;3016;Москва и обл.;286 834 960,00;278 229 082,00;8 605 878,00;3,09
22;3;Хоум Кредит Банк;316;Москва и обл.;276 346 622,00;246 580 257,00;29 766 365,00;12,07
23;0;Русский Стандарт;2289;Москва и обл.;273 533 251,00;255 811 431,00;17 721 820,00;6,93
24;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;261 871 164,00;255 098 693,00;6 772 471,00;2,65
25;-3;Связь-Банк;1470;Москва и обл.;257 154 321,00;256 927 803,00;226 518,00;0,09
26;0;Петрокоммерц;1776;Москва и обл.;240 412 064,00;231 366 956,00;9 045 108,00;3,91
27;0;Банк Зенит;3255;Москва и обл.;223 031 969,00;226 336 236,00;-3 304 267,00;-1,46
28;0;Глобэкс;1942;Москва и обл.;220 996 636,00;211 501 767,00;9 494 869,00;4,49
29;1;Восточный Банк;1460;Амурская обл.;210 812 291,00;200 052 857,00;10 759 434,00;5,38
30;1;ИНГ Банк;2495;Москва и обл.;208 794 054,00;188 531 730,00;20 262 324,00;10,75
31;-2;Возрождение;1439;Москва и обл.;204 648 870,00;206 495 757,00;-1 846 887,00;-0,89
32;2;МТС Банк;2268;Москва и обл.;186 887 274,00;166 232 945,00;20 654 329,00;12,42
33;-1;Траст;3279;Москва и обл.;182 939 465,00;184 787 165,00;-1 847 700,00;-1,00
34;-1;Банк «Открытие»;2179;Москва и обл.;173 484 571,00;167 366 655,00;6 117 916,00;3,66
35;1;Московский Индустриальный Банк;912;Москва и обл.;163 758 704,00;158 833 985,00;4 924 719,00;3,10
36;-1;Бинбанк;323;Москва и обл.;160 165 613,00;159 476 808,00;688 805,00;0,43
37;0;ОТП Банк;2766;Москва и обл.;157 037 902,00;151 111 498,00;5 926 404,00;3,92
38;0;Национальный Клиринговый Центр;3466;Москва и обл.;146 652 985,00;148 186 470,00;-1 533 485,00;-1,03
39;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;135 310 481,00;130 937 739,00;4 372 742,00;3,34
40;-1;СКБ-Банк;705;Свердловская обл.;131 591 341,00;131 134 051,00;457 290,00;0,35
41;1;СМП Банк;3368;Москва и обл.;131 088 310,00;123 300 984,00;7 787 326,00;6,32
42;1;Транскапиталбанк;2210;Москва и обл.;118 608 095,00;122 385 499,00;-3 777 404,00;-3,09
43;-2;Дойче Банк;3328;Москва и обл.;117 418 684,00;124 213 573,00;-6 794 889,00;-5,47
44;0;Кредит Европа Банк;3311;Москва и обл.;114 122 263,00;115 103 281,00;-981 018,00;-0,85
45;1;Русфинанс Банк;1792;Самарская обл.;112 569 922,00;113 473 792,00;-903 870,00;-0,80
46;1;Абсолют Банк;2306;Москва и обл.;110 198 882,00;110 832 549,00;-633 667,00;-0,57
47;-2;Новикомбанк;2546;Москва и обл.;109 793 607,00;114 568 271,00;-4 774 664,00;-4,17
48;4;Внешпромбанк;3261;Москва и обл.;109 625 657,00;101 685 055,00;7 940 602,00;7,81
49;0;РосЕвроБанк;3137;Москва и обл.;106 201 747,00;105 042 269,00;1 159 478,00;1,10
50;1;Пробизнесбанк;2412;Москва и обл.;102 217 726,00;101 895 897,00;321 829,00;0,32
51;-1;Инвестторгбанк;2763;Москва и обл.;101 614 983,00;102 888 225,00;-1 273 242,00;-1,24
52;1;МСП Банк;3340;Москва и обл.;100 347 305,00;97 552 210,00;2 795 095,00;2,87
53;2;Татфондбанк;3058;Татарстан;99 818 759,00;96 513 338,00;3 305 421,00;3,42
54;3;БНП Париба Банк;3407;Москва и обл.;98 670 404,00;94 459 308,00;4 211 096,00;4,46
55;1;Авангард;2879;Москва и обл.;97 623 399,00;95 463 437,00;2 159 962,00;2,26
56;2;Банк ДОМ.РФ;2312;Москва и обл.;97 040 238,00;91 685 886,00;5 354 352,00;5,84
57;-3;РГС Банк;3073;Москва и обл.;96 350 980,00;97 381 110,00;-1 030 130,00;-1,06
58;-10;Еврофинанс Моснарбанк;2402;Москва и обл.;91 818 935,00;107 037 813,00;-15 218 878,00;-14,22
59;16;Национальный Расчетный Депозитарий;3294;Москва и обл.;89 040 816,00;66 068 726,00;22 972 090,00;34,77
60;1;Совкомбанк;963;Костромская обл.;88 958 294,00;86 745 075,00;2 213 219,00;2,55
61;-1;Юниаструм Банк;2771;Москва и обл.;88 562 812,00;88 204 922,00;357 890,00;0,41
62;0;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;88 437 809,00;86 688 406,00;1 749 403,00;2,02
63;1;Ренессанс Кредит;3354;Москва и обл.;87 646 036,00;82 753 689,00;4 892 347,00;5,91
64;-1;Банк Интеза;2216;Москва и обл.;86 992 055,00;86 481 268,00;510 787,00;0,59
65;0;Балтийский Банк;128;Москва и обл.;83 093 102,00;82 713 503,00;379 599,00;0,46
66;1;Союз;2307;Москва и обл.;81 500 102,00;81 013 603,00;486 499,00;0,60
67;-8;Всероссийский Банк Развития Регионов;3287;Москва и обл.;80 731 175,00;90 785 041,00;-10 053 866,00;-11,07
68;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;80 631 059,00;81 181 680,00;-550 621,00;-0,68
69;-1;Пересвет;2110;Москва и обл.;78 197 800,00;80 871 258,00;-2 673 458,00;-3,31
70;6;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;77 162 548,00;65 690 303,00;11 472 245,00;17,46
71;-2;Запсибкомбанк;918;Тюменская обл.;76 210 927,00;76 243 393,00;-32 466,00;-0,04
72;-2;ДельтаКредит;3338;Москва и обл.;74 963 132,00;74 752 876,00;210 256,00;0,28
73;1;Связной Банк;1961;Москва и обл.;74 033 923,00;68 278 214,00;5 755 709,00;8,43
74;8;Банк Кредит Свисс;2494;Москва и обл.;73 156 861,00;57 612 809,00;15 544 052,00;26,98
75;-2;Собинбанк;1317;Москва и обл.;72 804 937,00;70 642 216,00;2 162 721,00;3,06
76;-4;ЦентроКредит;121;Москва и обл.;71 180 844,00;74 052 381,00;-2 871 537,00;-3,88
77;-6;Мастер-Банк;2176;Москва и обл.;69 673 183,00;74 747 570,00;-5 074 387,00;-6,79
78;-1;Локо-Банк;2707;Москва и обл.;68 344 817,00;65 377 907,00;2 966 910,00;4,54
79;0;Тинькофф Банк;2673;Москва и обл.;65 311 672,00;62 438 294,00;2 873 378,00;4,60
80;10;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;63 172 708,00;49 562 084,00;13 610 624,00;27,46
81;-3;Центр-инвест;2225;Ростовская обл.;63 010 252,00;63 406 671,00;-396 419,00;-0,63
82;-1;Роскосмосбанк;2989;Москва и обл.;62 300 970,00;60 704 246,00;1 596 724,00;2,63
83;10;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;59 861 681,00;46 109 113,00;13 752 568,00;29,83
84;-1;Банк БФА;3038;Санкт-Петербург и обл.;59 720 555,00;56 444 894,00;3 275 661,00;5,80
85;-5;Балтинвестбанк;3176;Санкт-Петербург и обл.;59 043 890,00;60 719 003,00;-1 675 113,00;-2,76
86;-1;Первобанк;3461;Самарская обл.;58 115 268,00;56 336 005,00;1 779 263,00;3,16
87;-3;Металлинвестбанк;2440;Москва и обл.;55 746 826,00;56 378 608,00;-631 782,00;-1,12
88;-1;Инвестбанк;107;Москва и обл.;53 205 921,00;50 647 562,00;2 558 359,00;5,05
89;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;51 861 509,00;50 357 230,00;1 504 279,00;2,99
90;-4;Нота-Банк;2913;Москва и обл.;51 767 984,00;53 884 951,00;-2 116 967,00;-3,93
91;1;Национальный Стандарт;3421;Москва и обл.;51 130 851,00;46 408 723,00;4 722 128,00;10,18
92;-3;СБ Банк (Судостроительный банк);2999;Москва и обл.;50 472 245,00;50 305 138,00;167 107,00;0,33
93;-2;Сургутнефтегазбанк;588;Тюменская обл.;49 974 369,00;48 784 232,00;1 190 137,00;2,44
94;2;Экспо Финанс;2594;Москва и обл.;48 134 406,00;45 065 612,00;3 068 794,00;6,81
95;0;Международный Финансовый Клуб;2618;Москва и обл.;47 984 672,00;45 298 711,00;2 685 961,00;5,93
96;-2;Бинбанк Диджитал;2827;Москва и обл.;47 528 743,00;45 720 750,00;1 807 993,00;3,95
97;1;Таврический Банк;2304;Санкт-Петербург и обл.;44 969 919,00;42 205 509,00;2 764 410,00;6,55
98;9;Меткомбанк (Череповец);901;Вологодская обл.;42 402 467,00;34 164 106,00;8 238 361,00;24,11
99;3;Экспресс-Волга;3085;Саратовская обл.;40 692 740,00;39 101 846,00;1 590 894,00;4,07
