Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2010, тыс. рублей;Март, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;7 812 031 575,00;7 758 845 540,00;53 186 035,00;0,69
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 469 858 847,00;2 475 434 237,00;-5 575 390,00;-0,23
3;0;Газпромбанк;354;Москва и обл.;1 680 920 204,00;1 740 084 465,00;-59 164 261,00;-3,40
4;0;Россельхозбанк;3349;Москва и обл.;964 387 374,00;966 920 395,00;-2 533 021,00;-0,26
5;0;БМ-Банк;2748;Москва и обл.;853 109 263,00;813 539 505,00;39 569 758,00;4,86
6;0;ВТБ 24;1623;Москва и обл.;728 859 774,00;726 556 123,00;2 303 651,00;0,32
7;0;Альфа-Банк;1326;Москва и обл.;675 828 474,00;662 050 061,00;13 778 413,00;2,08
8;0;ЮниКредит Банк;1;Москва и обл.;543 702 382,00;531 541 810,00;12 160 572,00;2,29
9;1;Райффайзенбанк;3292;Москва и обл.;498 696 872,00;482 386 759,00;16 310 113,00;3,38
10;-1;Промсвязьбанк;3251;Москва и обл.;497 390 219,00;485 564 181,00;11 826 038,00;2,44
11;1;МДМ Банк;2562;Новосибирская обл.;417 731 491,00;418 636 164,00;-904 673,00;-0,22
12;-1;Росбанк;2272;Москва и обл.;397 627 765,00;420 634 108,00;-23 006 343,00;-5,47
13;0;Банк Уралсиб;30;Москва и обл.;392 888 531,00;391 535 888,00;1 352 643,00;0,35
14;1;Транскредитбанк;2142;Москва и обл.;296 718 160,00;263 666 885,00;33 051 275,00;12,54
15;-1;Банк Открытие;2209;Москва и обл.;279 868 838,00;282 125 456,00;-2 256 618,00;-0,80
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;246 675 297,00;243 682 606,00;2 992 691,00;1,23
17;1;Ситибанк;2557;Москва и обл.;243 316 926,00;231 399 678,00;11 917 248,00;5,15
18;-1;Ак Барс;2590;Татарстан;232 274 578,00;232 826 820,00;-552 242,00;-0,24
19;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;217 374 212,00;212 049 495,00;5 324 717,00;2,51
20;0;Связь-Банк;1470;Москва и обл.;206 255 253,00;202 450 356,00;3 804 897,00;1,88
21;0;Петрокоммерц;1776;Москва и обл.;177 495 568,00;184 925 214,00;-7 429 646,00;-4,02
22;0;Международный Промышленный Банк;2056;Москва и обл.;174 715 477,00;182 509 011,00;-7 793 534,00;-4,27
23;1;Возрождение;1439;Москва и обл.;156 386 825,00;155 519 465,00;867 360,00;0,56
24;1;Русский Стандарт;2289;Москва и обл.;153 124 443,00;154 845 988,00;-1 721 545,00;-1,11
25;-2;Банк Зенит;3255;Москва и обл.;150 975 994,00;163 658 965,00;-12 682 971,00;-7,75
26;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;150 842 489,00;140 203 781,00;10 638 708,00;7,59
27;-1;Нордеа Банк;3016;Москва и обл.;142 630 846,00;146 765 568,00;-4 134 722,00;-2,82
28;4;Газэнергопромбанк;3284;Москва и обл.;141 603 383,00;131 509 124,00;10 094 259,00;7,68
29;2;Траст;3279;Москва и обл.;140 484 391,00;132 291 467,00;8 192 924,00;6,19
30;-3;Банк Сосьете Женераль Восток;2295;Москва и обл.;136 553 705,00;142 693 806,00;-6 140 101,00;-4,30
31;-2;Абсолют Банк;2306;Москва и обл.;133 901 188,00;139 931 148,00;-6 029 960,00;-4,31
32;2;МТС Банк;2268;Москва и обл.;130 886 505,00;127 263 113,00;3 623 392,00;2,85
