Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2013, тыс. рублей;Ноябрь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;15 895 724 834,00;15 529 165 673,00;366 559 161,00;2,36
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 263 350 401,00;5 017 051 668,00;246 298 733,00;4,91
3;0;Газпромбанк;354;Москва и обл.;3 511 406 147,00;3 399 227 716,00;112 178 431,00;3,30
4;0;ВТБ 24;1623;Москва и обл.;2 088 711 302,00;1 879 880 176,00;208 831 126,00;11,11
5;1;БМ-Банк;2748;Москва и обл.;1 893 576 791,00;1 746 376 661,00;147 200 130,00;8,43
6;-1;Россельхозбанк;3349;Москва и обл.;1 842 414 211,00;1 854 247 768,00;-11 833 557,00;-0,64
7;0;Альфа-Банк;1326;Москва и обл.;1 495 597 624,00;1 434 118 334,00;61 479 290,00;4,29
8;0;ЮниКредит Банк;1;Москва и обл.;860 744 791,00;791 869 516,00;68 875 275,00;8,70
9;0;Банк Открытие;2209;Москва и обл.;850 938 971,00;781 000 308,00;69 938 663,00;8,96
10;0;Райффайзенбанк;3292;Москва и обл.;763 444 846,00;761 931 790,00;1 513 056,00;0,20
11;1;Промсвязьбанк;3251;Москва и обл.;759 378 124,00;746 703 805,00;12 674 319,00;1,70
12;-1;Росбанк;2272;Москва и обл.;751 134 817,00;760 425 346,00;-9 290 529,00;-1,22
13;2;Московский Кредитный Банк;1978;Москва и обл.;440 946 405,00;417 258 753,00;23 687 652,00;5,68
14;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;436 362 147,00;436 215 931,00;146 216,00;0,03
15;1;Россия;328;Санкт-Петербург и обл.;421 906 520,00;411 919 482,00;9 987 038,00;2,42
16;-2;Банк Уралсиб;30;Москва и обл.;414 634 443,00;421 666 646,00;-7 032 203,00;-1,67
17;0;Русский Стандарт;2289;Москва и обл.;386 607 580,00;396 565 323,00;-9 957 743,00;-2,51
18;0;Хоум Кредит Банк;316;Москва и обл.;381 853 684,00;386 123 330,00;-4 269 646,00;-1,11
19;0;Ак Барс;2590;Татарстан;371 308 190,00;364 223 199,00;7 084 991,00;1,95
20;0;Ситибанк;2557;Москва и обл.;349 583 620,00;353 659 688,00;-4 076 068,00;-1,15
21;1;Национальный Клиринговый Центр;3466;Москва и обл.;345 248 811,00;342 158 968,00;3 089 843,00;0,90
22;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;344 800 254,00;335 864 817,00;8 935 437,00;2,66
23;-2;МДМ Банк;2562;Новосибирская обл.;342 001 188,00;345 296 520,00;-3 295 332,00;-0,95
24;1;Связь-Банк;1470;Москва и обл.;304 080 913,00;277 092 957,00;26 987 956,00;9,74
25;-1;Нордеа Банк;3016;Москва и обл.;291 867 956,00;281 294 955,00;10 573 001,00;3,76
26;4;ИНГ Банк;2495;Москва и обл.;274 005 455,00;231 900 133,00;42 105 322,00;18,16
27;-1;Глобэкс;1942;Москва и обл.;272 105 815,00;268 881 461,00;3 224 354,00;1,20
28;-1;Банк Зенит;3255;Москва и обл.;258 665 942,00;255 561 523,00;3 104 419,00;1,21
29;-1;Восточный Банк;1460;Амурская обл.;255 217 435,00;253 676 951,00;1 540 484,00;0,61
30;-1;Петрокоммерц;1776;Москва и обл.;247 764 433,00;239 442 301,00;8 322 132,00;3,48
31;3;Банк «Открытие»;2179;Москва и обл.;227 440 559,00;212 859 045,00;14 581 514,00;6,85
32;-1;Возрождение;1439;Москва и обл.;223 094 393,00;227 301 015,00;-4 206 622,00;-1,85
33;0;Траст;3279;Москва и обл.;219 506 244,00;214 527 792,00;4 978 452,00;2,32
34;1;Бинбанк;323;Москва и обл.;213 477 065,00;210 422 583,00;3 054 482,00;1,45
35;1;МТС Банк;2268;Москва и обл.;202 892 162,00;209 710 184,00;-6 818 022,00;-3,25
36;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;202 768 395,00;195 789 990,00;6 978 405,00;3,56
37;1;Московский Индустриальный Банк;912;Москва и обл.;200 242 375,00;191 415 203,00;8 827 172,00;4,61
38;1;ОТП Банк;2766;Москва и обл.;180 248 691,00;177 700 786,00;2 547 905,00;1,43
39;2;Внешпромбанк;3261;Москва и обл.;162 020 851,00;149 630 268,00;12 390 583,00;8,28
40;2;Новикомбанк;2546;Москва и обл.;157 851 636,00;148 789 624,00;9 062 012,00;6,09
41;2;СМП Банк;3368;Москва и обл.;156 813 809,00;145 390 171,00;11 423 638,00;7,86
42;-2;Кредит Европа Банк;3311;Москва и обл.;154 542 370,00;150 533 433,00;4 008 937,00;2,66
43;10;Дойче Банк;3328;Москва и обл.;151 522 043,00;118 831 703,00;32 690 340,00;27,51
44;0;Транскапиталбанк;2210;Москва и обл.;145 677 703,00;142 454 900,00;3 222 803,00;2,26
45;1;СКБ-Банк;705;Свердловская обл.;136 666 498,00;136 108 706,00;557 792,00;0,41
46;2;МСП Банк;3340;Москва и обл.;134 547 367,00;123 798 476,00;10 748 891,00;8,68
47;-2;Совкомбанк;963;Костромская обл.;129 351 909,00;136 434 800,00;-7 082 891,00;-5,19
48;-1;Авангард;2879;Москва и обл.;124 962 784,00;124 948 589,00;14 195,00;0,01
49;2;Татфондбанк;3058;Татарстан;124 697 095,00;123 335 085,00;1 362 010,00;1,10
50;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;123 263 686,00;122 779 817,00;483 869,00;0,39
51;-1;РосЕвроБанк;3137;Москва и обл.;122 322 536,00;123 410 811,00;-1 088 275,00;-0,88
52;-3;Инвестторгбанк;2763;Москва и обл.;122 153 102,00;123 577 896,00;-1 424 794,00;-1,15
53;2;Тинькофф Банк;2673;Москва и обл.;117 062 219,00;116 082 187,00;980 032,00;0,84
54;0;РГС Банк;3073;Москва и обл.;116 835 525,00;117 370 765,00;-535 240,00;-0,46
55;2;Ренессанс Кредит;3354;Москва и обл.;115 853 186,00;114 728 393,00;1 124 793,00;0,98
56;0;Русфинанс Банк;1792;Самарская обл.;114 377 714,00;115 507 685,00;-1 129 971,00;-0,98
57;1;Пробизнесбанк;2412;Москва и обл.;113 040 541,00;113 511 566,00;-471 025,00;-0,41
58;2;Абсолют Банк;2306;Москва и обл.;111 654 466,00;105 533 968,00;6 120 498,00;5,80
59;0;Банк ДОМ.РФ;2312;Москва и обл.;109 922 459,00;110 918 772,00;-996 313,00;-0,90
60;3;ДельтаКредит;3338;Москва и обл.;99 403 998,00;98 095 201,00;1 308 797,00;1,33
61;1;Пересвет;2110;Москва и обл.;98 488 075,00;98 901 648,00;-413 573,00;-0,42
62;4;БНП Париба Банк;3407;Москва и обл.;93 579 340,00;92 464 599,00;1 114 741,00;1,21
63;2;ЦентроКредит;121;Москва и обл.;92 985 422,00;96 049 829,00;-3 064 407,00;-3,19
64;5;Банк Интеза;2216;Москва и обл.;89 728 174,00;83 658 173,00;6 070 001,00;7,26
65;3;Запсибкомбанк;918;Тюменская обл.;89 264 530,00;88 857 805,00;406 725,00;0,46
66;-5;Национальный Расчетный Депозитарий;3294;Москва и обл.;88 011 420,00;99 750 906,00;-11 739 486,00;-11,77
67;-3;Всероссийский Банк Развития Регионов;3287;Москва и обл.;87 585 123,00;96 639 436,00;-9 054 313,00;-9,37
68;3;Союз;2307;Москва и обл.;87 099 539,00;83 481 538,00;3 618 001,00;4,33
69;1;Банк БФА;3038;Санкт-Петербург и обл.;85 254 966,00;83 531 656,00;1 723 310,00;2,06
70;-3;Нота-Банк;2913;Москва и обл.;84 897 943,00;89 356 388,00;-4 458 445,00;-4,99
71;1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;84 462 618,00;83 025 087,00;1 437 531,00;1,73
72;1;Связной Банк;1961;Москва и обл.;81 297 978,00;81 411 586,00;-113 608,00;-0,14
73;2;Локо-Банк;2707;Москва и обл.;80 739 693,00;78 853 991,00;1 885 702,00;2,39
74;2;Центр-инвест;2225;Ростовская обл.;79 230 032,00;77 811 367,00;1 418 665,00;1,82
75;3;Юниаструм Банк;2771;Москва и обл.;73 572 314,00;75 363 092,00;-1 790 778,00;-2,38
76;3;Роскосмосбанк;2989;Москва и обл.;72 902 567,00;71 378 164,00;1 524 403,00;2,14
77;0;Балтийский Банк;128;Москва и обл.;71 760 640,00;76 841 864,00;-5 081 224,00;-6,61
78;3;Российский Кредит;324;Москва и обл.;71 008 443,00;67 978 818,00;3 029 625,00;4,46
79;7;Рост Банк;2888;Москва и обл.;67 634 930,00;65 684 612,00;1 950 318,00;2,97
80;5;СБ Банк (Судостроительный банк);2999;Москва и обл.;67 552 308,00;67 184 982,00;367 326,00;0,55
81;3;Инвестбанк;107;Москва и обл.;67 445 302,00;67 259 817,00;185 485,00;0,28
82;8;Московский Областной Банк;1751;Москва и обл.;66 419 021,00;60 614 460,00;5 804 561,00;9,58
