Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2010, тыс. рублей;Октябрь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 569 604 428,00;8 574 836 002,00;-5 231 574,00;-0,06
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 763 948 749,00;2 710 395 365,00;53 553 384,00;1,98
3;0;Газпромбанк;354;Москва и обл.;1 656 681 460,00;1 638 309 625,00;18 371 835,00;1,12
4;0;Россельхозбанк;3349;Москва и обл.;1 028 519 561,00;1 029 361 254,00;-841 693,00;-0,08
5;0;БМ-Банк;2748;Москва и обл.;964 727 498,00;989 729 827,00;-25 002 329,00;-2,53
6;0;ВТБ 24;1623;Москва и обл.;858 393 464,00;828 370 324,00;30 023 140,00;3,62
7;0;Альфа-Банк;1326;Москва и обл.;798 870 227,00;787 695 851,00;11 174 376,00;1,42
8;0;ЮниКредит Банк;1;Москва и обл.;605 682 865,00;570 891 817,00;34 791 048,00;6,09
9;0;Райффайзенбанк;3292;Москва и обл.;541 762 751,00;517 517 348,00;24 245 403,00;4,68
10;0;Промсвязьбанк;3251;Москва и обл.;504 159 182,00;500 035 890,00;4 123 292,00;0,82
11;1;Банк Уралсиб;30;Москва и обл.;423 301 598,00;415 379 453,00;7 922 145,00;1,91
12;-1;МДМ Банк;2562;Новосибирская обл.;411 816 207,00;428 128 730,00;-16 312 523,00;-3,81
13;0;Росбанк;2272;Москва и обл.;390 301 984,00;389 596 336,00;705 648,00;0,18
14;0;Транскредитбанк;2142;Москва и обл.;347 001 191,00;346 932 317,00;68 874,00;0,02
15;0;Банк Открытие;2209;Москва и обл.;325 793 058,00;307 192 760,00;18 600 298,00;6,05
16;4;Россия;328;Санкт-Петербург и обл.;267 041 352,00;232 523 769,00;34 517 583,00;14,84
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;264 690 965,00;260 497 401,00;4 193 564,00;1,61
18;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;244 306 652,00;243 248 094,00;1 058 558,00;0,44
19;-3;Ситибанк;2557;Москва и обл.;241 510 024,00;270 008 840,00;-28 498 816,00;-10,55
20;-1;Ак Барс;2590;Татарстан;241 461 560,00;241 674 244,00;-212 684,00;-0,09
21;0;Связь-Банк;1470;Москва и обл.;204 590 142,00;200 504 312,00;4 085 830,00;2,04
22;0;Нордеа Банк;3016;Москва и обл.;190 135 910,00;182 179 750,00;7 956 160,00;4,37
23;0;Петрокоммерц;1776;Москва и обл.;179 033 148,00;179 678 897,00;-645 749,00;-0,36
24;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;173 813 255,00;172 227 505,00;1 585 750,00;0,92
25;0;Банк Зенит;3255;Москва и обл.;169 532 291,00;168 826 533,00;705 758,00;0,42
26;0;Возрождение;1439;Москва и обл.;162 895 879,00;164 498 698,00;-1 602 819,00;-0,97
27;0;Траст;3279;Москва и обл.;157 801 181,00;153 853 293,00;3 947 888,00;2,57
28;2;Московский Кредитный Банк;1978;Москва и обл.;139 327 503,00;138 481 985,00;845 518,00;0,61
29;-1;Русский Стандарт;2289;Москва и обл.;138 284 671,00;143 263 103,00;-4 978 432,00;-3,48
30;3;МТС Банк;2268;Москва и обл.;134 170 287,00;120 870 154,00;13 300 133,00;11,00
31;1;ЦентроКредит;121;Москва и обл.;132 988 384,00;128 274 912,00;4 713 472,00;3,67
32;-3;Банк Сосьете Женераль Восток;2295;Москва и обл.;132 162 770,00;140 256 860,00;-8 094 090,00;-5,77
33;6;ИНГ Банк;2495;Москва и обл.;130 532 506,00;105 268 183,00;25 264 323,00;24,00
34;-3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;126 467 570,00;128 574 417,00;-2 106 847,00;-1,64
35;0;Хоум Кредит Банк;316;Москва и обл.;119 377 398,00;117 318 355,00;2 059 043,00;1,76
36;-2;Абсолют Банк;2306;Москва и обл.;119 277 242,00;119 768 476,00;-491 234,00;-0,41
37;-1;Банк «Открытие»;2179;Москва и обл.;117 632 971,00;116 023 717,00;1 609 254,00;1,39
38;-1;Национальный Клиринговый Центр;3466;Москва и обл.;113 159 594,00;113 471 856,00;-312 262,00;-0,28
39;-1;ОТП Банк;2766;Москва и обл.;108 233 706,00;105 974 297,00;2 259 409,00;2,13
40;0;Московский Индустриальный Банк;912;Москва и обл.;105 528 622,00;101 798 238,00;3 730 384,00;3,66
41;0;Глобэкс;1942;Москва и обл.;102 586 188,00;97 819 021,00;4 767 167,00;4,87
42;0;РГС Банк;3073;Москва и обл.;94 867 735,00;94 776 113,00;91 622,00;0,10
43;1;Бинбанк;323;Москва и обл.;90 191 020,00;87 265 463,00;2 925 557,00;3,35
44;2;Восточный Банк;1460;Амурская обл.;89 525 001,00;83 983 095,00;5 541 906,00;6,60
45;-2;Русфинанс Банк;1792;Самарская обл.;88 992 408,00;91 261 605,00;-2 269 197,00;-2,49
46;1;Юниаструм Банк;2771;Москва и обл.;81 481 986,00;80 545 502,00;936 484,00;1,16
47;2;Банк Интеза;2216;Москва и обл.;80 909 168,00;73 501 893,00;7 407 275,00;10,08
48;0;Пробизнесбанк;2412;Москва и обл.;76 041 516,00;74 703 099,00;1 338 417,00;1,79
49;-4;Дойче Банк;3328;Москва и обл.;75 367 454,00;86 515 085,00;-11 147 631,00;-12,89
50;1;Транскапиталбанк;2210;Москва и обл.;72 261 857,00;71 610 842,00;651 015,00;0,91
51;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;71 565 094,00;69 597 643,00;1 967 451,00;2,83
52;1;Мастер-Банк;2176;Москва и обл.;71 159 067,00;69 246 190,00;1 912 877,00;2,76
53;-3;Кредит Европа Банк;3311;Москва и обл.;68 711 907,00;71 694 334,00;-2 982 427,00;-4,16
54;2;Балтийский Банк;128;Москва и обл.;68 283 498,00;67 212 283,00;1 071 215,00;1,59
55;6;Союз;2307;Москва и обл.;67 624 085,00;58 997 108,00;8 626 977,00;14,62
56;-1;МСП Банк;3340;Москва и обл.;66 761 801,00;67 502 028,00;-740 227,00;-1,10
57;-3;СКБ-Банк;705;Свердловская обл.;66 545 597,00;67 709 752,00;-1 164 155,00;-1,72
58;0;Собинбанк;1317;Москва и обл.;65 863 829,00;61 067 567,00;4 796 262,00;7,85
59;-2;РосЕвроБанк;3137;Москва и обл.;65 554 579,00;64 849 559,00;705 020,00;1,09
60;0;Запсибкомбанк;918;Тюменская обл.;59 957 585,00;59 708 389,00;249 196,00;0,42
61;3;Инвестторгбанк;2763;Москва и обл.;59 895 407,00;57 007 214,00;2 888 193,00;5,07
62;0;Татфондбанк;3058;Татарстан;59 183 235,00;58 629 610,00;553 625,00;0,94
63;-4;Внешпромбанк;3261;Москва и обл.;58 747 811,00;60 162 957,00;-1 415 146,00;-2,35
64;-1;Национальный Резервный Банк;2170;Москва и обл.;56 609 334,00;58 436 636,00;-1 827 302,00;-3,13
65;4;Новикомбанк;2546;Москва и обл.;56 075 586,00;52 457 786,00;3 617 800,00;6,90
66;2;Экспо Финанс;2594;Москва и обл.;53 607 112,00;52 920 156,00;686 956,00;1,30
67;-1;БНП Париба Банк;3407;Москва и обл.;52 703 409,00;54 652 806,00;-1 949 397,00;-3,57
68;-1;Авангард;2879;Москва и обл.;52 491 868,00;53 914 244,00;-1 422 376,00;-2,64
69;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;52 279 961,00;47 741 300,00;4 538 661,00;9,51
70;-5;СМП Банк;3368;Москва и обл.;51 228 536,00;55 747 164,00;-4 518 628,00;-8,11
71;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;48 912 238,00;47 212 871,00;1 699 367,00;3,60
72;-2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;48 376 708,00;51 141 058,00;-2 764 350,00;-5,41
73;1;Центр-инвест;2225;Ростовская обл.;48 084 308,00;47 032 148,00;1 052 160,00;2,24
74;3;Локо-Банк;2707;Москва и обл.;47 096 929,00;46 394 026,00;702 903,00;1,52
75;-3;Сведбанк;3064;Москва и обл.;47 044 728,00;47 487 875,00;-443 147,00;-0,93
76;-1;Ренессанс Кредит;3354;Москва и обл.;46 832 473,00;46 683 281,00;149 192,00;0,32
77;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;46 797 050,00;46 538 233,00;258 817,00;0,56
78;0;АМТ Банк;2820;Москва и обл.;45 933 338,00;46 300 734,00;-367 396,00;-0,79
79;0;Роскосмосбанк;2989;Москва и обл.;43 952 153,00;42 414 077,00;1 538 076,00;3,63
80;5;Металлинвестбанк;2440;Москва и обл.;42 572 591,00;38 848 172,00;3 724 419,00;9,59
81;1;Совкомбанк;963;Костромская обл.;41 749 862,00;40 027 959,00;1 721 903,00;4,30
82;2;Пересвет;2110;Москва и обл.;41 077 281,00;39 128 938,00;1 948 343,00;4,98
83;-3;Сургутнефтегазбанк;588;Тюменская обл.;40 396 089,00;41 110 276,00;-714 187,00;-1,74
84;-3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;40 393 333,00;40 668 964,00;-275 631,00;-0,68
85;1;Инвестбанк;107;Калининградская обл.;38 385 301,00;37 998 902,00;386 399,00;1,02
86;1;СБ Банк (Судостроительный банк);2999;Москва и обл.;38 010 325,00;37 831 279,00;179 046,00;0,47
87;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;37 910 846,00;36 908 182,00;1 002 664,00;2,72
88;6;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;37 525 609,00;32 911 923,00;4 613 686,00;14,02
89;4;Банк ДОМ.РФ;2312;Москва и обл.;36 408 426,00;33 525 107,00;2 883 319,00;8,60
90;-2;Еврофинанс Моснарбанк;2402;Москва и обл.;35 945 047,00;37 465 197,00;-1 520 150,00;-4,06
91;-1;Национальный Стандарт;3421;Москва и обл.;35 851 433,00;34 971 411,00;880 022,00;2,52
92;-1;Первобанк;3461;Самарская обл.;35 154 312,00;34 958 885,00;195 427,00;0,56
93;-1;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;32 805 876,00;33 789 079,00;-983 203,00;-2,91
94;-11;Коммерцбанк (Евразия);3333;Москва и обл.;32 392 731,00;39 297 893,00;-6 905 162,00;-17,57
95;125;Свенска Хандельсбанкен;3455;Москва и обл.;31 265 719,00;8 710 342,00;22 555 377,00;258,95
96;-1;Национальный Торговый Банк;3087;Самарская обл.;30 986 482,00;30 326 528,00;659 954,00;2,18
97;-1;Бинбанк Диджитал;2827;Москва и обл.;30 339 156,00;29 123 272,00;1 215 884,00;4,17
98;0;Москоммерцбанк;3365;Москва и обл.;29 238 873,00;28 753 525,00;485 348,00;1,69
99;9;Расчетная Палата РТС;3335;Москва и обл.;28 545 381,00;23 582 744,00;4 962 637,00;21,04
100;-1;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;27 819 655,00;27 481 618,00;338 037,00;1,23
101;-1;Дальневосточный Банк;843;Приморский край;27 800 232,00;27 437 052,00;363 180,00;1,32
102;-1;Челиндбанк;485;Челябинская обл.;27 258 752,00;27 108 916,00;149 836,00;0,55
103;0;Международный Финансовый Клуб;2618;Москва и обл.;26 758 503,00;25 465 426,00;1 293 077,00;5,08
104;2;Таврический Банк;2304;Санкт-Петербург и обл.;26 160 191,00;24 476 859,00;1 683 332,00;6,88
105;-3;Кедр;1574;Москва и обл.;25 846 438,00;26 186 760,00;-340 322,00;-1,30
106;-9;Акибанк;2587;Татарстан;25 534 865,00;28 912 971,00;-3 378 106,00;-11,68
107;-3;Экспобанк;2998;Москва и обл.;25 515 906,00;25 261 250,00;254 656,00;1,01
108;-3;Кубань Кредит;2518;Краснодарский край;25 287 821,00;24 737 521,00;550 300,00;2,22
109;-2;Челябинвестбанк;493;Челябинская обл.;24 610 827,00;24 333 747,00;277 080,00;1,14
110;1;Газбанк;2316;Самарская обл.;23 259 038,00;23 211 250,00;47 788,00;0,21
111;-1;Севергазбанк;2816;Вологодская обл.;23 168 474,00;23 340 613,00;-172 139,00;-0,74
112;4;СДМ-Банк;1637;Москва и обл.;22 995 153,00;21 697 308,00;1 297 845,00;5,98
113;1;Далькомбанк;84;Хабаровский край;22 910 335,00;22 309 654,00;600 681,00;2,69
114;-2;Крайинвестбанк;3360;Краснодарский край;22 756 028,00;22 618 565,00;137 463,00;0,61
115;-6;НС Банк;3124;Москва и обл.;22 078 193,00;23 390 570,00;-1 312 377,00;-5,61
116;1;Нота-Банк;2913;Москва и обл.;21 967 111,00;21 516 885,00;450 226,00;2,09
117;3;Экспресс-Волга;3085;Саратовская обл.;21 888 084,00;21 199 387,00;688 697,00;3,25
118;-5;Интерпромбанк;3266;Москва и обл.;21 855 842,00;22 460 332,00;-604 490,00;-2,69
119;3;Первый Республиканский Банк;1730;Москва и обл.;21 230 792,00;20 323 973,00;906 819,00;4,46
120;4;Приморье;3001;Приморский край;20 794 713,00;19 569 815,00;1 224 898,00;6,26
121;-6;Саровбизнесбанк;2048;Нижегородская обл.;20 593 250,00;21 892 326,00;-1 299 076,00;-5,93
