Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2018, тыс. рублей;Сентябрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;26 414 629 482,00;26 294 513 458,00;120 116 024,00;0,46
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 268 297 295,00;12 921 525 439,00;346 771 856,00;2,68
3;0;Газпромбанк;354;Москва и обл.;6 091 052 001,00;6 043 157 034,00;47 894 967,00;0,79
4;1;Национальный Клиринговый Центр;3466;Москва и обл.;3 348 373 131,00;3 221 880 522,00;126 492 609,00;3,93
5;-1;Россельхозбанк;3349;Москва и обл.;3 184 970 680,00;3 285 837 032,00;-100 866 352,00;-3,07
6;0;Альфа-Банк;1326;Москва и обл.;3 158 258 596,00;3 196 582 199,00;-38 323 603,00;-1,20
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 037 624 558,00;2 044 113 558,00;-6 489 000,00;-0,32
8;0;Банк Открытие;2209;Москва и обл.;1 812 322 918,00;1 792 083 337,00;20 239 581,00;1,13
9;;Промсвязьбанк;3251;Москва и обл.;1 521 069 032,00;-;-;
10;-1;Траст;3279;Москва и обл.;1 391 581 035,00;1 409 104 414,00;-17 523 379,00;-1,24
11;-1;ЮниКредит Банк;1;Москва и обл.;1 266 703 719,00;1 366 033 514,00;-99 329 795,00;-7,27
12;-1;Райффайзенбанк;3292;Москва и обл.;1 038 270 146,00;1 044 148 832,00;-5 878 686,00;-0,56
13;-1;Росбанк;2272;Москва и обл.;996 825 990,00;969 951 411,00;26 874 579,00;2,77
14;-1;Россия;328;Санкт-Петербург и обл.;888 580 413,00;878 244 444,00;10 335 969,00;1,18
15;-1;Совкомбанк;963;Костромская обл.;769 682 162,00;787 209 660,00;-17 527 498,00;-2,23
16;-1;Бинбанк;323;Москва и обл.;723 916 249,00;764 351 078,00;-40 434 829,00;-5,29
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;654 605 399,00;637 837 592,00;16 767 807,00;2,63
18;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;647 459 543,00;661 639 120,00;-14 179 577,00;-2,14
19;-1;БМ-Банк;2748;Москва и обл.;632 856 410,00;636 296 988,00;-3 440 578,00;-0,54
20;-1;Московский Областной Банк;1751;Москва и обл.;596 527 446,00;594 978 646,00;1 548 800,00;0,26
21;-1;Ситибанк;2557;Москва и обл.;538 733 921,00;574 068 803,00;-35 334 882,00;-6,16
22;-1;Банк Уралсиб;30;Москва и обл.;522 998 340,00;521 678 581,00;1 319 759,00;0,25
23;-1;Ак Барс;2590;Татарстан;521 945 401,00;509 891 918,00;12 053 483,00;2,36
24;-1;СМП Банк;3368;Москва и обл.;417 477 424,00;406 062 418,00;11 415 006,00;2,81
25;0;Русский Стандарт;2289;Москва и обл.;368 507 628,00;366 188 606,00;2 319 022,00;0,63
26;-2;Банк АВБ;23;Самарская обл.;363 025 607,00;366 612 811,00;-3 587 204,00;-0,98
27;-1;Тинькофф Банк;2673;Москва и обл.;353 403 935,00;348 846 408,00;4 557 527,00;1,31
28;-1;Новикомбанк;2546;Москва и обл.;340 589 546,00;346 724 974,00;-6 135 428,00;-1,77
29;-1;Почта Банк;650;Москва и обл.;327 117 163,00;318 388 233,00;8 728 930,00;2,74
30;0;Пересвет;2110;Москва и обл.;316 041 239,00;302 738 755,00;13 302 484,00;4,39
31;0;Восточный Банк;1460;Амурская обл.;300 594 325,00;293 866 522,00;6 727 803,00;2,29
32;6;Абсолют Банк;2306;Москва и обл.;291 605 942,00;258 823 318,00;32 782 624,00;12,67
33;-1;Связь-Банк;1470;Москва и обл.;284 892 709,00;293 542 934,00;-8 650 225,00;-2,95
34;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;281 461 821,00;290 199 581,00;-8 737 760,00;-3,01
35;-1;Московский Индустриальный Банк;912;Москва и обл.;276 227 140,00;276 522 797,00;-295 657,00;-0,11
36;1;Возрождение;1439;Москва и обл.;265 854 033,00;262 138 497,00;3 715 536,00;1,42
37;-2;Банк ДОМ.РФ;2312;Москва и обл.;265 320 760,00;268 806 966,00;-3 486 206,00;-1,30
38;-2;Хоум Кредит Банк;316;Москва и обл.;260 034 463,00;262 423 669,00;-2 389 206,00;-0,91
39;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;257 963 671,00;256 545 804,00;1 417 867,00;0,55
40;0;Банк Зенит;3255;Москва и обл.;237 914 792,00;231 733 473,00;6 181 319,00;2,67
41;1;Экспресс-Волга;3085;Костромская обл.;194 216 056,00;196 130 462,00;-1 914 406,00;-0,98
42;2;ДельтаКредит;3338;Москва и обл.;193 070 414,00;184 036 835,00;9 033 579,00;4,91
43;-2;РосЕвроБанк;3137;Москва и обл.;192 976 508,00;197 643 526,00;-4 667 018,00;-2,36
44;-15;ИНГ Банк;2495;Москва и обл.;189 569 335,00;305 046 230,00;-115 476 895,00;-37,86
45;-2;Инвестторгбанк;2763;Москва и обл.;178 577 116,00;185 285 987,00;-6 708 871,00;-3,62
46;0;РНКБ;1354;Симферополь;171 661 703,00;170 397 305,00;1 264 398,00;0,74
47;-2;МТС Банк;2268;Москва и обл.;171 382 595,00;174 486 159,00;-3 103 564,00;-1,78
48;0;Транскапиталбанк;2210;Москва и обл.;166 599 596,00;161 418 160,00;5 181 436,00;3,21
49;11;МСП Банк;3340;Москва и обл.;161 603 179,00;119 070 398,00;42 532 781,00;35,72
50;-1;Ренессанс Кредит;3354;Москва и обл.;159 129 378,00;154 564 717,00;4 564 661,00;2,95
51;-1;ОТП Банк;2766;Москва и обл.;155 250 294,00;152 675 211,00;2 575 083,00;1,69
52;-5;Нордеа Банк;3016;Москва и обл.;141 496 738,00;161 972 927,00;-20 476 189,00;-12,64
53;-2;Кредит Европа Банк;3311;Москва и обл.;138 740 118,00;135 649 401,00;3 090 717,00;2,28
54;-1;Сетелем Банк;2168;Москва и обл.;134 789 466,00;132 598 369,00;2 191 097,00;1,65
55;7;Национальный Расчетный Депозитарий;3294;Москва и обл.;132 534 361,00;111 774 393,00;20 759 968,00;18,57
56;-4;Авангард;2879;Москва и обл.;130 852 310,00;132 715 595,00;-1 863 285,00;-1,40
57;-3;Русфинанс Банк;1792;Самарская обл.;127 817 016,00;126 176 987,00;1 640 029,00;1,30
