Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2018, тыс. рублей;Сентябрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
58;-3;Запсибкомбанк;918;Тюменская обл.;124 462 452,00;124 550 163,00;-87 711,00;-0,07
59;-3;Банк Финсервис;3388;Москва и обл.;123 360 465,00;124 051 998,00;-691 533,00;-0,56
60;-3;Таврический Банк;2304;Санкт-Петербург и обл.;121 279 725,00;121 288 085,00;-8 360,00;-0,01
61;-2;Росэксимбанк;2790;Москва и обл.;116 770 968,00;119 396 343,00;-2 625 375,00;-2,20
62;-4;Глобэкс;1942;Москва и обл.;116 280 303,00;120 002 273,00;-3 721 970,00;-3,10
63;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;115 832 354,00;110 896 508,00;4 935 846,00;4,45
64;-3;Центр-инвест;2225;Ростовская обл.;114 491 983,00;114 150 183,00;341 800,00;0,30
65;-1;СКБ-Банк;705;Свердловская обл.;107 731 496,00;109 214 695,00;-1 483 199,00;-1,36
66;-1;Роскосмосбанк;2989;Москва и обл.;106 103 744,00;106 300 514,00;-196 770,00;-0,19
67;1;Металлинвестбанк;2440;Москва и обл.;103 235 268,00;100 296 984,00;2 938 284,00;2,93
68;1;ВУЗ-Банк;1557;Свердловская обл.;101 614 031,00;99 065 534,00;2 548 497,00;2,57
69;-2;ЦентроКредит;121;Москва и обл.;100 904 324,00;101 259 421,00;-355 097,00;-0,35
70;-4;Аверс;415;Татарстан;100 420 054,00;102 177 680,00;-1 757 626,00;-1,72
71;0;Кубань Кредит;2518;Краснодарский край;98 209 765,00;96 478 822,00;1 730 943,00;1,79
72;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;95 748 897,00;95 715 126,00;33 771,00;0,04
73;-1;Локо-Банк;2707;Москва и обл.;95 414 009,00;96 060 229,00;-646 220,00;-0,67
74;-4;Союз;2307;Москва и обл.;93 348 318,00;96 498 252,00;-3 149 934,00;-3,26
75;-1;РГС Банк;3073;Москва и обл.;93 294 132,00;94 948 156,00;-1 654 024,00;-1,74
76;0;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;89 654 948,00;84 616 253,00;5 038 695,00;5,95
77;-2;РН Банк;170;Москва и обл.;86 359 857,00;85 773 391,00;586 466,00;0,68
78;-1;Мидзухо Банк;3337;Москва и обл.;85 245 095,00;80 413 724,00;4 831 371,00;6,01
79;1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;80 322 161,00;69 246 258,00;11 075 903,00;15,99
80;-2;Дойче Банк;3328;Москва и обл.;74 441 575,00;73 364 228,00;1 077 347,00;1,47
81;-2;Экспобанк;2998;Москва и обл.;69 386 760,00;71 219 499,00;-1 832 739,00;-2,57
82;-1;Тойота Банк;3470;Москва и обл.;68 872 076,00;67 877 876,00;994 200,00;1,46
83;0;Аресбанк;2914;Москва и обл.;65 242 549,00;66 815 625,00;-1 573 076,00;-2,35
84;-2;БКС Банк;101;Москва и обл.;63 407 516,00;66 933 588,00;-3 526 072,00;-5,27
85;2;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;62 831 496,00;62 194 979,00;636 517,00;1,02
86;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;62 752 859,00;64 697 393,00;-1 944 534,00;-3,01
87;-3;АйСиБиСи Банк;3475;Москва и обл.;62 191 668,00;65 288 017,00;-3 096 349,00;-4,74
88;2;Тимер Банк;1581;Татарстан;60 546 516,00;60 700 222,00;-153 706,00;-0,25
89;-3;Коммерцбанк (Евразия);3333;Москва и обл.;60 309 293,00;62 639 025,00;-2 329 732,00;-3,72
90;-1;СДМ-Банк;1637;Москва и обл.;59 865 179,00;60 816 931,00;-951 752,00;-1,56
91;44;Банк Кредит Свисс;2494;Москва и обл.;59 859 772,00;28 739 134,00;31 120 638,00;108,29
92;-1;Примсоцбанк;2733;Приморский край;59 182 365,00;58 906 239,00;276 126,00;0,47
93;-1;Балтийский Банк;128;Санкт-Петербург и обл.;58 244 057,00;58 077 873,00;166 184,00;0,29
94;-1;Крайинвестбанк;3360;Краснодарский край;58 092 092,00;57 660 735,00;431 357,00;0,75
95;-1;Банк Интеза;2216;Москва и обл.;58 006 461,00;56 987 594,00;1 018 867,00;1,79
96;-8;Еврофинанс Моснарбанк;2402;Москва и обл.;57 892 760,00;61 041 678,00;-3 148 918,00;-5,16
97;0;Левобережный;1343;Новосибирская обл.;56 504 615,00;55 869 124,00;635 491,00;1,14
98;-2;ББР Банк;2929;Москва и обл.;54 612 519,00;56 248 979,00;-1 636 460,00;-2,91
99;0;Международный Финансовый Клуб;2618;Москва и обл.;53 422 996,00;53 886 442,00;-463 446,00;-0,86
100;1;Челиндбанк;485;Челябинская обл.;52 774 571,00;52 329 967,00;444 604,00;0,85
101;-6;БНП Париба Банк;3407;Москва и обл.;51 796 290,00;56 351 560,00;-4 555 270,00;-8,08
102;-4;СЭБ Банк;3235;Санкт-Петербург и обл.;51 387 380,00;55 020 052,00;-3 632 672,00;-6,60
103;-3;Челябинвестбанк;493;Челябинская обл.;51 067 658,00;53 348 405,00;-2 280 747,00;-4,28
104;3;Фора-Банк;1885;Москва и обл.;50 407 467,00;49 572 622,00;834 845,00;1,68
105;-3;Севергазбанк;2816;Вологодская обл.;50 235 751,00;52 110 344,00;-1 874 593,00;-3,60
106;0;Генбанк;2490;Симферополь;49 181 075,00;49 883 176,00;-702 101,00;-1,41
107;-2;Социнвестбанк;1132;Башкортостан;49 051 162,00;50 024 478,00;-973 316,00;-1,95
108;-4;Данске Банк;3307;Санкт-Петербург и обл.;48 913 146,00;50 157 046,00;-1 243 900,00;-2,48
109;0;Газэнергобанк;3252;Калужская обл.;47 805 675,00;48 306 972,00;-501 297,00;-1,04
110;0;Энерготрансбанк;1307;Калининградская обл.;47 297 868,00;46 268 118,00;1 029 750,00;2,23
111;0;Саровбизнесбанк;2048;Нижегородская обл.;44 422 860,00;44 556 403,00;-133 543,00;-0,30
112;0;Интерпрогрессбанк;600;Москва и обл.;44 260 351,00;43 606 612,00;653 739,00;1,50
113;0;Объединенный Капитал;2611;Санкт-Петербург и обл.;42 098 151,00;43 300 782,00;-1 202 631,00;-2,78
114;-6;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;42 026 189,00;48 363 275,00;-6 337 086,00;-13,10
115;-12;Мир Бизнес Банк;3396;Москва и обл.;40 929 707,00;51 784 543,00;-10 854 836,00;-20,96
116;2;Кольцо Урала;65;Свердловская обл.;38 972 229,00;38 235 265,00;736 964,00;1,93
117;-3;Платежный Центр;3166;Новосибирская обл.;38 685 948,00;42 343 084,00;-3 657 136,00;-8,64
118;-1;БыстроБанк;1745;Удмуртия;38 565 433,00;38 557 465,00;7 968,00;0,02
119;2;Фольксваген Банк Рус;3500;Москва и обл.;38 042 086,00;36 991 241,00;1 050 845,00;2,84
120;-4;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;37 861 060,00;40 151 937,00;-2 290 877,00;-5,71
121;1;Дальневосточный Банк;843;Приморский край;37 673 781,00;36 572 718,00;1 101 063,00;3,01
122;-3;Национальный Стандарт;3421;Москва и обл.;37 079 986,00;37 882 284,00;-802 298,00;-2,12
123;1;БМВ Банк;3482;Москва и обл.;36 010 434,00;34 207 573,00;1 802 861,00;5,27
124;-1;Солидарность;554;Самарская обл.;35 599 368,00;35 482 481,00;116 887,00;0,33
125;-5;Дж. П. Морган Банк;2629;Москва и обл.;35 304 051,00;37 413 070,00;-2 109 019,00;-5,64
126;-11;Бэнк оф Чайна;2309;Москва и обл.;34 497 583,00;40 788 771,00;-6 291 188,00;-15,42
127;4;Киви Банк;2241;Москва и обл.;34 039 825,00;29 091 255,00;4 948 570,00;17,01
128;-3;Квантмобайл Банк;1189;Москва и обл.;33 728 017,00;33 881 241,00;-153 224,00;-0,45
129;3;Ланта-Банк;1920;Москва и обл.;33 154 153,00;29 089 892,00;4 064 261,00;13,97
130;-2;Кредит Урал Банк;2584;Челябинская обл.;32 569 235,00;32 446 372,00;122 863,00;0,38
131;-5;НС Банк;3124;Москва и обл.;32 449 167,00;33 029 951,00;-580 784,00;-1,76
132;-5;Приморье;3001;Приморский край;32 020 921,00;32 604 639,00;-583 718,00;-1,79
133;-4;Алмазэргиэнбанк;2602;Саха (Якутия);30 898 452,00;29 427 841,00;1 470 611,00;5,00
134;19;Финанс Бизнес Банк;520;Москва и обл.;30 203 817,00;21 613 681,00;8 590 136,00;39,74
135;-5;Девон-Кредит;1972;Татарстан;29 011 994,00;29 143 848,00;-131 854,00;-0,45
136;-2;Интерпромбанк;3266;Москва и обл.;28 445 464,00;28 822 499,00;-377 035,00;-1,31
137;2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 173 649,00;25 120 333,00;1 053 316,00;4,19
138;16;Натиксис Банк;3390;Москва и обл.;25 839 101,00;21 268 210,00;4 570 891,00;21,49
139;-2;Бинбанк Диджитал;2827;Москва и обл.;25 609 581,00;25 971 709,00;-362 128,00;-1,39
140;-2;Курскпромбанк;735;Курская обл.;25 490 448,00;25 147 151,00;343 297,00;1,37
141;2;Акибанк;2587;Татарстан;24 867 063,00;23 980 348,00;886 715,00;3,70
142;-2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;24 664 336,00;24 797 302,00;-132 966,00;-0,54
143;-2;Урал ФД;249;Пермская обл.;24 333 702,00;24 346 223,00;-12 521,00;-0,05
144;-8;ЦМРБанк;3531;Москва и обл.;24 324 080,00;28 163 732,00;-3 839 652,00;-13,63
145;-12;Чайна Констракшн;3515;Москва и обл.;24 229 762,00;28 923 642,00;-4 693 880,00;-16,23
146;2;Москоммерцбанк;3365;Москва и обл.;23 984 686,00;22 748 024,00;1 236 662,00;5,44
147;-5;Татсоцбанк;480;Татарстан;23 692 411,00;24 045 342,00;-352 931,00;-1,47
148;-3;Энергобанк;67;Татарстан;23 563 376,00;23 191 620,00;371 756,00;1,60
149;-5;Хлынов;254;Кировская обл.;23 381 078,00;23 444 288,00;-63 210,00;-0,27
150;-4;Экономбанк;1319;Саратовская обл.;23 181 263,00;23 131 075,00;50 188,00;0,22
151;-4;Собинбанк;1317;Москва и обл.;22 800 669,00;22 896 578,00;-95 909,00;-0,42
152;-2;Агропромкредит;2880;Москва и обл.;22 060 797,00;22 038 018,00;22 779,00;0,10
153;-1;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 746 822,00;21 618 169,00;128 653,00;0,60
154;6;Денизбанк Москва;3330;Москва и обл.;20 828 585,00;19 818 166,00;1 010 419,00;5,10
155;4;МС Банк Рус;2789;Москва и обл.;20 675 110,00;19 824 635,00;850 475,00;4,29
156;-1;НБД-Банк;1966;Нижегородская обл.;20 662 122,00;20 735 781,00;-73 659,00;-0,36
157;-8;Тольяттихимбанк;2507;Самарская обл.;20 500 424,00;22 273 024,00;-1 772 600,00;-7,96
158;3;Банк Акцепт;567;Новосибирская обл.;19 726 694,00;19 101 788,00;624 906,00;3,27
159;3;Александровский;53;Санкт-Петербург и обл.;19 718 688,00;18 862 951,00;855 737,00;4,54
160;-3;Липецккомбанк;1242;Липецкая обл.;19 704 283,00;20 058 459,00;-354 176,00;-1,77
161;6;Держава;2738;Москва и обл.;19 458 659,00;17 431 172,00;2 027 487,00;11,63
162;2;Пойдем!;2534;Москва и обл.;18 579 471,00;18 157 476,00;421 995,00;2,32
163;-5;Кошелев-Банк;3300;Самарская обл.;18 329 863,00;19 953 885,00;-1 624 022,00;-8,14
164;-8;Московское Ипотечное Агентство;3344;Москва и обл.;18 223 899,00;20 092 173,00;-1 868 274,00;-9,30
165;1;Модульбанк;1927;Костромская обл.;18 171 326,00;17 617 367,00;553 959,00;3,14
166;-3;Джей энд Ти Банк;3061;Москва и обл.;17 971 179,00;18 411 734,00;-440 555,00;-2,39
167;-2;Алеф-Банк;2119;Москва и обл.;17 334 376,00;17 805 632,00;-471 256,00;-2,65
168;1;Ури Банк;3479;Москва и обл.;17 173 863,00;17 142 313,00;31 550,00;0,18
169;-18;Инбанк;1829;Москва и обл.;16 971 878,00;22 021 843,00;-5 049 965,00;-22,93
170;1;Прио-Внешторгбанк;212;Рязанская обл.;16 723 840,00;16 589 008,00;134 832,00;0,81
171;-3;НК Банк;2755;Москва и обл.;16 713 265,00;17 374 285,00;-661 020,00;-3,80
172;4;Национальная Факторинговая Компания;3437;Москва и обл.;16 315 220,00;15 219 656,00;1 095 564,00;7,20
173;-1;Гарант-Инвест;2576;Москва и обл.;15 910 353,00;16 022 801,00;-112 448,00;-0,70
174;6;Развитие-Столица;3013;Москва и обл.;15 889 786,00;14 892 317,00;997 469,00;6,70
175;-2;Нацинвестпромбанк;3077;Москва и обл.;15 789 861,00;15 928 236,00;-138 375,00;-0,87
176;1;Форштадт;2208;Оренбургская обл.;15 251 478,00;15 217 563,00;33 915,00;0,22
177;-2;Норвик Банк;902;Кировская обл.;15 210 367,00;15 244 866,00;-34 499,00;-0,23
178;3;РосДорБанк;1573;Москва и обл.;15 121 497,00;14 806 167,00;315 330,00;2,13
179;0;Банк Казани;708;Татарстан;14 438 772,00;15 061 906,00;-623 134,00;-4,14
180;-2;Национальный Резервный Банк;2170;Москва и обл.;14 177 413,00;15 183 708,00;-1 006 295,00;-6,63
181;2;Ассоциация;732;Нижегородская обл.;13 953 349,00;13 949 519,00;3 830,00;0,03
182;9;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;13 912 844,00;12 201 712,00;1 711 132,00;14,02
183;-1;Консервативный Коммерческий Банк;1087;Астраханская обл.;13 899 532,00;14 492 586,00;-593 054,00;-4,09
184;-14;Ишбанк;2867;Москва и обл.;13 590 971,00;16 703 008,00;-3 112 037,00;-18,63
185;0;Морской Банк;77;Москва и обл.;13 347 282,00;13 226 737,00;120 545,00;0,91
186;-2;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;13 033 517,00;13 465 471,00;-431 954,00;-3,21
187;10;Промтрансбанк;2638;Башкортостан;12 975 837,00;11 390 101,00;1 585 736,00;13,92
188;0;КС Банк;1752;Мордовия;12 850 855,00;12 844 298,00;6 557,00;0,05
189;1;Русский Ипотечный Банк;1968;Москва и обл.;12 732 880,00;12 260 376,00;472 504,00;3,85
190;-3;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 705 046,00;12 873 944,00;-168 898,00;-1,31
191;5;Реалист Банк;1067;Иркутская обл.;12 234 556,00;11 395 480,00;839 076,00;7,36
192;1;Банк Оренбург;3269;Оренбургская обл.;12 149 708,00;11 633 167,00;516 541,00;4,44
193;-7;МБА-Москва;3395;Москва и обл.;11 816 911,00;13 039 245,00;-1 222 334,00;-9,37
194;-5;НИКО-Банк;702;Оренбургская обл.;11 780 869,00;12 266 581,00;-485 712,00;-3,96
195;3;Агросоюз;1459;Москва и обл.;11 719 831,00;11 305 818,00;414 013,00;3,66
196;-4;ТЭМБР-Банк;2764;Москва и обл.;11 372 221,00;11 685 336,00;-313 115,00;-2,68
197;-3;Руснарбанк;3403;Москва и обл.;11 367 831,00;11 465 430,00;-97 599,00;-0,85
198;1;Солид Банк;1329;Приморский край;11 272 446,00;11 298 191,00;-25 745,00;-0,23
199;2;Юг-Инвестбанк;2772;Краснодарский край;11 214 775,00;11 220 537,00;-5 762,00;-0,05
200;2;Датабанк;646;Удмуртия;11 170 886,00;10 975 420,00;195 466,00;1,78
201;11;ЮMoney;3510;Россия;10 902 351,00;8 914 009,00;1 988 342,00;22,31
202;-2;Первомайский;518;Краснодарский край;10 898 921,00;11 262 396,00;-363 475,00;-3,23
203;0;Тройка-Д Банк;3431;Москва и обл.;10 856 337,00;10 795 416,00;60 921,00;0,56
204;0;Снежинский;1376;Челябинская обл.;10 801 695,00;10 622 247,00;179 448,00;1,69
205;-10;Уралтрансбанк;812;Свердловская обл.;10 632 320,00;11 441 614,00;-809 294,00;-7,07
206;39;Азия-Инвест Банк;3303;Москва и обл.;10 315 114,00;6 425 158,00;3 889 956,00;60,54
207;0;Банк Раунд;2506;Москва и обл.;10 139 350,00;9 908 739,00;230 611,00;2,33
208;-2;Русьуниверсалбанк;3293;Москва и обл.;10 006 440,00;10 231 799,00;-225 359,00;-2,20
209;-1;Екатеринбург;3161;Свердловская обл.;9 959 349,00;9 716 571,00;242 778,00;2,50
210;1;Банк Жилищного Финансирования;3138;Москва и обл.;9 245 958,00;9 051 175,00;194 783,00;2,15
211;-1;Углеметбанк;2997;Челябинская обл.;9 234 253,00;9 247 694,00;-13 441,00;-0,15
212;-3;Автоторгбанк;2776;Москва и обл.;9 220 154,00;9 570 061,00;-349 907,00;-3,66
213;-8;РЕСО Кредит;3450;Москва и обл.;8 544 090,00;10 487 087,00;-1 942 997,00;-18,53
214;8;Ю Би Эс Банк;3463;Москва и обл.;8 500 620,00;7 972 756,00;527 864,00;6,62
215;6;Эс-Би-Ай Банк;3185;Москва и обл.;8 473 839,00;7 977 269,00;496 570,00;6,22
216;-1;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 327 602,00;8 296 894,00;30 708,00;0,37
217;19;Морган Стэнли Банк;3456;Москва и обл.;8 276 883,00;7 138 708,00;1 138 175,00;15,94
218;-1;Томскпромстройбанк;1720;Томская обл.;8 268 022,00;8 232 321,00;35 701,00;0,43
219;-5;Кранбанк;2271;Ивановская обл.;8 250 452,00;8 331 153,00;-80 701,00;-0,97
220;4;Хакасский Муниципальный Банк;1049;Хакасия;8 216 066,00;7 956 056,00;260 010,00;3,27
221;-3;Московский Нефтехимический Банк;1411;Москва и обл.;8 184 708,00;8 212 201,00;-27 493,00;-0,33
222;-3;Энергомашбанк;52;Санкт-Петербург и обл.;8 110 153,00;8 207 283,00;-97 130,00;-1,18
223;-7;Белгородсоцбанк;760;Белгородская обл.;8 071 394,00;8 278 646,00;-207 252,00;-2,50
224;-4;Эксперт Банк;2949;Омская обл.;8 001 267,00;8 190 772,00;-189 505,00;-2,31
225;0;Трансстройбанк;2807;Москва и обл.;7 753 427,00;7 905 601,00;-152 174,00;-1,92
226;6;Ростфинанс;481;Ростовская обл.;7 692 912,00;7 291 144,00;401 768,00;5,51
227;-1;Нейва;1293;Свердловская обл.;7 674 842,00;7 886 696,00;-211 854,00;-2,69
228;0;Актив Банк;2529;Мордовия;7 674 821,00;7 726 247,00;-51 426,00;-0,67
229;-2;Финам Банк;2799;Москва и обл.;7 628 129,00;7 843 665,00;-215 536,00;-2,75
230;-1;Славия;2664;Москва и обл.;7 611 270,00;7 630 119,00;-18 849,00;-0,25
231;-8;Ставропольпромстройбанк;1288;Ставропольский край;7 519 596,00;7 972 270,00;-452 674,00;-5,68
232;-19;ФорБанк;2063;Москва и обл.;7 511 669,00;8 427 544,00;-915 875,00;-10,87
233;-3;СИАБ;3245;Санкт-Петербург и обл.;7 444 573,00;7 527 482,00;-82 909,00;-1,10
234;-1;Банк БКФ;2684;Москва и обл.;7 443 778,00;7 227 669,00;216 109,00;2,99
235;-4;Северный Народный Банк;2721;Коми;7 278 409,00;7 394 861,00;-116 452,00;-1,57
236;1;Новобанк;1352;Новгородская обл.;7 149 407,00;7 097 526,00;51 881,00;0,73
237;2;Нефтепромбанк;2156;Москва и обл.;7 113 101,00;6 982 160,00;130 941,00;1,88
238;-3;Сибсоцбанк;2015;Алтайский край;7 080 629,00;7 162 016,00;-81 387,00;-1,14
239;1;Зираат Банк;2559;Москва и обл.;6 927 410,00;6 868 983,00;58 427,00;0,85
240;1;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 913 082,00;6 828 506,00;84 576,00;1,24
241;-7;Чайнасельхозбанк;3529;Москва и обл.;6 870 621,00;7 227 073,00;-356 452,00;-4,93
242;1;Союзный;3236;Москва и обл.;6 550 787,00;6 665 075,00;-114 288,00;-1,71
243;-5;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 476 817,00;6 999 564,00;-522 747,00;-7,47
244;2;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 470 487,00;6 379 257,00;91 230,00;1,43
245;3;Проминвестбанк;2433;Москва и обл.;6 362 599,00;6 364 269,00;-1 670,00;-0,03
246;1;Автоградбанк;1455;Татарстан;6 297 871,00;6 374 287,00;-76 416,00;-1,20
247;3;Русь;704;Оренбургская обл.;6 286 924,00;6 284 550,00;2 374,00;0,04
248;1;Агророс;2860;Саратовская обл.;6 270 028,00;6 335 030,00;-65 002,00;-1,03
249;11;Енисейский Объединенный Банк;2645;Красноярский край;6 226 946,00;5 919 516,00;307 430,00;5,19
250;5;Банк Оранжевый;1659;Санкт-Петербург и обл.;6 210 982,00;6 161 312,00;49 670,00;0,81
251;0;Земский Банк;2900;Самарская обл.;6 209 715,00;6 283 696,00;-73 981,00;-1,18
252;1;Гута-Банк;256;Москва и обл.;6 198 174,00;6 207 424,00;-9 250,00;-0,15
253;4;Зенит Сочи;232;Краснодарский край;6 137 828,00;6 013 366,00;124 462,00;2,07
254;0;Газтрансбанк;665;Краснодарский край;6 071 305,00;6 189 233,00;-117 928,00;-1,91
255;-3;Вокбанк;312;Нижегородская обл.;6 057 275,00;6 243 018,00;-185 743,00;-2,98
256;3;Черноморский банк развития и реконструкции;3527;Симферополь;6 020 117,00;5 964 171,00;55 946,00;0,94
