Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2013, тыс. рублей;Октябрь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;15 529 165 673,00;15 275 194 094,00;253 971 579,00;1,66
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 017 051 668,00;5 095 384 036,00;-78 332 368,00;-1,54
3;0;Газпромбанк;354;Москва и обл.;3 399 227 716,00;3 388 825 207,00;10 402 509,00;0,31
4;0;ВТБ 24;1623;Москва и обл.;1 879 880 176,00;1 806 898 301,00;72 981 875,00;4,04
5;0;Россельхозбанк;3349;Москва и обл.;1 854 247 768,00;1 779 431 692,00;74 816 076,00;4,20
6;0;БМ-Банк;2748;Москва и обл.;1 746 376 661,00;1 706 551 775,00;39 824 886,00;2,33
7;0;Альфа-Банк;1326;Москва и обл.;1 434 118 334,00;1 480 478 749,00;-46 360 415,00;-3,13
8;0;ЮниКредит Банк;1;Москва и обл.;791 869 516,00;813 566 227,00;-21 696 711,00;-2,67
9;0;Банк Открытие;2209;Москва и обл.;781 000 308,00;784 995 635,00;-3 995 327,00;-0,51
10;2;Райффайзенбанк;3292;Москва и обл.;761 931 790,00;699 991 428,00;61 940 362,00;8,85
11;-1;Росбанк;2272;Москва и обл.;760 425 346,00;755 192 482,00;5 232 864,00;0,69
12;-1;Промсвязьбанк;3251;Москва и обл.;746 703 805,00;744 182 170,00;2 521 635,00;0,34
13;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;436 215 931,00;435 613 626,00;602 305,00;0,14
14;0;Банк Уралсиб;30;Москва и обл.;421 666 646,00;433 847 068,00;-12 180 422,00;-2,81
15;0;Московский Кредитный Банк;1978;Москва и обл.;417 258 753,00;413 962 791,00;3 295 962,00;0,80
16;0;Россия;328;Санкт-Петербург и обл.;411 919 482,00;406 212 059,00;5 707 423,00;1,41
17;1;Русский Стандарт;2289;Москва и обл.;396 565 323,00;380 241 749,00;16 323 574,00;4,29
18;-1;Хоум Кредит Банк;316;Москва и обл.;386 123 330,00;385 017 257,00;1 106 073,00;0,29
19;1;Ак Барс;2590;Татарстан;364 223 199,00;373 433 559,00;-9 210 360,00;-2,47
20;-1;Ситибанк;2557;Москва и обл.;353 659 688,00;376 846 451,00;-23 186 763,00;-6,15
21;1;МДМ Банк;2562;Новосибирская обл.;345 296 520,00;336 521 858,00;8 774 662,00;2,61
22;-1;Национальный Клиринговый Центр;3466;Москва и обл.;342 158 968,00;339 026 475,00;3 132 493,00;0,92
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;335 864 817,00;320 467 932,00;15 396 885,00;4,80
24;2;Нордеа Банк;3016;Москва и обл.;281 294 955,00;259 737 142,00;21 557 813,00;8,30
25;-1;Связь-Банк;1470;Москва и обл.;277 092 957,00;291 589 032,00;-14 496 075,00;-4,97
26;-1;Глобэкс;1942;Москва и обл.;268 881 461,00;267 598 977,00;1 282 484,00;0,48
27;2;Банк Зенит;3255;Москва и обл.;255 561 523,00;247 640 014,00;7 921 509,00;3,20
28;-1;Восточный Банк;1460;Амурская обл.;253 676 951,00;258 419 440,00;-4 742 489,00;-1,84
29;-1;Петрокоммерц;1776;Москва и обл.;239 442 301,00;250 788 674,00;-11 346 373,00;-4,52
30;0;ИНГ Банк;2495;Москва и обл.;231 900 133,00;242 251 030,00;-10 350 897,00;-4,27
31;0;Возрождение;1439;Москва и обл.;227 301 015,00;232 668 371,00;-5 367 356,00;-2,31
32;0;Транскредитбанк;2142;Москва и обл.;220 703 522,00;218 979 068,00;1 724 454,00;0,79
33;0;Траст;3279;Москва и обл.;214 527 792,00;217 706 334,00;-3 178 542,00;-1,46
34;1;Банк «Открытие»;2179;Москва и обл.;212 859 045,00;201 673 935,00;11 185 110,00;5,55
35;-1;Бинбанк;323;Москва и обл.;210 422 583,00;204 392 163,00;6 030 420,00;2,95
36;2;МТС Банк;2268;Москва и обл.;209 710 184,00;188 550 645,00;21 159 539,00;11,22
37;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;195 789 990,00;192 496 494,00;3 293 496,00;1,71
38;-1;Московский Индустриальный Банк;912;Москва и обл.;191 415 203,00;190 543 246,00;871 957,00;0,46
39;0;ОТП Банк;2766;Москва и обл.;177 700 786,00;176 266 561,00;1 434 225,00;0,81
40;1;Кредит Европа Банк;3311;Москва и обл.;150 533 433,00;152 027 274,00;-1 493 841,00;-0,98
41;1;Внешпромбанк;3261;Москва и обл.;149 630 268,00;145 948 015,00;3 682 253,00;2,52
