Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2014, тыс. рублей;Июль, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 926 554 964,00;17 853 466 005,00;73 088 959,00;0,41
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 349 827 944,00;6 421 715 674,00;-71 887 730,00;-1,12
3;0;Газпромбанк;354;Москва и обл.;3 907 238 791,00;3 814 395 661,00;92 843 130,00;2,43
4;0;ВТБ 24;1623;Москва и обл.;2 366 240 264,00;2 374 046 587,00;-7 806 323,00;-0,33
5;0;БМ-Банк;2748;Москва и обл.;2 057 829 322,00;2 067 123 250,00;-9 293 928,00;-0,45
6;0;Россельхозбанк;3349;Москва и обл.;1 910 643 507,00;1 883 095 991,00;27 547 516,00;1,46
7;0;Альфа-Банк;1326;Москва и обл.;1 664 295 986,00;1 608 017 241,00;56 278 745,00;3,50
8;0;Банк Открытие;2209;Москва и обл.;1 094 235 945,00;1 010 145 889,00;84 090 056,00;8,32
9;1;Национальный Клиринговый Центр;3466;Москва и обл.;993 073 066,00;933 306 433,00;59 766 633,00;6,40
10;-1;ЮниКредит Банк;1;Москва и обл.;916 955 977,00;947 737 007,00;-30 781 030,00;-3,25
11;0;Промсвязьбанк;3251;Москва и обл.;848 337 915,00;797 325 522,00;51 012 393,00;6,40
12;1;Райффайзенбанк;3292;Москва и обл.;793 826 393,00;751 605 786,00;42 220 607,00;5,62
13;-1;Росбанк;2272;Москва и обл.;788 367 326,00;774 233 052,00;14 134 274,00;1,83
14;0;Московский Кредитный Банк;1978;Москва и обл.;506 335 930,00;493 715 033,00;12 620 897,00;2,56
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;459 535 555,00;468 301 431,00;-8 765 876,00;-1,87
16;0;Россия;328;Санкт-Петербург и обл.;450 684 276,00;446 230 745,00;4 453 531,00;1,00
17;0;Русский Стандарт;2289;Москва и обл.;431 466 206,00;413 514 635,00;17 951 571,00;4,34
18;0;Ак Барс;2590;Татарстан;403 434 910,00;392 959 336,00;10 475 574,00;2,67
19;0;Банк Уралсиб;30;Москва и обл.;380 385 661,00;374 795 861,00;5 589 800,00;1,49
20;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;364 343 799,00;348 575 729,00;15 768 070,00;4,52
21;-1;Ситибанк;2557;Москва и обл.;354 053 049,00;353 356 045,00;697 004,00;0,20
22;2;Хоум Кредит Банк;316;Москва и обл.;346 582 346,00;341 126 856,00;5 455 490,00;1,60
23;-2;МДМ Банк;2562;Новосибирская обл.;345 961 394,00;351 045 471,00;-5 084 077,00;-1,45
24;1;Нордеа Банк;3016;Москва и обл.;329 175 193,00;305 673 327,00;23 501 866,00;7,69
25;-2;Связь-Банк;1470;Москва и обл.;327 533 801,00;342 909 092,00;-15 375 291,00;-4,48
26;1;Петрокоммерц;1776;Москва и обл.;274 038 871,00;265 285 479,00;8 753 392,00;3,30
27;-1;Банк Зенит;3255;Москва и обл.;265 726 069,00;266 626 315,00;-900 246,00;-0,34
28;1;Глобэкс;1942;Москва и обл.;264 651 353,00;257 245 895,00;7 405 458,00;2,88
29;2;Траст;3279;Москва и обл.;256 444 751,00;245 368 420,00;11 076 331,00;4,51
30;0;Бинбанк;323;Москва и обл.;253 941 463,00;246 180 094,00;7 761 369,00;3,15
31;-3;Восточный Банк;1460;Амурская обл.;253 668 936,00;261 344 489,00;-7 675 553,00;-2,94
32;0;Возрождение;1439;Москва и обл.;229 946 656,00;225 412 613,00;4 534 043,00;2,01
33;2;Московский Областной Банк;1751;Москва и обл.;226 774 842,00;219 393 938,00;7 380 904,00;3,36
34;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;224 476 854,00;222 101 948,00;2 374 906,00;1,07
35;-2;Банк «Открытие»;2179;Москва и обл.;222 094 742,00;223 284 157,00;-1 189 415,00;-0,53
36;4;ИНГ Банк;2495;Москва и обл.;216 872 300,00;195 462 208,00;21 410 092,00;10,95
37;1;МТС Банк;2268;Москва и обл.;213 117 998,00;203 008 174,00;10 109 824,00;4,98
38;-1;Абсолют Банк;2306;Москва и обл.;201 653 206,00;206 007 884,00;-4 354 678,00;-2,11
39;0;Московский Индустриальный Банк;912;Москва и обл.;200 306 412,00;196 307 149,00;3 999 263,00;2,04
40;4;СМП Банк;3368;Москва и обл.;195 156 392,00;161 802 848,00;33 353 544,00;20,61
41;-5;Новикомбанк;2546;Москва и обл.;194 016 473,00;211 664 100,00;-17 647 627,00;-8,34
42;6;Национальный Расчетный Депозитарий;3294;Москва и обл.;190 685 752,00;139 114 547,00;51 571 205,00;37,07
43;-2;Совкомбанк;963;Костромская обл.;180 331 296,00;179 233 520,00;1 097 776,00;0,61
44;-2;Внешпромбанк;3261;Москва и обл.;179 327 387,00;171 497 356,00;7 830 031,00;4,57
45;-2;ОТП Банк;2766;Москва и обл.;167 219 393,00;166 563 109,00;656 284,00;0,39
46;-1;Кредит Европа Банк;3311;Москва и обл.;148 999 669,00;155 282 468,00;-6 282 799,00;-4,05
47;2;РосЕвроБанк;3137;Москва и обл.;145 980 485,00;139 021 410,00;6 959 075,00;5,01
48;-2;Транскапиталбанк;2210;Москва и обл.;143 840 958,00;145 382 138,00;-1 541 180,00;-1,06
49;-2;Татфондбанк;3058;Татарстан;142 388 319,00;141 424 607,00;963 712,00;0,68
50;0;МСП Банк;3340;Москва и обл.;131 948 489,00;138 060 396,00;-6 111 907,00;-4,43
51;0;Банк ДОМ.РФ;2312;Москва и обл.;131 772 463,00;132 118 463,00;-346 000,00;-0,26
52;0;Дойче Банк;3328;Москва и обл.;127 356 130,00;128 620 810,00;-1 264 680,00;-0,98
53;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;125 119 809,00;124 327 197,00;792 612,00;0,64
54;3;Ренессанс Кредит;3354;Москва и обл.;124 328 814,00;120 223 017,00;4 105 797,00;3,42
55;1;ДельтаКредит;3338;Москва и обл.;122 810 811,00;121 469 683,00;1 341 128,00;1,10
56;-2;СКБ-Банк;705;Свердловская обл.;122 265 443,00;125 112 644,00;-2 847 201,00;-2,28
