Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2011, тыс. рублей;Сентябрь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 905 380 478,00;9 616 377 011,00;289 003 467,00;3,01
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 933 950 125,00;3 470 001 484,00;463 948 641,00;13,37
3;0;Газпромбанк;354;Москва и обл.;2 002 980 947,00;1 924 431 284,00;78 549 663,00;4,08
4;0;Россельхозбанк;3349;Москва и обл.;1 378 342 508,00;1 308 311 096,00;70 031 412,00;5,35
5;0;ВТБ 24;1623;Москва и обл.;1 196 378 672,00;1 083 471 021,00;112 907 651,00;10,42
6;1;БМ-Банк;2748;Москва и обл.;1 160 781 050,00;834 373 481,00;326 407 569,00;39,12
7;-1;Альфа-Банк;1326;Москва и обл.;965 599 892,00;904 317 869,00;61 282 023,00;6,78
8;0;ЮниКредит Банк;1;Москва и обл.;912 525 713,00;808 947 366,00;103 578 347,00;12,80
9;0;Росбанк;2272;Москва и обл.;643 197 707,00;612 873 596,00;30 324 111,00;4,95
10;0;Райффайзенбанк;3292;Москва и обл.;614 370 282,00;555 465 174,00;58 905 108,00;10,60
11;0;Промсвязьбанк;3251;Москва и обл.;552 861 907,00;537 408 532,00;15 453 375,00;2,88
12;2;Банк Открытие;2209;Москва и обл.;461 346 501,00;436 124 773,00;25 221 728,00;5,78
13;0;Банк Уралсиб;30;Москва и обл.;447 679 110,00;439 523 844,00;8 155 266,00;1,86
14;-2;Транскредитбанк;2142;Москва и обл.;442 500 067,00;447 960 847,00;-5 460 780,00;-1,22
15;0;МДМ Банк;2562;Новосибирская обл.;383 820 672,00;386 594 324,00;-2 773 652,00;-0,72
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;320 453 324,00;308 192 756,00;12 260 568,00;3,98
17;1;Ак Барс;2590;Татарстан;289 432 859,00;281 174 513,00;8 258 346,00;2,94
18;-1;Ситибанк;2557;Москва и обл.;284 047 327,00;281 536 967,00;2 510 360,00;0,89
19;0;Россия;328;Санкт-Петербург и обл.;279 535 213,00;268 766 133,00;10 769 080,00;4,01
20;1;Нордеа Банк;3016;Москва и обл.;248 541 078,00;222 311 025,00;26 230 053,00;11,80
21;-1;Московский Кредитный Банк;1978;Москва и обл.;228 594 666,00;223 485 305,00;5 109 361,00;2,29
22;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;221 662 214,00;216 535 754,00;5 126 460,00;2,37
23;-1;Петрокоммерц;1776;Москва и обл.;221 474 106,00;218 263 332,00;3 210 774,00;1,47
24;1;Банк Зенит;3255;Москва и обл.;208 373 178,00;200 317 208,00;8 055 970,00;4,02
25;-1;Связь-Банк;1470;Москва и обл.;190 691 769,00;206 570 361,00;-15 878 592,00;-7,69
26;0;Возрождение;1439;Москва и обл.;188 620 515,00;185 614 924,00;3 005 591,00;1,62
27;0;ИНГ Банк;2495;Москва и обл.;176 504 375,00;166 711 072,00;9 793 303,00;5,87
28;0;Банк «Открытие»;2179;Москва и обл.;174 884 766,00;163 464 451,00;11 420 315,00;6,99
29;2;Глобэкс;1942;Москва и обл.;168 185 683,00;151 839 424,00;16 346 259,00;10,77
30;-1;Русский Стандарт;2289;Москва и обл.;164 548 299,00;160 696 674,00;3 851 625,00;2,40
31;-1;Траст;3279;Москва и обл.;161 924 023,00;159 234 830,00;2 689 193,00;1,69
32;0;Национальный Расчетный Депозитарий;3294;Москва и обл.;144 352 747,00;145 435 514,00;-1 082 767,00;-0,74
33;6;Дойче Банк;3328;Москва и обл.;131 459 474,00;111 745 540,00;19 713 934,00;17,64
34;-1;МТС Банк;2268;Москва и обл.;129 806 163,00;143 500 830,00;-13 694 667,00;-9,54
35;0;Хоум Кредит Банк;316;Москва и обл.;129 425 581,00;123 553 610,00;5 871 971,00;4,75
36;-2;Московский Индустриальный Банк;912;Москва и обл.;126 270 393,00;128 691 507,00;-2 421 114,00;-1,88
37;-1;Восточный Банк;1460;Амурская обл.;121 373 239,00;121 072 833,00;300 406,00;0,25
38;0;Бинбанк;323;Москва и обл.;118 995 756,00;111 850 366,00;7 145 390,00;6,39
39;1;ОТП Банк;2766;Москва и обл.;116 186 013,00;110 776 762,00;5 409 251,00;4,88
40;-3;Национальный Клиринговый Центр;3466;Москва и обл.;112 713 170,00;116 325 700,00;-3 612 530,00;-3,11
41;0;Абсолют Банк;2306;Москва и обл.;108 917 501,00;102 703 788,00;6 213 713,00;6,05
42;1;МСП Банк;3340;Москва и обл.;102 501 062,00;99 659 546,00;2 841 516,00;2,85
43;5;Транскапиталбанк;2210;Москва и обл.;100 088 810,00;94 846 024,00;5 242 786,00;5,53
44;0;РГС Банк;3073;Москва и обл.;99 755 265,00;97 141 548,00;2 613 717,00;2,69
45;2;Русфинанс Банк;1792;Самарская обл.;98 018 219,00;95 074 045,00;2 944 174,00;3,10
46;0;БНП Париба Банк;3407;Москва и обл.;97 111 683,00;95 880 054,00;1 231 629,00;1,28
47;4;СКБ-Банк;705;Свердловская обл.;96 488 071,00;90 600 842,00;5 887 229,00;6,50
