Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2019, тыс. рублей;Июнь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 633 197 341,00;28 560 676 004,00;72 521 337,00;0,25
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 163 053 164,00;14 414 497 577,00;-251 444 413,00;-1,74
3;0;Газпромбанк;354;Москва и обл.;6 013 729 156,00;6 082 909 381,00;-69 180 225,00;-1,14
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 655 518 609,00;3 816 768 418,00;-161 249 809,00;-4,22
5;1;Альфа-Банк;1326;Москва и обл.;3 396 770 926,00;3 316 518 971,00;80 251 955,00;2,42
6;-1;Россельхозбанк;3349;Москва и обл.;3 353 601 753,00;3 365 401 552,00;-11 799 799,00;-0,35
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 222 484 730,00;2 187 597 019,00;34 887 711,00;1,59
8;0;Банк Открытие;2209;Москва и обл.;2 175 879 577,00;2 156 870 954,00;19 008 623,00;0,88
9;;Промсвязьбанк;3251;Москва и обл.;1 796 335 050,00;-;-;
10;-1;ЮниКредит Банк;1;Москва и обл.;1 353 517 481,00;1 472 642 084,00;-119 124 603,00;-8,09
11;-1;Траст;3279;Москва и обл.;1 314 822 854,00;1 316 807 626,00;-1 984 772,00;-0,15
12;0;Росбанк;2272;Москва и обл.;1 234 782 942,00;1 129 661 569,00;105 121 373,00;9,31
13;-2;Райффайзенбанк;3292;Москва и обл.;1 198 366 884,00;1 189 213 324,00;9 153 560,00;0,77
14;-1;Совкомбанк;963;Костромская обл.;1 056 750 931,00;1 014 129 670,00;42 621 261,00;4,20
15;-1;Россия;328;Санкт-Петербург и обл.;1 022 948 479,00;1 001 387 246,00;21 561 233,00;2,15
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;688 976 616,00;663 436 094,00;25 540 522,00;3,85
17;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;679 474 541,00;677 282 413,00;2 192 128,00;0,32
18;2;Ситибанк;2557;Москва и обл.;577 733 330,00;533 784 289,00;43 949 041,00;8,23
19;0;Московский Областной Банк;1751;Москва и обл.;541 838 550,00;554 689 303,00;-12 850 753,00;-2,32
20;-2;Ак Барс;2590;Татарстан;530 864 290,00;558 750 654,00;-27 886 364,00;-4,99
21;-4;Банк Уралсиб;30;Москва и обл.;527 325 807,00;572 998 087,00;-45 672 280,00;-7,97
22;-1;БМ-Банк;2748;Москва и обл.;516 692 720,00;530 434 092,00;-13 741 372,00;-2,59
23;-1;Тинькофф Банк;2673;Москва и обл.;484 199 494,00;471 870 298,00;12 329 196,00;2,61
24;-1;СМП Банк;3368;Москва и обл.;464 127 921,00;470 443 403,00;-6 315 482,00;-1,34
