Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2017, тыс. рублей;Октябрь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 477 658 406,00;23 313 570 211,00;164 088 195,00;0,70
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 335 743 708,00;9 442 605 402,00;-106 861 694,00;-1,13
3;0;Газпромбанк;354;Москва и обл.;5 487 313 311,00;5 577 963 244,00;-90 649 933,00;-1,63
4;0;ВТБ 24;1623;Москва и обл.;3 678 862 129,00;3 645 852 698,00;33 009 431,00;0,91
5;0;Россельхозбанк;3349;Москва и обл.;3 084 821 548,00;2 979 462 988,00;105 358 560,00;3,54
6;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 899 630 763,00;2 924 780 604,00;-25 149 841,00;-0,86
7;0;Альфа-Банк;1326;Москва и обл.;2 659 535 433,00;2 648 268 747,00;11 266 686,00;0,43
8;0;Банк Открытие;2209;Москва и обл.;2 109 056 129,00;2 175 074 353,00;-66 018 224,00;-3,04
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 846 375 227,00;1 752 027 034,00;94 348 193,00;5,39
10;0;Промсвязьбанк;3251;Москва и обл.;1 347 154 328,00;1 327 186 616,00;19 967 712,00;1,50
11;0;Бинбанк;323;Москва и обл.;1 275 671 001,00;1 160 426 826,00;115 244 175,00;9,93
12;0;ЮниКредит Банк;1;Москва и обл.;1 137 526 567,00;1 151 228 496,00;-13 701 929,00;-1,19
13;1;Райффайзенбанк;3292;Москва и обл.;848 732 934,00;840 507 764,00;8 225 170,00;0,98
14;-1;Росбанк;2272;Москва и обл.;841 439 262,00;877 908 922,00;-36 469 660,00;-4,15
15;0;Рост Банк;2888;Москва и обл.;823 998 252,00;787 902 625,00;36 095 627,00;4,58
16;0;Россия;328;Санкт-Петербург и обл.;774 606 724,00;775 858 871,00;-1 252 147,00;-0,16
17;0;Совкомбанк;963;Костромская обл.;684 836 850,00;665 447 713,00;19 389 137,00;2,91
18;1;БМ-Банк;2748;Москва и обл.;614 043 185,00;612 370 119,00;1 673 066,00;0,27
19;-1;Траст;3279;Москва и обл.;609 920 753,00;620 011 953,00;-10 091 200,00;-1,63
20;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;608 544 615,00;610 835 502,00;-2 290 887,00;-0,38
21;0;Банк Уралсиб;30;Москва и обл.;537 172 435,00;556 144 958,00;-18 972 523,00;-3,41
22;0;Московский Областной Банк;1751;Москва и обл.;523 416 882,00;513 885 878,00;9 531 004,00;1,85
