Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2016, тыс. рублей;Декабрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 545 948 386,00;22 433 146 804,00;1 112 801 582,00;4,96
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 413 986 984,00;8 742 464 567,00;671 522 417,00;7,68
3;0;Газпромбанк;354;Москва и обл.;5 177 748 445,00;4 984 239 100,00;193 509 345,00;3,88
4;1;Банк Открытие;2209;Москва и обл.;3 029 095 676,00;2 813 360 795,00;215 734 881,00;7,67
5;-1;ВТБ 24;1623;Москва и обл.;3 001 041 980,00;2 873 642 255,00;127 399 725,00;4,43
6;0;Россельхозбанк;3349;Москва и обл.;2 651 979 821,00;2 551 779 006,00;100 200 815,00;3,93
7;0;Альфа-Банк;1326;Москва и обл.;2 286 251 661,00;2 166 341 765,00;119 909 896,00;5,54
8;0;БМ-Банк;2748;Москва и обл.;1 841 558 089,00;1 753 618 069,00;87 940 020,00;5,01
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 609 277 487,00;1 397 028 289,00;212 249 198,00;15,19
10;0;ЮниКредит Банк;1;Москва и обл.;1 428 427 839,00;1 320 713 756,00;107 714 083,00;8,16
11;0;Промсвязьбанк;3251;Москва и обл.;1 280 255 258,00;1 221 401 758,00;58 853 500,00;4,82
12;0;Московский Кредитный Банк;1978;Москва и обл.;1 230 765 108,00;1 113 736 506,00;117 028 602,00;10,51
13;0;Росбанк;2272;Москва и обл.;900 525 694,00;885 949 682,00;14 576 012,00;1,65
14;0;Райффайзенбанк;3292;Москва и обл.;887 088 090,00;874 085 221,00;13 002 869,00;1,49
15;0;Бинбанк;323;Москва и обл.;798 758 586,00;756 341 388,00;42 417 198,00;5,61
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;591 169 068,00;549 187 807,00;41 981 261,00;7,64
17;-1;Россия;328;Санкт-Петербург и обл.;583 481 699,00;558 480 227,00;25 001 472,00;4,48
18;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;564 385 149,00;511 498 142,00;52 887 007,00;10,34
19;3;Русский Стандарт;2289;Москва и обл.;527 764 822,00;460 563 326,00;67 201 496,00;14,59
20;-1;Совкомбанк;963;Костромская обл.;523 562 668,00;491 838 800,00;31 723 868,00;6,45
21;-1;Ак Барс;2590;Татарстан;486 721 309,00;488 877 251,00;-2 155 942,00;-0,44
22;-1;Московский Областной Банк;1751;Москва и обл.;475 587 745,00;464 808 093,00;10 779 652,00;2,32
23;0;Ситибанк;2557;Москва и обл.;443 588 380,00;419 809 025,00;23 779 355,00;5,66
24;1;Рост Банк;2888;Москва и обл.;435 773 144,00;383 248 497,00;52 524 647,00;13,71
25;6;СМП Банк;3368;Москва и обл.;418 894 336,00;339 534 034,00;79 360 302,00;23,37
26;1;Нордеа Банк;3016;Москва и обл.;411 282 104,00;369 124 223,00;42 157 881,00;11,42
27;-1;Связь-Банк;1470;Москва и обл.;377 298 014,00;369 750 955,00;7 547 059,00;2,04
28;4;Югра;880;Ханты-Мансийский АО — Югра;368 621 419,00;327 614 178,00;41 007 241,00;12,52
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;355 565 145,00;346 364 159,00;9 200 986,00;2,66
30;-2;Траст;3279;Москва и обл.;344 930 126,00;347 406 759,00;-2 476 633,00;-0,71
31;-7;ИНГ Банк;2495;Москва и обл.;344 428 224,00;402 937 298,00;-58 509 074,00;-14,52
32;-2;МДМ Банк;2562;Москва и обл.;341 710 481,00;341 635 505,00;74 976,00;0,02
33;6;Абсолют Банк;2306;Москва и обл.;299 027 117,00;263 012 461,00;36 014 656,00;13,69
34;-1;Глобэкс;1942;Москва и обл.;292 465 129,00;284 040 902,00;8 424 227,00;2,97
35;9;Банк ДОМ.РФ;2312;Москва и обл.;288 790 195,00;216 520 126,00;72 270 069,00;33,38
36;0;Новикомбанк;2546;Москва и обл.;287 853 186,00;275 293 911,00;12 559 275,00;4,56
37;-3;Банк Зенит;3255;Москва и обл.;282 156 197,00;276 777 867,00;5 378 330,00;1,94
38;0;Хоум Кредит Банк;316;Москва и обл.;260 142 794,00;266 352 218,00;-6 209 424,00;-2,33
39;1;Восточный Банк;1460;Амурская обл.;246 983 710,00;226 081 496,00;20 902 214,00;9,25
40;3;Возрождение;1439;Москва и обл.;238 067 397,00;217 271 750,00;20 795 647,00;9,57
41;1;Московский Индустриальный Банк;912;Москва и обл.;233 918 680,00;219 298 948,00;14 619 732,00;6,67
42;-1;Транскапиталбанк;2210;Москва и обл.;221 475 526,00;223 926 661,00;-2 451 135,00;-1,09
43;2;Татфондбанк;3058;Татарстан;197 516 222,00;201 896 350,00;-4 380 128,00;-2,17
44;-7;Внешпромбанк;3261;Москва и обл.;191 936 376,00;274 902 436,00;-82 966 060,00;-30,18
45;1;Пересвет;2110;Москва и обл.;186 040 573,00;173 689 535,00;12 351 038,00;7,11
46;2;МТС Банк;2268;Москва и обл.;175 815 285,00;165 189 870,00;10 625 415,00;6,43
47;3;РосЕвроБанк;3137;Москва и обл.;171 922 927,00;157 642 303,00;14 280 624,00;9,06
48;11;Экспресс-Волга;3085;Саратовская обл.;166 408 703,00;127 934 576,00;38 474 127,00;30,07
49;-14;Всероссийский Банк Развития Регионов;3287;Москва и обл.;159 140 576,00;276 530 892,00;-117 390 316,00;-42,45
50;5;Тинькофф Банк;2673;Москва и обл.;157 861 498,00;147 558 418,00;10 303 080,00;6,98
51;0;ДельтаКредит;3338;Москва и обл.;157 859 006,00;154 603 293,00;3 255 713,00;2,11
52;-3;Кредит Европа Банк;3311;Москва и обл.;157 812 265,00;160 362 358,00;-2 550 093,00;-1,59
