Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2019, тыс. рублей;Декабрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
45;-3;ИНГ Банк;2495;Москва и обл.;170 962 437,00;192 554 334,00;-21 591 897,00;-11,21
46;0;Ренессанс Кредит;3354;Москва и обл.;170 222 037,00;164 676 100,00;5 545 937,00;3,37
47;0;Транскапиталбанк;2210;Москва и обл.;167 076 528,00;162 837 417,00;4 239 111,00;2,60
48;-3;МТС Банк;2268;Москва и обл.;166 432 783,00;169 538 636,00;-3 105 853,00;-1,83
49;1;ОТП Банк;2766;Москва и обл.;156 110 484,00;151 827 741,00;4 282 743,00;2,82
50;1;Кредит Европа Банк;3311;Москва и обл.;149 359 555,00;141 873 666,00;7 485 889,00;5,28
51;7;Аверс;415;Татарстан;138 428 995,00;123 848 821,00;14 580 174,00;11,77
52;2;Авангард;2879;Москва и обл.;137 642 440,00;130 826 614,00;6 815 826,00;5,21
53;-1;Сетелем Банк;2168;Москва и обл.;134 219 693,00;135 769 130,00;-1 549 437,00;-1,14
54;3;Запсибкомбанк;918;Тюменская обл.;131 979 364,00;124 667 529,00;7 311 835,00;5,87
55;0;Русфинанс Банк;1792;Самарская обл.;130 660 310,00;128 933 049,00;1 727 261,00;1,34
56;-3;Национальный Расчетный Депозитарий;3294;Москва и обл.;129 051 257,00;132 719 062,00;-3 667 805,00;-2,76
57;5;Нордеа Банк;3016;Москва и обл.;128 918 107,00;119 410 777,00;9 507 330,00;7,96
58;1;Росэксимбанк;2790;Москва и обл.;127 801 306,00;121 727 847,00;6 073 459,00;4,99
59;-3;Банк Финсервис;3388;Москва и обл.;125 924 777,00;124 756 774,00;1 168 003,00;0,94
60;1;Таврический Банк;2304;Санкт-Петербург и обл.;123 823 120,00;120 005 328,00;3 817 792,00;3,18
61;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;120 622 105,00;121 264 977,00;-642 872,00;-0,53
62;1;Центр-инвест;2225;Ростовская обл.;116 994 276,00;115 653 939,00;1 340 337,00;1,16
63;-14;МСП Банк;3340;Москва и обл.;115 532 623,00;153 828 119,00;-38 295 496,00;-24,89
64;0;ЦентроКредит;121;Москва и обл.;108 584 092,00;106 145 415,00;2 438 677,00;2,30
65;0;Роскосмосбанк;2989;Москва и обл.;107 272 914,00;105 956 108,00;1 316 806,00;1,24
66;0;СКБ-Банк;705;Свердловская обл.;107 116 417,00;104 871 389,00;2 245 028,00;2,14
67;4;Металлинвестбанк;2440;Москва и обл.;99 876 706,00;95 877 364,00;3 999 342,00;4,17
68;4;ВУЗ-Банк;1557;Свердловская обл.;99 105 337,00;92 297 003,00;6 808 334,00;7,38
69;0;Кубань Кредит;2518;Краснодарский край;98 495 784,00;98 381 925,00;113 859,00;0,12
70;-3;Союз;2307;Москва и обл.;96 923 252,00;99 488 749,00;-2 565 497,00;-2,58
71;-3;РН Банк;170;Москва и обл.;96 835 546,00;98 720 780,00;-1 885 234,00;-1,91
72;-2;Мир Бизнес Банк;3396;Москва и обл.;91 388 676,00;97 524 996,00;-6 136 320,00;-6,29
73;4;Локо-Банк;2707;Москва и обл.;85 833 824,00;82 451 106,00;3 382 718,00;4,10
74;1;Дойче Банк;3328;Москва и обл.;84 555 160,00;84 202 442,00;352 718,00;0,42
75;-1;РГС Банк;3073;Москва и обл.;84 554 271,00;88 221 412,00;-3 667 141,00;-4,16
76;3;Мидзухо Банк;3337;Москва и обл.;84 142 955,00;74 096 514,00;10 046 441,00;13,56
77;-1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;83 209 534,00;83 900 455,00;-690 921,00;-0,82
78;-5;Балтинвестбанк;3176;Санкт-Петербург и обл.;83 004 160,00;90 259 879,00;-7 255 719,00;-8,04
79;2;Экспобанк;2998;Москва и обл.;81 793 839,00;69 800 055,00;11 993 784,00;17,18
80;2;Еврофинанс Моснарбанк;2402;Москва и обл.;70 344 361,00;66 231 326,00;4 113 035,00;6,21
81;-3;Тойота Банк;3470;Москва и обл.;69 893 796,00;74 612 356,00;-4 718 560,00;-6,32
82;-2;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;67 886 750,00;73 893 539,00;-6 006 789,00;-8,13
83;7;СДМ-Банк;1637;Москва и обл.;67 282 331,00;58 941 004,00;8 341 327,00;14,15
84;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;66 445 803,00;63 826 345,00;2 619 458,00;4,10
85;1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;65 384 243,00;62 218 945,00;3 165 298,00;5,09
86;-3;АйСиБиСи Банк;3475;Москва и обл.;64 931 230,00;66 219 906,00;-1 288 676,00;-1,95
87;9;Коммерцбанк (Евразия);3333;Москва и обл.;64 140 839,00;55 607 103,00;8 533 736,00;15,35
88;4;Банк Интеза;2216;Москва и обл.;63 221 769,00;58 087 036,00;5 134 733,00;8,84
89;25;Платежный Центр;3166;Новосибирская обл.;62 034 856,00;39 156 625,00;22 878 231,00;58,43
90;-2;БКС Банк;101;Москва и обл.;61 757 500,00;60 263 798,00;1 493 702,00;2,48
91;-2;Примсоцбанк;2733;Приморский край;61 371 861,00;60 090 525,00;1 281 336,00;2,13
92;-5;Тимер Банк;1581;Татарстан;60 695 786,00;60 625 296,00;70 490,00;0,12
93;0;Левобережный;1343;Новосибирская обл.;60 685 003,00;57 651 215,00;3 033 788,00;5,26
94;-3;Балтийский Банк;128;Санкт-Петербург и обл.;58 862 606,00;58 753 234,00;109 372,00;0,19
95;3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;58 105 827,00;54 479 840,00;3 625 987,00;6,66
96;-2;Крайинвестбанк;3360;Краснодарский край;57 729 769,00;56 617 708,00;1 112 061,00;1,96
97;-2;ББР Банк;2929;Москва и обл.;56 783 193,00;56 347 041,00;436 152,00;0,77
98;-13;Севергазбанк;2816;Вологодская обл.;54 861 089,00;62 781 351,00;-7 920 262,00;-12,62
99;-2;Социнвестбанк;1132;Башкортостан;54 220 705,00;54 830 550,00;-609 845,00;-1,11
100;5;Фора-Банк;1885;Москва и обл.;53 810 298,00;48 100 138,00;5 710 160,00;11,87
101;-2;Челиндбанк;485;Челябинская обл.;53 108 675,00;52 787 639,00;321 036,00;0,61
102;7;Финанс Бизнес Банк;520;Москва и обл.;51 724 414,00;43 213 881,00;8 510 533,00;19,69
103;4;СЭБ Банк;3235;Санкт-Петербург и обл.;51 226 319,00;45 784 022,00;5 442 297,00;11,89
104;-4;Челябинвестбанк;493;Челябинская обл.;50 903 935,00;50 915 971,00;-12 036,00;-0,02
105;-4;Энерготрансбанк;1307;Калининградская обл.;50 148 441,00;50 794 102,00;-645 661,00;-1,27
106;7;Киви Банк;2241;Москва и обл.;49 370 261,00;41 061 412,00;8 308 849,00;20,24
107;1;БНП Париба Банк;3407;Москва и обл.;48 637 477,00;44 221 158,00;4 416 319,00;9,99
108;-4;Генбанк;2490;Симферополь;48 478 177,00;48 194 842,00;283 335,00;0,59
109;-3;Газэнергобанк;3252;Калужская обл.;47 951 324,00;47 394 792,00;556 532,00;1,17
110;-8;Банк Кредит Свисс;2494;Москва и обл.;45 767 412,00;49 495 611,00;-3 728 199,00;-7,53
111;-1;Саровбизнесбанк;2048;Нижегородская обл.;45 525 296,00;43 139 617,00;2 385 679,00;5,53
112;-1;Объединенный Капитал;2611;Санкт-Петербург и обл.;44 751 771,00;42 763 121,00;1 988 650,00;4,65
113;-10;Международный Финансовый Клуб;2618;Москва и обл.;44 210 283,00;49 302 150,00;-5 091 867,00;-10,33
114;6;Фольксваген Банк Рус;3500;Москва и обл.;43 762 909,00;36 678 546,00;7 084 363,00;19,31
115;6;БМВ Банк;3482;Москва и обл.;41 189 346,00;36 586 327,00;4 603 019,00;12,58
116;6;Интерпрогрессбанк;600;Москва и обл.;41 170 788,00;35 973 379,00;5 197 409,00;14,45
117;-2;Бэнк оф Чайна;2309;Москва и обл.;40 300 096,00;39 142 140,00;1 157 956,00;2,96
118;0;Кольцо Урала;65;Свердловская обл.;39 696 939,00;37 904 424,00;1 792 515,00;4,73
119;-3;БыстроБанк;1745;Удмуртия;38 054 172,00;38 957 968,00;-903 796,00;-2,32
120;-3;Национальный Стандарт;3421;Москва и обл.;37 671 028,00;38 189 483,00;-518 455,00;-1,36
121;-2;Дальневосточный Банк;843;Приморский край;36 395 476,00;36 834 437,00;-438 961,00;-1,19
122;1;Солидарность;554;Самарская обл.;36 283 466,00;35 585 655,00;697 811,00;1,96
123;-11;Дж. П. Морган Банк;2629;Москва и обл.;35 231 636,00;42 104 709,00;-6 873 073,00;-16,32
124;2;Приморье;3001;Приморский край;35 078 744,00;33 035 795,00;2 042 949,00;6,18
125;6;Интерпромбанк;3266;Москва и обл.;34 251 050,00;29 306 262,00;4 944 788,00;16,87
126;1;Ланта-Банк;1920;Москва и обл.;33 799 358,00;32 109 346,00;1 690 012,00;5,26
127;2;Аресбанк;2914;Москва и обл.;33 355 583,00;30 937 100,00;2 418 483,00;7,82
128;0;НС Банк;3124;Москва и обл.;32 935 857,00;31 194 652,00;1 741 205,00;5,58
129;-4;Квантмобайл Банк;1189;Москва и обл.;32 227 315,00;33 544 801,00;-1 317 486,00;-3,93
130;0;Девон-Кредит;1972;Татарстан;31 974 979,00;30 474 244,00;1 500 735,00;4,92
131;-7;Кредит Урал Банк;2584;Челябинская обл.;31 840 040,00;33 739 180,00;-1 899 140,00;-5,63
132;0;Алмазэргиэнбанк;2602;Саха (Якутия);29 312 814,00;29 104 124,00;208 690,00;0,72
133;4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;28 441 240,00;24 941 074,00;3 500 166,00;14,03
134;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 384 790,00;28 098 981,00;-1 714 191,00;-6,10
135;7;Тольяттихимбанк;2507;Самарская обл.;26 227 945,00;23 564 851,00;2 663 094,00;11,30
136;13;Чайна Констракшн;3515;Москва и обл.;25 933 750,00;22 416 675,00;3 517 075,00;15,69
137;-2;Курскпромбанк;735;Курская обл.;25 875 741,00;26 436 286,00;-560 545,00;-2,12
138;-2;Акибанк;2587;Татарстан;25 634 737,00;25 094 827,00;539 910,00;2,15
139;0;Бинбанк Диджитал;2827;Москва и обл.;25 422 698,00;24 616 375,00;806 323,00;3,28
140;-7;ЦМРБанк;3531;Москва и обл.;25 302 445,00;28 953 037,00;-3 650 592,00;-12,61
141;-3;Урал ФД;249;Пермская обл.;25 003 180,00;24 901 136,00;102 044,00;0,41
142;-1;Энергобанк;67;Татарстан;23 954 658,00;23 668 617,00;286 041,00;1,21
143;5;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;23 824 899,00;22 560 259,00;1 264 640,00;5,61
144;-1;Хлынов;254;Кировская обл.;23 600 505,00;23 436 943,00;163 562,00;0,70
145;14;Натиксис Банк;3390;Москва и обл.;22 956 124,00;18 965 246,00;3 990 878,00;21,04
146;-6;НК Банк;2755;Москва и обл.;22 894 148,00;24 601 098,00;-1 706 950,00;-6,94
147;4;Татсоцбанк;480;Татарстан;22 831 683,00;22 328 057,00;503 626,00;2,26
148;-1;МС Банк Рус;2789;Москва и обл.;22 661 652,00;22 807 918,00;-146 266,00;-0,64
149;3;Москоммерцбанк;3365;Москва и обл.;22 469 300,00;21 590 363,00;878 937,00;4,07
150;0;Экономбанк;1319;Саратовская обл.;22 257 038,00;22 393 931,00;-136 893,00;-0,61
151;-7;Агропромкредит;2880;Москва и обл.;22 127 471,00;23 190 845,00;-1 063 374,00;-4,59
152;-7;Данске Банк;3307;Санкт-Петербург и обл.;21 700 350,00;23 131 396,00;-1 431 046,00;-6,19
153;0;НБД-Банк;1966;Нижегородская обл.;21 416 411,00;21 023 885,00;392 526,00;1,87
154;-8;Собинбанк;1317;Москва и обл.;20 891 416,00;22 886 795,00;-1 995 379,00;-8,72
155;-1;Банк Акцепт;567;Новосибирская обл.;20 514 221,00;19 694 874,00;819 347,00;4,16
156;1;Держава;2738;Москва и обл.;20 043 140,00;19 443 999,00;599 141,00;3,08
157;1;Липецккомбанк;1242;Липецкая обл.;19 837 821,00;19 361 985,00;475 836,00;2,46
158;-2;Александровский;53;Санкт-Петербург и обл.;19 607 297,00;19 453 156,00;154 141,00;0,79
159;2;Джей энд Ти Банк;3061;Москва и обл.;19 328 192,00;18 497 887,00;830 305,00;4,49
160;6;Национальная Факторинговая Компания;3437;Москва и обл.;19 164 175,00;17 567 165,00;1 597 010,00;9,09
161;-1;Пойдем!;2534;Москва и обл.;19 036 150,00;18 654 998,00;381 152,00;2,04
162;0;Ури Банк;3479;Москва и обл.;18 938 257,00;18 475 403,00;462 854,00;2,51
163;-8;Денизбанк Москва;3330;Москва и обл.;18 346 056,00;19 465 384,00;-1 119 328,00;-5,75
164;0;Кошелев-Банк;3300;Самарская обл.;18 265 112,00;17 971 845,00;293 267,00;1,63
165;-2;Московское Ипотечное Агентство;3344;Москва и обл.;18 070 930,00;18 047 253,00;23 677,00;0,13
166;2;Алеф-Банк;2119;Москва и обл.;17 398 724,00;17 257 565,00;141 159,00;0,82
167;0;Инбанк;1829;Москва и обл.;17 369 749,00;17 300 319,00;69 430,00;0,40
168;5;РосДорБанк;1573;Москва и обл.;17 304 864,00;15 717 067,00;1 587 797,00;10,10
169;1;Прио-Внешторгбанк;212;Рязанская обл.;16 956 766,00;16 877 048,00;79 718,00;0,47
170;4;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;16 540 550,00;15 616 944,00;923 606,00;5,91
171;0;Модульбанк;1927;Костромская обл.;16 308 475,00;15 928 487,00;379 988,00;2,39
172;7;Консервативный Коммерческий Банк;1087;Астраханская обл.;15 590 777,00;14 629 753,00;961 024,00;6,57
173;-4;Нацинвестпромбанк;3077;Москва и обл.;15 466 132,00;17 248 234,00;-1 782 102,00;-10,33
174;1;Гарант-Инвест;2576;Москва и обл.;15 446 310,00;15 550 290,00;-103 980,00;-0,67
175;8;Морской Банк;77;Москва и обл.;15 431 359,00;14 065 805,00;1 365 554,00;9,71
176;1;Норвик Банк;902;Кировская обл.;15 212 222,00;15 170 155,00;42 067,00;0,28
177;-5;Форштадт;2208;Оренбургская обл.;14 973 963,00;15 733 493,00;-759 530,00;-4,83
178;0;Ишбанк;2867;Москва и обл.;14 892 237,00;14 745 910,00;146 327,00;0,99
179;-3;Развитие-Столица;3013;Москва и обл.;14 853 231,00;15 253 956,00;-400 725,00;-2,63
180;1;Национальный Резервный Банк;2170;Москва и обл.;14 704 299,00;14 576 224,00;128 075,00;0,88
181;-1;Промтрансбанк;2638;Башкортостан;14 493 907,00;14 613 809,00;-119 902,00;-0,82
182;0;Банк Казани;708;Татарстан;14 370 281,00;14 181 914,00;188 367,00;1,33
183;1;Ассоциация;732;Нижегородская обл.;14 206 615,00;14 049 798,00;156 817,00;1,12
184;1;КС Банк;1752;Мордовия;13 165 537,00;12 949 623,00;215 914,00;1,67
185;1;Реалист Банк;1067;Иркутская обл.;12 907 121,00;12 257 450,00;649 671,00;5,30
186;-21;Руснарбанк;3403;Москва и обл.;12 492 781,00;17 885 752,00;-5 392 971,00;-30,15
187;47;Чайнасельхозбанк;3529;Москва и обл.;12 438 712,00;6 761 118,00;5 677 594,00;83,97
188;0;НИКО-Банк;702;Оренбургская обл.;12 308 134,00;11 624 456,00;683 678,00;5,88
189;-2;Нижневолжский Коммерческий Банк;931;Саратовская обл.;11 957 346,00;12 000 396,00;-43 050,00;-0,36
190;2;Датабанк;646;Удмуртия;11 913 448,00;10 959 751,00;953 697,00;8,70
191;0;ТЭМБР-Банк;2764;Москва и обл.;11 362 824,00;11 096 018,00;266 806,00;2,40
192;-3;Банк Оренбург;3269;Оренбургская обл.;11 281 809,00;11 367 929,00;-86 120,00;-0,76
193;3;МБА-Москва;3395;Москва и обл.;11 154 463,00;10 774 305,00;380 158,00;3,53
194;7;ЮMoney;3510;Россия;11 067 782,00;9 680 830,00;1 386 952,00;14,33
195;2;Снежинский;1376;Челябинская обл.;11 049 673,00;10 607 725,00;441 948,00;4,17
196;-3;Солид Банк;1329;Приморский край;11 029 301,00;10 832 432,00;196 869,00;1,82
197;3;Екатеринбург;3161;Свердловская обл.;10 955 997,00;9 954 034,00;1 001 963,00;10,07
198;-3;Юг-Инвестбанк;2772;Краснодарский край;10 672 162,00;10 780 220,00;-108 058,00;-1,00
199;-5;Тройка-Д Банк;3431;Москва и обл.;10 624 364,00;10 812 758,00;-188 394,00;-1,74
200;3;Автоторгбанк;2776;Москва и обл.;10 610 158,00;9 181 577,00;1 428 581,00;15,56
201;3;Банк Раунд;2506;Москва и обл.;10 417 992,00;8 688 995,00;1 728 997,00;19,90
202;-4;Русьуниверсалбанк;3293;Москва и обл.;10 344 883,00;10 350 970,00;-6 087,00;-0,06
203;-1;Банк Жилищного Финансирования;3138;Москва и обл.;9 445 531,00;9 382 611,00;62 920,00;0,67
204;17;Морган Стэнли Банк;3456;Москва и обл.;9 104 790,00;7 580 871,00;1 523 919,00;20,10
205;-15;РЕСО Кредит;3450;Москва и обл.;9 079 780,00;11 319 028,00;-2 239 248,00;-19,78
206;-1;Хакасский Муниципальный Банк;1049;Хакасия;8 694 474,00;8 530 715,00;163 759,00;1,92
207;3;Московский Нефтехимический Банк;1411;Москва и обл.;8 615 631,00;8 264 275,00;351 356,00;4,25
208;5;Эксперт Банк;2949;Омская обл.;8 599 850,00;8 105 000,00;494 850,00;6,11
209;0;Энергомашбанк;52;Санкт-Петербург и обл.;8 596 953,00;8 289 794,00;307 159,00;3,71
210;23;Гута-Банк;256;Москва и обл.;8 518 585,00;6 777 278,00;1 741 307,00;25,69
211;-5;Эс-Би-Ай Банк;3185;Москва и обл.;8 495 322,00;8 486 722,00;8 600,00;0,10
212;4;Нейва;1293;Свердловская обл.;8 339 377,00;7 951 121,00;388 256,00;4,88
213;-1;Томскпромстройбанк;1720;Томская обл.;8 332 528,00;8 129 310,00;203 218,00;2,50
214;42;Платина;2347;Москва и обл.;8 297 490,00;5 202 072,00;3 095 418,00;59,50
215;-8;Ю Би Эс Банк;3463;Москва и обл.;8 203 213,00;8 415 508,00;-212 295,00;-2,52
216;6;Ставропольпромстройбанк;1288;Ставропольский край;8 194 576,00;7 520 659,00;673 917,00;8,96
217;-6;Кранбанк;2271;Ивановская обл.;8 157 791,00;8 151 827,00;5 964,00;0,07
218;-1;Нефтепромбанк;2156;Москва и обл.;8 157 670,00;7 888 156,00;269 514,00;3,42
219;27;Инкахран;3454;Москва и обл.;8 081 418,00;5 938 398,00;2 143 020,00;36,09
220;-6;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 052 839,00;8 055 176,00;-2 337,00;-0,03
221;2;Северный Народный Банк;2721;Коми;7 831 382,00;7 448 024,00;383 358,00;5,15
222;9;Голдман Сакс Банк;3490;Москва и обл.;7 819 059,00;6 897 857,00;921 202,00;13,35
223;-15;Углеметбанк;2997;Челябинская обл.;7 808 952,00;8 400 123,00;-591 171,00;-7,04
224;-4;Актив Банк;2529;Мордовия;7 786 392,00;7 624 494,00;161 898,00;2,12
225;-6;Ростфинанс;481;Ростовская обл.;7 724 915,00;7 645 072,00;79 843,00;1,04
226;-8;Белгородсоцбанк;760;Белгородская обл.;7 672 021,00;7 834 744,00;-162 723,00;-2,08
227;-28;Азия-Инвест Банк;3303;Москва и обл.;7 646 953,00;10 205 475,00;-2 558 522,00;-25,07
228;-3;Банк БКФ;2684;Москва и обл.;7 634 536,00;7 295 458,00;339 078,00;4,65
229;-2;Трансстройбанк;2807;Москва и обл.;7 545 934,00;7 246 224,00;299 710,00;4,14
230;-4;Финам Банк;2799;Москва и обл.;7 395 672,00;7 259 511,00;136 161,00;1,88
231;-3;СИАБ;3245;Санкт-Петербург и обл.;7 290 991,00;7 181 821,00;109 170,00;1,52
232;-8;Зираат Банк;2559;Москва и обл.;7 020 614,00;7 384 769,00;-364 155,00;-4,93
233;-3;Сибсоцбанк;2015;Алтайский край;6 998 373,00;6 928 812,00;69 561,00;1,00
234;14;Енисейский Объединенный Банк;2645;Красноярский край;6 995 717,00;5 885 850,00;1 109 867,00;18,86
235;-6;Новобанк;1352;Новгородская обл.;6 849 250,00;7 042 490,00;-193 240,00;-2,74
236;-1;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 759 999,00;6 583 486,00;176 513,00;2,68
237;4;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 707 453,00;6 160 161,00;547 292,00;8,88
238;-1;Автоградбанк;1455;Татарстан;6 667 078,00;6 513 641,00;153 437,00;2,36
239;-1;Проминвестбанк;2433;Москва и обл.;6 659 283,00;6 384 379,00;274 904,00;4,31
240;-8;ФорБанк;2063;Москва и обл.;6 650 569,00;6 811 509,00;-160 940,00;-2,36
241;-26;Славия;2664;Москва и обл.;6 591 146,00;7 988 485,00;-1 397 339,00;-17,49
242;-6;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 468 879,00;6 522 621,00;-53 742,00;-0,82
243;-1;Вокбанк;312;Нижегородская обл.;6 418 742,00;6 122 645,00;296 097,00;4,84
244;-5;Агророс;2860;Саратовская обл.;6 397 013,00;6 288 372,00;108 641,00;1,73
245;-5;Земский Банк;2900;Самарская обл.;6 335 611,00;6 233 422,00;102 189,00;1,64
246;6;Венец;524;Ульяновская обл.;6 138 966,00;5 585 447,00;553 519,00;9,91
247;-3;Банк Оранжевый;1659;Санкт-Петербург и обл.;6 135 377,00;6 076 998,00;58 379,00;0,96
248;-5;Русь;704;Оренбургская обл.;6 087 553,00;6 094 732,00;-7 179,00;-0,12
249;0;Кузнецкий;609;Пензенская обл.;6 076 996,00;5 828 225,00;248 771,00;4,27
250;-3;Черноморский банк развития и реконструкции;3527;Симферополь;5 970 911,00;5 913 539,00;57 372,00;0,97
251;-1;Газтрансбанк;665;Краснодарский край;5 833 781,00;5 734 126,00;99 655,00;1,74
252;-7;Зенит Сочи;232;Краснодарский край;5 782 662,00;5 953 483,00;-170 821,00;-2,87
253;1;Альба Альянс;2593;Москва и обл.;5 743 082,00;5 397 071,00;346 011,00;6,41
254;12;Кубаньторгбанк;478;Краснодарский край;5 707 705,00;4 707 077,00;1 000 628,00;21,26
255;-4;Чувашкредитпромбанк;1280;Чувашия;5 674 323,00;5 667 658,00;6 665,00;0,12
256;-3;Севастопольский Морской Банк;3528;Севастополь;5 535 113,00;5 546 557,00;-11 444,00;-0,21
257;1;Москва-Сити;3247;Москва и обл.;5 448 702,00;5 072 155,00;376 547,00;7,42
258;6;Нэклис-Банк;1671;Москва и обл.;5 279 067,00;4 805 742,00;473 325,00;9,85
