Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2019, тыс. рублей;Декабрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 133 766 472,00;27 356 547 190,00;777 219 282,00;2,84
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 949 419 060,00;13 832 231 418,00;117 187 642,00;0,85
3;0;Газпромбанк;354;Москва и обл.;6 347 699 200,00;6 180 851 382,00;166 847 818,00;2,70
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 998 602 238,00;3 747 593 685,00;251 008 553,00;6,70
5;0;Россельхозбанк;3349;Москва и обл.;3 467 376 171,00;3 277 672 205,00;189 703 966,00;5,79
6;0;Альфа-Банк;1326;Москва и обл.;3 400 207 141,00;3 243 100 096,00;157 107 045,00;4,84
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 239 299 432,00;2 110 022 181,00;129 277 251,00;6,13
8;0;Траст;3279;Москва и обл.;1 688 889 835,00;1 737 277 341,00;-48 387 506,00;-2,79
9;1;Банк Открытие;2209;Москва и обл.;1 664 824 056,00;1 660 982 114,00;3 841 942,00;0,23
10;-1;Промсвязьбанк;3251;Москва и обл.;1 533 393 807,00;1 663 259 532,00;-129 865 725,00;-7,81
11;0;ЮниКредит Банк;1;Москва и обл.;1 410 393 753,00;1 451 826 589,00;-41 432 836,00;-2,85
12;0;Райффайзенбанк;3292;Москва и обл.;1 149 274 211,00;1 057 479 732,00;91 794 479,00;8,68
13;1;Россия;328;Санкт-Петербург и обл.;1 107 670 265,00;987 598 714,00;120 071 551,00;12,16
14;-1;Росбанк;2272;Москва и обл.;1 099 816 864,00;1 017 869 507,00;81 947 357,00;8,05
15;0;Совкомбанк;963;Костромская обл.;1 012 430 576,00;978 765 040,00;33 665 536,00;3,44
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;699 450 938,00;663 086 779,00;36 364 159,00;5,48
17;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;673 779 854,00;638 082 756,00;35 697 098,00;5,59
18;-2;Бинбанк;323;Москва и обл.;647 234 397,00;674 398 516,00;-27 164 119,00;-4,03
19;1;Московский Областной Банк;1751;Москва и обл.;573 779 526,00;575 424 914,00;-1 645 388,00;-0,29
20;2;Банк Уралсиб;30;Москва и обл.;561 265 491,00;532 469 446,00;28 796 045,00;5,41
21;0;Ситибанк;2557;Москва и обл.;552 614 486,00;537 358 512,00;15 255 974,00;2,84
22;1;Ак Барс;2590;Татарстан;541 591 332,00;529 216 174,00;12 375 158,00;2,34
23;-4;БМ-Банк;2748;Москва и обл.;532 628 343,00;588 312 390,00;-55 684 047,00;-9,47
24;0;СМП Банк;3368;Москва и обл.;490 351 734,00;437 931 189,00;52 420 545,00;11,97
25;4;Новикомбанк;2546;Москва и обл.;435 028 159,00;360 311 154,00;74 717 005,00;20,74
26;0;Тинькофф Банк;2673;Москва и обл.;410 824 039,00;383 600 998,00;27 223 041,00;7,10
27;3;Почта Банк;650;Москва и обл.;391 286 116,00;357 992 453,00;33 293 663,00;9,30
28;-3;Связь-Банк;1470;Москва и обл.;367 875 837,00;417 881 842,00;-50 006 005,00;-11,97
29;-2;Русский Стандарт;2289;Москва и обл.;363 542 645,00;370 795 244,00;-7 252 599,00;-1,96
30;-2;Банк АВБ;23;Самарская обл.;360 652 156,00;362 370 111,00;-1 717 955,00;-0,47
31;0;Пересвет;2110;Москва и обл.;319 170 667,00;316 731 072,00;2 439 595,00;0,77
32;0;Восточный Банк;1460;Амурская обл.;284 983 186,00;289 051 928,00;-4 068 742,00;-1,41
33;0;Московский Индустриальный Банк;912;Москва и обл.;282 499 487,00;275 036 158,00;7 463 329,00;2,71
34;1;Возрождение;1439;Москва и обл.;279 268 513,00;269 921 713,00;9 346 800,00;3,46
35;1;Абсолют Банк;2306;Москва и обл.;277 536 909,00;266 073 934,00;11 462 975,00;4,31
36;-2;Хоум Кредит Банк;316;Москва и обл.;275 774 333,00;273 891 954,00;1 882 379,00;0,69
37;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;261 611 574,00;260 798 165,00;813 409,00;0,31
38;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;244 919 765,00;244 543 391,00;376 374,00;0,15
39;1;Банк Зенит;3255;Москва и обл.;244 746 532,00;237 280 953,00;7 465 579,00;3,15
40;-2;Банк ДОМ.РФ;2312;Москва и обл.;238 266 577,00;260 609 462,00;-22 342 885,00;-8,57
41;0;ДельтаКредит;3338;Москва и обл.;203 732 775,00;196 247 735,00;7 485 040,00;3,81
42;1;Экспресс-Волга;3085;Костромская обл.;192 162 984,00;191 897 306,00;265 678,00;0,14
43;1;Инвестторгбанк;2763;Москва и обл.;185 628 196,00;188 642 382,00;-3 014 186,00;-1,60
44;4;РНКБ;1354;Симферополь;181 769 105,00;156 200 909,00;25 568 196,00;16,37
