Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2020, тыс. рублей;Ноябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;35 037 786 604,00;34 081 375 159,00;956 411 445,00;2,81
2;0;ВТБ;1000;Санкт-Петербург и обл.;16 860 503 666,00;16 520 606 342,00;339 897 324,00;2,06
3;0;Газпромбанк;354;Москва и обл.;7 593 720 242,00;7 561 422 252,00;32 297 990,00;0,43
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 970 036 992,00;5 010 835 598,00;-40 798 606,00;-0,81
5;0;Альфа-Банк;1326;Москва и обл.;4 629 630 424,00;4 553 936 508,00;75 693 916,00;1,66
6;0;Россельхозбанк;3349;Москва и обл.;3 841 315 349,00;3 823 292 449,00;18 022 900,00;0,47
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 989 087 115,00;3 033 659 663,00;-44 572 548,00;-1,47
8;0;Банк Открытие;2209;Москва и обл.;2 817 984 915,00;2 932 396 467,00;-114 411 552,00;-3,90
9;0;Совкомбанк;963;Костромская обл.;1 519 470 857,00;1 608 851 564,00;-89 380 707,00;-5,56
10;3;Росбанк;2272;Москва и обл.;1 471 753 488,00;1 382 394 156,00;89 359 332,00;6,46
11;0;Райффайзенбанк;3292;Москва и обл.;1 449 583 655,00;1 437 518 264,00;12 065 391,00;0,84
12;0;Траст;3279;Москва и обл.;1 398 418 778,00;1 396 488 228,00;1 930 550,00;0,14
13;-3;ЮниКредит Банк;1;Москва и обл.;1 339 068 075,00;1 448 216 079,00;-109 148 004,00;-7,54
14;0;Россия;328;Санкт-Петербург и обл.;1 071 518 103,00;1 058 200 753,00;13 317 350,00;1,26
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;952 827 328,00;910 683 704,00;42 143 624,00;4,63
16;1;Тинькофф Банк;2673;Москва и обл.;828 898 165,00;774 297 014,00;54 601 151,00;7,05
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;780 895 771,00;777 677 600,00;3 218 171,00;0,41
18;0;Ситибанк;2557;Москва и обл.;708 083 349,00;717 098 954,00;-9 015 605,00;-1,26
19;1;БМ-Банк;2748;Москва и обл.;668 487 886,00;617 142 680,00;51 345 206,00;8,32
20;-1;Ак Барс;2590;Татарстан;650 513 212,00;638 714 255,00;11 798 957,00;1,85
21;4;Банк ДОМ.РФ;2312;Москва и обл.;574 661 459,00;517 310 012,00;57 351 447,00;11,09
22;-1;Новикомбанк;2546;Москва и обл.;556 567 962,00;572 872 683,00;-16 304 721,00;-2,85
23;-1;СМП Банк;3368;Москва и обл.;555 785 414,00;569 527 241,00;-13 741 827,00;-2,41
24;-1;Банк Уралсиб;30;Москва и обл.;547 785 274,00;554 177 495,00;-6 392 221,00;-1,15
25;-1;Почта Банк;650;Москва и обл.;527 747 309,00;524 254 193,00;3 493 116,00;0,67
26;0;Московский Областной Банк;1751;Москва и обл.;465 074 682,00;473 336 156,00;-8 261 474,00;-1,75
27;6;Национальный Расчетный Депозитарий;3294;Москва и обл.;441 917 104,00;255 967 491,00;185 949 613,00;72,65
28;-1;Московский Индустриальный Банк;912;Москва и обл.;404 664 843,00;411 694 990,00;-7 030 147,00;-1,71
29;-1;Пересвет;2110;Москва и обл.;341 188 400,00;341 800 904,00;-612 504,00;-0,18
30;-1;Русский Стандарт;2289;Москва и обл.;307 480 450,00;323 939 553,00;-16 459 103,00;-5,08
31;-1;РНКБ;1354;Симферополь;286 302 433,00;279 791 334,00;6 511 099,00;2,33
32;-1;Абсолют Банк;2306;Москва и обл.;274 283 054,00;278 505 452,00;-4 222 398,00;-1,52
33;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;262 420 362,00;265 071 990,00;-2 651 628,00;-1,00
34;2;Восточный Банк;1460;Амурская обл.;244 429 215,00;239 477 056,00;4 952 159,00;2,07
35;0;Хоум Кредит Банк;316;Москва и обл.;233 918 815,00;240 001 443,00;-6 082 628,00;-2,53
36;-2;Банк Зенит;3255;Москва и обл.;230 601 999,00;245 565 021,00;-14 963 022,00;-6,09
37;2;МТС Банк;2268;Москва и обл.;211 099 723,00;203 019 500,00;8 080 223,00;3,98
38;2;Инвестторгбанк;2763;Москва и обл.;196 998 278,00;198 071 044,00;-1 072 766,00;-0,54
39;2;Транскапиталбанк;2210;Москва и обл.;196 012 609,00;194 628 506,00;1 384 103,00;0,71
40;-3;ИНГ Банк;2495;Москва и обл.;189 056 843,00;228 998 489,00;-39 941 646,00;-17,44
41;1;Росэксимбанк;2790;Москва и обл.;184 316 443,00;191 609 022,00;-7 292 579,00;-3,81
42;-4;Возрождение;1439;Москва и обл.;183 459 203,00;208 680 157,00;-25 220 954,00;-12,09
43;2;Локо-Банк;2707;Москва и обл.;163 593 883,00;160 040 358,00;3 553 525,00;2,22
44;-1;ОТП Банк;2766;Москва и обл.;162 713 457,00;161 952 564,00;760 893,00;0,47
45;-1;Сетелем Банк;2168;Москва и обл.;160 477 856,00;161 157 501,00;-679 645,00;-0,42
46;0;Ренессанс Кредит;3354;Москва и обл.;156 068 970,00;158 581 136,00;-2 512 166,00;-1,58
47;0;Русфинанс Банк;1792;Самарская обл.;150 246 113,00;147 224 358,00;3 021 755,00;2,05
48;0;МСП Банк;3340;Москва и обл.;148 687 441,00;143 255 406,00;5 432 035,00;3,79
49;1;Авангард;2879;Москва и обл.;142 019 030,00;138 616 664,00;3 402 366,00;2,45
50;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;141 642 069,00;139 532 797,00;2 109 272,00;1,51
51;2;Роскосмосбанк;2989;Москва и обл.;131 172 136,00;131 163 024,00;9 112,00;0,01
52;2;ВУЗ-Банк;1557;Свердловская обл.;130 330 067,00;128 436 561,00;1 893 506,00;1,47
53;-1;Кредит Европа Банк;3311;Москва и обл.;129 535 038,00;132 629 475,00;-3 094 437,00;-2,33
54;1;Центр-инвест;2225;Ростовская обл.;125 764 735,00;125 053 743,00;710 992,00;0,57
55;1;Кубань Кредит;2518;Краснодарский край;123 317 511,00;123 218 691,00;98 820,00;0,08
56;-5;Дойче Банк;3328;Москва и обл.;122 278 768,00;133 132 281,00;-10 853 513,00;-8,15
57;0;Таврический Банк;2304;Санкт-Петербург и обл.;117 880 005,00;121 871 166,00;-3 991 161,00;-3,27
58;3;ЦентроКредит;121;Москва и обл.;116 578 190,00;113 686 542,00;2 891 648,00;2,54
59;1;Металлинвестбанк;2440;Москва и обл.;115 810 379,00;114 519 296,00;1 291 083,00;1,13
60;-1;Банк Финсервис;3388;Москва и обл.;115 324 245,00;114 630 979,00;693 266,00;0,60
61;1;РН Банк;170;Москва и обл.;115 028 914,00;112 655 759,00;2 373 155,00;2,11
62;-4;ББР Банк;2929;Москва и обл.;114 265 946,00;119 127 782,00;-4 861 836,00;-4,08
63;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;113 833 692,00;112 338 401,00;1 495 291,00;1,33
64;3;Аверс;415;Татарстан;110 708 104,00;101 101 747,00;9 606 357,00;9,50
65;-1;Запсибкомбанк;918;Тюменская обл.;105 670 359,00;112 123 522,00;-6 453 163,00;-5,76
66;0;Экспобанк;2998;Москва и обл.;102 718 795,00;102 507 934,00;210 861,00;0,21
67;1;Мидзухо Банк;3337;Москва и обл.;98 944 478,00;98 481 181,00;463 297,00;0,47
68;3;Коммерцбанк (Евразия);3333;Москва и обл.;89 196 517,00;84 146 206,00;5 050 311,00;6,00
69;5;АйСиБиСи Банк;3475;Москва и обл.;86 235 887,00;81 999 448,00;4 236 439,00;5,17
70;0;СКБ-Банк;705;Свердловская обл.;86 216 661,00;84 331 819,00;1 884 842,00;2,24
71;-2;Союз;2307;Москва и обл.;85 037 644,00;90 882 599,00;-5 844 955,00;-6,43
72;-7;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;81 770 802,00;103 254 135,00;-21 483 333,00;-20,81
73;6;РГС Банк;3073;Москва и обл.;81 712 202,00;77 293 293,00;4 418 909,00;5,72
74;-1;Тойота Банк;3470;Москва и обл.;81 466 148,00;82 051 819,00;-585 671,00;-0,71
75;-3;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;81 198 731,00;82 698 900,00;-1 500 169,00;-1,81
76;-1;Банк Интеза;2216;Москва и обл.;80 459 296,00;80 290 481,00;168 815,00;0,21
77;7;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;80 187 217,00;68 815 686,00;11 371 531,00;16,52
78;-2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;78 180 997,00;80 154 380,00;-1 973 383,00;-2,46
79;1;Левобережный;1343;Новосибирская обл.;76 283 891,00;75 871 717,00;412 174,00;0,54
80;1;Примсоцбанк;2733;Приморский край;76 282 131,00;75 674 042,00;608 089,00;0,80
81;1;СДМ-Банк;1637;Москва и обл.;74 345 962,00;73 215 520,00;1 130 442,00;1,54
82;-4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;70 972 486,00;78 234 803,00;-7 262 317,00;-9,28
83;-6;СЭБ Банк;3235;Санкт-Петербург и обл.;70 558 599,00;79 523 846,00;-8 965 247,00;-11,27
84;-1;БКС Банк;101;Москва и обл.;69 964 151,00;71 279 013,00;-1 314 862,00;-1,84
85;6;БНП Париба Банк;3407;Москва и обл.;69 310 033,00;59 531 434,00;9 778 599,00;16,43
86;-1;Фора-Банк;1885;Москва и обл.;64 569 224,00;66 111 866,00;-1 542 642,00;-2,33
87;-1;Солидарность;554;Самарская обл.;64 041 942,00;64 452 641,00;-410 699,00;-0,64
88;-1;Балтинвестбанк;3176;Санкт-Петербург и обл.;63 520 908,00;64 223 788,00;-702 880,00;-1,09
89;11;Бэнк оф Чайна;2309;Москва и обл.;63 406 687,00;50 700 762,00;12 705 925,00;25,06
90;-2;Газэнергобанк;3252;Калужская обл.;61 969 460,00;61 557 372,00;412 088,00;0,67
91;1;Севергазбанк;2816;Вологодская обл.;61 124 316,00;59 293 657,00;1 830 659,00;3,09
92;-3;Челябинвестбанк;493;Челябинская обл.;60 334 974,00;60 226 858,00;108 116,00;0,18
93;-3;Генбанк;2490;Симферополь;58 774 566,00;59 761 528,00;-986 962,00;-1,65
94;3;Дж. П. Морган Банк;2629;Москва и обл.;58 557 317,00;55 154 318,00;3 402 999,00;6,17
95;-2;Челиндбанк;485;Челябинская обл.;57 903 030,00;58 096 288,00;-193 258,00;-0,33
96;0;БМВ Банк;3482;Москва и обл.;56 102 163,00;55 160 830,00;941 333,00;1,71
97;-3;Международный Финансовый Клуб;2618;Москва и обл.;54 870 051,00;56 435 290,00;-1 565 239,00;-2,77
98;4;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;54 033 895,00;44 987 751,00;9 046 144,00;20,11
99;-4;Киви Банк;2241;Москва и обл.;52 100 167,00;55 427 831,00;-3 327 664,00;-6,00
100;-2;Платежный Центр;3166;Новосибирская обл.;51 794 223,00;52 441 079,00;-646 856,00;-1,23
101;-2;Объединенный Капитал;2611;Санкт-Петербург и обл.;50 307 070,00;51 096 021,00;-788 951,00;-1,54
102;1;Фольксваген Банк Рус;3500;Москва и обл.;49 057 156,00;44 383 679,00;4 673 477,00;10,53
103;2;Кредит Урал Банк;2584;Челябинская обл.;42 678 921,00;42 117 013,00;561 908,00;1,33
104;2;Дальневосточный Банк;843;Приморский край;41 421 037,00;41 214 756,00;206 281,00;0,50
105;4;Интерпрогрессбанк;600;Москва и обл.;41 352 890,00;39 894 588,00;1 458 302,00;3,66
106;2;Голдман Сакс Банк;3490;Москва и обл.;40 986 579,00;40 498 603,00;487 976,00;1,20
107;-6;Энерготрансбанк;1307;Калининградская обл.;40 179 456,00;46 652 873,00;-6 473 417,00;-13,88
108;-4;Кольцо Урала;65;Свердловская обл.;39 943 727,00;43 154 628,00;-3 210 901,00;-7,44
109;5;Аресбанк;2914;Москва и обл.;39 770 404,00;35 305 254,00;4 465 150,00;12,65
110;3;Держава;2738;Москва и обл.;37 555 293,00;35 322 008,00;2 233 285,00;6,32
111;-1;Приморье;3001;Приморский край;36 574 592,00;36 717 099,00;-142 507,00;-0,39
112;-1;Татсоцбанк;480;Татарстан;35 623 021,00;36 363 636,00;-740 615,00;-2,04
113;2;БыстроБанк;1745;Удмуртия;34 120 206,00;35 255 756,00;-1 135 550,00;-3,22
114;-2;Нордеа Банк;3016;Москва и обл.;34 049 251,00;35 997 769,00;-1 948 518,00;-5,41
115;-8;Саровбизнесбанк;2048;Нижегородская обл.;33 915 374,00;40 502 945,00;-6 587 571,00;-16,26
116;2;МС Банк Рус;2789;Москва и обл.;33 268 268,00;33 154 807,00;113 461,00;0,34
117;-1;Ланта-Банк;1920;Москва и обл.;32 700 875,00;33 510 958,00;-810 083,00;-2,42
118;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;32 265 461,00;32 795 157,00;-529 696,00;-1,62
119;1;НС Банк;3124;Москва и обл.;32 177 577,00;32 173 574,00;4 003,00;0,01
