Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2018, тыс. рублей;Март, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;24 309 508 214,00;24 036 552 269,00;272 955 945,00;1,14
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 057 804 566,00;11 933 068 392,00;124 736 174,00;1,05
3;0;Газпромбанк;354;Москва и обл.;6 274 175 393,00;5 667 273 263,00;606 902 130,00;10,71
4;0;Россельхозбанк;3349;Москва и обл.;3 232 762 631,00;3 196 873 217,00;35 889 414,00;1,12
5;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 023 446 399,00;2 867 008 011,00;156 438 388,00;5,46
6;0;Альфа-Банк;1326;Москва и обл.;2 658 692 571,00;2 619 450 415,00;39 242 156,00;1,50
7;1;Московский Кредитный Банк;1978;Москва и обл.;1 899 654 856,00;1 841 847 607,00;57 807 249,00;3,14
8;-1;Банк Открытие;2209;Москва и обл.;1 834 305 366,00;2 152 924 111,00;-318 618 745,00;-14,80
9;1;ЮниКредит Банк;1;Москва и обл.;1 237 179 214,00;1 199 413 772,00;37 765 442,00;3,15
10;1;Промсвязьбанк;3251;Москва и обл.;1 184 159 455,00;1 175 785 245,00;8 374 210,00;0,71
11;3;Россия;328;Санкт-Петербург и обл.;975 354 093,00;936 210 933,00;39 143 160,00;4,18
12;-3;Бинбанк;323;Москва и обл.;960 828 916,00;1 230 737 877,00;-269 908 961,00;-21,93
13;0;Райффайзенбанк;3292;Москва и обл.;920 730 683,00;942 429 700,00;-21 699 017,00;-2,30
14;-2;Росбанк;2272;Москва и обл.;914 799 128,00;956 502 003,00;-41 702 875,00;-4,36
15;0;Рост Банк;2888;Москва и обл.;768 838 797,00;794 115 751,00;-25 276 954,00;-3,18
16;0;Совкомбанк;963;Костромская обл.;690 725 196,00;689 337 802,00;1 387 394,00;0,20
17;0;БМ-Банк;2748;Москва и обл.;642 470 422,00;655 180 859,00;-12 710 437,00;-1,94
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;642 314 228,00;626 174 546,00;16 139 682,00;2,58
19;0;Траст;3279;Москва и обл.;566 564 342,00;616 897 699,00;-50 333 357,00;-8,16
20;3;Ситибанк;2557;Москва и обл.;554 316 394,00;485 053 787,00;69 262 607,00;14,28
21;0;Московский Областной Банк;1751;Москва и обл.;541 002 779,00;529 979 930,00;11 022 849,00;2,08
22;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;522 905 706,00;536 223 672,00;-13 317 966,00;-2,48
23;-1;Банк Уралсиб;30;Москва и обл.;507 680 310,00;528 960 786,00;-21 280 476,00;-4,02
24;0;Ак Барс;2590;Татарстан;483 903 284,00;467 660 235,00;16 243 049,00;3,47
25;0;Русский Стандарт;2289;Москва и обл.;376 516 962,00;383 220 639,00;-6 703 677,00;-1,75
26;0;СМП Банк;3368;Москва и обл.;354 181 741,00;345 512 332,00;8 669 409,00;2,51
27;1;Новикомбанк;2546;Москва и обл.;336 351 571,00;322 340 927,00;14 010 644,00;4,35
28;-1;Банк ДОМ.РФ;2312;Москва и обл.;327 371 689,00;325 853 610,00;1 518 079,00;0,47
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;297 593 525,00;315 389 790,00;-17 796 265,00;-5,64
30;0;Тинькофф Банк;2673;Москва и обл.;297 229 931,00;289 161 054,00;8 068 877,00;2,79
31;0;Почта Банк;650;Москва и обл.;296 559 337,00;286 846 446,00;9 712 891,00;3,39
32;0;Связь-Банк;1470;Москва и обл.;290 192 890,00;283 544 722,00;6 648 168,00;2,34
33;2;Пересвет;2110;Москва и обл.;285 662 095,00;271 187 825,00;14 474 270,00;5,34
34;3;Восточный Банк;1460;Амурская обл.;278 305 930,00;265 157 382,00;13 148 548,00;4,96
35;-2;Московский Индустриальный Банк;912;Москва и обл.;274 011 056,00;275 229 589,00;-1 218 533,00;-0,44
36;0;Абсолют Банк;2306;Москва и обл.;266 515 515,00;267 697 411,00;-1 181 896,00;-0,44
37;1;Хоум Кредит Банк;316;Москва и обл.;263 236 112,00;261 422 842,00;1 813 270,00;0,69
38;1;Возрождение;1439;Москва и обл.;248 741 708,00;251 304 209,00;-2 562 501,00;-1,02
39;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;241 848 227,00;241 135 478,00;712 749,00;0,30
40;1;Банк Зенит;3255;Москва и обл.;212 362 114,00;219 284 823,00;-6 922 709,00;-3,16
41;1;РосЕвроБанк;3137;Москва и обл.;196 468 987,00;201 818 907,00;-5 349 920,00;-2,65
42;-8;ИНГ Банк;2495;Москва и обл.;187 361 619,00;272 066 018,00;-84 704 399,00;-31,13
43;2;МТС Банк;2268;Москва и обл.;185 028 524,00;177 391 107,00;7 637 417,00;4,31
44;0;Экспресс-Волга;3085;Костромская обл.;182 842 146,00;189 116 746,00;-6 274 600,00;-3,32
45;-2;Транскапиталбанк;2210;Москва и обл.;180 778 827,00;197 540 763,00;-16 761 936,00;-8,49
46;0;ДельтаКредит;3338;Москва и обл.;175 485 022,00;173 552 912,00;1 932 110,00;1,11
47;1;РГС Банк;3073;Москва и обл.;165 040 324,00;159 302 000,00;5 738 324,00;3,60
48;-1;Нордеа Банк;3016;Москва и обл.;164 930 171,00;160 883 018,00;4 047 153,00;2,52
49;1;РНКБ;1354;Симферополь;145 985 279,00;142 635 191,00;3 350 088,00;2,35
50;-1;Инвестторгбанк;2763;Москва и обл.;142 851 101,00;145 136 740,00;-2 285 639,00;-1,57
