Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2020, тыс. рублей;Май, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
28;0;Пересвет;2110;Москва и обл.;335 473 337,00;349 035 763,00;-13 562 426,00;-3,89
29;0;Русский Стандарт;2289;Москва и обл.;325 940 687,00;325 810 761,00;129 926,00;0,04
30;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;293 070 098,00;291 481 271,00;1 588 827,00;0,55
31;2;Возрождение;1439;Москва и обл.;290 633 707,00;271 837 572,00;18 796 135,00;6,91
32;0;Абсолют Банк;2306;Москва и обл.;275 259 623,00;286 870 554,00;-11 610 931,00;-4,05
33;1;Хоум Кредит Банк;316;Москва и обл.;262 827 620,00;268 826 799,00;-5 999 179,00;-2,23
34;1;РНКБ;1354;Симферополь;260 455 133,00;261 219 936,00;-764 803,00;-0,29
35;-4;ИНГ Банк;2495;Москва и обл.;249 839 354,00;288 962 777,00;-39 123 423,00;-13,54
36;0;Восточный Банк;1460;Амурская обл.;246 060 073,00;242 200 467,00;3 859 606,00;1,59
37;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;244 292 047,00;242 041 431,00;2 250 616,00;0,93
38;1;Банк Зенит;3255;Москва и обл.;232 765 734,00;237 502 230,00;-4 736 496,00;-1,99
39;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;217 715 212,00;233 828 980,00;-16 113 768,00;-6,89
40;1;МТС Банк;2268;Москва и обл.;210 216 577,00;210 705 365,00;-488 788,00;-0,23
41;1;Инвестторгбанк;2763;Москва и обл.;200 125 677,00;201 795 917,00;-1 670 240,00;-0,83
42;1;Транскапиталбанк;2210;Москва и обл.;171 832 654,00;173 306 410,00;-1 473 756,00;-0,85
43;3;Экспресс-Волга;3085;Костромская обл.;168 613 253,00;166 884 732,00;1 728 521,00;1,04
44;0;ОТП Банк;2766;Москва и обл.;167 679 440,00;173 174 800,00;-5 495 360,00;-3,17
45;0;Ренессанс Кредит;3354;Москва и обл.;165 742 033,00;170 897 707,00;-5 155 674,00;-3,02
46;1;Росэксимбанк;2790;Москва и обл.;161 186 496,00;155 683 353,00;5 503 143,00;3,53
47;2;Сетелем Банк;2168;Москва и обл.;151 989 196,00;150 647 411,00;1 341 785,00;0,89
48;2;Запсибкомбанк;918;Тюменская обл.;148 736 386,00;146 808 053,00;1 928 333,00;1,31
49;-1;Русфинанс Банк;1792;Самарская обл.;147 185 820,00;152 731 684,00;-5 545 864,00;-3,63
50;2;Кредит Европа Банк;3311;Москва и обл.;143 155 570,00;143 410 617,00;-255 047,00;-0,18
51;0;Таврический Банк;2304;Санкт-Петербург и обл.;143 043 412,00;146 477 382,00;-3 433 970,00;-2,34
52;2;МСП Банк;3340;Москва и обл.;138 674 332,00;133 362 162,00;5 312 170,00;3,98
53;0;Роскосмосбанк;2989;Москва и обл.;137 253 437,00;133 685 839,00;3 567 598,00;2,67
54;1;Авангард;2879;Москва и обл.;130 982 685,00;130 463 380,00;519 305,00;0,40
55;1;Аверс;415;Татарстан;121 344 660,00;121 728 149,00;-383 489,00;-0,32
56;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;120 027 074,00;119 964 648,00;62 426,00;0,05
57;1;Центр-инвест;2225;Ростовская обл.;117 774 197,00;119 866 114,00;-2 091 917,00;-1,75
58;4;ЦентроКредит;121;Москва и обл.;114 267 247,00;111 961 294,00;2 305 953,00;2,06
59;0;Дойче Банк;3328;Москва и обл.;113 939 585,00;117 260 721,00;-3 321 136,00;-2,83
60;3;Банк Финсервис;3388;Москва и обл.;110 927 757,00;111 505 736,00;-577 979,00;-0,52
61;3;Кубань Кредит;2518;Краснодарский край;110 475 936,00;110 825 143,00;-349 207,00;-0,32
62;-1;Металлинвестбанк;2440;Москва и обл.;107 722 508,00;113 265 091,00;-5 542 583,00;-4,89
63;-3;РН Банк;170;Москва и обл.;107 468 205,00;114 279 635,00;-6 811 430,00;-5,96
64;1;ВУЗ-Банк;1557;Свердловская обл.;103 114 581,00;104 905 871,00;-1 791 290,00;-1,71
65;26;Банк Кредит Свисс;2494;Москва и обл.;99 354 992,00;57 171 682,00;42 183 310,00;73,78
66;4;Локо-Банк;2707;Москва и обл.;99 068 482,00;93 849 713,00;5 218 769,00;5,56
67;0;ББР Банк;2929;Москва и обл.;98 686 282,00;98 474 226,00;212 056,00;0,22
68;-2;Экспобанк;2998;Москва и обл.;98 616 431,00;101 766 474,00;-3 150 043,00;-3,10
69;-1;Союз;2307;Москва и обл.;98 058 284,00;98 292 684,00;-234 400,00;-0,24
70;1;Мидзухо Банк;3337;Москва и обл.;97 655 983,00;87 663 353,00;9 992 630,00;11,40
71;-2;СКБ-Банк;705;Свердловская обл.;89 645 958,00;94 304 957,00;-4 658 999,00;-4,94
72;1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;83 858 484,00;81 114 494,00;2 743 990,00;3,38
73;-1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;80 016 009,00;81 844 837,00;-1 828 828,00;-2,23
74;0;Тойота Банк;3470;Москва и обл.;77 010 646,00;77 335 495,00;-324 849,00;-0,42
75;1;АйСиБиСи Банк;3475;Москва и обл.;75 039 771,00;75 834 913,00;-795 142,00;-1,05
76;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 020 112,00;74 605 367,00;-585 255,00;-0,78
77;3;Банк Интеза;2216;Москва и обл.;71 772 732,00;70 091 670,00;1 681 062,00;2,40
78;4;Примсоцбанк;2733;Приморский край;71 244 130,00;69 809 064,00;1 435 066,00;2,06
79;0;СДМ-Банк;1637;Москва и обл.;71 215 476,00;71 071 586,00;143 890,00;0,20
80;1;БКС Банк;101;Москва и обл.;69 759 418,00;70 081 129,00;-321 711,00;-0,46
81;2;Левобережный;1343;Новосибирская обл.;68 971 608,00;68 676 228,00;295 380,00;0,43
82;-4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;68 032 949,00;71 783 976,00;-3 751 027,00;-5,23
83;2;Нордеа Банк;3016;Москва и обл.;67 351 504,00;66 201 883,00;1 149 621,00;1,74
84;2;Газэнергобанк;3252;Калужская обл.;67 111 969,00;64 740 401,00;2 371 568,00;3,66
85;-1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;64 350 641,00;66 329 411,00;-1 978 770,00;-2,98
86;-11;Коммерцбанк (Евразия);3333;Москва и обл.;62 685 903,00;76 566 203,00;-13 880 300,00;-18,13
87;1;Севергазбанк;2816;Вологодская обл.;60 207 255,00;58 134 238,00;2 073 017,00;3,57
88;-1;РГС Банк;3073;Москва и обл.;59 913 911,00;59 717 775,00;196 136,00;0,33
89;0;Фора-Банк;1885;Москва и обл.;57 672 090,00;58 058 042,00;-385 952,00;-0,66
90;3;Челиндбанк;485;Челябинская обл.;57 219 531,00;56 249 095,00;970 436,00;1,73
91;11;БНП Париба Банк;3407;Москва и обл.;56 938 803,00;46 516 542,00;10 422 261,00;22,41
92;0;Челябинвестбанк;493;Челябинская обл.;56 890 140,00;56 426 421,00;463 719,00;0,82
93;2;Объединенный Капитал;2611;Санкт-Петербург и обл.;54 670 903,00;54 808 834,00;-137 931,00;-0,25
94;-4;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;53 976 215,00;57 808 488,00;-3 832 273,00;-6,63
95;1;Генбанк;2490;Симферополь;53 606 999,00;53 522 614,00;84 385,00;0,16
96;-2;Международный Финансовый Клуб;2618;Москва и обл.;51 268 456,00;55 099 110,00;-3 830 654,00;-6,95
97;0;Мир Бизнес Банк;3396;Москва и обл.;50 657 614,00;50 127 606,00;530 008,00;1,06
98;0;Платежный Центр;3166;Новосибирская обл.;47 527 685,00;49 767 223,00;-2 239 538,00;-4,50
99;4;Саровбизнесбанк;2048;Нижегородская обл.;46 592 742,00;46 461 593,00;131 149,00;0,28
100;-1;БМВ Банк;3482;Москва и обл.;46 587 075,00;49 536 974,00;-2 949 899,00;-5,95
101;10;Интерпрогрессбанк;600;Москва и обл.;46 347 954,00;41 808 908,00;4 539 046,00;10,86
102;5;Фольксваген Банк Рус;3500;Москва и обл.;46 113 820,00;44 557 936,00;1 555 884,00;3,49
103;3;Бэнк оф Чайна;2309;Москва и обл.;45 945 856,00;44 855 856,00;1 090 000,00;2,43
104;-4;Дж. П. Морган Банк;2629;Москва и обл.;45 894 496,00;49 333 598,00;-3 439 102,00;-6,97
105;-1;Солидарность;554;Самарская обл.;45 783 573,00;45 481 452,00;302 121,00;0,66
106;-5;Киви Банк;2241;Москва и обл.;43 416 919,00;47 216 894,00;-3 799 975,00;-8,05
107;3;Аресбанк;2914;Москва и обл.;42 389 214,00;42 322 369,00;66 845,00;0,16
108;1;Энерготрансбанк;1307;Калининградская обл.;40 996 840,00;43 045 196,00;-2 048 356,00;-4,76
109;-1;СЭБ Банк;3235;Санкт-Петербург и обл.;40 726 399,00;43 849 518,00;-3 123 119,00;-7,12
110;3;Дальневосточный Банк;843;Приморский край;39 816 710,00;38 411 780,00;1 404 930,00;3,66
111;1;Голдман Сакс Банк;3490;Москва и обл.;38 824 477,00;38 902 006,00;-77 529,00;-0,20
112;2;Кредит Урал Банк;2584;Челябинская обл.;37 561 177,00;37 545 133,00;16 044,00;0,04
113;2;Кольцо Урала;65;Свердловская обл.;37 343 806,00;37 542 241,00;-198 435,00;-0,53
114;2;Приморье;3001;Приморский край;36 275 180,00;36 893 490,00;-618 310,00;-1,68
115;3;Квантмобайл Банк;1189;Москва и обл.;34 672 292,00;34 511 205,00;161 087,00;0,47
116;1;БыстроБанк;1745;Удмуртия;33 751 988,00;36 704 448,00;-2 952 460,00;-8,04
117;2;Национальный Стандарт;3421;Москва и обл.;33 431 824,00;34 143 420,00;-711 596,00;-2,08
118;2;Алмазэргиэнбанк;2602;Саха (Якутия);33 335 358,00;32 576 880,00;758 478,00;2,33
119;4;МС Банк Рус;2789;Москва и обл.;32 254 091,00;32 033 608,00;220 483,00;0,69
120;4;НС Банк;3124;Москва и обл.;31 948 980,00;30 254 872,00;1 694 108,00;5,60
121;0;Держава;2738;Москва и обл.;31 946 042,00;32 449 592,00;-503 550,00;-1,55
122;0;Чайна Констракшн;3515;Москва и обл.;31 254 465,00;32 413 769,00;-1 159 304,00;-3,58
123;-18;Московское Ипотечное Агентство;3344;Москва и обл.;31 051 527,00;45 142 422,00;-14 090 895,00;-31,21
124;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;29 712 312,00;29 471 059,00;241 253,00;0,82
125;5;Натиксис Банк;3390;Москва и обл.;29 290 512,00;25 899 411,00;3 391 101,00;13,09
126;0;Ланта-Банк;1920;Москва и обл.;28 618 280,00;29 272 521,00;-654 241,00;-2,24
127;1;Экономбанк;1319;Саратовская обл.;26 781 993,00;26 894 217,00;-112 224,00;-0,42
128;1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 419 530,00;26 353 610,00;65 920,00;0,25
129;2;Хлынов;254;Кировская обл.;26 360 977,00;25 514 796,00;846 181,00;3,32
130;19;Инбанк;1829;Москва и обл.;25 535 165,00;19 419 633,00;6 115 532,00;31,49
131;-4;Интерпромбанк;3266;Москва и обл.;25 522 263,00;27 419 583,00;-1 897 320,00;-6,92
132;2;Акибанк;2587;Татарстан;24 947 263,00;24 618 958,00;328 305,00;1,33
133;-1;Урал ФД;249;Пермская обл.;24 811 924,00;25 368 033,00;-556 109,00;-2,19
134;-1;Москоммерцбанк;3365;Москва и обл.;24 426 402,00;25 203 929,00;-777 527,00;-3,08
135;0;Энергобанк;67;Татарстан;24 173 949,00;24 328 246,00;-154 297,00;-0,63
136;0;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;22 436 749,00;24 110 760,00;-1 674 011,00;-6,94
137;2;НБД-Банк;1966;Нижегородская обл.;22 317 232,00;21 838 485,00;478 747,00;2,19
138;0;Джей энд Ти Банк;3061;Москва и обл.;21 883 627,00;22 240 351,00;-356 724,00;-1,60
139;-2;Ури Банк;3479;Москва и обл.;21 875 715,00;22 773 107,00;-897 392,00;-3,94
140;0;Агропромкредит;2880;Москва и обл.;21 700 824,00;21 120 399,00;580 425,00;2,75
141;0;Тольяттихимбанк;2507;Самарская обл.;21 421 064,00;20 981 270,00;439 794,00;2,10
142;1;Татсоцбанк;480;Татарстан;20 923 170,00;20 464 377,00;458 793,00;2,24
143;-1;Модульбанк;1927;Костромская обл.;20 811 431,00;20 505 526,00;305 905,00;1,49
144;0;Пойдем!;2534;Москва и обл.;20 567 599,00;20 298 212,00;269 387,00;1,33
145;2;РосДорБанк;1573;Москва и обл.;19 703 565,00;19 720 742,00;-17 177,00;-0,09
146;0;Банк Акцепт;567;Новосибирская обл.;19 580 582,00;19 948 834,00;-368 252,00;-1,85
147;-2;Денизбанк Москва;3330;Москва и обл.;19 552 107,00;20 149 241,00;-597 134,00;-2,96
148;2;РЕСО Кредит;3450;Москва и обл.;18 464 515,00;18 927 559,00;-463 044,00;-2,45
149;19;ЮMoney;3510;Россия;18 415 051,00;14 598 371,00;3 816 680,00;26,14
150;3;Прио-Внешторгбанк;212;Рязанская обл.;18 334 916,00;18 118 647,00;216 269,00;1,19
151;-3;Кошелев-Банк;3300;Самарская обл.;18 326 717,00;19 622 025,00;-1 295 308,00;-6,60
152;-1;Алеф-Банк;2119;Москва и обл.;18 279 162,00;18 584 025,00;-304 863,00;-1,64
153;2;Александровский;53;Санкт-Петербург и обл.;18 204 271,00;17 581 194,00;623 077,00;3,54
154;0;Морской Банк;77;Москва и обл.;18 174 928,00;18 002 854,00;172 074,00;0,96
155;-3;Развитие-Столица;3013;Москва и обл.;17 699 437,00;18 146 067,00;-446 630,00;-2,46
156;1;Банк Оренбург;3269;Оренбургская обл.;17 598 461,00;17 289 558,00;308 903,00;1,79
157;1;Эс-Би-Ай Банк;3185;Москва и обл.;17 463 848,00;16 585 593,00;878 255,00;5,30
158;13;Реалист Банк;1067;Москва и обл.;17 435 435,00;14 134 431,00;3 301 004,00;23,35
159;-3;Ишбанк;2867;Москва и обл.;17 205 388,00;17 344 289,00;-138 901,00;-0,80
160;0;Консервативный Коммерческий Банк;1087;Астраханская обл.;17 081 725,00;16 433 875,00;647 850,00;3,94
161;-2;НК Банк;2755;Москва и обл.;16 440 986,00;16 502 799,00;-61 813,00;-0,37
162;-1;Форштадт;2208;Оренбургская обл.;16 365 670,00;16 230 854,00;134 816,00;0,83
163;-1;Норвик Банк;902;Кировская обл.;16 152 442,00;15 994 172,00;158 270,00;0,99
164;3;Энергомашбанк;52;Санкт-Петербург и обл.;15 853 068,00;14 871 553,00;981 515,00;6,60
165;-2;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;15 843 488,00;15 917 710,00;-74 222,00;-0,47
166;3;Национальный Резервный Банк;2170;Москва и обл.;15 765 726,00;14 481 222,00;1 284 504,00;8,87
167;5;Промтрансбанк;2638;Башкортостан;15 174 077,00;14 022 406,00;1 151 671,00;8,21
168;-3;Финанс Бизнес Банк;520;Москва и обл.;14 905 755,00;15 096 912,00;-191 157,00;-1,27
169;5;Чайнасельхозбанк;3529;Москва и обл.;14 217 493,00;13 414 249,00;803 244,00;5,99
170;21;Инкахран;3454;Москва и обл.;14 003 216,00;10 265 429,00;3 737 787,00;36,41
171;-1;Гарант-Инвест;2576;Москва и обл.;13 831 542,00;14 191 858,00;-360 316,00;-2,54
172;7;Датабанк;646;Удмуртия;13 616 748,00;12 318 134,00;1 298 614,00;10,54
173;-7;Банк Раунд;2506;Москва и обл.;13 202 279,00;14 889 330,00;-1 687 051,00;-11,33
174;-10;Автоторгбанк;2776;Москва и обл.;13 202 257,00;15 206 344,00;-2 004 087,00;-13,18
175;0;Банк Казани;708;Татарстан;13 090 806,00;13 171 398,00;-80 592,00;-0,61
176;0;КС Банк;1752;Мордовия;13 060 309,00;13 020 387,00;39 922,00;0,31
177;-4;Нацинвестпромбанк;3077;Москва и обл.;12 686 624,00;13 483 959,00;-797 335,00;-5,91
178;-1;НИКО-Банк;702;Оренбургская обл.;12 642 822,00;12 750 470,00;-107 648,00;-0,84
179;-1;Собинбанк;1317;Москва и обл.;12 347 521,00;12 367 532,00;-20 011,00;-0,16
180;0;Юг-Инвестбанк;2772;Краснодарский край;12 094 608,00;11 879 966,00;214 642,00;1,81
181;0;Снежинский;1376;Челябинская обл.;12 035 421,00;11 477 761,00;557 660,00;4,86
182;3;ТЭМБР-Банк;2764;Москва и обл.;11 944 056,00;11 125 497,00;818 559,00;7,36
183;1;Русьуниверсалбанк;3293;Москва и обл.;11 155 607,00;11 144 361,00;11 246,00;0,10
184;2;Екатеринбург;3161;Свердловская обл.;11 074 116,00;11 029 743,00;44 373,00;0,40
185;-2;Руснарбанк;3403;Москва и обл.;11 069 771,00;11 199 321,00;-129 550,00;-1,16
186;-4;МБА-Москва;3395;Москва и обл.;11 056 318,00;11 274 846,00;-218 528,00;-1,94
187;2;Солид Банк;1329;Приморский край;10 892 411,00;10 342 884,00;549 527,00;5,31
188;-1;Актив Банк;2529;Мордовия;10 788 636,00;10 917 749,00;-129 113,00;-1,18
189;-1;Банк Жилищного Финансирования;3138;Москва и обл.;10 739 437,00;10 610 272,00;129 165,00;1,22
190;0;Банк БКФ;2684;Москва и обл.;10 233 342,00;10 305 523,00;-72 181,00;-0,70
191;4;Финам Банк;2799;Москва и обл.;9 855 346,00;9 378 191,00;477 155,00;5,09
192;0;Национальная Факторинговая Компания;3437;Москва и обл.;9 806 857,00;9 860 578,00;-53 721,00;-0,54
193;1;Ростфинанс;481;Ростовская обл.;9 626 753,00;9 435 164,00;191 589,00;2,03
194;-1;Нефтепромбанк;2156;Москва и обл.;9 598 042,00;9 782 018,00;-183 976,00;-1,88
195;2;Итуруп;2390;Сахалинская обл.;9 136 599,00;8 963 561,00;173 038,00;1,93
196;3;Томскпромстройбанк;1720;Томская обл.;8 992 269,00;8 919 062,00;73 207,00;0,82
197;5;Зираат Банк;2559;Москва и обл.;8 909 881,00;8 436 810,00;473 071,00;5,61
198;0;Хакасский Муниципальный Банк;1049;Хакасия;8 853 045,00;8 959 662,00;-106 617,00;-1,19
199;2;Нейва;1293;Свердловская обл.;8 509 640,00;8 442 774,00;66 866,00;0,79
200;3;Новобанк;1352;Новгородская обл.;8 499 577,00;8 196 350,00;303 227,00;3,70
201;3;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 082 983,00;8 142 018,00;-59 035,00;-0,73
202;6;Белгородсоцбанк;760;Белгородская обл.;8 071 059,00;7 905 497,00;165 562,00;2,09
203;-3;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 932 903,00;8 468 679,00;-535 776,00;-6,33
204;2;Трансстройбанк;2807;Москва и обл.;7 918 910,00;8 006 194,00;-87 284,00;-1,09
205;-9;Углеметбанк;2997;Челябинская обл.;7 552 899,00;9 369 896,00;-1 816 997,00;-19,39
206;4;Северный Народный Банк;2721;Коми;7 527 564,00;7 360 813,00;166 751,00;2,27
207;0;Гута-Банк;256;Москва и обл.;7 367 805,00;7 930 874,00;-563 069,00;-7,10
208;3;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 324 295,00;7 279 098,00;45 197,00;0,62
209;0;Славия;2664;Москва и обл.;7 296 690,00;7 446 509,00;-149 819,00;-2,01
210;-5;Ю Би Эс Банк;3463;Москва и обл.;7 196 479,00;8 072 679,00;-876 200,00;-10,85
211;3;Венец;524;Ульяновская обл.;7 161 796,00;7 076 663,00;85 133,00;1,20
212;1;Сибсоцбанк;2015;Алтайский край;7 137 738,00;7 211 751,00;-74 013,00;-1,03
213;2;Ставропольпромстройбанк;1288;Ставропольский край;7 109 570,00;6 900 527,00;209 043,00;3,03
214;2;Агророс;2860;Саратовская обл.;6 996 822,00;6 806 011,00;190 811,00;2,80
215;2;Азия-Инвест Банк;3303;Москва и обл.;6 846 760,00;6 698 249,00;148 511,00;2,22
216;2;Горбанк;2982;Санкт-Петербург и обл.;6 621 780,00;6 618 899,00;2 881,00;0,04
217;-5;Банк Фридом Финанс;1143;Москва и обл.;6 578 796,00;7 222 875,00;-644 079,00;-8,92
218;3;Земский Банк;2900;Самарская обл.;6 550 796,00;6 409 421,00;141 375,00;2,21
219;0;Черноморский банк развития и реконструкции;3527;Симферополь;6 488 345,00;6 567 037,00;-78 692,00;-1,20
220;0;Кузнецкий;609;Пензенская обл.;6 484 829,00;6 420 238,00;64 591,00;1,01
221;1;Енисейский Объединенный Банк;2645;Красноярский край;6 395 778,00;6 378 030,00;17 748,00;0,28
222;1;Автоградбанк;1455;Татарстан;6 259 343,00;6 164 937,00;94 406,00;1,53
223;10;ЮМК Банк;3495;Краснодарский край;6 161 189,00;5 257 036,00;904 153,00;17,20
224;3;Бланк Банк;2368;Москва и обл.;6 072 347,00;5 808 671,00;263 676,00;4,54
225;-1;ФорБанк;2063;Москва и обл.;5 903 494,00;6 052 265,00;-148 771,00;-2,46
226;0;Газтрансбанк;665;Краснодарский край;5 753 244,00;5 870 778,00;-117 534,00;-2,00
227;-2;Москва-Сити;3247;Москва и обл.;5 611 574,00;5 925 023,00;-313 449,00;-5,29
228;0;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 574 708,00;5 658 808,00;-84 100,00;-1,49
229;2;Стройлесбанк;2995;Тюменская обл.;5 417 219,00;5 434 082,00;-16 863,00;-0,31
230;-1;Кубаньторгбанк;478;Краснодарский край;5 371 866,00;5 490 950,00;-119 084,00;-2,17
231;1;Роял Кредит Банк;783;Приморский край;5 250 755,00;5 258 437,00;-7 682,00;-0,15
232;-2;Альба Альянс;2593;Москва и обл.;5 231 374,00;5 477 128,00;-245 754,00;-4,49
233;9;Крокус-Банк;2682;Москва и обл.;5 122 713,00;4 633 754,00;488 959,00;10,55
234;4;СИАБ;3245;Санкт-Петербург и обл.;5 023 257,00;4 812 760,00;210 497,00;4,37
235;-1;Проминвестбанк;2433;Москва и обл.;5 013 117,00;5 020 288,00;-7 171,00;-0,14
236;-1;НОКССбанк;3202;Волгоградская обл.;4 983 580,00;5 007 754,00;-24 174,00;-0,48
237;0;ПэйПал Ру;3517;Москва и обл.;4 836 564,00;4 836 564,00;0,00;0
238;3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;4 686 744,00;4 644 410,00;42 334,00;0,91
239;5;Заубер Банк;1614;Санкт-Петербург и обл.;4 530 716,00;4 439 017,00;91 699,00;2,07
240;3;Братский АНКБ;1144;Иркутская обл.;4 460 776,00;4 530 961,00;-70 185,00;-1,55
241;7;Долинск;857;Сахалинская обл.;4 441 852,00;4 261 766,00;180 086,00;4,23
242;-2;Икано Банк;3519;Москва и обл.;4 426 498,00;4 701 121,00;-274 623,00;-5,84
243;3;Мегаполис;3265;Чувашия;4 423 111,00;4 289 575,00;133 536,00;3,11
244;7;Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;4 374 309,00;4 110 095,00;264 214,00;6,43
245;16;Коммерческий Индо Банк;3446;Москва и обл.;4 345 652,00;3 673 152,00;672 500,00;18,31
246;-10;Платина;2347;Москва и обл.;4 242 400,00;4 878 841,00;-636 441,00;-13,04
247;-8;Бест Эффортс Банк;435;Москва и обл.;4 223 760,00;4 745 855,00;-522 095,00;-11,00
248;8;Вестерн Юнион ДП Восток;2726;Москва и обл.;4 140 408,00;3 875 914,00;264 494,00;6,82
249;0;Камский Коммерческий Банк;438;Татарстан;4 134 562,00;4 232 160,00;-97 598,00;-2,31
250;2;Московский Коммерческий Банк;3172;Москва и обл.;4 126 075,00;4 062 476,00;63 599,00;1,57
251;-4;Славянский Кредит;2960;Москва и обл.;4 113 466,00;4 265 157,00;-151 691,00;-3,56
252;-7;Банк Кремлевский;2905;Москва и обл.;4 096 322,00;4 419 972,00;-323 650,00;-7,32
253;2;Алтайкапиталбанк;2659;Алтайский край;3 986 753,00;3 886 346,00;100 407,00;2,58
254;-4;Новый Век;3417;Москва и обл.;3 939 043,00;4 206 242,00;-267 199,00;-6,35
255;-1;Объединенный Резервный Банк;937;Москва и обл.;3 928 030,00;3 997 749,00;-69 719,00;-1,74
256;1;Вологжанин;1896;Вологодская обл.;3 814 532,00;3 873 079,00;-58 547,00;-1,51
257;3;Уралпромбанк;2964;Челябинская обл.;3 801 996,00;3 745 800,00;56 196,00;1,50
258;10;Евразийский Банк;969;Москва и обл.;3 796 934,00;3 381 640,00;415 294,00;12,28
259;-1;Донкомбанк;492;Ростовская обл.;3 757 621,00;3 756 479,00;1 142,00;0,03
