Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2020, тыс. рублей;Май, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;30 759 269 658,00;31 081 925 636,00;-322 655 978,00;-1,04
2;0;ВТБ;1000;Санкт-Петербург и обл.;15 029 152 247,00;15 311 636 223,00;-282 483 976,00;-1,84
3;0;Газпромбанк;354;Москва и обл.;7 092 861 002,00;7 040 497 326,00;52 363 676,00;0,74
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 279 004 841,00;4 425 164 004,00;-146 159 163,00;-3,30
5;0;Альфа-Банк;1326;Москва и обл.;3 908 179 939,00;4 062 135 485,00;-153 955 546,00;-3,79
6;0;Россельхозбанк;3349;Москва и обл.;3 506 105 175,00;3 662 500 285,00;-156 395 110,00;-4,27
7;0;Банк Открытие;2209;Москва и обл.;2 733 425 636,00;2 723 185 052,00;10 240 584,00;0,38
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 710 108 949,00;2 705 369 187,00;4 739 762,00;0,18
9;1;Совкомбанк;963;Костромская обл.;1 504 044 466,00;1 390 084 402,00;113 960 064,00;8,20
10;-1;ЮниКредит Банк;1;Москва и обл.;1 473 088 658,00;1 567 902 620,00;-94 813 962,00;-6,05
11;1;Росбанк;2272;Москва и обл.;1 355 292 312,00;1 353 430 069,00;1 862 243,00;0,14
12;1;Траст;3279;Москва и обл.;1 307 595 844,00;1 322 532 703,00;-14 936 859,00;-1,13
13;-2;Райффайзенбанк;3292;Москва и обл.;1 302 470 979,00;1 371 919 514,00;-69 448 535,00;-5,06
14;0;Россия;328;Санкт-Петербург и обл.;1 081 891 658,00;1 027 787 190,00;54 104 468,00;5,26
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;791 289 461,00;892 244 335,00;-100 954 874,00;-11,31
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;695 870 216,00;681 823 327,00;14 046 889,00;2,06
17;0;Тинькофф Банк;2673;Москва и обл.;692 503 246,00;672 123 711,00;20 379 535,00;3,03
18;1;Ак Барс;2590;Татарстан;630 480 875,00;616 704 247,00;13 776 628,00;2,23
19;1;Ситибанк;2557;Москва и обл.;580 468 556,00;608 170 639,00;-27 702 083,00;-4,55
20;1;Новикомбанк;2546;Москва и обл.;545 644 459,00;547 760 110,00;-2 115 651,00;-0,39
21;-3;БМ-Банк;2748;Москва и обл.;512 871 803,00;661 495 021,00;-148 623 218,00;-22,47
22;2;Почта Банк;650;Москва и обл.;511 788 106,00;512 713 111,00;-925 005,00;-0,18
23;0;Банк Уралсиб;30;Москва и обл.;511 714 871,00;515 411 254,00;-3 696 383,00;-0,72
24;-2;СМП Банк;3368;Москва и обл.;507 838 419,00;534 066 830,00;-26 228 411,00;-4,91
25;1;Московский Индустриальный Банк;912;Москва и обл.;427 967 163,00;436 480 349,00;-8 513 186,00;-1,95
26;-1;Московский Областной Банк;1751;Москва и обл.;412 080 401,00;440 608 689,00;-28 528 288,00;-6,47
27;0;Банк ДОМ.РФ;2312;Москва и обл.;386 434 613,00;365 540 349,00;20 894 264,00;5,72
