Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2016, тыс. рублей;Март, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 212 151 471,00;23 747 964 348,00;-535 812 877,00;-2,26
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 114 377 871,00;9 385 990 469,00;-271 612 598,00;-2,89
3;0;Газпромбанк;354;Москва и обл.;5 205 383 927,00;5 391 674 835,00;-186 290 908,00;-3,46
4;1;ВТБ 24;1623;Москва и обл.;3 018 830 096,00;3 070 918 379,00;-52 088 283,00;-1,70
5;-1;Банк Открытие;2209;Москва и обл.;2 929 145 208,00;3 071 933 344,00;-142 788 136,00;-4,65
6;0;Россельхозбанк;3349;Москва и обл.;2 763 514 526,00;2 759 461 717,00;4 052 809,00;0,15
7;0;Альфа-Банк;1326;Москва и обл.;2 234 634 963,00;2 395 876 576,00;-161 241 613,00;-6,73
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 845 112 917,00;1 753 900 695,00;91 212 222,00;5,20
9;0;БМ-Банк;2748;Москва и обл.;1 675 554 276,00;1 702 619 249,00;-27 064 973,00;-1,59
10;0;ЮниКредит Банк;1;Москва и обл.;1 501 777 686,00;1 446 586 224,00;55 191 462,00;3,82
11;0;Московский Кредитный Банк;1978;Москва и обл.;1 396 647 409,00;1 413 676 648,00;-17 029 239,00;-1,20
12;0;Промсвязьбанк;3251;Москва и обл.;1 295 106 278,00;1 284 035 321,00;11 070 957,00;0,86
13;0;Райффайзенбанк;3292;Москва и обл.;823 288 195,00;910 907 362,00;-87 619 167,00;-9,62
14;0;Росбанк;2272;Москва и обл.;820 372 444,00;897 416 575,00;-77 044 131,00;-8,59
15;0;Бинбанк;323;Москва и обл.;760 742 603,00;784 154 431,00;-23 411 828,00;-2,99
16;0;Россия;328;Санкт-Петербург и обл.;591 896 635,00;607 267 746,00;-15 371 111,00;-2,53
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;589 187 287,00;584 346 835,00;4 840 452,00;0,83
18;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;535 221 813,00;540 267 812,00;-5 045 999,00;-0,93
19;0;Русский Стандарт;2289;Москва и обл.;486 703 480,00;529 325 509,00;-42 622 029,00;-8,05
20;0;Совкомбанк;963;Костромская обл.;465 468 068,00;500 744 485,00;-35 276 417,00;-7,04
21;1;Московский Областной Банк;1751;Москва и обл.;460 495 322,00;471 433 624,00;-10 938 302,00;-2,32
22;2;Рост Банк;2888;Москва и обл.;459 547 289,00;448 527 410,00;11 019 879,00;2,46
23;-2;Ак Барс;2590;Татарстан;455 352 233,00;480 397 293,00;-25 045 060,00;-5,21
24;-1;Банк Уралсиб;30;Москва и обл.;438 029 148,00;451 315 757,00;-13 286 609,00;-2,94
25;0;Ситибанк;2557;Москва и обл.;423 650 761,00;438 697 609,00;-15 046 848,00;-3,43
26;1;Траст;3279;Москва и обл.;388 140 650,00;386 578 336,00;1 562 314,00;0,40
27;-1;СМП Банк;3368;Москва и обл.;370 409 914,00;388 864 037,00;-18 454 123,00;-4,75
28;2;Связь-Банк;1470;Москва и обл.;354 621 136,00;360 143 306,00;-5 522 170,00;-1,53
29;0;Нордеа Банк;3016;Москва и обл.;350 251 858,00;374 797 699,00;-24 545 841,00;-6,55
30;-2;Югра;880;Москва и обл.;348 249 185,00;376 156 587,00;-27 907 402,00;-7,42
31;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;346 998 780,00;337 177 291,00;9 821 489,00;2,91
32;-1;МДМ Банк;2562;Москва и обл.;337 832 169,00;346 959 677,00;-9 127 508,00;-2,63
33;0;ИНГ Банк;2495;Москва и обл.;307 235 276,00;333 406 105,00;-26 170 829,00;-7,85
34;0;Банк ДОМ.РФ;2312;Москва и обл.;295 283 913,00;295 842 964,00;-559 051,00;-0,19
35;0;Новикомбанк;2546;Москва и обл.;284 084 528,00;273 862 087,00;10 222 441,00;3,73
36;0;Банк Зенит;3255;Москва и обл.;265 996 115,00;272 421 369,00;-6 425 254,00;-2,36
37;0;Абсолют Банк;2306;Москва и обл.;263 349 962,00;270 439 789,00;-7 089 827,00;-2,62
38;0;Глобэкс;1942;Москва и обл.;241 954 977,00;259 077 298,00;-17 122 321,00;-6,61
39;0;Восточный Банк;1460;Амурская обл.;234 921 156,00;242 091 233,00;-7 170 077,00;-2,96
40;2;Возрождение;1439;Москва и обл.;234 406 681,00;227 633 916,00;6 772 765,00;2,98
41;0;Московский Индустриальный Банк;912;Москва и обл.;234 053 687,00;228 733 271,00;5 320 416,00;2,33
42;-2;Транскапиталбанк;2210;Москва и обл.;230 939 046,00;230 619 101,00;319 945,00;0,14
43;0;Хоум Кредит Банк;316;Москва и обл.;220 703 397,00;225 648 207,00;-4 944 810,00;-2,19
44;0;Татфондбанк;3058;Татарстан;197 246 063,00;191 819 543,00;5 426 520,00;2,83
45;1;Пересвет;2110;Москва и обл.;185 527 498,00;185 045 820,00;481 678,00;0,26
46;1;МТС Банк;2268;Москва и обл.;168 285 804,00;172 356 557,00;-4 070 753,00;-2,36
47;1;РосЕвроБанк;3137;Москва и обл.;167 003 721,00;170 595 025,00;-3 591 304,00;-2,11
48;3;Тинькофф Банк;2673;Москва и обл.;165 640 905,00;164 482 883,00;1 158 022,00;0,70
